MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	12,1875	s	29.10.2014 13:03:53
Datum : 	29.10.2014
Prüfer : 	Pi, Un
Probenbezeichnung :  	TH-M5-Z36
Bemerkungen	Kraftgeregelt
Höhe:	300
Durchm.:	100
Masse:	5400
Bediener Information Ende

Datenerfassung						Zeit:	39,244141	s	29.10.2014 13:04:20
Zeit	Laufzeit	Systemtaktzähler	Ch 1 Segment Ganzzahl-Zähler	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	W2TK 7731	W2TK 7733	W2TK 7734	DMS 1	DMS 2	DMS 3	MTS 1944 B	MTS 2157	MTS 1281068	Ch 1 Ausgang
s	s	unitless	segments	kN	kN	mm	mm	mm	mm	V	V	V	mm	mm	mm	V
13,258789	13,257813	7397434	2	-3,9875977	-3,8871336	6,8545341e-05	5,9902668e-06	4,9397349e-05	6,4462423e-05	-9,4874849e-05	-1,5972882e-05	0,00031192845	1,8179417e-05	1,4480203e-05	-0,00011216849	-0,045239199
13,28418	13,283203	7397460	2	-4,0866213	-3,9824769	-0,00014677644	-6,4492226e-05	6,3925982e-06	-3,1903386e-05	1,0929798e-05	-3,2591568e-05	0,0003726517	-1,5795231e-06	4,2837113e-05	-0,00015181303	-0,041459545
13,30957	13,308594	7397486	2	-4,1856446	-4,0901227	-0,00057592988	-0,00019848347	2,5480986e-05	-0,00015355647	-1,7688217e-05	1,2241326e-05	-2,3833563e-05	-6,0081482e-05	-3,4186989e-05	-0,00012657791	-0,043225557
13,334961	13,333984	7397512	2	-4,284668	-4,1624551	-0,0013329089	-0,00048607588	-6,3300133e-05	-0,00027602166	-0,00055680441	-0,00030435409	-2,7403003e-05	-8,1509352e-05	5,2966177e-05	-0,00010515749	-0,044287354
13,360352	13,359375	7397538	2	-4,3836913	-4,3069143	-0,0013433397	-0,0007788837	-0,00015833974	-0,00059826672	-0,00048222212	-0,0002935534	1,3720273e-05	-0,00010928512	4,9568713e-05	-0,0001492165	-0,044102073
13,385742	13,384766	7397564	2	-4,4827151	-4,3801384	-0,0022567809	-0,0010256469	-0,00039197505	-0,00072862208	-0,00039414971	-0,00040558074	-0,00031691138	-0,00013047457	7,1246177e-05	-0,00012929738	-0,040784635
13,411133	13,410156	7397590	2	-4,5817385	-4,5247769	-0,0030301511	-0,0013694465	-0,00078603625	-0,0010134652	-0,00056998164	-0,00031826249	-0,0003336345	-0,00013563037	9,0379268e-05	-0,00016982108	-0,040435504
13,436523	13,435547	7397616	2	-4,6807618	-4,5989323	-0,0029988587	-0,0016663074	-0,001229614	-0,0012714937	-0,00071491452	-0,00036696615	-0,00059850392	-0,00015071034	2,6866794e-05	-0,00012284145	-0,042150281
13,461914	13,460938	7397642	2	-4,7797852	-4,6969242	-0,0037007034	-0,0018870234	-0,0015307665	-0,0015087575	-0,0010236031	-0,00067134795	-0,00059202767	-0,00017285347	3,2078475e-05	-0,00016225874	-0,043316048
13,487305	13,486328	7397668	2	-4,8788085	-4,7571955	-0,0038146973	-0,0020782948	-0,0019335747	-0,001763016	-0,00095632864	-0,00066700933	-0,0010347851	-0,00021114945	8,3055347e-05	-0,00010154769	-0,042482629
13,512695	13,511719	7397694	2	-4,9778323	-4,8443937	-0,0045657158	-0,0022654235	-0,0022957623	-0,0019628182	-0,00097557233	-0,00071818469	-0,00097418902	-0,00022789836	0,00012489781	-4,529953e-06	-0,046091925
13,538086	13,537109	7397720	2	-5,0768557	-4,906105	-0,0045761466	-0,0023946166	-0,0025588721	-0,0021588579	-0,0013776186	-0,00069308106	-0,0013101887	-0,00027042627	0,00011279806	-2,1979213e-07	-0,043824665
13,563477	13,5625	7397746	2	-5,175879	-4,9702935	-0,0051148236	-0,0025946498	-0,0028322488	-0,002354607	-0,0012886097	-0,00064594107	-0,0013593793	-0,00027966499	9,137392e-05	-9,6160918e-05	-0,048696928
13,588867	13,587891	7397772	2	-5,2749023	-5,0700455	-0,0056743622	-0,0027894974	-0,0031462908	-0,0026534572	-0,0013221049	-0,00072671182	-0,0012956266	-0,00025448203	0,00015610456	-5,0511211e-05	-0,046059184
13,614258	13,613281	7397798	2	-5,3739257	-5,1060486	-0,0058725476	-0,002938956	-0,0034363717	-0,002790615	-0,0017916032	-0,00067126309	-0,001345874	-0,00024557114	0,00015578046	-7,1268529e-05	-0,052539941
13,639648	13,638672	7397824	2	-5,4729495	-5,1228423	-0,0063844025	-0,0030103624	-0,0036707222	-0,0029181242	-0,0017005079	-0,0010594702	-0,0012969684	-0,00031065941	9,1392547e-05	-3,2246113e-05	-0,055814393
13,665039	13,664063	7397850	2	-5,5719728	-5,1939173	-0,0064618886	-0,003146559	-0,003933534	-0,0030935854	-0,0015635168	-0,0010059006	-0,0016500454	-0,0003144443	0,00017154589	-4,774332e-05	-0,056601524
13,69043	13,689453	7397876	2	-5,6709962	-5,2614751	-0,0070787966	-0,0033048093	-0,0041359216	-0,0032853037	-0,0015900752	-0,0010230021	-0,0017098892	-0,00034400821	8,5081905e-05	-7,2032213e-05	-0,057311099
13,71582	13,714844	7397902	2	-5,7700195	-5,282454	-0,0067897141	-0,0033732057	-0,0043084174	-0,0033532679	-0,0017696937	-0,0010461509	-0,0017010992	-0,00029230118	0,0001331009	-5,5521727e-05	-0,061947752
13,741211	13,740234	7397928	2	-5,8690434	-5,3700113	-0,0075906515	-0,0035301447	-0,0045395195	-0,0036045387	-0,0020269647	-0,0010111304	-0,0016816511	-0,00028026104	0,00011431426	-2,977252e-05	-0,061324149
13,766602	13,765625	7397954	2	-5,9680667	-5,415164	-0,0076390803	-0,0036773086	-0,0047331303	-0,0037288293	-0,0019351091	-0,0010316019	-0,0019821681	-0,00029960275	0,00012439862	-5,3964555e-05	-0,065199338
13,791992	13,791016	7397980	2	-6,06709	-5,5360365	-0,0082932413	-0,0038853884	-0,0050105602	-0,004020825	-0,001943008	-0,0010528937	-0,0019805694	-0,00036340952	0,00011995435	-4,4967979e-05	-0,062169343
13,817383	13,816406	7398006	2	-6,1661134	-5,6718979	-0,0090792775	-0,0042676628	-0,0056158453	-0,004478693	-0,0020201588	-0,0010467442	-0,0020372591	-0,00036200881	0,00015810132	-6,5919012e-05	-0,062943742
13,842773	13,841797	7398032	2	-6,2651367	-5,9104042	-0,010175258	-0,0048410594	-0,0063409209	-0,0050988868	-0,00225998	-0,00099304912	-0,0023546726	-0,00042581558	0,0001019761	-3,0212104e-05	-0,054175723
13,868164	13,867188	7398058	2	-6,3641605	-6,0492287	-0,011226535	-0,0054037869	-0,0071296394	-0,0056842789	-0,002562697	-0,0013684512	-0,0026252421	-0,00050917268	0,00016948581	-9,1008842e-05	-0,055031549
13,893555	13,892578	7398084	2	-6,4631839	-6,168252	-0,011733919	-0,00558725	-0,0075938702	-0,0059844926	-0,0030007886	-0,0013751668	-0,0029388906	-0,00054454803	0,00012331456	-1,3969839e-06	-0,052119434
13,918945	13,917969	7398110	2	-6,5622072	-6,2837286	-0,012203306	-0,0059824884	-0,0080995411	-0,0063699335	-0,0029744133	-0,0017181124	-0,0029259475	-0,00056552887	0,00019870698	3,8549304e-05	-0,051766466
13,944336	13,943359	7398136	2	-6,6612306	-6,4417086	-0,013131648	-0,0064086318	-0,0087217093	-0,0068536103	-0,0028887952	-0,0017178225	-0,003208495	-0,0005749166	7,4405223e-05	-8,0455095e-05	-0,050522905
13,969727	13,96875	7398162	2	-6,7602539	-6,6406708	-0,013838708	-0,0068378747	-0,0093118846	-0,0073194355	-0,0032174792	-0,0017061102	-0,0035053194	-0,00060683489	0,00014963001	-1,8905848e-05	-0,043935377
13,995117	13,994141	7398188	2	-6,8592777	-6,7572145	-0,01462549	-0,0071354806	-0,0096957684	-0,0076813549	-0,0036633776	-0,0017155164	-0,0038229504	-0,00062403083	-1,4528632e-06	-8,7168068e-05	-0,044031169
14,020508	14,019531	7398214	2	-6,9583011	-6,8879237	-0,0159733	-0,0076107681	-0,010279849	-0,0082421452	-0,0037233946	-0,0020090241	-0,0038381717	-0,00068470836	2,0418316e-05	6,2387437e-05	-0,043824326
14,045898	14,044922	7398240	2	-7,0573244	-7,0178576	-0,015897304	-0,0078473389	-0,01071319	-0,008555837	-0,003902233	-0,0019752942	-0,0041775266	-0,00077477098	-7,1555376e-05	-4,7944486e-05	-0,042611308
14,071289	14,070313	7398266	2	-7,1563478	-7,0812235	-0,016595423	-0,007981956	-0,010959014	-0,0087508485	-0,0039362027	-0,0021473365	-0,0042195432	-0,00079235435	-6,3061714e-05	-1,4025718e-05	-0,041374292
14,09668	14,095703	7398292	2	-7,2553711	-7,2423377	-0,01764819	-0,0082816184	-0,011268586	-0,0091363415	-0,0040141493	-0,0025774108	-0,0042169089	-0,00084257126	-0,00018719211	-5,6803226e-05	-0,04076685
14,12207	14,121094	7398318	2	-7,3543949	-7,2692084	-0,018085539	-0,0085436404	-0,01170586	-0,0094828233	-0,0043241354	-0,0025319983	-0,0044831396	-0,0007058084	-0,00015774742	-8,4172934e-05	-0,045406193
14,147461	14,146484	7398344	2	-7,4534183	-7,4108801	-0,018133968	-0,0086770952	-0,012002066	-0,0096855387	-0,0042739166	-0,0025551319	-0,0048454502	-0,00083357096	-0,00026066229	-3,6414713e-05	-0,041164797
14,172852	14,171875	7398370	2	-7,5524416	-7,4909282	-0,018867105	-0,0089579523	-0,012348369	-0,010042064	-0,0043179714	-0,0025501489	-0,0048576724	-0,000895679	-0,00022569299	-9,9278986e-06	-0,043292642
14,198242	14,197266	7398396	2	-7,6514649	-7,6366134	-0,019823015	-0,0091791153	-0,012742147	-0,010368913	-0,0047095497	-0,0025265019	-0,0052297777	-0,00094810128	-0,00040462986	4,8652291e-06	-0,041331224
14,223633	14,222656	7398422	2	-7,7504883	-7,6626902	-0,019754469	-0,0093766749	-0,013072774	-0,010581478	-0,0046154996	-0,0028784384	-0,0051776054	-0,00088995695	-0,0002861917	2,6348978e-05	-0,043127775
14,249023	14,248047	7398448	2	-7,8495121	-7,7800007	-0,020479411	-0,0095723569	-0,013396129	-0,010822594	-0,0049039028	-0,0028843773	-0,0054473872	-0,00093889236	-0,00043135509	-2,0042062e-06	-0,04379335
14,274414	14,273438	7398474	2	-7,9485354	-7,8692966	-0,02104044	-0,0097984374	-0,013751402	-0,011182681	-0,0050428393	-0,0029217522	-0,0055204215	-0,00098651648	-0,0003952086	1,3705343e-05	-0,044091728
14,299805	14,298828	7398500	2	-8,0475588	-8,0088577	-0,021631271	-0,010088176	-0,014212921	-0,01152125	-0,0052433047	-0,0031704651	-0,0055047125	-0,00099095702	-0,00051001087	1,1220574e-05	-0,042925697
14,325195	14,324219	7398526	2	-8,1465826	-8,0435667	-0,021820515	-0,010222346	-0,014515743	-0,011742383	-0,0051548542	-0,0032377334	-0,0058247591	-0,00098329782	-0,00045923516	2,1629035e-05	-0,044119898
14,350586	14,349609	7398552	2	-8,2456055	-8,2219448	-0,02239421	-0,010472238	-0,014855966	-0,012061283	-0,0051978137	-0,0031831313	-0,0061485949	-0,0010807514	-0,00057121739	8,4701926e-05	-0,040577196
14,375977	14,375	7398578	2	-8,3446293	-8,2172146	-0,023200363	-0,010608077	-0,015189365	-0,012282617	-0,0053669028	-0,0031874722	-0,0061483975	-0,0010728836	-0,00061047822	-9,6485019e-07	-0,045684364
14,401367	14,400391	7398604	2	-8,4436522	-8,3299532	-0,023312867	-0,010795176	-0,015466169	-0,01253017	-0,0052936962	-0,0031735476	-0,0061305403	-0,0010687709	-0,00060966611	9,75281e-06	-0,046471894
14,426758	14,425781	7398630	2	-8,542676	-8,4325352	-0,02373457	-0,011049449	-0,015800461	-0,012850404	-0,005527603	-0,0031703196	-0,0063446676	-0,0011275709	-0,00063544512	3,1311065e-05	-0,044572558
14,452148	14,451172	7398656	2	-8,6416998	-8,5911865	-0,02482757	-0,011340499	-0,016236559	-0,013232067	-0,0058772843	-0,0031733792	-0,0063328794	-0,0011292398	-0,00075475872	4,6700239e-05	-0,042755809
14,477539	14,476563	7398682	2	-8,7407227	-8,6759214	-0,024746358	-0,011571705	-0,01662524	-0,013476618	-0,0060074916	-0,0035200079	-0,0065205581	-0,001164794	-0,00076145679	9,6715987e-05	-0,04173097
14,50293	14,501953	7398708	2	-8,8397465	-8,759634	-0,025205314	-0,011746496	-0,016936883	-0,013737679	-0,0058776666	-0,0034979912	-0,0065298094	-0,0011890233	-0,0007943213	1,5042722e-05	-0,043495096
14,52832	14,527344	7398734	2	-8,9387693	-8,8860207	-0,026159734	-0,012044281	-0,017315403	-0,014135532	-0,0061616348	-0,0035417825	-0,0067970273	-0,0012859106	-0,00080354139	1,1466444e-05	-0,040402915
14,553711	14,552734	7398760	2	-9,0377932	-8,9795027	-0,02655834	-0,012269169	-0,017653599	-0,014410689	-0,0062821293	-0,0034435911	-0,0068116486	-0,0012738705	-0,00093734264	9,8761171e-05	-0,044177368
14,579102	14,578125	7398786	2	-9,136817	-8,9757805	-0,026503205	-0,012384027	-0,017968014	-0,014629312	-0,006297607	-0,0037941833	-0,0071552303	-0,0012300014	-0,00085270405	1,2185425e-05	-0,048982095
14,604492	14,603516	7398812	2	-9,2358398	-9,1313381	-0,02733767	-0,012626201	-0,018275395	-0,014956675	-0,0061597726	-0,0038186614	-0,0071012243	-0,0012415946	-0,00093647093	1,7203391e-05	-0,045837972
14,629883	14,628906	7398838	2	-9,3348637	-9,2812576	-0,028248131	-0,012938827	-0,018682286	-0,01529792	-0,0065099997	-0,0038296022	-0,0071540684	-0,0013305545	-0,0010314137	1,4044344e-06	-0,0415232
14,655273	14,654297	7398864	2	-9,4338865	-9,3469229	-0,028081238	-0,013072848	-0,019039199	-0,015498407	-0,0066399924	-0,0038297239	-0,0074431109	-0,0014182925	-0,0010028891	9,7863376e-06	-0,044858351
14,680664	14,679688	7398890	2	-9,5329103	-9,4020042	-0,028821081	-0,013301313	-0,019335583	-0,015786305	-0,0066457558	-0,0041170525	-0,0074356045	-0,0013712049	-0,0010688938	-3,4544617e-05	-0,045156922
14,706055	14,705078	7398916	2	-9,6319342	-9,5614443	-0,02925396	-0,013638705	-0,019774064	-0,016187169	-0,0067979405	-0,0041433163	-0,0078371614	-0,001431495	-0,0011026561	8,571893e-06	-0,04466258
14,731445	14,730469	7398942	2	-9,730957	-9,6546583	-0,02971068	-0,013828963	-0,020148471	-0,016489193	-0,0068322592	-0,0041467473	-0,0080742808	-0,001444608	-0,0011605248	4,4360757e-05	-0,042023603
