MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	27,875	s	29.10.2014 13:01:49
Datum : 	29.10.2014
Prüfer : 	Pi, Un
Probenbezeichnung :  	TH-M5-Z36
Bemerkungen	Kraftgeregelt
Höhe:	300
Durchm.:	100,0
Masse:	5400
Bediener Information Ende

Datenerfassung						Zeit:	54,94043	s	29.10.2014 13:02:16
Zeit	Laufzeit	Systemtaktzähler	Ch 1 Segment Ganzzahl-Zähler	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	W2TK 7731	W2TK 7733	W2TK 7734	DMS 1	DMS 2	DMS 3	MTS 1944 B	MTS 2157	MTS 1281068	Ch 1 Ausgang
s	s	unitless	segments	kN	kN	mm	mm	mm	mm	V	V	V	mm	mm	mm	V
28,955078	28,955078	7270682	2	-3,9000001	-3,9140749	0,0005222857	1,5586615e-05	4,8428774e-06	3,3900142e-06	2,6564157e-05	4,9742819e-05	-1,6313788e-05	-7,635355e-05	2,0712614e-06	8,1397593e-06	-0,037424576
28,980469	28,980469	7270708	2	-3,9000001	-3,9027743	0,00029504299	2,2560358e-05	-1,2099743e-05	5,0738454e-06	-0,00010848322	-1,5226578e-06	5,9195008e-06	-4,7415495e-05	-3,958866e-05	-3,7878752e-05	-0,035944484
29,005859	29,005859	7270734	2	-3,9000001	-3,9161072	0,00031739473	-3,0100346e-06	-2,117455e-05	4,2542815e-06	-5,1498719e-05	3,2871139e-05	-0,00024762892	1,0699034e-05	-3,75323e-05	5,0421804e-05	-0,037683677
29,03125	29,03125	7270760	2	-3,9000001	-3,8830116	0,00040531158	1,8686056e-05	6,750226e-06	-1,270324e-05	4,2459287e-05	-6,5539098e-06	-0,00021517248	-6,5535307e-05	-4,0538609e-05	-3,2506883e-05	-0,038569663
29,056641	29,056641	7270786	2	-3,9000001	-3,906086	-5,4389238e-05	-4,3809414e-06	-7,5697899e-06	1,5608966e-05	-8,336443e-05	4,8892543e-05	2,0294829e-05	8,1062317e-06	-1,3571233e-05	1,1958182e-05	-0,038222879
29,082031	29,082031	7270812	2	-3,9000001	-3,8691349	0,00073388219	-1,7881393e-06	8,4489584e-06	1,9669533e-05	-8,8693705e-05	3,5507401e-06	1,4377583e-05	-3,9607286e-05	-4,029274e-05	-4,4815242e-06	-0,038426246
29,107422	29,107422	7270838	2	-3,9000001	-3,8921404	4,8428774e-05	-6,7949295e-06	-4,4107437e-06	2,3595989e-05	2,5153568e-05	2,4546207e-05	6,2230392e-05	-7,8648329e-05	-5,9209764e-05	-5,0667673e-05	-0,038874123
29,132813	29,132813	7270864	2	-3,9000001	-3,9201193	0,00018998981	-1,3768673e-05	2,7254224e-05	-8,0987811e-06	-6,4872438e-06	4,02759e-05	7,4046839e-05	-0,00011146069	-1,3709068e-06	4,7091395e-05	-0,035160486
29,158203	29,158203	7270890	2	-3,9000001	-3,9126649	0,00032708049	1,5348196e-05	-9,5665455e-06	-1,9595027e-05	-0,00011026583	-9,1885158e-06	7,9373422e-07	-0,00011524558	3,868714e-05	4,1030347e-05	-0,038157485
