(10/29/2014 11:00:29) Information [Stmgr] "HPU -- Hochdruck."
(10/29/2014 11:00:29) Information [Stmgr] "HSM 4 -- Niederdruck."
(10/29/2014 11:00:31) Information [Stmgr] "HSM 4 -- Hochdruck."
(10/29/2014 11:01:11) Warning [Stmgr] "HSM Einschub 5 Kanal 2 entdeckt Querhaupt-Ereignis aktiv."
(10/29/2014 11:01:11) Warning [Stmgr] "Programm Stopp Interlock 4 -- Externe Hardwareverriegelung."
(10/29/2014 11:05:39) Information [Stmgr] "Manueller Sollwert aktiviert: Ch 1 Weg"
(10/29/2014 11:06:35) Information [Stmgr] "Regelart umgestellt auf: Ch 1 Kraft"
(10/29/2014 12:23:03) Information [Stmgr] "Regelart umgestellt auf: Ch 1 Weg"
(10/29/2014 12:25:02) Information [Stmgr] "Regelart umgestellt auf: Ch 1 Kraft"
(10/29/2014 12:56:50) Information [Stmgr] "Manueller Sollwert deaktiviert: Ch 1 Kraft"
(10/29/2014 12:56:52) Information [MPT Runtime] "Prozedur beginnt: E-Modul dynamisch mit US-01.000"
(10/29/2014 12:56:52) Information [MPT Runtime] "Läuft"
(10/29/2014 12:57:53) Information [MPT Runtime] "Übergang nach Stopp"
(10/29/2014 12:57:54) Information [MPT Runtime] "Angehalten
 Laufzeit:  00:01:01 
 Kanalzähler:
    Ch 1 -          1  Zyklen"
(10/29/2014 12:58:43) Information [MPT Runtime] "Stopp wird verlassen"
(10/29/2014 12:58:43) Information [MPT Runtime] "Läuft"
(10/29/2014 12:58:46) Information [MPT Runtime] "Übergang nach Stopp"
(10/29/2014 12:58:46) Information [MPT Runtime] "Angehalten
 Laufzeit:  00:01:05 
 Kanalzähler:
    Ch 1 -          1  Zyklen"
(10/29/2014 12:58:48) Information [MPT Runtime] "Prozedur zurücksetzen"
(10/29/2014 12:58:53) Information [MPT Runtime] "Prozedur beginnt: E-Modul dynamisch mit US-01.000"
(10/29/2014 12:58:53) Information [MPT Runtime] "Läuft"
(10/29/2014 12:59:02) Information [MPT Runtime] "Übergang nach Stopp"
(10/29/2014 12:59:03) Information [MPT Runtime] "Angehalten
 Laufzeit:  00:00:09 
 Kanalzähler:
    Ch 1 -          0  Zyklen"
