MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	72,845703	s	29.10.2014 14:09:59
Datum : 	29.10.2014
Prüfer : 	Pi, Un
Probenbezeichnung :  	TH-M5-Z41Bruch
Bemerkungen	Kraftgeregelt
Höhe:	300
Durchm.:	100
Masse:	5400
Bediener Information Ende

Datenerfassung						Zeit:	99,898438	s	29.10.2014 14:10:26
Zeit	Laufzeit	Systemtaktzähler	Ch 1 Segment Ganzzahl-Zähler	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	W2TK 7731	W2TK 7733	W2TK 7734	DMS 1	DMS 2	DMS 3	MTS 1944 B	MTS 2157	MTS 1281068	Ch 1 Ausgang
s	s	unitless	segments	kN	kN	mm	mm	mm	mm	V	V	V	mm	mm	mm	V
73,915039	73,914063	11458296	2	-3,9914064	-3,9408784	9,611249e-05	-1,5646219e-05	-1,79708e-05	-2,6293099e-05	7,4543059e-05	8,4005296e-06	0,00035003759	-5,7145953e-05	-8,50223e-05	-9,6138567e-05	-0,022900557
73,94043	73,939453	11458322	2	-4,0904298	-4,0226393	-0,00056326389	-7,9035759e-05	-2,0682812e-05	-3,708154e-05	7,8640878e-05	2,4400651e-05	2,2724271e-05	-0,00013904274	1,7508864e-06	-0,00012028776	-0,021602876
73,96582	73,964844	11458348	2	-4,1894531	-4,0945654	-0,00049099326	-0,00029745698	-3,3944845e-05	-9,0256333e-05	-0,00041691586	4,3697655e-05	-1,0058284e-05	-3,5151839e-05	-6,3605607e-05	-6,8005174e-05	-0,026857479
73,991211	73,990234	11458374	2	-4,2884765	-4,2050462	-0,00073239207	-0,00056362152	-0,00010299683	-0,00020444393	-0,0003651157	-4,2766333e-05	-6,0349703e-06	-0,0001309365	-0,00011331961	-0,00017244369	-0,022155691
74,016602	74,015625	11458400	2	-4,3875003	-4,2472816	-0,0012084842	-0,00076007843	-0,00023010373	-0,00031290948	-0,00017574057	1,1501834e-05	-0,00022556633	-0,00019232929	-9,9591911e-05	-0,00017616712	-0,02756886
74,041992	74,041016	11458426	2	-4,4865236	-4,3406711	-0,0018529594	-0,00094741583	-0,00041356683	-0,00052425265	-0,00062033534	-0,00023917295	-0,00026834197	-0,00021119416	-0,00023341924	-0,00018212013	-0,025706714
74,067383	74,066406	11458452	2	-4,585547	-4,3653975	-0,0021003187	-0,001142025	-0,00075551867	-0,00075151026	-0,0007349439	-0,00031337142	-0,00027912669	-0,00024646521	-0,00011249632	-0,00025538728	-0,031399649
74,092773	74,091797	11458478	2	-4,6845703	-4,5229812	-0,0028982759	-0,0014655292	-0,0010875463	-0,0010432452	-0,00066105276	-0,00031794421	-0,00031325966	-0,00033003092	-0,00028322637	-0,00041281059	-0,028480763
74,118164	74,117188	11458504	2	-4,7835937	-4,6478977	-0,0034280121	-0,0018646419	-0,0017000735	-0,0014959574	-0,00095255673	-0,00030761585	-0,00064017251	-0,00027275085	-0,00029840693	-0,00040301122	-0,02579765
