MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			xyz			Zeit:	65,548828	Sec	20.03.2012 11:53:44
Datum	20.03.12
Benutzer	Be
Probebezeichnung	TH-M9-Z44 29032010
Protokoll Seite	-
Masse	5392,3
Länge	298,8
Durchmesser	98,6
Bediener Information Ende

Datenerfassung						Zeit:	193,85352	Sec	20.03.2012 11:55:52
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
Days	Days	Sec	kN	kN	mm
40983	0,48908484	65,892578	-0,30485162	-0,16049741	0,99726433
40983	0,48908871	66,225586	-0,46655706	-0,14875902	0,97846675
40983	0,48909256	66,558594	-0,62826252	-0,18127894	0,94292051
40983	0,4890964	66,891602	-0,78996795	-0,14349705	0,89434928
40983	0,48910028	67,224609	-0,95167339	-0,14238691	0,82866573
40983	0,48910412	67,557617	-1,1133789	-0,15037952	0,74930233
40983	0,48910797	67,890625	-1,2750843	-0,14158225	0,64725757
40983	0,48911181	68,223633	-1,4367898	-0,12352391	0,52358562
40983	0,48911569	68,556641	-1,5984951	-0,13130231	0,38113415
40983	0,48911953	68,889648	-1,7602006	-0,12874304	0,21525146
40983	0,48912337	69,222656	-1,921906	-1,5510198	0,032712333
40983	0,48912725	69,555664	-2,0836115	-3,0286877	0,018587708
40983	0,48913109	69,888672	-2,245317	-3,1506221	0,017226534
40983	0,48913494	70,22168	-2,4070225	-3,2908235	0,01675752
40983	0,48913881	70,554688	-2,5687277	-3,3868186	0,015632063
40983	0,48914266	70,887695	-2,7304332	-3,3883851	0,015236065
40983	0,4891465	71,220703	-2,8921387	-3,5024145	0,015431968
40983	0,48915038	71,553711	-3,0538442	-3,5537992	0,014935154
40983	0,48915422	71,886719	-3,2155497	-3,6329169	0,014818739
40983	0,48915806	72,219727	-3,377255	-3,864805	0,0140619
40983	0,48916194	72,552734	-3,5389605	-3,9263971	0,012809224
40983	0,48916578	72,885742	-3,700666	-4,0467834	0,01214412
40983	0,48916963	73,21875	-3,8623714	-4,2168431	0,011204742
40983	0,4891735	73,551758	-4,0240769	-4,2165022	0,011071097
40983	0,48917735	73,884766	-4,1857824	-4,4059315	0,01070369
40983	0,48918119	74,217773	-4,3474879	-4,600915	0,0094768126
40983	0,48918507	74,550781	-4,5091929	-4,7091961	0,0084193423
40983	0,48918891	74,883789	-4,6708984	-4,8757463	0,0082161743
40983	0,48919275	75,216797	-4,8326039	-4,9743624	0,007600151
40983	0,48919663	75,549805	-4,9943094	-5,0906954	0,0066184904
40983	0,48920047	75,882813	-5	-5,1058445	0,006531179
40983	0,48920432	76,21582	-5	-5,0771708	0,0064630061
40983	0,48920819	76,548828	-5	-5,0753756	0,0072238036
40983	0,48921204	76,881836	-5	-5,0709367	0,0068892259
40983	0,48921588	77,214844	-5	-5,0606809	0,0066217966
40983	0,48921975	77,547852	-5	-5,0217347	0,0064528547
40983	0,4892236	77,880859	-5	-5,0179014	0,0070891343
40983	0,48922744	78,213867	-5	-5,034956	0,0066184904
40983	0,48923132	78,546875	-5	-5,04637	0,0069565605
40983	0,48923516	78,879883	-5	-5,0285635	0,0065169297
40983	0,48923901	79,212891	-5	-5,0206618	0,0064245891
40983	0,48924288	79,545898	-5	-5,0082345	0,0067798421
40983	0,48924673	79,878906	-5	-5,0171862	0,0071436632
40983	0,48925057	80,211914	-5	-5,0290422	0,0062310603
40983	0,48925444	80,544922	-5	-5,0222397	0,0065355096
40983	0,48925829	80,87793	-5	-5,0458117	0,0066925772
40983	0,48926213	81,210938	-5	-5,0265088	0,0066534616
40983	0,48926601	81,543945	-5	-4,9800639	0,0062891282
40983	0,48926985	81,876953	-5	-5,0311394	0,0066530425
40983	0,4892737	82,209961	-5	-5,0078526	0,0069434755
40983	0,48927757	82,542969	-5	-5,0044513	0,0063437503
40983	0,48928142	82,875977	-5	-5,0463386	0,0069500413
