MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	15,206055	Sec	22.10.2012 09:50:46
Datum	22.10.2012
Prüfer:	Mac
Probebezeichnung	221012_7.2-Thiele_28d vom 24.9.12_Pk2
Protokoll Seite	-
Breite [mm]:	150
Höhe [mm]:	150
Länge Einfüllseite [mm]:	150
Masse [g]:	7786,8
Bediener Information Ende

Datenerfassung						Zeit:	182,79492	Sec	22.10.2012 09:53:34
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,8958531	35,424229
-0,97315043	-1379,0161

Datenerfassung						Zeit:	182,80664	Sec	22.10.2012 09:53:34
Datum	Tageszeit	Laufzeit	Ch 1 Weg	Ch 1 Kraft
Days	Days	Sec	mm	kN
41205	0,42810854	58,936523	-0,0017638151	-16,993488
41205	0,42811087	59,136719	-0,0027177909	-19,305191
41205	0,42811319	59,336914	-0,0055262242	-21,344187
41205	0,42811552	59,537109	-0,0077269068	-23,622221
41205	0,42811781	59,737305	-0,0091177505	-25,617069
41205	0,42812014	59,9375	-0,012262007	-27,876064
41205	0,42812246	60,137695	-0,014643975	-29,930351
41205	0,42812479	60,337891	-0,015085299	-31,914097
41205	0,42812708	60,538086	-0,018288994	-34,43058
41205	0,4281294	60,738281	-0,019584738	-36,270401
41205	0,42813173	60,938477	-0,020651644	-38,785679
41205	0,42813405	61,138672	-0,024143612	-41,635807
41205	0,42813635	61,338867	-0,025305619	-43,581734
41205	0,42813867	61,539063	-0,027281925	-46,042816
41205	0,428141	61,739258	-0,028571725	-48,268333
41205	0,42814332	61,939453	-0,03005321	-50,617096
41205	0,42814562	62,139648	-0,031727869	-52,951534
41205	0,42814794	62,339844	-0,03302807	-55,519745
41205	0,42815027	62,540039	-0,035011806	-57,577938
41205	0,42815259	62,740234	-0,036060881	-60,460361
41205	0,42815489	62,94043	-0,037919797	-63,22084
41205	0,42815721	63,140625	-0,040028349	-65,190536
41205	0,42815953	63,34082	-0,040911	-67,590103
41205	0,42816186	63,541016	-0,042884335	-69,438599
41205	0,42816415	63,741211	-0,044460919	-71,642807
41205	0,42816648	63,941406	-0,046244051	-74,144951
41205	0,4281688	64,141602	-0,047700278	-76,108551
41205	0,42817113	64,341797	-0,050419554	-78,452026
