MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	13,959961	Sec	13.12.2012 09:34:55
Datum	13.12.2012
Prüfer:	kh/be
Probebezeichnung	1-Thiele 7.2 7d 04.12.12
Protokoll Seite	-
Breite [mm]:	150
Höhe [mm]:	150
Länge Einfüllseite [mm]:	150
Masse [g]:	8001
Bediener Information Ende

Datenerfassung						Zeit:	144,45703	Sec	13.12.2012 09:37:05
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,86052781	-0,34265381
-1,3070064	-1255,5546

Datenerfassung						Zeit:	144,4668	Sec	13.12.2012 09:37:05
Datum	Tageszeit	Laufzeit	Ch 1 Weg	Ch 1 Kraft
Days	Days	Sec	mm	kN
41262	0,088281952	31,491211	-0,0021040961	-15,97272
41262	0,088284269	31,691406	-0,0053999191	-18,010168
41262	0,088286586	31,891602	-0,012452208	-19,959562
41262	0,088288903	32,091797	-0,022948913	-21,5469
41262	0,08829122	32,291992	-0,03270562	-24,211361
41262	0,088293537	32,492188	-0,044090919	-26,16691
41262	0,088295855	32,692383	-0,055565376	-29,00296
41262	0,088298172	32,892578	-0,067874931	-31,884371
41262	0,088300489	33,092773	-0,077575177	-34,300827
41262	0,088302806	33,292969	-0,08628875	-37,071293
41262	0,088305123	33,493164	-0,093076535	-39,357292
41262	0,08830744	33,693359	-0,09974248	-41,468864
41262	0,088309757	33,893555	-0,10675614	-44,015606
41262	0,088312075	34,09375	-0,11237597	-46,316914
41262	0,088314392	34,293945	-0,11884874	-48,914989
41262	0,088316709	34,494141	-0,12363348	-50,892643
41262	0,088319026	34,694336	-0,12773766	-52,982475
41262	0,088321343	34,894531	-0,13395485	-55,395081
41262	0,08832366	35,094727	-0,13830866	-57,5224
41262	0,088325977	35,294922	-0,14254954	-59,927219
41262	0,088328294	35,495117	-0,14738481	-61,811554
41262	0,088330612	35,695313	-0,15110263	-64,53904
41262	0,088332929	35,895508	-0,15594979	-66,641075
41262	0,088335246	36,095703	-0,16101091	-68,889771
41262	0,088337563	36,295898	-0,16452666	-71,2938
41262	0,08833988	36,496094	-0,16799782	-73,012062
41262	0,088342197	36,696289	-0,17255668	-75,294647
41262	0,088344514	36,896484	-0,17570391	-77,918991
41262	0,088346832	37,09668	-0,17861637	-79,41124
41262	0,088349149	37,296875	-0,18447396	-82,326996
41262	0,088351466	37,49707	-0,18653943	-84,465424
41262	0,088353783	37,697266	-0,18931517	-86,537033
41262	0,0883561	37,897461	-0,19294086	-89,094162
41262	0,088358417	38,097656	-0,19629613	-90,82357
41262	0,088360734	38,297852	-0,19884007	-92,99955
41262	0,088363051	38,498047	-0,20352079	-95,322075
41262	0,088365369	38,698242	-0,20564866	-97,273514
41262	0,088367686	38,898438	-0,20928624	-99,275696
41262	0,088370003	39,098633	-0,21358359	-101,49467
41262	0,08837232	39,298828	-0,21543507	-104,04516
41262	0,088374637	39,499023	-0,21817516	-105,41856
41262	0,088376954	39,699219	-0,22134617	-108,03795
41262	0,088379271	39,899414	-0,22325709	-109,89352
41262	0,088381588	40,099609	-0,22692737	-111,7468
41262	0,088383906	40,299805	-0,23090969	-114,27327
41262	0,088386223	40,5	-0,2310048	-115,86385
41262	0,08838854	40,700195	-0,2352754	-117,90171
41262	0,088390857	40,900391	-0,23942712	-120,3164
41262	0,088393167	41,100586	-0,2411211	-122,21308
41262	0,088395484	41,300781	-0,24344215	-124,49265
41262	0,088397801	41,500977	-0,24650913	-126,61438
41262	0,088400118	41,701172	-0,24725211	-128,57536
41262	0,088402435	41,901367	-0,25179911	-131,01028
41262	0,088404752	42,101563	-0,25348711	-133,11821
41262	0,088407069	42,301758	-0,25710094	-135,34317
41262	0,088409387	42,501953	-0,25941604	-137,80835
41262	0,088411704	42,702148	-0,26272076	-140,33096
41262	0,088414021	42,902344	-0,26415324	-142,34302
41262	0,088416338	43,102539	-0,26784134	-144,55421
41262	0,088418655	43,302734	-0,2705844	-147,01488
41262	0,088420972	43,50293	-0,27295595	-148,80075
41262	0,088423289	43,703125	-0,27559796	-151,48436
41262	0,088425606	43,90332	-0,27848962	-153,60672
41262	0,088427924	44,103516	-0,28095034	-155,52072
41262	0,088430241	44,303711	-0,28303364	-158,54214
41262	0,088432558	44,503906	-0,28555378	-160,64709
41262	0,088434875	44,704102	-0,28767571	-162,82338
41262	0,088437192	44,904297	-0,29111123	-165,41325
41262	0,088439509	45,104492	-0,29187796	-166,95767
41262	0,088441826	45,304688	-0,29536399	-169,73576
41262	0,088444144	45,504883	-0,29838341	-172,19461
41262	0,088446461	45,705078	-0,29981586	-174,14665
41262	0,088448778	45,905273	-0,30149201	-176,65602
41262	0,088451095	46,105469	-0,30541492	-178,84111
41262	0,088453412	46,305664	-0,30742687	-180,71358
41262	0,088455729	46,505859	-0,30949235	-183,45708
41262	0,088458046	46,706055	-0,31173611	-185,96593
41262	0,088460363	46,90625	-0,31354895	-188,24413
41262	0,088462681	47,106445	-0,31619692	-190,2713
41262	0,088464998	47,306641	-0,31918663	-192,89932
41262	0,088467315	47,506836	-0,32030407	-194,72267
41262	0,088469632	47,707031	-0,32276776	-197,23108
41262	0,088471949	47,907227	-0,32572478	-199,7955
41262	0,088474266	48,107422	-0,32674414	-201,56381
