MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	10,112305	Sec	06.02.2013 13:14:53
Datum	06.02.2013
Prüfer:	Kh
Probebezeichnung	7.2 Thiele 28d v. 09.01.13 Probe 6
Protokoll Seite	-
Breite [mm]:	150
Höhe [mm]:	150
Länge Einfüllseite [mm]:	149
Masse [g]:	7974
Bediener Information Ende

Datenerfassung						Zeit:	156,51758	Sec	06.02.2013 13:17:20
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,86012661	2,2321279
-1,3889843	-1392,5558

Datenerfassung						Zeit:	156,52734	Sec	06.02.2013 13:17:20
Datum	Tageszeit	Laufzeit	Ch 1 Weg	Ch 1 Kraft
Days	Days	Sec	mm	kN
41317	0,24057089	31,363281	-0,003319598	-15,202875
41317	0,24057321	31,563477	-0,0072068265	-18,197645
41317	0,24057552	31,763672	-0,013667709	-20,066645
41317	0,24057785	31,963867	-0,020015661	-22,050056
41317	0,24058016	32,164063	-0,030319193	-24,767363
41317	0,24058248	32,364258	-0,039481521	-27,197386
41317	0,24058479	32,564453	-0,048676543	-29,921505
41317	0,24058712	32,764648	-0,055488106	-32,588768
41317	0,24058942	32,964844	-0,061934132	-34,742062
41317	0,24059175	33,165039	-0,068424731	-37,535564
41317	0,24059406	33,365234	-0,074849956	-39,671703
41317	0,24059638	33,56543	-0,079664409	-41,847717
41317	0,24059869	33,765625	-0,086039111	-44,366158
41317	0,24060102	33,96582	-0,091837257	-46,375923
41317	0,24060333	34,166016	-0,096699268	-48,792881
41317	0,24060565	34,366211	-0,1010085	-51,24403
41317	0,24060796	34,566406	-0,10585268	-52,770145
41317	0,24061029	34,766602	-0,11173107	-55,442158
41317	0,2406126	34,966797	-0,11664657	-57,555969
41317	0,24061492	35,166992	-0,11996914	-59,333523
41317	0,24061723	35,367188	-0,12665589	-61,645409
41317	0,24061956	35,567383	-0,13084328	-64,078331
41317	0,24062186	35,767578	-0,13639179	-66,237129
41317	0,24062419	35,967773	-0,14069806	-68,40049
41317	0,2406265	36,167969	-0,14777115	-70,690002
41317	0,24062882	36,368164	-0,15268666	-72,679337
41317	0,24063113	36,568359	-0,15808657	-75,255646
41317	0,24063346	36,768555	-0,16394415	-77,772186
41317	0,24063577	36,96875	-0,16832769	-80,078468
41317	0,24063809	37,168945	-0,17202769	-82,54187
41317	0,2406404	37,369141	-0,1768273	-84,815239
41317	0,24064273	37,569336	-0,18080962	-87,077774
41317	0,24064504	37,769531	-0,18480384	-89,453056
41317	0,24064736	37,969727	-0,18749042	-91,839157
41317	0,24064967	38,169922	-0,19096158	-94,262566
41317	0,24065199	38,370117	-0,1942485	-96,520828
41317	0,2406543	38,570313	-0,19745219	-98,939957
41317	0,24065663	38,770508	-0,20108978	-101,15511
41317	0,24065894	38,970703	-0,20323548	-103,67285
41317	0,24066126	39,170898	-0,20574673	-105,68853
41317	0,24066357	39,371094	-0,20886424	-107,94286
41317	0,2406659	39,571289	-0,21095051	-110,35231
41317	0,24066821	39,771484	-0,21631178	-112,10965
41317	0,24067053	39,97168	-0,21823756	-114,56831
41317	0,24067284	40,171875	-0,22105491	-116,82048
41317	0,24067517	40,37207	-0,22337596	-118,96529
41317	0,24067748	40,572266	-0,22684713	-121,26143
41317	0,2406798	40,772461	-0,22929893	-123,21197
41317	0,24068211	40,972656	-0,23211926	-125,48987
41317	0,24068443	41,172852	-0,23500793	-127,72616
41317	0,24068674	41,373047	-0,23738247	-129,43536
41317	0,24068907	41,573242	-0,23978969	-131,72545
41317	0,24069138	41,773438	-0,24334407	-133,88329
41317	0,2406937	41,973633	-0,24471709	-135,28697
41317	0,24069601	42,173828	-0,24777813	-137,82889
41317	0,24069834	42,374023	-0,24970093	-140,03352
41317	0,24070065	42,574219	-0,25272334	-142,00586
41317	0,24070297	42,774414	-0,25506818	-144,26036
41317	0,24070528	42,974609	-0,25818866	-146,02811
41317	0,24070761	43,174805	-0,26038489	-148,29538
41317	0,24070992	43,375	-0,26235822	-150,9147
41317	0,24071224	43,575195	-0,26579964	-152,74388
41317	0,24071455	43,775391	-0,26791266	-155,38329
41317	0,24071687	43,975586	-0,27046254	-157,20361
41317	0,24071918	44,175781	-0,27185637	-159,68837
41317	0,24072151	44,375977	-0,27496198	-162,33864
41317	0,24072382	44,576172	-0,27810028	-164,11966
41317	0,24072614	44,776367	-0,2794525	-166,83749
41317	0,24072845	44,976563	-0,28201723	-169,24068
41317	0,24073078	45,176758	-0,28468302	-171,21788
41317	0,24073309	45,376953	-0,28692681	-173,76134
41317	0,24073541	45,577148	-0,28894767	-175,93021
41317	0,24073772	45,777344	-0,29205924	-177,98895
41317	0,24074005	45,977539	-0,29363436	-180,35939
41317	0,24074236	46,177734	-0,29621691	-182,38577
41317	0,24074468	46,37793	-0,29792872	-184,73099
41317	0,24074699	46,578125	-0,30030325	-186,74423
41317	0,24074931	46,77832	-0,30263025	-188,81206
41317	0,24075162	46,978516	-0,30472544	-190,86308
41317	0,24075395	47,178711	-0,30680874	-193,43036
41317	0,24075626	47,378906	-0,30995893	-195,43312
41317	0,24075858	47,579102	-0,3115162	-197,94601
41317	0,24076089	47,779297	-0,31384614	-199,71698
41317	0,24076322	47,979492	-0,31595024	-202,20036
41317	0,24076553	48,179688	-0,31819996	-204,03191
41317	0,24076785	48,379883	-0,32082117	-205,69676
41317	0,24077016	48,580078	-0,32160279	-208,12386
41317	0,24077249	48,780273	-0,32490751	-210,42197
41317	0,2407748	48,980469	-0,32786751	-212,48618
41317	0,24077712	49,180664	-0,32846487	-214,70677
41317	0,24077943	49,380859	-0,33105338	-216,93842
41317	0,24078175	49,581055	-0,33253634	-219,39128
41317	0,24078406	49,78125	-0,33481282	-221,72899
41317	0,24078639	49,981445	-0,33614424	-223,9175
41317	0,2407887	50,181641	-0,33742213	-226,00447
41317	0,24079102	50,381836	-0,34174028	-228,53683
41317	0,24079333	50,582031	-0,34270319	-230,65596
41317	0,24079566	50,782227	-0,34446847	-233,41548
41317	0,24079797	50,982422	-0,34664389	-235,39175
41317	0,24080029	51,182617	-0,34891441	-238,00948
41317	0,2408026	51,382813	-0,35010913	-240,36493
41317	0,24080491	51,583008	-0,35183579	-242,75632
41317	0,24080724	51,783203	-0,35456991	-245,12088
41317	0,24080954	51,983398	-0,35557145	-247,56142
41317	0,24081187	52,183594	-0,35739619	-250,00949
41317	0,24081418	52,383789	-0,36035025	-252,18646
41317	0,2408165	52,583984	-0,36108431	-254,38914
41317	0,24081881	52,78418	-0,3623206	-257,33057
41317	0,24082114	52,984375	-0,36468327	-259,84708
41317	0,24082345	53,18457	-0,36712319	-261,55649
41317	0,24082577	53,384766	-0,36827627	-264,08139
41317	0,24082808	53,584961	-0,37002969	-266,5629
41317	0,24083041	53,785156	-0,37063	-268,73007
41317	0,24083272	53,985352	-0,37320367	-271,00342
41317	0,24083504	54,185547	-0,37529883	-272,82254
41317	0,24083735	54,385742	-0,3769958	-275,23126
41317	0,24083968	54,585938	-0,37844011	-277,73877
41317	0,24084198	54,786133	-0,38062149	-279,53833
41317	0,24084431	54,986328	-0,38182214	-281,66986
41317	0,24084662	55,186523	-0,38303468	-283,8508
41317	0,24084894	55,386719	-0,38594118	-286,02628
41317	0,24085125	55,586914	-0,38673764	-288,26147
41317	0,24085358	55,787109	-0,38902006	-290,62421
41317	0,24085589	55,987305	-0,38937369	-292,4299
41317	0,24085821	56,1875	-0,3917096	-294,78729
41317	0,24086052	56,387695	-0,39275572	-297,27597
41317	0,24086285	56,587891	-0,39499354	-299,45193
41317	0,24086516	56,788086	-0,39604262	-301,80112
41317	0,24086748	56,988281	-0,39801297	-303,90994
41317	0,24086979	57,188477	-0,39949891	-306,4516
41317	0,24087211	57,388672	-0,40100271	-308,60663
41317	0,24087442	57,588867	-0,40141281	-310,91901
41317	0,24087675	57,789063	-0,40321973	-313,23636
41317	0,24087906	57,989258	-0,40578446	-315,41418
41317	0,24088138	58,189453	-0,40656903	-317,68329
41317	0,24088369	58,389648	-0,40837893	-319,90399
41317	0,24088602	58,589844	-0,40901193	-322,54871
41317	0,24088833	58,790039	-0,41103283	-324,5495
41317	0,24089065	58,990234	-0,41237909	-327,02206
41317	0,24089296	59,19043	-0,41353217	-329,67432
41317	0,24089529	59,390625	-0,41483384	-331,63705
41317	0,2408976	59,59082	-0,41689634	-334,34015
41317	0,24089992	59,791016	-0,41797218	-336,47559
41317	0,24090223	59,991211	-0,41991875	-338,66928
41317	0,24090455	60,191406	-0,42197233	-340,93497
41317	0,24090686	60,391602	-0,42279258	-343,32977
41317	0,24090919	60,591797	-0,42404374	-345,35843
41317	0,2409115	60,791992	-0,42658767	-347,53525
41317	0,24091382	60,992188	-0,42649555	-349,58838
