MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	18,478516	Sec	20.02.2013 08:35:36
Datum	20.02.2013
Prüfer:	Kh
Probebezeichnung	7.2 Thiele Zyl. 1 28d 23.01.13 Probe 5
Protokoll Seite	-
Breite [mm]:	150
Höhe [mm]:	150
Länge Einfüllseite [mm]:	150
Masse [g]:	7864
Bediener Information Ende

Datenerfassung						Zeit:	171,55762	Sec	20.02.2013 08:38:09
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,88162822	8,356081
-1,0415856	-1414,2069

Datenerfassung						Zeit:	171,56934	Sec	20.02.2013 08:38:09
Datum	Tageszeit	Laufzeit	Ch 1 Weg	Ch 1 Kraft
Days	Days	Sec	mm	kN
41331	0,046546575	44,478516	-0,00098369468	-18,916407
41331	0,046548892	44,678711	-0,0045469874	-20,531694
41331	0,046551209	44,878906	-0,0082915658	-22,599485
41331	0,046553526	45,079102	-0,011527951	-24,536112
41331	0,046555843	45,279297	-0,014104577	-26,824093
41331	0,04655816	45,479492	-0,017070521	-29,007679
41331	0,046560477	45,679688	-0,020033492	-31,028625
41331	0,046562795	45,879883	-0,024048511	-33,191513
41331	0,046565112	46,080078	-0,026535982	-35,412312
41331	0,046567429	46,280273	-0,029421683	-37,466145
41331	0,046569746	46,480469	-0,031252366	-39,166069
41331	0,046572063	46,680664	-0,034473892	-41,006001
41331	0,04657438	46,880859	-0,037725136	-43,34325
41331	0,046576697	47,081055	-0,038637508	-45,317341
41331	0,046579015	47,28125	-0,039888673	-47,167324
41331	0,046581332	47,481445	-0,042590115	-48,939445
41331	0,046583649	47,681641	-0,045172688	-51,215294
41331	0,046585966	47,881836	-0,046646744	-53,731094
41331	0,046588283	48,082031	-0,049027223	-55,884682
41331	0,0465906	48,282227	-0,051642485	-58,078495
41331	0,046592917	48,482422	-0,053660396	-60,63813
41331	0,046595234	48,682617	-0,0546114	-62,927479
41331	0,046597552	48,882813	-0,05764867	-65,568596
41331	0,046599869	49,083008	-0,058935497	-67,782303
41331	0,046602186	49,283203	-0,061298147	-70,049896
41331	0,046604503	49,483398	-0,062412605	-72,706444
41331	0,04660682	49,683594	-0,064311638	-75,249817
41331	0,046609137	49,883789	-0,065336943	-77,047249
41331	0,046611451	50,083984	-0,068513893	-79,687614
41331	0,046613768	50,28418	-0,068989389	-82,021446
41331	0,046616085	50,484375	-0,070846818	-84,239586
41331	0,046618402	50,68457	-0,072897419	-86,313927
41331	0,046620719	50,884766	-0,074365534	-88,752266
41331	0,046623036	51,084961	-0,075771235	-91,000404
41331	0,046625353	51,285156	-0,076457746	-93,760773
41331	0,046627671	51,485352	-0,078633167	-96,131073
41331	0,046629988	51,685547	-0,080829389	-98,593086
41331	0,046632305	51,885742	-0,082948342	-100,81905
41331	0,046634622	52,085938	-0,084389709	-103,78783
41331	0,046636939	52,286133	-0,085444734	-106,52681
41331	0,046639256	52,486328	-0,086975254	-108,35453
41331	0,046641573	52,686523	-0,088342324	-110,51585
41331	0,04664389	52,886719	-0,089956053	-112,98487
41331	0,046646208	53,086914	-0,090669312	-115,19758
41331	0,046648525	53,287109	-0,092170112	-117,4766
41331	0,046650842	53,487305	-0,094262317	-119,32701
41331	0,046653159	53,6875	-0,095106333	-121,67794
41331	0,046655476	53,887695	-0,097112358	-124,17756
41331	0,046657793	54,087891	-0,098396219	-126,33988
41331	0,04666011	54,288086	-0,099466093	-128,53951
41331	0,046662427	54,488281	-0,10035766	-130,48737
41331	0,046664745	54,688477	-0,10226264	-132,62297
41331	0,046667062	54,888672	-0,10447967	-135,05327
41331	0,046669379	55,088867	-0,10541879	-137,10551
41331	0,046671696	55,289063	-0,10691364	-139,18144
41331	0,046674013	55,489258	-0,10720786	-140,91551
41331	0,04667633	55,689453	-0,10872649	-143,05167
41331	0,046678647	55,889648	-0,11018272	-145,29272
41331	0,046680965	56,089844	-0,11295549	-147,31744
41331	0,046683282	56,290039	-0,11295846	-149,23311
41331	0,046685599	56,490234	-0,11375493	-151,13928
41331	0,046687916	56,69043	-0,11580553	-153,37386
41331	0,046690233	56,890625	-0,11771645	-155,56842
41331	0,04669255	57,09082	-0,11807011	-157,55426
41331	0,046694867	57,291016	-0,11938369	-159,21024
41331	0,046697184	57,491211	-0,12141646	-161,2038
41331	0,046699502	57,691406	-0,12214754	-163,17734
41331	0,046701819	57,891602	-0,12413573	-165,52942
41331	0,046704136	58,091797	-0,12471822	-167,35091
41331	0,046706453	58,291992	-0,12494706	-169,55132
41331	0,04670877	58,492188	-0,12677477	-171,81729
41331	0,046711087	58,692383	-0,12825179	-173,99577
41331	0,046713404	58,892578	-0,12962481	-176,73798
