MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	19,741211	Sec	20.02.2013 08:57:05
Datum	20.02.2013
Prüfer:	Kh
Probebezeichnung	7.2 Thiele Zyl. 1 28d 23.01.13 Probe 7
Protokoll Seite	-
Breite [mm]:	150
Höhe [mm]:	150
Länge Einfüllseite [mm]:	148
Masse [g]:	7863
Bediener Information Ende

Datenerfassung						Zeit:	167,5127	Sec	20.02.2013 08:59:33
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,86745226	-0,8747946
-1,2541513	-1426,7589

Datenerfassung						Zeit:	167,52539	Sec	20.02.2013 08:59:33
Datum	Tageszeit	Laufzeit	Ch 1 Weg	Ch 1 Kraft
Days	Days	Sec	mm	kN
41331	0,061393704	39,327148	-0,0024488352	-17,919821
41331	0,061396021	39,527344	-0,0049422486	-20,012705
41331	0,061398339	39,727539	-0,0078071477	-22,226822
41331	0,061400656	39,927734	-0,0099379914	-24,224979
41331	0,061402973	40,12793	-0,012612689	-25,777037
41331	0,06140529	40,328125	-0,015248753	-27,94622
41331	0,061407607	40,52832	-0,017861042	-30,171667
41331	0,061409924	40,728516	-0,021647226	-32,506962
41331	0,061412241	40,928711	-0,025275901	-34,540115
41331	0,061414558	41,128906	-0,0287857	-36,797768
41331	0,061416876	41,329102	-0,030711483	-39,137558
41331	0,061419193	41,529297	-0,033561524	-40,43948
41331	0,06142151	41,729492	-0,037181281	-42,714298
41331	0,061423827	41,929688	-0,03968361	-45,0686
41331	0,061426144	42,129883	-0,042575259	-46,366875
41331	0,061428461	42,330078	-0,045324251	-48,827438
41331	0,061430778	42,530273	-0,047166824	-50,999111
41331	0,061433095	42,730469	-0,049645375	-52,947033
41331	0,061435413	42,930664	-0,052337907	-55,186329
41331	0,06143773	43,130859	-0,055244412	-57,535778
41331	0,061440047	43,331055	-0,057188027	-59,913074
41331	0,061442364	43,53125	-0,059797343	-62,008942
41331	0,061444681	43,731445	-0,061583448	-64,099556
41331	0,061446998	43,931641	-0,06517943	-66,822762
41331	0,061449315	44,131836	-0,067735255	-68,992569
41331	0,061451633	44,332031	-0,068751641	-71,691383
41331	0,06145395	44,532227	-0,071551159	-74,219299
41331	0,061456263	44,732422	-0,073670112	-76,885513
41331	0,06145858	44,932617	-0,074722163	-79,192398
41331	0,061460897	45,132813	-0,07748007	-81,697586
41331	0,061463214	45,333008	-0,080142885	-84,263046
41331	0,061465532	45,533203	-0,081816055	-86,694031
41331	0,061467849	45,733398	-0,084131159	-89,384483
41331	0,061470166	45,933594	-0,085209951	-92,547958
41331	0,061472483	46,133789	-0,086868264	-94,516541
41331	0,0614748	46,333984	-0,089973889	-97,318077
41331	0,061477117	46,53418	-0,090963528	-99,552605
41331	0,061479434	46,734375	-0,093647137	-101,21235
41331	0,061481752	46,93457	-0,094583288	-103,57853
41331	0,061484069	47,134766	-0,097635411	-105,34021
41331	0,061486386	47,334961	-0,099162966	-107,03997
41331	0,061488703	47,535156	-0,10211404	-109,2031
41331	0,06149102	47,735352	-0,10290754	-111,43481
41331	0,061493337	47,935547	-0,10485116	-113,32829
41331	0,061495654	48,135742	-0,10737132	-114,81571
41331	0,061497971	48,335938	-0,108991	-116,69063
41331	0,061500289	48,536133	-0,11044722	-118,87551
41331	0,061502606	48,736328	-0,11298224	-120,73735
41331	0,061504923	48,936523	-0,11409372	-122,65241
41331	0,06150724	49,136719	-0,11693782	-125,32792
41331	0,061509557	49,336914	-0,11857533	-127,02368
41331	0,061511874	49,537109	-0,11978192	-129,46948
41331	0,061514191	49,737305	-0,1206824	-131,99623
41331	0,061516508	49,9375	-0,1237791	-134,65329
41331	0,061518826	50,137695	-0,12462907	-136,9523
41331	0,061521143	50,337891	-0,12657268	-139,38623
41331	0,06152346	50,538086	-0,12749396	-142,22485
41331	0,061525777	50,738281	-0,12930384	-143,96529
41331	0,061528094	50,938477	-0,13170514	-146,53154
41331	0,061530411	51,138672	-0,13272746	-148,71977
41331	0,061532728	51,338867	-0,13488208	-150,89917
41331	0,061535046	51,539063	-0,1358628	-153,13954
41331	0,061537363	51,739258	-0,13588658	-155,67793
41331	0,06153968	51,939453	-0,13883469	-158,18373
41331	0,061541997	52,139648	-0,14029092	-160,4597
41331	0,061544314	52,339844	-0,14199381	-162,85605
41331	0,061546631	52,540039	-0,14330737	-165,57732
41331	0,061548948	52,740234	-0,14633276	-168,00833
41331	0,061551265	52,94043	-0,14752151	-170,2209
41331	0,061553583	53,140625	-0,14920954	-172,87056
41331	0,0615559	53,34082	-0,15020512	-175,20033
41331	0,061558217	53,541016	-0,15200014	-177,33405
41331	0,061560534	53,741211	-0,15296601	-179,37419
41331	0,061562851	53,941406	-0,15460649	-182,11903
41331	0,061565168	54,141602	-0,15568529	-184,23839
41331	0,061567485	54,341797	-0,15768239	-186,2726
41331	0,061569802	54,541992	-0,15917131	-188,537
41331	0,06157212	54,742188	-0,16174497	-190,92389
41331	0,061574437	54,942383	-0,16250576	-192,93155
41331	0,061576754	55,142578	-0,16469011	-195,10774
41331	0,061579071	55,342773	-0,16617011	-197,24452
41331	0,061581388	55,542969	-0,16662183	-199,25748
41331	0,061583705	55,743164	-0,16837227	-200,87521
41331	0,061586022	55,943359	-0,16960561	-203,31992
41331	0,06158834	56,143555	-0,17093107	-205,4518
41331	0,061590657	56,34375	-0,17249131	-207,19234
41331	0,061592974	56,543945	-0,17522842	-209,11989
41331	0,061595291	56,744141	-0,1755999	-211,26996
41331	0,061597608	56,944336	-0,17701451	-213,35777
41331	0,061599925	57,144531	-0,17819734	-215,11845
41331	0,061602242	57,344727	-0,18050946	-216,81113
41331	0,061604559	57,544922	-0,18184087	-219,08981
41331	0,061606877	57,745117	-0,18291967	-220,95372
41331	0,061609194	57,945313	-0,18487516	-223,15196
41331	0,061611511	58,145508	-0,1852407	-225,48013
41331	0,061613824	58,345703	-0,18643244	-228,0213
41331	0,061616141	58,545898	-0,18797188	-230,2457
41331	0,061618458	58,746094	-0,18951724	-232,98694
41331	0,061620776	58,946289	-0,19069114	-235,48927
41331	0,061623093	59,146484	-0,19319348	-238,12134
41331	0,06162541	59,34668	-0,19341637	-240,25516
41331	0,061627727	59,546875	-0,19485477	-242,73662
41331	0,061630044	59,74707	-0,19643877	-245,60654
41331	0,061632361	59,947266	-0,1968073	-247,43169
41331	0,061634678	60,147461	-0,19960086	-250,1879
41331	0,061636996	60,347656	-0,20084015	-252,59102
41331	0,061639313	60,547852	-0,20216264	-255,21239
41331	0,06164163	60,748047	-0,20310768	-257,38229
41331	0,061643947	60,948242	-0,20423701	-259,79651
41331	0,061646264	61,148438	-0,20588046	-262,41537
41331	0,061648581	61,348633	-0,20671557	-264,88211
41331	0,061650898	61,548828	-0,20803212	-267,30453
41331	0,061653215	61,749023	-0,21069492	-269,50223
41331	0,061655533	61,949219	-0,2106325	-271,69299
41331	0,06165785	62,149414	-0,21328194	-273,81641
41331	0,061660167	62,349609	-0,21321954	-275,99405
41331	0,061662484	62,549805	-0,21427605	-278,15543
41331	0,061664801	62,75	-0,21484962	-279,76532
41331	0,061667118	62,950195	-0,21664166	-282,12305
41331	0,061669435	63,150391	-0,22009648	-284,27707
41331	0,061671752	63,350586	-0,22040407	-286,40338
41331	0,06167407	63,550781	-0,22132684	-288,47131
41331	0,061676387	63,750977	-0,22339974	-290,59344
41331	0,061678704	63,951172	-0,22302677	-292,85504
41331	0,061681021	64,151367	-0,22432846	-294,72046
41331	0,061683338	64,351563	-0,22650982	-297,12006
41331	0,061685655	64,551758	-0,22826768	-299,55035
41331	0,061687972	64,751953	-0,22885761	-301,44473
41331	0,06169029	64,952148	-0,23072247	-303,96472
41331	0,061692607	65,152344	-0,23183098	-306,23337
41331	0,061694924	65,352539	-0,23232581	-307,67361
41331	0,061697241	65,552734	-0,23331247	-310,16214
41331	0,061699558	65,75293	-0,235213	-312,31479
41331	0,061701875	65,953125	-0,23650725	-314,56796
41331	0,061704192	66,15332	-0,23823094	-316,21204
41331	0,061706509	66,353516	-0,23971838	-318,5611
41331	0,061708827	66,553711	-0,24010769	-320,64685
41331	0,061711144	66,753906	-0,24140194	-322,61188
41331	0,061713461	66,954102	-0,24411379	-324,88187
41331	0,061715778	67,154297	-0,24529512	-327,1825
41331	0,061718095	67,354492	-0,24553138	-329,05811
41331	0,061720412	67,554688	-0,24640512	-331,47714
41331	0,061722729	67,754883	-0,24792969	-333,69257
41331	0,061725046	67,955078	-0,24912588	-335,76337
41331	0,061727364	68,155273	-0,24984507	-337,7421
41331	0,061729681	68,355469	-0,25145435	-340,19052
41331	0,061731998	68,555664	-0,25353467	-342,6355
41331	0,061734315	68,755859	-0,25387347	-344,6825
41331	0,061736632	68,956055	-0,25570118	-347,12079
41331	0,061738949	69,15625	-0,25632527	-349,80704
41331	0,061741266	69,356445	-0,25704151	-351,7923
41331	0,061743584	69,556641	-0,25952896	-354,32565
41331	0,061745901	69,756836	-0,26053199	-356,84949
41331	0,061748218	69,957031	-0,26056021	-359,35742
41331	0,061750535	70,157227	-0,26265985	-361,78162
41331	0,061752852	70,357422	-0,26383969	-364,2261
41331	0,061755169	70,557617	-0,26507005	-366,66556
41331	0,061757486	70,757813	-0,26594824	-368,74002
41331	0,061759803	70,958008	-0,26734653	-371,54138
41331	0,061762121	71,158203	-0,26760805	-373,99698
41331	0,061764438	71,358398	-0,26985776	-376,50223
41331	0,061766755	71,558594	-0,27149528	-379,0928
41331	0,061769068	71,758789	-0,27259338	-381,745
41331	0,061771385	71,958984	-0,27321303	-384,22003
41331	0,061773703	72,15918	-0,27415362	-386,46762
41331	0,06177602	72,359375	-0,27564403	-389,03897
41331	0,061778337	72,55957	-0,27684468	-391,21118
41331	0,061780654	72,759766	-0,27783284	-392,99573
41331	0,061782971	72,959961	-0,27872735	-394,87439
41331	0,061785288	73,160156	-0,28081661	-396,76828
41331	0,061787605	73,360352	-0,2816309	-398,86414
41331	0,061789922	73,560547	-0,28359383	-401,09933
41331	0,06179224	73,760742	-0,2843056	-403,32907
41331	0,061794557	73,960938	-0,28495497	-405,51965
41331	0,061796874	74,161133	-0,28711551	-407,22711
