MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	58,842773	s	22.09.2014 15:43:38
Datum : 	22.09.2014
Prüfer : 	Pi, Un
Probenbezeichnung :  	TH-M5-Z36
Bemerkungen	Kraftgeregelt
Höhe:	298,9
Durchm.:	98,5
Masse:	5306,5
Bediener Information Ende

Datenerfassung						Zeit:	69,902344	s	22.09.2014 15:43:49
Zeit	Laufzeit	Systemtaktzähler	Ch 1 Segment Ganzzahl-Zähler	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	W2TK 7731	W2TK 7733	W2TK 7734	1944 B	2157	1281068	Kette 1470536
s	s	unitless	segments	kN	kN	mm	mm	mm	mm	mm	mm	mm	mm
59,901367	59,900391	968509795	2	-3,9000001	-3,8727541	-0,00087320805	1,129508e-05	-1,7136335e-06	9,2312694e-06	-5,4128468e-06	-5,0514936e-06	-9,3944349e-05	6,5207481e-05
59,911133	59,910156	968509805	2	-3,9000001	-3,8563926	-0,00020265579	1,975894e-05	-2,9668212e-05	2,9057264e-07	-2,8163195e-05	-1,847744e-06	2,6324942e-06	7,6115131e-05
59,920898	59,919922	968509815	2	-3,9000001	-3,8307607	0,00068545341	1,7881393e-06	-8,8959932e-06	-1,0885298e-05	-3,7901103e-05	1,5497208e-05	2,5202042e-05	2,604723e-05
59,930664	59,929688	968509825	2	-3,9000001	-3,884593	-3,8743019e-05	-2,1457672e-06	-2,7790666e-06	-9,6708536e-06	-6,3996762e-05	-3,4809113e-05	1,8613369e-05	2,3543835e-05
59,94043	59,939453	968509835	2	-3,9000001	-3,8516839	-0,00018775463	1,5974045e-05	-9,3430281e-06	2,3469329e-05	-3,83351e-05	5,7950616e-05	-4,7429516e-05	0,00010561943
59,950195	59,949219	968509845	2	-3,9000001	-3,9143376	-0,00027418137	-5,5730343e-06	1,0870397e-05	-2,2128224e-06	-4,0689483e-05	3,9219856e-05	1,930124e-05	4,7028065e-05
59,959961	59,958984	968509855	2	-3,9000001	-3,8848333	-0,00034272671	3,7878752e-05	-2,2672117e-05	-1,873821e-05	-8,1742182e-05	4,9479306e-05	-2,6953319e-05	8,2850456e-05
59,969727	59,96875	968509865	2	-3,9000001	-3,9213841	-0,00078678131	7,2717667e-06	-1,3560057e-05	-7,674098e-07	-0,00013625622	1,462549e-05	-3,3274282e-05	4,3034554e-05
59,979492	59,978516	968509875	2	-3,9000001	-3,8436427	0,00028610229	1,1831522e-05	-1,6033649e-05	-1,6391277e-07	-4,3895096e-05	-5,3167343e-05	-2,7380915e-05	6,878376e-05
59,989258	59,988281	968509885	2	-3,9000001	-3,980849	-0,00033080578	-3,1501055e-05	7,6889992e-06	-5,1468611e-05	-7,2557479e-05	5,0216913e-06	-1,4073433e-05	9,5129013e-05
59,999023	59,998047	968509895	2	-3,9000001	-3,9402695	-0,00095069408	-2,8312206e-05	-3,3058226e-05	-3,3043325e-05	1,5424564e-05	-6,5997243e-05	-2,3264854e-05	7,1942806e-05
60,008789	60,007813	968509905	2	-3,9000001	-3,9605069	0,00075101852	-1,1026859e-06	1,1198223e-05	2,8163195e-06	4,0736049e-06	4,0262938e-05	6,67196e-05	8,559227e-05
60,018555	60,017578	968509915	2	-3,9000001	-3,8473792	-0,00029802322	-1,5288591e-05	1,9773841e-05	-1,5124679e-05	1,9764528e-05	8,8781118e-05	-4,1309337e-05	5,8114529e-05
60,02832	60,027344	968509925	2	-3,9000001	-3,9757676	0,00072419643	1,0073185e-05	-1,8410385e-05	-1,6748905e-05	-4,3474138e-06	-3,0577183e-05	-8,1224345e-05	5,5968761e-05
60,038086	60,037109	968509935	2	-3,9000001	-3,8740151	0,0007301569	-3,5762787e-07	-2,2374094e-05	-1,2397766e-05	-5,3623691e-05	7,0482492e-06	-2,6819465e-05	9,5963478e-05
60,047852	60,046875	968509945	2	-3,9000001	-3,9558914	0,00053346157	-1,3947487e-05	-2,8662384e-05	1,2040138e-05	-4,3248758e-05	-6,2018633e-05	2,202297e-05	8,6843967e-05
60,057617	60,056641	968509955	2	-3,9000001	-3,8471353	0,0012814999	9,3579292e-06	-1,6525388e-05	-1,2539327e-05	-2,1770597e-05	1,9520521e-06	-3,6278598e-05	0,00015443563
60,067383	60,066406	968509965	2	-3,9000001	-3,8872902	-7,4505806e-05	4,8577785e-06	-2,1524727e-05	-1,7516315e-05	3,0340627e-05	3,8489699e-05	1,4556801e-05	0,00014764071
60,077148	60,076172	968509975	2	-3,9000001	-3,8608146	0,00015199184	1,7374754e-05	-3,6731362e-06	8,8438392e-06	-4,674308e-05	5,8248639e-05	-6,4180058e-05	5,5134296e-05
60,086914	60,085938	968509985	2	-3,9000001	-3,8489792	0,00031292439	4,2051077e-05	1,8671155e-05	-1,4804304e-05	-7,3267147e-05	5,8472157e-05	-1,9691652e-05	0,00011843443
60,09668	60,095703	968509995	3	-3,9000001	-3,8929265	0,001090765	1,3023615e-05	-3,4719706e-05	2,6635826e-05	-6,0968101e-05	-6,2696636e-05	-2,3428454e-05	7,0333481e-06
60,106445	60,105469	968510005	3	-3,938086	-3,8986747	-0,00014901161	1,4901161e-07	-2,2798777e-05	3,0077994e-05	-8,193031e-05	-2,0116568e-06	-1,4010224e-05	8,3506107e-05
60,116211	60,115234	968510015	3	-3,976172	-3,906805	3,2782555e-05	6,4074993e-06	-3,2834709e-05	-2,7418137e-06	1,271069e-05	1,1622906e-06	-2,5391671e-05	8,1658363e-05
60,125977	60,125	968510025	3	-4,0142579	-3,9350166	0,0003695488	-3,8951635e-05	4,61936e-06	-4,3213367e-07	-7,9348683e-05	-2,451241e-05	-9,8298377e-05	1,6510487e-05
60,135742	60,134766	968510035	3	-4,0523438	-3,8664732	0,00029206276	3,0875206e-05	-3,3177435e-05	-1,6130507e-05	1,2245029e-05	0,00010155886	-9,6736723e-05	0,00014317036
60,145508	60,144531	968510045	3	-4,0904298	-3,9977283	0,0001847744	-1,9669533e-05	-3,2410026e-06	1,0356307e-05	-4,959479e-05	-2,7015805e-05	-9,3122624e-05	6,7830086e-05
60,155273	60,154297	968510055	3	-4,1285157	-4,0009899	0,00038146973	4,1425228e-06	-1,86041e-05	-2,1055341e-05	-8,9654699e-05	-2,8282404e-05	-0,00012911492	7,6949596e-05
60,165039	60,164063	968510065	3	-4,1666017	-4,1215515	-0,00054240227	-5,7697296e-05	-2,9928982e-05	-3,8482249e-05	-0,00013959035	-5,915761e-05	-4,3094078e-05	8,392334e-05
60,174805	60,173828	968510075	3	-4,2046876	-4,1120572	0,00032484531	-8,6694956e-05	-2,7142465e-05	-5,8397651e-05	-0,00016016699	-0,0001719892	-0,0001172687	2,0205975e-05
60,18457	60,183594	968510085	3	-4,2427735	-4,1235814	0,00087320805	-7,8886747e-05	-1,4282763e-05	-6,622076e-05	-0,00011742488	-4,1417778e-05	-6,5176544e-05	7,6055527e-05
60,194336	60,193359	968510095	3	-4,2808595	-4,2509174	-0,0011563301	-0,00011897087	-1,4826655e-06	-0,00011242181	-0,00013606437	-0,00012373924	-0,00012675757	9,1731548e-05
60,204102	60,203125	968510105	3	-4,3189454	-4,2521076	-0,00058114529	-0,00018435717	-1,1906028e-05	-0,00011655688	-0,00015853718	-0,00011209399	-0,00023432173	0,00010120869
60,213867	60,212891	968510115	3	-4,3570313	-4,3049436	-0,00076591969	-0,00026208162	-3,0174851e-05	-0,00016403943	-0,00019068085	-0,00013817847	-0,00014263806	7,7545643e-05
60,223633	60,222656	968510125	3	-4,3951173	-4,3873882	-0,00082552433	-0,00033178926	-4,9427152e-05	-0,00018485636	-0,00025429577	-0,00025545806	-9,6996999e-05	3,6299229e-05
60,233398	60,232422	968510135	3	-4,4332032	-4,4367352	-0,0016897917	-0,00044462085	-9,2595816e-05	-0,00025549531	-0,00022133067	-0,00018249452	-0,00014242611	8,3744526e-05
60,243164	60,242188	968510145	3	-4,4712892	-4,5016613	-0,001475215	-0,00042852759	-7,1890652e-05	-0,00028298795	-0,00027765706	-0,00029960275	-0,00020837976	8,72612e-05
60,25293	60,251953	968510155	3	-4,5093751	-4,4918284	-0,0013381243	-0,00048550963	-9,7319484e-05	-0,00032720715	-0,0001800023	-0,00017529726	-0,00021761209	7,5638294e-05
60,262695	60,261719	968510165	3	-4,547461	-4,4893866	-0,0006377697	-0,00047519803	-0,00010327995	-0,00035025924	-0,00019505993	-0,00013141334	-0,00016235946	7,6770782e-05
60,272461	60,271484	968510175	3	-4,585547	-4,5421438	-0,0026077032	-0,00047320127	-0,00010769814	-0,00036047399	-0,00021626987	-0,00021811575	-0,00021198271	7,8141689e-05
60,282227	60,28125	968510185	3	-4,6236329	-4,5532045	-0,00060200691	-0,0004901886	-0,00012481213	-0,00038618594	-0,00024786592	-0,00019298494	-0,00024092155	8,2552433e-05
60,291992	60,291016	968510195	3	-4,6617188	-4,6556554	-0,0016391277	-0,00058889389	-0,00017629564	-0,00043732673	-0,00031637214	-0,0003471449	-0,00022179507	8,1956387e-05
60,301758	60,300781	968510205	3	-4,6998048	-4,6116767	-0,0010550022	-0,0005979836	-0,00018856674	-0,00046851486	-0,00027601421	-0,0002880469	-0,000189257	0,00011605024
60,311523	60,310547	968510215	3	-4,7378907	-4,5997462	-0,0022053719	-0,00058710575	-0,00017360598	-0,00046220422	-0,00024082698	-0,00017350167	-0,00016583969	0,0001231432
60,321289	60,320313	968510225	3	-4,7759767	-4,6571007	-0,001937151	-0,00060015917	-0,00020483136	-0,00053048134	-0,00022650696	-0,00025311857	-0,00023407633	8,6128712e-05
60,331055	60,330078	968510235	3	-4,8140626	-4,6387186	-0,0020951033	-0,00061315298	-0,00025492162	-0,00052411109	-0,00026407093	-0,00020886213	-0,0002829076	0,0001128912
60,34082	60,339844	968510245	3	-4,8521485	-4,6721492	-0,0032842159	-0,0006557107	-0,000234887	-0,00053633004	-0,00031228364	-0,00032398105	-0,00021002321	0,00016391277
