MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	38,506836	Sec	05.07.2010 15:35:46
Datum : 	05.07.2010
Prüfer : 	Machura
Probenbezeichnung :  	TH-M7-Z13
Bemerkungen	Kraftgeregelt 3,9 kN/s
Bemerkung 	
Taster	-
Länge in mm	299,5
Höhe in mm	Durchmesser: 98,8
Breite in mm	-
Masse in g	5425,0
zusätzlich MTS Aufnehmer	1944A, 1944B, 1281068
Messlänge MTS	100 mm
Bediener Information Ende

Datenerfassung						Zeit:	481,86328	Sec	05.07.2010 15:43:09
Laufzeit	Ch 1 Kraft	Ch 1 Weg	1944 A	1944 B	1281068
Sec	kN	mm	mm	mm	mm
39,017578	-1,9095271	-0,18505752	5,8547594e-05	0,00011207612	0,00011774525
39,517578	-1,788836	-0,18333197	3,025867e-05	0,00021876511	0,00012083538
40,017578	-1,6914961	-0,18400922	9,6369535e-05	0,00028814643	0,00020478852
40,517578	-1,5793993	-0,18385947	0,00015605334	0,00030964438	5,1064417e-05
41,017578	-1,491313	-0,18112659	0,00014981348	0,00029290665	0,00016560033
41,517578	-1,3969103	-0,18048659	0,00018294621	0,00036309788	0,00022618286
42,017578	-1,271301	-0,17974749	0,00022370182	0,00032911688	0,00018278696
42,517578	-1,1939156	-0,18142536	0,00025247969	0,00035131117	0,00024871714
43,017578	-1,1229544	-0,17836392	0,00030057412	0,00042073627	0,00027187914
43,517578	-1,0210202	-0,17927736	0,00032648351	0,00048454688	0,00034989789
44,017578	-0,95238173	-0,17693564	0,00031531323	0,00050978881	0,00035437196
44,517578	-0,94178045	-0,17725825	0,00040791184	0,00051385979	0,00038391352
45,017578	-0,97596186	-0,17695725	0,00034932978	0,00049299671	0,00037585571
45,517578	-1,0057149	-0,17884448	0,0002930928	0,00046814594	0,00024434365
46,017578	-1,0134774	-0,17741323	0,00034843758	0,0004687956	0,0003705658
46,517578	-0,99926543	-0,17920062	0,00037239771	0,00044481247	0,00023700669
47,017578	-0,99362624	-0,17772764	0,000322056	0,00053728942	0,00034037791
47,517578	-1,005631	-0,17904565	0,00030994415	0,00041215937	0,00039399974
48,017578	-0,99819535	-0,17732829	0,00027886871	0,00050487689	0,00037481077
48,517578	-1,0111715	-0,176806	0,00030409917	0,00042563555	0,00035616383
49,017578	-2,675523	-0,012930483	-0,00066808052	-0,00064605352	-0,00019029528
49,517578	-4,1117744	-0,01957044	-0,0010509491	-0,0012224934	-0,00041414425
50,017578	-6,7083583	-0,031988323	-0,0019694837	-0,0022512167	-0,00090631098
50,517578	-8,5605183	-0,040851533	-0,0026809946	-0,0030363812	-0,0012832973
51,017578	-10,613894	-0,050727278	-0,0034303847	-0,003843467	-0,001735203
51,517578	-12,645867	-0,056741387	-0,0041496982	-0,004699125	-0,0021695048
52,017578	-14,582273	-0,065712631	-0,0049004578	-0,0054320516	-0,0024567284
52,517578	-16,500099	-0,073319674	-0,0057454216	-0,006168203	-0,0030370243
53,017578	-18,450571	-0,080034882	-0,0065034777	-0,0068605365	-0,0035039671
53,517578	-20,415449	-0,086778402	-0,007322819	-0,0075709606	-0,0039578117
54,017578	-22,347408	-0,093573332	-0,0081604458	-0,0081214001	-0,0046349652
54,517578	-24,268581	-0,099390745	-0,0089650918	-0,0087409904	-0,0050836895
55,017578	-26,223289	-0,1035966	-0,0099204704	-0,0093421871	-0,005734263
55,517578	-28,150221	-0,10922179	-0,010735333	-0,0099866064	-0,0063158665
56,017578	-30,112896	-0,1173079	-0,011636053	-0,010534211	-0,0068225693
56,517578	-32,040077	-0,1235798	-0,012503176	-0,011163892	-0,0073932558
57,017578	-33,98111	-0,12805015	-0,013322737	-0,011842329	-0,008016184
57,517578	-35,936069	-0,13411418	-0,014251644	-0,012470615	-0,0088002216
58,017578	-37,901367	-0,13801381	-0,015126541	-0,013031703	-0,0093084164
58,517578	-39,855835	-0,14456436	-0,015970806	-0,013625587	-0,010125862
59,017578	-41,815441	-0,15068129	-0,016891884	-0,014291011	-0,010716405
59,517578	-43,746925	-0,15585721	-0,017734237	-0,014902982	-0,011356138
60,017578	-45,726173	-0,16160458	-0,018526694	-0,015631724	-0,012084479
60,517578	-47,683826	-0,16652346	-0,01943088	-0,016211683	-0,012792192
61,017578	-49,603752	-0,17052144	-0,020239212	-0,016841678	-0,013540208
61,517578	-51,566978	-0,17848387	-0,021080723	-0,017517585	-0,014199555
62,017578	-53,493343	-0,1821734	-0,021925796	-0,018103147	-0,014919672
62,517578	-55,449245	-0,18859357	-0,022816367	-0,018765513	-0,015563294
63,017578	-57,394527	-0,19218549	-0,023548473	-0,01944576	-0,016211431
63,517578	-59,344307	-0,19891337	-0,024370728	-0,020042984	-0,017089009
64,017578	-61,269535	-0,20318553	-0,025175795	-0,02070903	-0,017779294
64,517578	-63,248867	-0,20748228	-0,026016673	-0,021444198	-0,018563479
65,017578	-65,176651	-0,21432489	-0,026776046	-0,021982558	-0,019288465
65,517578	-67,085136	-0,21727905	-0,027528031	-0,022649234	-0,019977376
66,017578	-68,948875	-0,22400543	-0,028329328	-0,023368767	-0,020732701
66,517578	-70,91378	-0,22810549	-0,029243447	-0,023986399	-0,021487512
67,017578	-72,894081	-0,2323553	-0,029928217	-0,024693983	-0,022425797
67,517578	-74,871017	-0,2387464	-0,030800326	-0,025407109	-0,023090389
68,017578	-76,82724	-0,24299994	-0,031567037	-0,026026292	-0,023832604
68,517578	-78,809937	-0,24701059	-0,032357991	-0,026675886	-0,02467192
69,017578	-80,747826	-0,25287122	-0,033149309	-0,02741041	-0,025399536
69,517578	-82,723579	-0,25556311	-0,033873379	-0,028075075	-0,026312247
70,017578	-84,668251	-0,26054233	-0,03467311	-0,028735425	-0,02699795
70,517578	-86,533211	-0,26684552	-0,035448998	-0,029425345	-0,027730167
71,017578	-88,519798	-0,27212575	-0,036200821	-0,030110301	-0,028604612
71,517578	-90,472801	-0,27622879	-0,036971144	-0,030746993	-0,029403087
72,017578	-92,445831	-0,2790533	-0,037686557	-0,03147338	-0,030264631
72,517578	-94,422836	-0,28590485	-0,038466848	-0,032219071	-0,03108735
73,017578	-96,427345	-0,28844029	-0,039334722	-0,032838099	-0,03181411
73,517578	-98,327194	-0,29261187	-0,040009141	-0,033515155	-0,032657921
74,017578	-100,31509	-0,29771253	-0,040754423	-0,034198917	-0,033432011
74,517578	-102,24346	-0,30341819	-0,041519322	-0,035005059	-0,034306265
75,017578	-104,19479	-0,30644536	-0,042337559	-0,035626262	-0,035089076
75,517578	-106,10799	-0,31166598	-0,042997532	-0,036337886	-0,035791889
76,017578	-108,06393	-0,31811818	-0,043831855	-0,037109151	-0,036675848
76,517578	-110,02641	-0,32003	-0,044594623	-0,03777666	-0,037542641
77,017578	-111,9516	-0,32626092	-0,045357965	-0,038477015	-0,038416784
77,517578	-113,92777	-0,3301844	-0,046076171	-0,03921701	-0,0392708
78,017578	-115,89868	-0,33486709	-0,046823949	-0,039908957	-0,040005554
78,517578	-117,81992	-0,33728033	-0,047560841	-0,04053859	-0,040862858
79,017578	-119,78476	-0,34246817	-0,048380569	-0,041362993	-0,041670911
79,517578	-121,75257	-0,34868941	-0,049235255	-0,042064514	-0,042559583
80,017578	-123,71487	-0,35354719	-0,049791619	-0,042781714	-0,043343395
80,517578	-125,65568	-0,35706833	-0,050610758	-0,043535877	-0,044072557
81,017578	-127,56878	-0,36123767	-0,051402681	-0,044251408	-0,044957291
81,517578	-129,54208	-0,36608651	-0,052168377	-0,044970609	-0,045772921
82,017578	-131,50636	-0,36912039	-0,052911751	-0,045662154	-0,046661977
82,517578	-133,43968	-0,37364364	-0,053655013	-0,046344563	-0,047550548
83,017578	-135,37793	-0,37798807	-0,054386355	-0,047064215	-0,048208881
83,517578	-137,35638	-0,38270354	-0,05520802	-0,047835767	-0,049144555
84,017578	-136,89473	-0,38340166	-0,05521515	-0,047785986	-0,0491121
84,517578	-134,86786	-0,37908703	-0,054724015	-0,047322538	-0,048683468
85,017578	-132,91203	-0,37548468	-0,054089479	-0,046741679	-0,048114475
85,517578	-130,93832	-0,37413985	-0,053577945	-0,046188295	-0,047484603
86,017578	-128,95117	-0,36989897	-0,052949794	-0,045628678	-0,046855848
86,517578	-127,01554	-0,36715865	-0,052407622	-0,045050889	-0,046174396
87,017578	-125,05426	-0,36281943	-0,051818587	-0,044542931	-0,045700569
87,517578	-123,10215	-0,35796613	-0,051189482	-0,04396797	-0,044993889
88,017578	-121,1614	-0,35667196	-0,050676391	-0,043415222	-0,044478763
88,517578	-119,1944	-0,35267398	-0,050049298	-0,042858332	-0,043811869
89,017578	-117,24026	-0,34917369	-0,049478836	-0,042241972	-0,043040041
89,517578	-115,23701	-0,34405068	-0,048854291	-0,041608281	-0,042443193
90,017578	-113,32854	-0,3398411	-0,048241593	-0,041060813	-0,041859295
90,517578	-111,35964	-0,33804923	-0,047726661	-0,040464513	-0,041263398
91,017578	-109,43137	-0,33214912	-0,047087178	-0,039871983	-0,040582508
