MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	15,140625	s	18.03.2014 15:07:06
Datum	17.03.2014
Prüfer:	Be, Mac
Probebezeichnung	Hüsken Probe 3-3
Protokoll Seite	136
Durchmesser [mm]:	100
Höhe [mm]:	100,2
Masse [g]:	1952
Bediener Information Ende

Datenerfassung						Zeit:	234,3916	s	18.03.2014 15:10:45
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
41716	0,62994891	29,584961	-1,7464844	-1,6573052	-0,0020824373
41716	0,62995124	29,785156	-2,5272462	-2,5127809	-0,0057019293
41716	0,62995356	29,985352	-3,308008	-3,2619257	-0,0088177621
41716	0,62995589	30,185547	-4,0887694	-4,0473995	-0,012848526
41716	0,62995815	30,385742	-4,8695312	-4,7746916	-0,016459823
41716	0,62996048	30,585938	-5,6502929	-5,0742736	-0,017557293
41716	0,6299628	30,786133	-6,4310546	-5,8929725	-0,020448864
41716	0,62996513	30,986328	-7,2118168	-7,0753293	-0,025223196
41716	0,62996745	31,186523	-7,9925785	-7,9930768	-0,02842024
41716	0,62996978	31,386719	-8,7733402	-8,7490683	-0,031644851
41716	0,6299721	31,586914	-9,5541019	-9,5087166	-0,034335256
41716	0,62997442	31,787109	-10,334864	-10,27453	-0,036744773
41716	0,62997669	31,987305	-11,115625	-11,123838	-0,039532781
41716	0,62997901	32,1875	-11,896387	-11,956966	-0,042121857
41716	0,62998134	32,387695	-12,677149	-12,85134	-0,044940412
41716	0,62998366	32,587891	-13,457911	-13,639039	-0,047177821
41716	0,62998599	32,788086	-14,238672	-14,409839	-0,049185753
41716	0,62998831	32,988281	-15,019434	-15,213577	-0,051400065
41716	0,62999064	33,188477	-15,800196	-16,032032	-0,054246187
41716	0,62999296	33,388672	-16,580957	-16,771708	-0,05581677
41716	0,62999523	33,588867	-17,361719	-17,54838	-0,058243424
41716	0,62999755	33,789063	-18,142481	-18,325966	-0,059762597
41716	0,62999988	33,989258	-18,923243	-19,119915	-0,062339753
41716	0,6300022	34,189453	-19,704004	-19,824118	-0,064268708
41716	0,63000453	34,389648	-20,484766	-20,623701	-0,065943599
41716	0,63000685	34,589844	-21,265528	-21,39711	-0,06800741
41716	0,63000917	34,790039	-22,046289	-22,145485	-0,069641322
41716	0,6300115	34,990234	-22,827051	-22,948053	-0,071323663
41716	0,63001376	35,19043	-23,607813	-23,742523	-0,073610246
41716	0,63001609	35,390625	-24,388575	-24,486496	-0,074803084
41716	0,63001841	35,59082	-25,169336	-25,288944	-0,077364594
41716	0,63002074	35,791016	-25,950098	-26,072088	-0,078909844
41716	0,63002306	35,991211	-26,73086	-26,839918	-0,080940872
41716	0,63002539	36,191406	-27,511621	-27,609844	-0,082167983
41716	0,63002771	36,391602	-28,292383	-28,419325	-0,084221363
41716	0,63003004	36,591797	-29,073145	-29,193262	-0,08553043
41716	0,6300323	36,791992	-29,853907	-29,906811	-0,08739531
41716	0,63003463	36,992188	-30,634668	-30,713324	-0,08950904
41716	0,63003695	37,192383	-31,41543	-31,502373	-0,090875477
41716	0,63003927	37,392578	-32,196194	-32,282131	-0,092750043
41716	0,6300416	37,592773	-32,976955	-33,054146	-0,094390661
41716	0,63004392	37,792969	-33,757717	-33,849724	-0,09675175
41716	0,63004625	37,993164	-34,538479	-34,63443	-0,097792596
41716	0,63004857	38,193359	-35,319241	-35,377983	-0,098944455
41716	0,63005084	38,393555	-36,100002	-36,159004	-0,10082349
41716	0,63005316	38,59375	-36,880764	-36,963463	-0,10298863
41716	0,63005549	38,793945	-37,661526	-37,711765	-0,10486022
41716	0,63005781	38,994141	-38,442287	-38,484535	-0,10589808
41716	0,63006014	39,194336	-39,223049	-39,276001	-0,10749623
41716	0,63006246	39,394531	-40,003811	-40,065811	-0,10877103
41716	0,63006479	39,594727	-40,784573	-40,856205	-0,10968819
41716	0,63006711	39,794922	-41,565334	-41,661274	-0,11166856
41716	0,63006938	39,995117	-42,346096	-42,433907	-0,11371672
41716	0,6300717	40,195313	-43,126858	-43,171753	-0,11457279
