MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	24,770508	s	17.07.2014 13:31:20
Datum	17.07.2014
Prüfer:	Kh
Probebezeichnung	Maack 8.2 Drucklversuch Probe BK 02 B
Protokoll Seite	138
Durchmesser [mm]:	100,5
Höhe [mm]:	193,7
Masse [g]:	3684,7
Bediener Information Ende

Datenerfassung						Zeit:	191,34961	s	17.07.2014 13:34:06
Ch 1 Weg	Ch 1 Kraft
mm	kN
1,9931518	0,43195859
-1,04931	-576,37262

Datenerfassung						Zeit:	191,3623	s	17.07.2014 13:34:06
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
41837	0,52087826	41,881836	-1,750293	-1,3174657	-0,0070869923
41837	0,52088058	42,082031	-2,5310547	-2,2929163	-0,019342452
41837	0,5208829	42,282227	-3,3118165	-2,8095002	-0,024362653
41837	0,52088523	42,482422	-4,0925784	-3,0724182	-0,02695024
41837	0,52088755	42,682617	-4,8733401	-4,509913	-0,034682453
41837	0,52088982	42,882813	-5,6541018	-5,539609	-0,04119128
41837	0,52089214	43,083008	-6,4348636	-6,2833538	-0,044564158
41837	0,52089447	43,283203	-7,2156253	-6,9829001	-0,048161298
41837	0,52089679	43,483398	-7,996387	-7,917881	-0,051898509
41837	0,52089912	43,683594	-8,7771482	-8,8764381	-0,055922568
41837	0,52090144	43,883789	-9,55791	-9,7997541	-0,059853494
41837	0,52090377	44,083984	-10,338672	-10,606614	-0,062915683
41837	0,52090609	44,28418	-11,119433	-11,382484	-0,066292286
41837	0,52090836	44,484375	-11,900195	-12,164045	-0,068520755
41837	0,52091068	44,68457	-12,680957	-12,90485	-0,071132183
41837	0,520913	44,884766	-13,46172	-13,759203	-0,073801726
41837	0,52091533	45,084961	-14,242481	-14,474743	-0,076248497
41837	0,52091765	45,285156	-15,023243	-15,165992	-0,078789145
41837	0,52091998	45,485352	-15,804005	-15,99792	-0,081007928
41837	0,5209223	45,685547	-16,584766	-16,747713	-0,083074719
41837	0,52092463	45,885742	-17,365528	-17,637684	-0,085776299
41837	0,52092689	46,085938	-18,14629	-18,298281	-0,088588893
41837	0,52092922	46,286133	-18,927052	-19,045332	-0,089912117
41837	0,52093154	46,486328	-19,707813	-19,917742	-0,092680752
41837	0,52093387	46,686523	-20,488575	-20,518606	-0,094216317
41837	0,52093619	46,886719	-21,269337	-21,476788	-0,096266717
41837	0,52093852	47,086914	-22,050098	-22,129194	-0,097874552
41837	0,52094084	47,287109	-22,83086	-22,998644	-0,10090619
41837	0,52094316	47,487305	-23,611622	-23,674391	-0,10261387
41837	0,52094543	47,6875	-24,392384	-24,485123	-0,10463968
41837	0,52094775	47,887695	-25,173145	-25,403141	-0,10706186
41837	0,52095008	48,087891	-25,953907	-26,222765	-0,10885596
41837	0,5209524	48,288086	-26,734669	-26,797728	-0,11144355
41837	0,52095473	48,488281	-27,51543	-27,562426	-0,11239946
41837	0,52095705	48,688477	-28,296192	-28,36928	-0,1147069
41837	0,52095938	48,888672	-29,076954	-29,307236	-0,11625066
41837	0,5209617	49,088867	-29,857716	-30,092024	-0,11857525
41837	0,52096397	49,289063	-30,638477	-30,777485	-0,12005791
