(07/17/2014 12:34:33) Information [Stmgr] "Regelart umgestellt auf: Ch 1 Kraft"
(07/17/2014 12:34:33) Information [Stmgr] "Manueller Sollwert aktiviert: Ch 1 Kraft"
(07/17/2014 12:34:35) Information [Stmgr] "Regelart umgestellt auf: Ch 1 Weg"
(07/17/2014 12:35:03) Information [Stmgr] "Manueller Sollwert deaktiviert: Ch 1 Weg"
(07/17/2014 12:35:07) Information [Stmgr] "Manueller Sollwert aktiviert: Ch 1 Weg"
(07/17/2014 12:35:10) Information [Stmgr] "Regelart umgestellt auf: Ch 1 Kraft"
(07/17/2014 12:37:14) Information [Stmgr] "Manueller Sollwert deaktiviert: Ch 1 Kraft"
(07/17/2014 12:37:16) Information [MPT Runtime] "Prozedur beginnt: Druckfestigkeit Zylinder 100mm_MTS 1MN-mit Regelabweichung.000"
(07/17/2014 12:37:16) Information [MPT Runtime] "Läuft"
(07/17/2014 12:37:27) Information [MPT Runtime] "Übergang nach Stopp"
(07/17/2014 12:37:27) Information [MPT Runtime] "Angehalten
 Laufzeit:  00:00:11 
 Kanalzähler:
    Ch 1 -          0  Zyklen"
(07/17/2014 12:38:56) Information [MPT Runtime] "Prozedur beginnt: E-Modul-mit  Druckversuch 100erZylinder mit Regelabweichung Standart.000"
(07/17/2014 12:38:56) Information [MPT Runtime] "Läuft"
(07/17/2014 12:47:50) Information [MPT/Operator Event] "Bediener Ereignis 'Bruchrampe' aufgetreten: 'Bruchrampe
'"
(07/17/2014 12:47:56) Warning [MPT/Data Limit] "Unterer Grenzwert ausgelöst für 'Ch 1 Kraft'."
(07/17/2014 12:47:56) Warning [MPT/Data Limit] "Grenzwertprozess beendet"
(07/17/2014 12:50:06) Warning [MPT/Data Limit] "Oberer Grenzwert wurde ausgelöst von 'Ch 1 Kraft Abs. Fehler'."
(07/17/2014 12:50:06) Warning [MPT/Data Limit] "Grenzwertprozess beendet"
(07/17/2014 12:50:06) Information [MPT Runtime] "Prozedur fertig"
(07/17/2014 12:50:07) Information [MPT Runtime] "Angehalten
 Laufzeit:  00:11:11 
 Kanalzähler:
    Ch 1 -          5  Zyklen"
