MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	25,350586	s	03.09.2014 08:44:24
Datum : 	03.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	Werner 7.0 M III E-Modul 28d v. 06.08.14 Probe 5
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5369,5
Durchmesser :	98,6
Länge :	300,4
Bediener Information Ende

Datenerfassung						Zeit:	508,3457	s	03.09.2014 08:52:27
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41885	25,860352	-1	-1,0217763	0,026813149	0,118096	0,0040660733	-0,087432429
41885	26,360352	-1	-1,0245777	0,025984645	0,11807937	0,0039692065	-0,087444812
41885	26,860352	-1	-0,96176004	0,026118755	0,11810421	0,0039944011	-0,087443903
41885	27,360352	-1	-0,98485315	0,026494265	0,11799251	0,0041207457	-0,087399229
41885	27,860352	-1	-1,0579954	0,026732683	0,11807989	0,0041203145	-0,087421663
41885	28,360352	-1	-1,0426975	0,026386976	0,11804215	0,0040305718	-0,087480873
41885	28,860352	-1	-0,94387865	0,026208162	0,1180623	0,0039735194	-0,087365516
41885	29,360352	-1	-0,99219567	0,027018785	0,11805526	0,0040901969	-0,087406322
41885	29,860352	-1	-1,0823067	0,025883317	0,11810718	0,0039573824	-0,087515995
41885	30,360352	-1	-1,014335	0,026035309	0,1180803	0,0039167795	-0,087399587
41885	30,860352	-1	-0,94647521	0,026899576	0,11811369	0,0040773917	-0,087351829
41885	31,360352	-1	-1,0292195	0,025695562	0,1180748	0,0040145535	-0,087467134
41885	31,860352	-1	-1,0550581	0,026494265	0,11807481	0,0039794836	-0,087434575
41885	32,360352	-1	-0,99999458	0,026473403	0,11809853	0,0041898303	-0,087415189
41885	32,860352	-1	-0,95873702	0,0256598	0,11816726	0,0040827459	-0,087403804
41885	33,360352	-1	-1,0196623	0,026524067	0,1181039	0,0040694345	-0,087441079
41885	33,860352	-1	-1,0563209	0,026750565	0,11809117	0,004034989	-0,087395459
41885	34,360352	-1	-0,99216032	0,026321411	0,11814796	0,0039979108	-0,087331325
41885	34,860352	-1	-0,98251367	0,026831031	0,11817532	0,0040377849	-0,087371245
41885	35,360352	-1	-1,0008756	0,026494265	0,11814428	0,0041834498	-0,087385811
41885	35,860352	-2,7748048	-2,7390811	-0,0073879957	-0,00078459084	-0,00063584402	-0,000441432
41885	36,360352	-4,7248049	-4,4833646	-0,016450882	-0,001320377	-0,0012000456	-0,00099474564
41885	36,860352	-6,6748047	-6,3124542	-0,024428964	-0,0021532923	-0,0017787183	-0,0015837625
41885	37,360352	-8,6248045	-8,5337515	-0,0333637	-0,0030541271	-0,0024583777	-0,0022384487
41885	37,860352	-10,574805	-10,63798	-0,043198466	-0,0039035529	-0,0030053714	-0,0029407181
41885	38,360352	-12,524805	-12,693147	-0,04992485	-0,0046137273	-0,0037555578	-0,0036524013
41885	38,860352	-14,474805	-14,663484	-0,057086349	-0,0052741021	-0,0043470063	-0,0043599568
41885	39,360352	-16,424805	-16,608698	-0,06327033	-0,0060192049	-0,0051445332	-0,0051101148
41885	39,860352	-18,374805	-18,591774	-0,069782138	-0,006681025	-0,005753383	-0,0057924986
41885	40,360352	-20,324804	-20,464701	-0,076657534	-0,007314682	-0,0064114621	-0,006528195
41885	40,860352	-22,274805	-22,316355	-0,082415342	-0,0080055594	-0,0070700319	-0,0072074123
41885	41,360352	-24,224806	-24,337605	-0,087469816	-0,0086729825	-0,0078226272	-0,0079141669
41885	41,860352	-26,174805	-26,342815	-0,093284249	-0,0093905926	-0,0084807659	-0,0086847991
