MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	19,149414	s	03.09.2014 09:13:28
Datum : 	03.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	Werner 7.0 M IV E-Modul 28d v. 06.08.14 Probe 4
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5392,1
Durchmesser :	98,6
Länge :	300,3
Bediener Information Ende

Datenerfassung						Zeit:	315,56152	s	03.09.2014 09:18:25
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41885	19,658203	-1	-1,0072626	-0,056257844	-0,15665145	-0,0095548686	0,046613906
41885	20,158203	-1	-0,99849516	-0,056928396	-0,1566541	-0,0095067797	0,046587739
41885	20,658203	-1	-1,037348	-0,056523085	-0,15660064	-0,0095544867	0,046593852
41885	21,158203	-1	-1,040915	-0,056114793	-0,15656868	-0,0095193675	0,046672229
41885	21,658203	-1	-1,0109991	-0,056800246	-0,15664986	-0,0095110377	0,046680603
41885	22,158203	-1	-0,97291356	-0,056383014	-0,15658139	-0,0094340993	0,046677612
41885	22,658203	-1	-0,9989273	-0,05594492	-0,15662833	-0,0095138615	0,046680339
41885	23,158203	-1	-1,0345783	-0,056767464	-0,15662299	-0,0095169041	0,046645973
41885	23,658203	-1	-1,0645072	-0,056776404	-0,15665971	-0,0095968638	0,046577193
41885	24,158203	-1	-1,0285192	-0,056856871	-0,15665242	-0,0095210541	0,046581898
41885	24,658203	-1	-0,97807682	-0,056317449	-0,15664548	-0,0095781218	0,046663027
41885	25,158203	-1	-1,0107607	-0,056105852	-0,15666391	-0,0095799202	0,046662204
41885	25,658203	-1	-1,0549631	-0,056672096	-0,1566952	-0,0095904712	0,046583794
41885	26,158203	-1	-1,0172036	-0,056123734	-0,15660655	-0,0095197363	0,046641544
41885	26,658203	-1	-0,95633233	-0,056570768	-0,15663305	-0,0094210925	0,046708457
41885	27,158203	-1	-0,96319056	-0,056162477	-0,15657997	-0,0095608365	0,046695739
41885	27,658203	-1	-1,0533929	-0,056275725	-0,15662679	-0,0095496783	0,046653386
41885	28,158203	-1	-1,0614917	-0,056421757	-0,15669639	-0,0095886076	0,046570603
41885	28,658203	-1	-0,98332202	-0,05684495	-0,15671854	-0,0095234448	0,04661623
41885	29,158203	-1	-0,97495687	-0,057017803	-0,1566381	-0,0095102293	0,046642076
41885	29,658203	-2,7748048	-2,6739314	-0,0092089176	-0,00059168041	-0,00065475953	-0,00051810592
41885	30,158203	-4,7248049	-4,431706	-0,017863512	-0,0011523813	-0,0012281366	-0,0010824241
41885	30,658203	-6,6748047	-6,44977	-0,02694428	-0,0018780529	-0,0018049197	-0,0018381812
41885	31,158203	-8,6248045	-8,4536552	-0,037336349	-0,0025357902	-0,0024653634	-0,0024549179
41885	31,658203	-10,574805	-10,532796	-0,045952201	-0,0032829791	-0,0031975482	-0,0032264311
41885	32,158203	-12,524805	-12,680529	-0,053590536	-0,0040470064	-0,0038997473	-0,003992239
41885	32,658203	-14,474805	-14,758462	-0,060766935	-0,0048151165	-0,0046603107	-0,0047218576
41885	33,158203	-16,424805	-16,6236	-0,067591667	-0,0054468364	-0,0053123576	-0,0054338779
