MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	18,564453	s	18.03.2014 14:40:51
Datum	17.03.2014
Prüfer:	Be, Mac
Probebezeichnung	Hüsken Probe 1-2 
Protokoll Seite	136
Durchmesser [mm]:	100
Höhe [mm]:	100,3
Masse [g]:	1957
Bediener Information Ende

Datenerfassung						Zeit:	233,59863	s	18.03.2014 14:44:26
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
41716	0,6116643	28,792969	-1,750293	-1,5719645	-0,0015355647
41716	0,61166662	28,993164	-2,5310547	-2,4477987	-0,0053018332
41716	0,61166894	29,193359	-3,3118165	-3,2464061	-0,008815527
41716	0,61167121	29,393555	-4,0925784	-4,0228796	-0,011794269
41716	0,61167353	29,59375	-4,8733401	-4,7446771	-0,014536083
41716	0,61167586	29,793945	-5,6541018	-5,1325874	-0,016646832
41716	0,61167818	29,994141	-6,4348636	-5,6513062	-0,018217415
41716	0,61168051	30,194336	-7,2156253	-6,9428811	-0,022853166
41716	0,61168283	30,394531	-7,996387	-7,9481525	-0,026618689
41716	0,61168516	30,594727	-8,7771482	-8,7561607	-0,029988587
41716	0,61168748	30,794922	-9,55791	-9,4869566	-0,033169985
41716	0,61168975	30,995117	-10,338672	-10,254658	-0,036410242
41716	0,61169207	31,195313	-11,119433	-11,071342	-0,039517879
41716	0,6116944	31,395508	-11,900195	-11,912984	-0,042757392
41716	0,61169672	31,595703	-12,680957	-12,703238	-0,046307594
41716	0,61169904	31,795898	-13,46172	-13,544639	-0,049696863
41716	0,61170137	31,996094	-14,242481	-14,387678	-0,051900744
41716	0,61170369	32,196289	-15,023243	-15,217225	-0,055368245
41716	0,61170602	32,396484	-15,804005	-15,950148	-0,05819127
41716	0,61170828	32,59668	-16,584766	-16,762007	-0,06050542
41716	0,61171061	32,796875	-17,365528	-17,540325	-0,063047558
41716	0,61171293	32,99707	-18,14629	-18,310377	-0,065791607
41716	0,61171526	33,197266	-18,927052	-19,050674	-0,067824125
41716	0,61171758	33,397461	-19,707813	-19,879192	-0,070811063
41716	0,61171991	33,597656	-20,488575	-20,603453	-0,073109567
41716	0,61172223	33,797852	-21,269337	-21,399658	-0,075225532
