MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	18,193359	s	18.03.2014 14:51:43
Datum	17.03.2014
Prüfer:	Be, Mac
Probebezeichnung	Hüsken Probe 2-2
Protokoll Seite	136
Durchmesser [mm]:	100
Höhe [mm]:	100,1
Masse [g]:	1950
Bediener Information Ende

Datenerfassung						Zeit:	237,14941	s	18.03.2014 14:55:22
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
41716	0,61926323	32,344727	-1,7464844	-1,640344	-0,0020809472
41716	0,61926556	32,544922	-2,5272462	-2,5216601	-0,005697459
41716	0,61926788	32,745117	-3,308008	-3,3345447	-0,0088751316
41716	0,61927021	32,945313	-4,0887694	-4,0891266	-0,011967123
41716	0,61927253	33,145508	-4,8695312	-4,8421717	-0,014989823
41716	0,61927485	33,345703	-5,6502929	-5,1827168	-0,016375631
41716	0,61927718	33,545898	-6,4310546	-5,8681622	-0,019048899
41716	0,61927944	33,746094	-7,2118168	-7,0338788	-0,023397058
41716	0,61928177	33,946289	-7,9925785	-8,0469503	-0,026804954
41716	0,61928409	34,146484	-8,7733402	-8,8277359	-0,029734522
41716	0,61928642	34,34668	-9,5541019	-9,5891809	-0,032638013
41716	0,61928874	34,546875	-10,334864	-10,31554	-0,035199523
41716	0,61929107	34,74707	-11,115625	-11,121129	-0,03689751
41716	0,61929339	34,947266	-11,896387	-11,982293	-0,039625168
41716	0,61929572	35,147461	-12,677149	-12,798992	-0,042200834
41716	0,61929798	35,347656	-13,457911	-13,639229	-0,044891238
41716	0,61930031	35,547852	-14,238672	-14,473926	-0,04690215
41716	0,61930263	35,748047	-15,019434	-15,247047	-0,049062818
41716	0,61930496	35,948242	-15,800196	-16,018761	-0,051953644
41716	0,61930728	36,148438	-16,580957	-16,810898	-0,053469837
41716	0,6193096	36,348633	-17,361719	-17,578115	-0,055493414
41716	0,61931193	36,548828	-18,142481	-18,285851	-0,057370216
41716	0,61931425	36,749023	-18,923243	-19,081974	-0,059198588
41716	0,61931652	36,949219	-19,704004	-19,873503	-0,061398
41716	0,61931884	37,149414	-20,484766	-20,586641	-0,06333217
41716	0,61932117	37,349609	-21,265528	-21,360735	-0,064981729
41716	0,61932349	37,549805	-22,046289	-22,157644	-0,066425651
41716	0,61932582	37,75	-22,827051	-22,925058	-0,068875402
41716	0,61932814	37,950195	-23,607813	-23,710295	-0,070568919
41716	0,61933047	38,150391	-24,388575	-24,508387	-0,07257238
41716	0,61933279	38,350586	-25,169336	-25,286343	-0,074085593
41716	0,61933506	38,550781	-25,950098	-26,034897	-0,076144189
41716	0,61933738	38,750977	-26,73086	-26,808205	-0,078086555
41716	0,6193397	38,951172	-27,511621	-27,617886	-0,079460442
41716	0,61934203	39,151367	-28,292383	-28,352354	-0,081519783
41716	0,61934435	39,351563	-29,073145	-29,136431	-0,083551556
41716	0,61934668	39,551758	-29,853907	-29,919455	-0,08501336
41716	0,619349	39,751953	-30,634668	-30,707706	-0,086465478
41716	0,61935133	39,952148	-31,41543	-31,494043	-0,088369846
