MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	27,330078	s	17.07.2014 13:07:14
Datum	17.07.14
Prüfer:	Kh
Probebezeichnung	Maack 8.2 Druckversuch Probe BK 04 B
Protokoll Seite	143
Durchmesser [mm]:	100,4
Höhe [mm]:	300,5
Masse [g]:	577,8
Bediener Information Ende

Datenerfassung						Zeit:	223,74023	s	17.07.2014 13:10:39
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,99552721	0,54903328
-1,3666451	-709,58508

Datenerfassung						Zeit:	223,75488	s	17.07.2014 13:10:39
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
41837	0,50419718	40,069336	-1,750293	-1,5071332	-0,0040799379
41837	0,5041995	40,269531	-2,5310547	-2,4252403	-0,0095486641
41837	0,50420183	40,469727	-3,3118165	-3,0571966	-0,01424402
41837	0,50420415	40,669922	-4,0925784	-3,2694321	-0,015254319
41837	0,50420648	40,870117	-4,8733401	-4,6542902	-0,022757053
41837	0,5042088	41,070313	-5,6541018	-5,6885071	-0,028610229
41837	0,50421113	41,270508	-6,4348636	-6,2518249	-0,032150745
41837	0,50421339	41,470703	-7,2156253	-6,9718862	-0,036308169
41837	0,50421572	41,670898	-7,996387	-7,9337378	-0,040671229
41837	0,50421804	41,871094	-8,7771482	-8,8895454	-0,045050681
41837	0,50422037	42,071289	-9,55791	-9,7198858	-0,048935413
41837	0,50422269	42,271484	-10,338672	-10,387529	-0,051563978
41837	0,50422502	42,47168	-11,119433	-11,274984	-0,055652857
41837	0,50422734	42,671875	-11,900195	-12,138092	-0,058372319
41837	0,50422961	42,87207	-12,680957	-12,90758	-0,061380863
41837	0,50423193	43,072266	-13,46172	-13,676811	-0,064304471
41837	0,50423425	43,272461	-14,242481	-14,465907	-0,06750375
41837	0,50423658	43,472656	-15,023243	-15,20241	-0,069826841
41837	0,5042389	43,672852	-15,804005	-16,030443	-0,072476268
41837	0,50424123	43,873047	-16,584766	-16,732719	-0,074984133
41837	0,50424355	44,073242	-17,365528	-17,592926	-0,077491999
41837	0,50424588	44,273438	-18,14629	-18,418926	-0,080442429
41837	0,50424814	44,473633	-18,927052	-19,069351	-0,082576275
41837	0,50425047	44,673828	-19,707813	-19,775049	-0,084397197
41837	0,50425279	44,874023	-20,488575	-20,770798	-0,087864697
41837	0,50425512	45,074219	-21,269337	-21,508343	-0,089551508
41837	0,50425744	45,274414	-22,050098	-22,161577	-0,091764331
41837	0,50425977	45,474609	-22,83086	-22,883959	-0,094509125
41837	0,50426209	45,674805	-23,611622	-23,664257	-0,096406043
41837	0,50426441	45,875	-24,392384	-24,656399	-0,099642575
41837	0,50426668	46,075195	-25,173145	-25,302002	-0,10115504
41837	0,504269	46,275391	-25,953907	-25,940989	-0,10301024
41837	0,50427133	46,475586	-26,734669	-26,851753	-0,10549575
41837	0,50427365	46,675781	-27,51543	-27,630875	-0,10756552
41837	0,50427598	46,875977	-28,296192	-28,503437	-0,10925829
41837	0,5042783	47,076172	-29,076954	-29,223429	-0,11244267
41837	0,50428063	47,276367	-29,857716	-30,025469	-0,11424422
41837	0,50428295	47,476563	-30,638477	-30,784019	-0,11660755
41837	0,50428522	47,676758	-31,419239	-31,463207	-0,118047
41837	0,50428754	47,876953	-32,200001	-32,234818	-0,12053549
41837	0,50428987	48,077148	-32,980762	-33,106606	-0,12286901
41837	0,50429219	48,277344	-33,761524	-33,873917	-0,12436658
41837	0,50429451	48,477539	-34,542286	-34,621513	-0,12674183
41837	0,50429684	48,677734	-35,323048	-35,379463	-0,12910068
41837	0,50429916	48,87793	-36,103809	-36,271866	-0,13135076
41837	0,50430149	49,078125	-36,884571	-36,914116	-0,13309121
41837	0,50430375	49,27832	-37,665333	-37,772305	-0,13470799
41837	0,50430608	49,478516	-38,446095	-38,578766	-0,13700873
41837	0,5043084	49,678711	-39,226856	-39,325573	-0,13930351
41837	0,50431073	49,878906	-40,007618	-40,186691	-0,14108866
41837	0,50431305	50,079102	-40,78838	-40,783253	-0,14183223
41837	0,50431538	50,279297	-41,569141	-41,628414	-0,14428496
41837	0,5043177	50,479492	-42,349903	-42,395317	-0,14621466
41837	0,50432003	50,679688	-43,130665	-43,208015	-0,14794618
41837	0,50432229	50,879883	-43,911427	-43,953228	-0,15057325
41837	0,50432462	51,080078	-44,692188	-44,87912	-0,15188009
41837	0,50432694	51,280273	-45,47295	-45,533592	-0,15419573
41837	0,50432926	51,480469	-46,253712	-46,214741	-0,15610307
41837	0,50433159	51,680664	-47,034473	-47,12635	-0,15795231
41837	0,50433391	51,880859	-47,815235	-47,993073	-0,15992373
41837	0,50433624	52,081055	-48,595997	-48,864189	-0,16210973
41837	0,50433856	52,28125	-49,376759	-49,259506	-0,1631543
41837	0,50434083	52,481445	-50,15752	-50,15836	-0,16536564
