MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	109,26074	s	28.01.2015 10:39:58
Datum	27.02.2015
Prüfer:	Kh
Probebezeichnung	Wolf 8.2 Probe 3
Protokoll Seite	146
Durchmesser [mm]:	100
Höhe [mm]:	98,6
Masse [g]:	5369,2
Bediener Information Ende

Datenerfassung						Zeit:	213,6084	s	28.01.2015 10:41:42
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,0004529953	-1,3472568
-6,6031547	-359,89264

Datenerfassung						Zeit:	213,61816	s	28.01.2015 10:41:42
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
42032	0,44434342	121,27051	-1,750293	-1,973696	-0,0032484531
42032	0,44434574	121,4707	-2,5310547	-2,7049556	-0,0098228455
42032	0,44434807	121,6709	-3,3118165	-3,0024834	-0,028669834
42032	0,44435036	121,87109	-4,0925784	-4,2823534	-0,047576427
42032	0,44435269	122,07129	-4,8733401	-5,1097198	-0,057378411
42032	0,44435501	122,27148	-5,6541018	-5,9166608	-0,064775348
42032	0,44435734	122,47168	-6,4348636	-6,2640533	-0,067460537
42032	0,44435963	122,67188	-7,2156253	-6,897686	-0,072425604
42032	0,44436195	122,87207	-7,996387	-8,0080633	-0,07956028
42032	0,44436428	123,07227	-8,7771482	-9,1138391	-0,085031986
42032	0,4443666	123,27246	-9,55791	-9,810276	-0,089436769
42032	0,4443689	123,47266	-10,338672	-10,57943	-0,093236566
42032	0,44437122	123,67285	-11,119433	-11,219316	-0,097277761
42032	0,44437355	123,87305	-11,900195	-11,999207	-0,10060966
42032	0,44437587	124,07324	-12,680957	-12,807905	-0,10508001
42032	0,44437817	124,27344	-13,46172	-13,655078	-0,10840893
42032	0,44438049	124,47363	-14,242481	-14,460815	-0,1121074
42032	0,44438282	124,67383	-15,023243	-15,324377	-0,11515319
42032	0,44438514	124,87402	-15,804005	-16,097515	-0,1186043
42032	0,44438744	125,07422	-16,584766	-16,840603	-0,12229085
42032	0,44438976	125,27441	-17,365528	-17,717766	-0,12559295
42032	0,44439209	125,47461	-18,14629	-18,412859	-0,1280874
42032	0,44439441	125,6748	-18,927052	-19,11862	-0,13074875
42032	0,4443967	125,875	-19,707813	-19,995844	-0,13394058
42032	0,44439903	126,0752	-20,488575	-20,696541	-0,13644993
42032	0,44440135	126,27539	-21,269337	-21,409685	-0,13923049
42032	0,44440368	126,47559	-22,050098	-22,276175	-0,14299154
42032	0,44440597	126,67578	-22,83086	-23,012686	-0,14546216
42032	0,4444083	126,87598	-23,611622	-23,720278	-0,1480937
42032	0,44441062	127,07617	-24,392384	-24,589546	-0,15053749
42032	0,44441295	127,27637	-25,173145	-25,334906	-0,15282631
42032	0,44441524	127,47656	-25,953907	-26,029741	-0,15568733
42032	0,44441757	127,67676	-26,734669	-26,920197	-0,15873015
42032	0,44441989	127,87695	-27,51543	-27,626589	-0,16107857
42032	0,44442222	128,07715	-28,296192	-28,41181	-0,16341209
42032	0,44442451	128,27734	-29,076954	-29,198418	-0,16653538
42032	0,44442683	128,47754	-29,857716	-29,990501	-0,16805828
42032	0,44442916	128,67773	-30,638477	-30,682455	-0,17096996
42032	0,44443145	128,87793	-31,419239	-31,577047	-0,17323196
42032	0,44443378	129,07813	-32,200001	-32,255627	-0,17593801
42032	0,4444361	129,27832	-32,980762	-33,067593	-0,17843246
42032	0,44443843	129,47852	-33,761524	-33,874615	-0,18106997
42032	0,44444072	129,67871	-34,542286	-34,647022	-0,1829803
42032	0,44444305	129,87891	-35,323048	-35,32547	-0,18561482
42032	0,44444537	130,0791	-36,103809	-36,251133	-0,18770397
