MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	13,041992	s	28.01.2015 10:45:11
Datum	27.02.2015
Prüfer:	Kh
Probebezeichnung	Wolf 8.2 Probe 6
Protokoll Seite	146
Durchmesser [mm]:	100
Höhe [mm]:	300,3
Masse [g]:	5368,3
Bediener Information Ende

Datenerfassung						Zeit:	116,96973	s	28.01.2015 10:46:55
Ch 1 Weg	Ch 1 Kraft
mm	kN
1,9898981	0,1748465
-1,2324512	-351,88205

Datenerfassung						Zeit:	116,98242	s	28.01.2015 10:46:55
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
42032	0,4479638	25,072266	-1,7464844	-1,603458	-0,003644824
42032	0,44796613	25,272461	-2,5272462	-2,4012699	-0,0093400478
42032	0,44796845	25,472656	-3,308008	-2,9681568	-0,018721819
42032	0,44797075	25,672852	-4,0887694	-3,836561	-0,03336072
42032	0,44797307	25,873047	-4,8695312	-4,7336369	-0,045526028
42032	0,4479754	26,073242	-5,6502929	-5,5293589	-0,054758787
42032	0,44797772	26,273438	-6,4310546	-6,0877595	-0,061312318
42032	0,44798002	26,473633	-7,2118168	-6,5299001	-0,066530704
42032	0,44798234	26,673828	-7,9925785	-7,5516572	-0,073704123
42032	0,44798467	26,874023	-8,7733402	-8,8086061	-0,082623959
42032	0,44798699	27,074219	-9,5541019	-9,6450377	-0,0882864
42032	0,44798928	27,274414	-10,334864	-10,335637	-0,094202161
42032	0,44799161	27,474609	-11,115625	-11,127744	-0,097998977
42032	0,44799393	27,674805	-11,896387	-11,855907	-0,10264814
42032	0,44799626	27,875	-12,677149	-12,691991	-0,10623932
42032	0,44799855	28,075195	-13,457911	-13,562384	-0,11175573
42032	0,44800088	28,275391	-14,238672	-14,411537	-0,11564791
42032	0,4480032	28,475586	-15,019434	-15,227979	-0,11982918
42032	0,44800553	28,675781	-15,800196	-16,051332	-0,12365282
42032	0,44800782	28,875977	-16,580957	-16,832714	-0,12631714
42032	0,44801015	29,076172	-17,361719	-17,602243	-0,12906194
42032	0,44801247	29,276367	-18,142481	-18,383654	-0,13249218
42032	0,4480148	29,476563	-18,923243	-19,10887	-0,1349479
42032	0,44801709	29,676758	-19,704004	-19,91193	-0,13896823
42032	0,44801942	29,876953	-20,484766	-20,655163	-0,14122128
42032	0,44802174	30,077148	-21,265528	-21,40196	-0,14412105
42032	0,44802406	30,277344	-22,046289	-22,201324	-0,14657676
42032	0,44802636	30,477539	-22,827051	-22,960009	-0,15056729
42032	0,44802868	30,677734	-23,607813	-23,763115	-0,15287101
42032	0,44803101	30,87793	-24,388575	-24,496386	-0,15560091
42032	0,44803333	31,078125	-25,169336	-25,309752	-0,15818477
42032	0,44803563	31,27832	-25,950098	-26,073011	-0,16109049
42032	0,44803795	31,478516	-26,73086	-26,820751	-0,16308725
42032	0,44804028	31,678711	-27,511621	-27,623682	-0,16601682
42032	0,4480426	31,878906	-28,292383	-28,368746	-0,16844571
42032	0,4480449	32,079102	-29,073145	-29,175793	-0,17172098
42032	0,44804722	32,279297	-29,853907	-29,920872	-0,17417967
42032	0,44804955	32,479492	-30,634668	-30,748066	-0,17584562
42032	0,44805187	32,679688	-31,41543	-31,490824	-0,17829239
42032	0,44805416	32,879883	-32,196194	-32,273205	-0,18063784
42032	0,44805649	33,080078	-32,976955	-33,065472	-0,18344223
42032	0,44805881	33,280273	-33,757717	-33,850578	-0,18646419
42032	0,44806114	33,480469	-34,538479	-34,606377	-0,18911362
42032	0,44806343	33,680664	-35,319241	-35,37146	-0,19023418
42032	0,44806576	33,880859	-36,100002	-36,228848	-0,19332767
42032	0,44806808	34,081055	-36,880764	-36,94178	-0,19548535
42032	0,44807041	34,28125	-37,661526	-37,769218	-0,19732416
42032	0,4480727	34,481445	-38,442287	-38,531269	-0,20004809
42032	0,44807503	34,681641	-39,223049	-39,306026	-0,20245016
42032	0,44807735	34,881836	-40,003811	-40,058842	-0,20440519
42032	0,44807968	35,082031	-40,784573	-40,845528	-0,20703375
42032	0,44808197	35,282227	-41,565334	-41,641624	-0,20940304
42032	0,44808429	35,482422	-42,346096	-42,399696	-0,21138787
42032	0,44808662	35,682617	-43,126858	-43,231079	-0,21381676
42032	0,44808894	35,882813	-43,907619	-43,978909	-0,21561384
42032	0,44809124	36,083008	-44,688381	-44,764889	-0,217852
42032	0,44809356	36,283203	-45,469143	-45,519764	-0,2205044
42032	0,44809589	36,483398	-46,249905	-46,325153	-0,22247136
42032	0,44809821	36,683594	-47,030666	-47,111458	-0,22533238
42032	0,44810051	36,883789	-47,811428	-47,843365	-0,22767484
42032	0,44810283	37,083984	-48,59219	-48,684414	-0,22949576
42032	0,44810516	37,28418	-49,372952	-49,445057	-0,23107529
42032	0,44810748	37,484375	-50,153713	-50,255215	-0,23389459
42032	0,44810978	37,68457	-50,934475	-51,005592	-0,23597479
42032	0,4481121	37,884766	-51,715237	-51,80978	-0,23803711
42032	0,44811442	38,084961	-52,495998	-52,569828	-0,24045408
42032	0,44811675	38,285156	-53,27676	-53,318295	-0,24277866
42032	0,44811904	38,485352	-54,057522	-54,132427	-0,24517775
42032	0,44812137	38,685547	-54,838284	-54,922344	-0,24664104
42032	0,44812369	38,885742	-55,619045	-55,70771	-0,24869442
42032	0,44812602	39,085938	-56,399807	-56,473152	-0,25107563
42032	0,44812831	39,286133	-57,180569	-57,299835	-0,25359988
42032	0,44813064	39,486328	-57,96133	-58,048401	-0,25578737
42032	0,44813296	39,686523	-58,742092	-58,810364	-0,25724769
42032	0,44813529	39,886719	-59,522854	-59,619061	-0,25962889
42032	0,44813758	40,086914	-60,303616	-60,390152	-0,26188791
42032	0,44813991	40,287109	-61,084377	-61,180035	-0,26427805
