Ch 1 Kraft,Ch 1 Weg
"-0,97106028","-0,027179718"
"-1,0520052","-0,027269125"
"-1,0272954","-0,026786327"
"-0,9842869","-0,027450919"
"-1,0181404","-0,026428699"
"-1,0274109","-0,027582049"
"-0,95803475","-0,027489662"
"-1,0001287","-0,027817488"
"-1,0376945","-0,028046966"
"-0,95250273","-0,026106834"
"-0,99859947","-0,02630353"
"-1,0135994","-0,027787685"
"-0,94312429","-0,027310848"
"-0,97682512","-0,026220083"
"-0,99683928","-0,027507544"
"-0,95746291","-0,026446581"
"-0,97929311","-0,026547909"
"-1,0190774","-0,026503205"
"-0,93557125","-0,026097894"
"-0,97962284","-0,027093291"
"-2,7246754","-0,007390976"
"-3,9854479","-0,01360178"
"-6,5280442","-0,024357438"
"-8,5362206","-0,031739473"
"-10,669608","-0,040888786"
"-12,683383","-0,048607588"
"-14,686216","-0,055685639"
"-16,592714","-0,061753392"
"-18,474636","-0,068476796"
"-20,472307","-0,073072314"
"-22,395386","-0,079542398"
"-24,296762","-0,084772706"
"-26,307699","-0,090220571"
"-28,245117","-0,095817447"
"-30,148237","-0,10057986"
"-32,149387","-0,10535717"
"-34,07341","-0,11154711"
"-35,987259","-0,11601746"
"-37,956123","-0,12189448"
"-39,912132","-0,12581646"
"-41,840923","-0,13161898"
"-43,87257","-0,13673604"
"-45,760223","-0,14110208"
"-47,649799","-0,14549792"
"-49,643654","-0,15151799"
"-51,593452","-0,15563965"
"-53,510971","-0,16123056"
"-55,473606","-0,16536117"
"-57,462936","-0,17046034"
"-59,341179","-0,17497838"
"-61,330112","-0,18006265"
"-63,336582","-0,18419027"
"-65,220131","-0,18943548"
"-67,190712","-0,19313097"
"-69,169754","-0,19962192"
"-71,003036","-0,20338893"
"-72,977486","-0,20893216"
"-74,989403","-0,21294355"
"-76,951111","-0,21790266"
"-78,808029","-0,22068918"
"-80,857224","-0,22622943"
"-82,759026","-0,23062229"
"-84,711975","-0,23533106"
"-86,743675","-0,24026036"
"-88,643852","-0,24581254"
"-90,577515","-0,24803579"
"-92,578682","-0,25275946"
"-94,481812","-0,25975108"
"-96,373749","-0,26313365"
"-98,370781","-0,26661456"
"-100,30705","-0,27123988"
"-102,21919","-0,27557015"
"-104,29115","-0,28013289"
"-106,19765","-0,28464794"
"-108,146","-0,28874278"
"-110,13417","-0,29301643"
"-112,05064","-0,29724836"
"-113,94994","-0,30100346"
"-115,91273","-0,30544102"
"-117,9217","-0,30984581"
"-119,83188","-0,31449795"
"-121,794","-0,31895041"
"-123,82549","-0,32323897"
"-125,67248","-0,32750368"
"-127,62106","-0,33107102"
"-129,61588","-0,33648908"
"-131,53658","-0,34013689"
"-133,4653","-0,34380257"
"-135,50284","-0,34858882"
"-137,4285","-0,35343468"
"-139,29573","-0,35758018"
"-141,33052","-0,3613919"
"-140,94353","-0,36242604"
"-138,99542","-0,35880506"
"-137,0533","-0,35582483"
"-135,02345","-0,3521055"
"-132,98407","-0,34840107"
"-131,1524","-0,34536421"
"-129,17686","-0,34182072"
"-127,18694","-0,33747554"
"-125,18485","-0,33441186"
"-123,21001","-0,33130944"
"-121,2144","-0,32741427"
"-119,39684","-0,32327771"
"-117,45443","-0,32186806"
"-115,39812","-0,3167212"
"-113,54198","-0,31326413"
"-111,51674","-0,30963421"
"-109,63244","-0,30577481"
"-107,61485","-0,30184984"
"-105,65836","-0,29755235"
"-103,68743","-0,29554963"
"-101,84551","-0,28983653"
"-99,822304","-0,28623044"
"-97,854225","-0,2833426"
"-95,961525","-0,27898252"
"-93,994843","-0,27537048"
"-92,006683","-0,27212501"
"-90,09993","-0,26722848"
"-88,13485","-0,26412904"
"-86,145508","-0,26029944"
"-84,216881","-0,25570989"
"-82,290527","-0,25134683"
"-80,2994","-0,24862587"
"-78,318436","-0,2431035"
"-76,371597","-0,23866892"
"-74,413185","-0,23539662"
"-72,548447","-0,23188591"
"-70,595451","-0,22687316"
"-68,608803","-0,22380352"
"-66,643135","-0,21787286"
"-64,732056","-0,21422207"
"-62,737225","-0,20884275"
"-60,805843","-0,20492375"
"-58,900951","-0,20095408"
"-56,887669","-0,1958102"
"-54,969009","-0,19149184"
"-53,065205","-0,18675923"
"-51,045238","-0,181216"
"-49,120876","-0,17708242"
"-47,220619","-0,17153919"
"-45,201447","-0,16768277"
"-43,26823","-0,16254485"
"-41,383606","-0,15758872"
"-39,37431","-0,15267134"
"-37,399796","-0,14644861"
"-35,531075","-0,1421392"
"-33,536533","-0,13659"
"-31,545229","-0,13188124"
"-29,697727","-0,12649"
"-27,723255","-0,12074709"
"-25,700565","-0,11458099"
"-23,80971","-0,1093328"
"-21,839331","-0,10311306"
"-19,857241","-0,097814202"
"-17,936621","-0,091764331"
"-15,952225","-0,084832311"
"-13,979497","-0,078848004"
"-12,114523","-0,07199347"
"-10,148499","-0,06558001"
"-8,1432858","-0,058320165"
"-6,2330422","-0,04760623"
"-4,3266716","-0,038775802"
"-5,1549768","-0,041925907"
"-7,2371998","-0,048676133"
"-9,3032494","-0,057637691"
"-11,23381","-0,063550472"
"-13,265349","-0,070461631"
"-15,252776","-0,07635653"
"-17,165899","-0,081390142"
"-19,146414","-0,088232756"
"-21,14525","-0,094720721"
"-23,056452","-0,099360943"
"-24,993782","-0,10468364"
"-27,029119","-0,11031926"
"-28,931887","-0,11505187"
"-30,865471","-0,12042522"
"-32,886009","-0,12494028"
"-34,823677","-0,12995601"
"-36,68771","-0,13614595"
"-38,765163","-0,14128983"
"-40,686966","-0,1452446"
"-42,617546","-0,14919639"
"-44,54974","-0,15450418"
"-46,553753","-0,15966296"
"-48,423073","-0,164482"
"-50,447414","-0,16784668"
"-52,326565","-0,17338395"
"-54,265907","-0,17781258"
"-56,340408","-0,18327236"
"-58,241238","-0,18723011"
"-60,128422","-0,19204617"
"-62,075943","-0,19617379"
"-64,095764","-0,20130277"
"-65,953339","-0,20528734"
"-68,003426","-0,21062791"
"-69,936829","-0,21520853"
"-71,819748","-0,21811426"
"-73,786873","-0,2228111"
"-75,754799","-0,22750199"
"-77,681244","-0,23201108"
"-79,615189","-0,23656785"
"-81,651161","-0,24026036"
"-83,501579","-0,24422109"
"-85,461151","-0,2484709"
"-87,463554","-0,25296509"
"-89,332573","-0,25731027"
"-91,315887","-0,26046336"
"-93,328819","-0,2661258"
"-95,201744","-0,26921928"
"-97,118759","-0,2736032"
"-99,162125","-0,27810633"
"-101,02583","-0,28256178"
"-102,99109","-0,28590858"
"-105,01337","-0,29046237"
"-106,83791","-0,29409826"
"-108,74636","-0,29836893"
"-110,80927","-0,30298233"
"-112,71642","-0,30732155"
"-114,66238","-0,31119883"
"-116,68533","-0,31505525"
"-118,64217","-0,3195703"
"-120,53655","-0,32312274"
"-122,58553","-0,3277719"
"-124,51903","-0,33039153"
"-126,39397","-0,3346622"
"-128,39635","-0,33852458"
"-130,33701","-0,34332275"
"-132,23424","-0,34655035"
"-134,15269","-0,35003722"
"-136,13487","-0,35443604"
"-138,0383","-0,35846233"
"-140,061","-0,36171377"
"-140,24646","-0,36324263"
"-138,14931","-0,36037862"
"-136,21576","-0,35719275"
"-134,25862","-0,35321712"
"-132,2493","-0,35021007"
"-130,2502","-0,34573376"
"-128,36049","-0,34252107"
"-126,35814","-0,33946335"
"-124,4176","-0,33546984"
"-122,50179","-0,33132732"
"-120,50687","-0,32957196"
"-118,54748","-0,32433569"
"-116,64091","-0,32179654"
"-114,64501","-0,31774044"
"-112,68591","-0,31421781"
"-110,80412","-0,31148493"
"-108,91082","-0,30753613"
"-107,01107","-0,30405223"
"-105,08108","-0,30029118"
"-102,97094","-0,29664338"
"-101,00365","-0,29174089"
"-99,092163","-0,28777719"
"-97,084564","-0,28433204"
"-95,101837","-0,28084517"
"-93,208748","-0,27723908"
"-91,285706","-0,27372241"
"-89,289345","-0,26872456"
"-87,386055","-0,26510954"
"-85,42041","-0,26200712"
"-83,411446","-0,25644302"
"-81,525978","-0,25224686"
"-79,515388","-0,24876893"
"-77,538261","-0,24488866"
"-75,634598","-0,24053752"
"-73,674232","-0,2365768"
"-71,715401","-0,23187399"
"-69,7556","-0,227651"
"-67,879906","-0,22468567"
"-65,886299","-0,21982193"
"-63,984776","-0,21391213"
"-61,972618","-0,21040738"
"-59,991711","-0,20519197"
"-58,071693","-0,20149648"
"-56,143948","-0,1973629"
"-54,145065","-0,19241869"
"-52,257774","-0,18817782"
"-50,303082","-0,1826793"
"-48,316807","-0,17704368"
"-46,395622","-0,17212033"
"-44,429665","-0,16913712"
"-42,509151","-0,16358197"
"-40,548775","-0,15750527"
"-38,652939","-0,15286207"
"-36,63842","-0,14779568"
"-34,710865","-0,1429528"
"-32,812683","-0,13730526"
"-30,813231","-0,13178289"
"-28,84601","-0,12539029"
"-26,978378","-0,12055635"
"-24,96632","-0,11588633"
"-22,981495","-0,10900795"
"-21,115208","-0,10381043"
"-19,094976","-0,098565221"
"-17,140362","-0,09073019"
"-15,265269","-0,085178018"
"-13,28105","-0,077748299"
"-11,292835","-0,072792172"
"-9,4077511","-0,063943863"
"-7,4354682","-0,055772066"
"-5,4735093","-0,046554208"
"-3,8248022","-0,037288666"
"-3,8356743","-0,036767125"
"-3,9003844","-0,036743283"
"-4,0150957","-0,037929416"
"-3,9942396","-0,036734343"
"-3,8774796","-0,03721714"
"-3,8647261","-0,036326051"
"-3,8453043","-0,036048889"
"-3,8321297","-0,036108494"
"-3,896553","-0,035533309"
"-3,9003398","-0,0369519"
"-3,8709733","-0,036537647"
"-3,9130206","-0,035405159"
"-3,9264932","-0,036200881"
"-3,8780384","-0,036659837"
"-3,9193778","-0,036218762"
"-3,9516428","-0,036028028"
"-3,8966591","-0,035983324"
"-3,9194524","-0,035920739"
"-3,9433706","-0,035628676"
"-3,8917809","-0,034683943"
"-3,9050822","-0,035348535"
"-3,9538257","-0,036534667"
"-3,898792","-0,035902858"
"-3,9350297","-0,034502149"
"-3,9559715","-0,036367774"
"-3,9057751","-0,034821033"
"-3,9430335","-0,035220385"
"-3,9647036","-0,035384297"
"-3,9070714","-0,035259128"
"-3,9125438","-0,035005808"
"-3,9637537","-0,035539269"
"-3,9387698","-0,034692883"
"-3,9206762","-0,035950541"
"-3,9844923","-0,034454465"
"-3,9091446","-0,0354141"
"-3,9224272","-0,035279989"
"-3,974771","-0,035721064"
"-3,9467757","-0,035017729"
"-3,9018934","-0,035700202"
"-3,9756243","-0,035920739"
"-3,9454997","-0,034958124"
"-3,9008837","-0,035631657"
"-3,9699283","-0,035554171"
"-3,9797089","-0,034600496"
"-3,9243493","-0,034937263"
"-3,9637666","-0,034305453"
"-3,9657521","-0,036343932"
"-3,9247518","-0,034347177"
"-3,9717798","-0,034868717"
"-3,9666276","-0,035578012"
"-3,9208457","-0,035348535"
"-3,9677956","-0,035727024"
"-3,9871595","-0,034499168"
"-3,9039106","-0,036138296"
"-3,936965","-0,035372376"
"-3,9629843","-0,035178661"
"-3,9108303","-0,03567934"
"-3,9329641","-0,034737587"
"-3,9848778","-0,035202503"
"-4,0810628","-0,035730004"
"-5,4752789","-0,040963292"
"-8,3319778","-0,052800775"
"-10,258933","-0,060001016"
"-12,153869","-0,067058206"
"-14,149198","-0,072532892"
"-16,08395","-0,080004334"
"-17,977024","-0,084170699"
"-19,985413","-0,090458989"
"-21,900497","-0,094920397"
"-23,82172","-0,10157526"
"-25,812298","-0,10610521"
"-27,749418","-0,1124233"
"-29,652388","-0,11726618"
"-31,651794","-0,12207329"
"-33,621101","-0,12775362"
"-35,538818","-0,13228953"
"-37,467167","-0,13697743"
"-39,439732","-0,14232397"
"-41,429108","-0,14768839"
"-43,36248","-0,15156865"
"-45,314724","-0,1567781"
"-47,198353","-0,16133785"
"-49,156551","-0,16628504"
"-51,140129","-0,17077029"
"-53,065434","-0,17540455"
"-55,041023","-0,18079281"
"-57,009407","-0,18442273"
"-58,916431","-0,18944144"
"-60,908295","-0,19421875"
"-62,91753","-0,19910634"
"-64,759674","-0,20309389"
"-66,688332","-0,20668507"
"-68,57962","-0,21173358"
"-70,548531","-0,21634102"
"-72,551926","-0,22120476"
"-74,474388","-0,22494197"
"-76,423187","-0,23059547"
"-78,33564","-0,23401678"
"-80,356796","-0,23821592"
"-82,332108","-0,24311543"
"-84,2285","-0,24683774"
"-86,250999","-0,25117993"
"-88,165833","-0,25513768"
"-90,065575","-0,26026666"
"-92,075768","-0,26403666"
"-93,996758","-0,26856065"
"-95,866562","-0,27184486"
"-97,870636","-0,27673841"
"-99,851295","-0,28135777"
"-101,71736","-0,28539896"
"-103,68969","-0,28983057"
"-105,68082","-0,29341578"
"-107,60979","-0,2976656"
"-109,56963","-0,30113757"
"-111,57459","-0,3051579"
"-113,46289","-0,30942559"
"-115,4425","-0,31302273"
"-117,43987","-0,31845272"
"-119,32229","-0,32253265"
"-121,27811","-0,32578111"
"-123,28188","-0,33005774"
"-125,17923","-0,33443868"
"-127,12059","-0,33784509"
"-129,1422","-0,34137964"
"-131,05927","-0,34563243"
"-132,99506","-0,34891367"
"-135,04761","-0,35488904"
"-136,92146","-0,35821497"
"-138,8835","-0,36159158"
"-140,88844","-0,36526918"
"-141,09882","-0,36596954"
"-141,06804","-0,36593676"
"-141,12968","-0,36652684"
"-141,01498","-0,36669075"
"-140,97519","-0,36776662"
"-141,04285","-0,36741495"
"-140,98947","-0,3677994"
"-140,95341","-0,36686957"
"-141,02333","-0,36822557"
"-140,98923","-0,3675282"
"-140,92799","-0,36709905"
"-141,00812","-0,36756098"
"-140,98409","-0,36827922"
"-140,95531","-0,36760271"
"-141,01808","-0,36732554"
"-141,02335","-0,36852062"
"-140,94476","-0,36843717"
"-141,01042","-0,36990345"
"-141,02736","-0,36803186"
"-140,96246","-0,36888421"
"-141,01535","-0,36861002"
"-141,05937","-0,3685385"
"-140,95575","-0,36865771"
"-140,99915","-0,36892295"
"-141,02133","-0,36992431"
"-140,94165","-0,3693223"
"-140,97098","-0,37016273"
"-141,00737","-0,36922395"
"-140,93828","-0,36919713"
"-140,93526","-0,36915541"
"-141,00856","-0,37024021"
"-140,93933","-0,36936402"
"-140,95638","-0,36872923"
"-141,01018","-0,36955774"
"-140,95865","-0,36963224"
"-140,94173","-0,3703475"
"-141,03511","-0,37106872"
"-140,97305","-0,37028193"
"-140,9626","-0,36959648"
"-141,02826","-0,36981404"
"-140,9767","-0,3710568"
"-140,98628","-0,37084818"
"-141,02687","-0,36964118"
"-141,00838","-0,36912858"
"-140,99718","-0,37026405"
"-141,07056","-0,37045181"
"-141,0368","-0,37063658"
"-140,99947","-0,36994219"
"-141,07451","-0,37077665"
"-141,0217","-0,37035644"
"-140,96701","-0,37027597"
"-141,0482","-0,37104785"
"-141,0183","-0,37076771"
"-140,9485","-0,37035048"
"-141,01006","-0,37136376"
"-141,00296","-0,37116706"
"-140,92993","-0,37158132"
"-141,10197","-0,37148595"
"-140,99197","-0,37139654"
"-140,9502","-0,37073493"
"-138,84529","-0,36730766"
"-136,34601","-0,3634721"
"-133,76508","-0,3585875"
"-131,27821","-0,35431385"
"-128,81306","-0,34858584"
"-126,24123","-0,34511089"
"-123,74321","-0,34009218"
"-121,33438","-0,33593774"
"-118,76883","-0,3321141"
"-116,34633","-0,32646954"
"-113,88549","-0,32188296"
"-111,29334","-0,31712055"
"-108,78829","-0,31218231"
"-106,33024","-0,3084451"
"-103,80608","-0,30353367"
"-101,28593","-0,29822886"
"-98,814964","-0,2930373"
"-96,296234","-0,28843582"
"-93,770409","-0,28336644"
"-91,320374","-0,27780533"
"-88,760551","-0,27261972"
"-86,242188","-0,26761889"
"-83,814392","-0,26275814"
"-81,205017","-0,25689006"
"-78,69384","-0,25218725"
"-76,318115","-0,24643242"
"-73,771263","-0,24122596"
"-71,250771","-0,23535192"
"-68,807549","-0,23110807"
"-66,27906","-0,2241075"
"-63,79557","-0,2189368"
"-61,356579","-0,21334589"
"-58,838764","-0,20721853"
"-56,271465","-0,20145774"
"-53,873459","-0,19496083"
"-51,296062","-0,18915236"
"-48,744343","-0,18254519"
"-46,284573","-0,17629862"
"-43,746094","-0,1701057"
"-41,205143","-0,16340315"
"-38,812428","-0,15654862"
"-36,268837","-0,15103221"
"-33,719723","-0,14341474"
"-31,297804","-0,1378864"
"-28,761095","-0,12978911"
"-26,251404","-0,12319982"
"-23,800829","-0,11607111"
"-21,282995","-0,10918975"
"-18,741877","-0,099980831"
"-16,305216","-0,092071295"
"-13,797314","-0,08417964"
"-11,285636","-0,076287985"
"-8,7969694","-0,065377355"
"-6,3261652","-0,055828691"
"-3,779633","-0,040876865"
"-2,0998139","-0,031784177"
"-0,93704647","-0,022104383"
"-0,88449192","-0,020292401"
"-0,93873215","-0,021025538"
"-0,93593264","-0,020876527"
"-0,90328228","-0,018912554"
"-0,95820427","-0,019657612"
"-0,95225501","-0,019806623"
"-0,94478202","-0,020185113"
"-0,97622722","-0,020670891"
"-1,0004137","-0,019359589"
"-0,9476766","-0,019946694"
"-0,99375284","-0,019204617"
"-1,0145624","-0,019678473"
"-0,96352214","-0,019624829"
"-1,002727","-0,020137429"
"-1,0197461","-0,019520521"
"-0,96252745","-0,019386411"
"-1,0111183","-0,019153953"
"-1,0220968","-0,019496679"
"-0,9887237","-0,01937747"
"-0,99779481","-0,019088387"
"-1,027735","-0,019431114"
"-1,0070931","-0,020071864"
"-1,0118763","-0,019317865"
"-1,0439585","-0,018918514"
"-1,0017306","-0,018551946"
"-1,0018088","-0,018042326"
"-1,0400732","-0,019273162"
"-0,99034423","-0,019079447"
"-0,97461045","-0,01860261"
"-1,0262747","-0,018486381"
"-0,97590315","-0,019052625"
"-0,94621813","-0,020182133"
"-0,99404341","-0,018292665"
"-0,96901691","-0,018447638"
"-0,95850974","-0,018265843"
"-1,0216758","-0,019344687"
"-0,990035","-0,018033385"
"-0,9522438","-0,017631054"
"-1,0229815","-0,018462539"
"-0,98828226","-0,0197649"
"-0,95889717","-0,018265843"
"-1,0207574","-0,018897653"
"-1,015775","-0,019285083"
"-0,98404849","-0,018742681"
"-1,0413435","-0,018972158"
"-1,0299497","-0,018253922"
"-0,97613406","-0,018751621"
"-1,0256879","-0,018143654"
"-1,0111295","-0,020110607"
"-0,96011162","-0,019541383"
"-1,008505","-0,018632412"
"-1,0115262","-0,019231439"
"-0,965029","-0,018438697"
"-1,0040383","-0,018334389"
"-1,0298826","-0,018364191"
"-0,97479486","-0,017979741"
"-1,0077022","-0,018587708"
"-1,0538548","-0,019085407"
"-1,000464","-0,019475818"
"-0,99576825","-0,017407537"
"-1,0677874","-0,018432736"
"-0,99324059","-0,01783669"
"-1,0247585","-0,019091368"
"-1,0324624","-0,018134713"
"-0,99382734","-0,017374754"
"-0,97164512","-0,01719296"
"-1,0309405","-0,018969178"
"-0,97755343","-0,017547607"
"-0,96304715","-0,018179417"
"-1,0183454","-0,018644333"
"-0,96661413","-0,017896295"
"-0,96295959","-0,018107891"
"-1,0318682","-0,018072128"
"-0,95110387","-0,017768145"
"-0,97001529","-0,017860532"
"-1,0417309","-0,018239021"
"-1,0100137","-0,017231703"
"-0,98098069","-0,017127395"
"-1,0291543","-0,018519163"
"-1,0035355","-0,017979741"
"-0,98756701","-0,018405914"
"-1,0360777","-0,01924634"
"-1,0310709","-0,01732111"
"-1,0349975","-0,017654896"
"-1,0712836","-0,018566847"
"-1,0391511","-0,017267466"
"-0,97740257","-0,016340613"
"-1,0027196","-0,01885891"
"-1,000151","-0,018453598"
"-0,94969571","-0,017595291"
"-1,0007452","-0,01847446"
"-1,0229666","-0,017869473"
"-0,96692145","-0,01860261"
"-1,0002944","-0,017338991"
"-1,0290612","-0,017887354"
"-0,97308123","-0,01821816"
"-0,99818593","-0,017568469"
"-1,0425839","-0,018268824"
"-0,99648905","-0,018155575"
"-1,0031257","-0,018694997"
"-1,0340438","-0,017783046"
"-1,011163","-0,018128753"
"-1,0147151","-0,016760826"
"-1,0477304","-0,017291307"
"-0,98086524","-0,017404556"
"-0,97209215","-0,017687678"
"-1,0282639","-0,017923117"
"-0,96851957","-0,018075109"
"-0,9784922","-0,017505884"
"-1,0419395","-0,017672777"
"-1,0035504","-0,017473102"
"-0,98886341","-0,017303228"
"-1,0746886","-0,017288327"
"-1,0203328","-0,016611814"
"-0,99715406","-0,017294288"
"-1,011746","-0,016522408"
"-0,9714011","-0,017881393"
