Ch 1 Kraft,Ch 1 Weg
"-0,97761488","-0,025072694"
"-1,0547712","-0,024983287"
"-0,98180401","-0,024351478"
"-0,95992351","-0,025939941"
"-1,0647346","-0,024539232"
"-0,99024737","-0,023844838"
"-0,9438321","-0,025323033"
"-1,0538641","-0,025007129"
"-0,99897945","-0,023603439"
"-0,96281058","-0,025331974"
"-1,0334141","-0,02463758"
"-1,0150187","-0,024417043"
"-0,98197162","-0,025096536"
"-1,0222942","-0,0251472"
"-1,0233428","-0,024825335"
"-0,97492337","-0,024536252"
"-1,0055043","-0,024834275"
"-1,0184534","-0,024351478"
"-0,98394603","-0,02387166"
"-0,96911752","-0,024843216"
"-2,7589743","-0,0066578388"
"-3,9852018","-0,014019012"
"-6,4928422","-0,025510788"
"-8,4502811","-0,033447146"
"-10,758852","-0,043880939"
"-12,75801","-0,05107522"
"-14,692244","-0,057047606"
"-16,620642","-0,063219666"
"-18,523624","-0,068446994"
"-20,469894","-0,074574351"
"-22,437065","-0,081199408"
"-24,342224","-0,086611509"
"-26,219837","-0,090625882"
"-28,134197","-0,096768141"
"-30,204952","-0,10304451"
"-32,141201","-0,1070559"
"-34,085407","-0,11321008"
"-36,051777","-0,11889935"
"-37,849323","-0,1232177"
"-39,833317","-0,12702644"
"-41,941135","-0,13276935"
"-43,785465","-0,13858974"
"-45,751488","-0,14313161"
"-47,654335","-0,14895499"
"-49,597385","-0,15353858"
"-51,498756","-0,15765429"
"-53,606358","-0,16277432"
"-55,573326","-0,1676321"
"-57,377525","-0,17234087"
"-59,457748","-0,17716289"
"-61,408726","-0,18166006"
"-63,221447","-0,18631816"
"-65,207245","-0,19159019"
"-67,302971","-0,19553006"
"-69,110603","-0,20107627"
"-71,1325","-0,20467639"
"-73,122047","-0,21056235"
"-74,972244","-0,21492839"
"-76,871773","-0,21796227"
"-78,918266","-0,22366345"
"-80,8312","-0,22850037"
"-82,760841","-0,23284554"
"-84,793755","-0,23712516"
"-86,707413","-0,2417624"
"-88,623909","-0,24533272"
"-90,604111","-0,25065541"
"-92,588081","-0,25489032"
"-94,475037","-0,25949776"
"-96,435799","-0,26349425"
"-98,428368","-0,26818514"
"-100,34467","-0,27306378"
"-102,24553","-0,27682781"
"-104,26816","-0,28187335"
"-106,17387","-0,28632581"
"-108,13935","-0,29092729"
"-110,17572","-0,29413402"
"-112,05897","-0,29926896"
"-113,96481","-0,30264854"
"-115,96126","-0,30679405"
"-117,90317","-0,31207204"
"-119,81559","-0,31631887"
"-121,81838","-0,31917691"
"-123,79504","-0,32426119"
"-125,67679","-0,33002198"
"-127,6039","-0,33326745"
"-129,63283","-0,33816993"
"-131,51674","-0,34236312"
"-133,44621","-0,345698"
"-135,4971","-0,35146475"
"-137,40987","-0,35400093"
"-139,30742","-0,35851002"
"-141,32484","-0,3638953"
"-141,03575","-0,36241412"
"-138,98242","-0,36042631"
"-137,04605","-0,35598278"
"-135,05045","-0,35283267"
"-132,99324","-0,3493309"
"-131,11674","-0,34638643"
"-129,21794","-0,34400225"
"-127,13171","-0,33976734"
"-125,17953","-0,33552647"
"-123,25847","-0,33178329"
"-121,24829","-0,32920241"
"-119,28632","-0,32410324"
"-117,47225","-0,32152832"
"-115,45938","-0,3175348"
"-113,48469","-0,31486452"
"-111,58953","-0,31085312"
"-109,65399","-0,30719042"
"-107,62353","-0,30300915"
"-105,72627","-0,29989779"
"-103,74698","-0,29467642"
"-101,77288","-0,29176772"
"-99,866615","-0,28831959"
"-97,936256","-0,28425455"
"-95,941109","-0,28014779"
"-93,983177","-0,2766192"
"-92,101952","-0,27193427"
"-90,124168","-0,26850402"
"-88,163712","-0,26476979"
"-86,233208","-0,26109517"
"-84,293144","-0,25684536"
"-82,305496","-0,25230348"
"-80,402695","-0,24957955"
"-78,445168","-0,24470687"
"-76,40596","-0,240767"
"-74,520172","-0,23667812"
"-72,553162","-0,23253858"
"-70,564667","-0,22816062"
"-68,610916","-0,22441149"
"-66,716682","-0,21912754"
"-64,690063","-0,2153784"
"-62,752678","-0,21034181"
"-60,866741","-0,20616353"
"-58,869591","-0,20167828"
"-56,923588","-0,19626617"
"-55,026405","-0,1926899"
"-53,047916","-0,18690825"
"-51,07135","-0,18220842"
"-49,203644","-0,17831028"
"-47,232811","-0,17380416"
"-45,236046","-0,16817451"
"-43,320347","-0,16372502"
"-41,378384","-0,15804768"
"-39,34346","-0,15396774"
"-37,430878","-0,14875233"
"-35,509678","-0,14342368"
"-33,485569","-0,13804734"
"-31,592279","-0,13141036"
"-29,705936","-0,12682378"
"-27,64933","-0,1216501"
"-25,694603","-0,11672974"
"-23,843487","-0,11086166"
"-21,827368","-0,10401905"
"-19,902452","-0,09945035"
"-18,000015","-0,092092156"
"-16,036825","-0,087013841"
"-14,03867","-0,079810619"
"-12,10199","-0,073260069"
"-10,166523","-0,066825747"
"-8,1321993","-0,057724118"
"-6,2313957","-0,049030781"
"-4,3291264","-0,04041791"
"-5,1683521","-0,041815639"
"-7,2183218","-0,050315261"
"-9,2974005","-0,058063865"
"-11,237244","-0,06570816"
"-13,210609","-0,07032156"
"-15,251285","-0,077459216"
"-17,189035","-0,084835291"
"-19,084787","-0,089845061"
"-21,081873","-0,094267726"
"-22,998735","-0,10001063"
"-24,952278","-0,10584593"
"-26,944372","-0,11029541"
"-28,902643","-0,11702776"
"-30,82749","-0,12214184"
"-32,771786","-0,12558103"
"-34,750088","-0,1314044"
"-36,650097","-0,13678074"
"-38,606205","-0,14162362"
"-40,603954","-0,14637411"
"-42,536354","-0,15221834"
"-44,479961","-0,15527606"
"-46,51894","-0,16103089"
"-48,408703","-0,16444921"
"-50,29929","-0,16996562"
"-52,300743","-0,17434657"
"-54,267494","-0,17877221"
"-56,160843","-0,18363893"
"-58,135651","-0,18824637"
"-60,12233","-0,19249618"
"-62,113235","-0,19881725"
"-63,975311","-0,20186603"
"-65,999763","-0,20624995"
"-67,92041","-0,21123886"
"-69,842697","-0,21521151"
"-71,835732","-0,21986961"
"-73,824554","-0,22340119"
"-75,686035","-0,22754371"
"-77,653412","-0,23242831"
"-79,665382","-0,2371341"
"-81,487061","-0,24163127"
"-83,466286","-0,24598539"
"-85,47435","-0,25030673"
"-87,451225","-0,25458932"
"-89,337997","-0,25784373"
"-91,362587","-0,26289225"
"-93,250603","-0,267151"
"-95,168472","-0,27073622"
"-97,20446","-0,27433634"
"-99,116493","-0,27942955"
"-101,04982","-0,28306842"
"-103,06446","-0,28749406"
"-104,96281","-0,2918005"
"-106,90034","-0,29648244"
"-108,85374","-0,29974282"
"-110,88062","-0,30401945"
"-112,77988","-0,30770302"
"-114,70654","-0,31250715"
"-116,73748","-0,31587481"
"-118,57256","-0,32066703"
"-120,52386","-0,32413006"
"-122,53133","-0,32747686"
"-124,43954","-0,33214986"
"-126,38496","-0,33580363"
"-128,4236","-0,34040809"
"-130,32494","-0,34485161"
"-132,21182","-0,34761429"
"-134,24068","-0,35244226"
"-136,17906","-0,35618842"
"-138,08604","-0,35932362"
"-140,09023","-0,36378801"
"-140,30447","-0,3647089"
"-138,21034","-0,36178827"
"-136,19655","-0,3577739"
"-134,25433","-0,35463572"
"-132,2438","-0,35177171"
"-130,27936","-0,34761131"
"-128,42302","-0,34434199"
"-126,39008","-0,34091175"
"-124,40187","-0,33668578"
"-122,52156","-0,33401251"
"-120,54517","-0,33006966"
"-118,54102","-0,32639503"
"-116,6187","-0,32264888"
"-114,72448","-0,31915307"
"-112,70685","-0,31566918"
"-110,77988","-0,31220317"
"-108,8454","-0,30847788"
"-106,86542","-0,30427277"
"-104,95561","-0,30064881"
"-103,06343","-0,29692948"
"-101,02159","-0,29322505"
"-99,023849","-0,28960705"
"-97,175064","-0,28500557"
"-95,210716","-0,28218925"
"-93,115585","-0,27724504"
"-91,272095","-0,273785"
"-89,39016","-0,27033389"
"-87,385162","-0,26631355"
"-85,429626","-0,26062131"
"-83,50219","-0,25635064"
"-81,495636","-0,25373697"
"-79,582024","-0,24882257"
"-77,695221","-0,24579167"
"-75,680382","-0,24062395"
"-73,68618","-0,2363503"
"-71,800072","-0,23246706"
"-69,805939","-0,2284646"
"-67,857475","-0,2240479"
"-65,987","-0,22024214"
"-63,97456","-0,21713078"
"-62,002689","-0,21157563"
"-60,1283","-0,2065897"
"-58,131588","-0,20349622"
"-56,191185","-0,19714236"
"-54,288879","-0,19301474"
"-52,299049","-0,18844306"
"-50,2659","-0,1840502"
"-48,385746","-0,17770231"
"-46,451878","-0,1744628"
"-44,435879","-0,16901791"
"-42,554447","-0,16439855"
"-40,621281","-0,15998185"
"-38,624554","-0,15288591"
"-36,643463","-0,14867783"
"-34,721851","-0,1429975"
"-32,759655","-0,13816059"
"-30,805468","-0,13259351"
"-28,927742","-0,12675524"
"-26,959743","-0,12279749"
"-24,998161","-0,11608601"
"-23,076944","-0,10966063"
"-21,108105","-0,10543764"
"-19,119009","-0,098952651"
"-17,209652","-0,092038512"
"-15,232158","-0,085869431"
"-13,289258","-0,079971552"
"-11,364434","-0,072416663"
"-9,4445744","-0,065845251"
"-7,4410224","-0,056475401"
"-5,4921603","-0,048387051"
"-3,8375762","-0,037685037"
"-3,8324854","-0,038540363"
"-3,9130523","-0,038325787"
"-4,0032582","-0,03823638"
"-3,9837043","-0,038248301"
"-3,8899388","-0,037416816"
"-3,8815997","-0,036734343"
"-3,843097","-0,037363172"
"-3,8638544","-0,03810823"
"-3,9379225","-0,037175417"
"-3,9365981","-0,037297606"
"-3,8972702","-0,037530065"
"-3,9351544","-0,038164854"
"-3,9687605","-0,037652254"
"-3,9353576","-0,036635995"
"-3,9544888","-0,036904216"
"-4,0040894","-0,037494302"
"-3,9173291","-0,036725402"
"-3,9101951","-0,036948919"
"-3,9802473","-0,038257241"
"-3,9323847","-0,037136674"
"-3,8862879","-0,0364393"
"-3,9652381","-0,037267804"
"-3,9618387","-0,036200881"
"-3,9416625","-0,037935376"
"-3,9957221","-0,037679076"
"-3,9776862","-0,037023425"
"-3,9052832","-0,03798306"
"-3,9193983","-0,037300587"
"-3,9527044","-0,0372082"
"-3,8981271","-0,037238002"
"-3,9275625","-0,036758184"
"-4,0130467","-0,036016107"
"-3,9413404","-0,037181377"
"-3,9080045","-0,03708899"
"-3,9693377","-0,035983324"
"-3,9278009","-0,036141276"
"-3,9275885","-0,036260486"
"-3,9916747","-0,036817789"
"-3,9447565","-0,036430359"
"-3,9057472","-0,036308169"
"-3,9427931","-0,036412477"
"-3,9645658","-0,036120415"
"-3,9366875","-0,036758184"
"-3,9457958","-0,037619472"
"-3,9677043","-0,036609173"
"-3,8901215","-0,036746264"
"-3,9235353","-0,036525726"
"-3,999289","-0,036108494"
"-3,9273071","-0,036942959"
"-3,8980823","-0,037112832"
"-3,9671605","-0,036853552"
"-3,9351954","-0,037297606"
"-3,9238167","-0,03759563"
"-3,9565377","-0,036913157"
"-3,9397926","-0,036606193"
"-3,878787","-0,036972761"
"-3,962446","-0,03721714"
"-3,9646254","-0,037017465"
"-3,8889275","-0,036475062"
"-4,0816684","-0,036969781"
"-5,469408","-0,042337179"
"-8,2856045","-0,053673983"
"-10,233948","-0,060474873"
"-12,198369","-0,067913532"
"-14,124192","-0,074496865"
"-16,058405","-0,080692768"
"-18,065823","-0,085553527"
"-19,985231","-0,09149909"
"-21,852171","-0,097990036"
"-23,857071","-0,10167956"
"-25,788025","-0,10744333"
"-27,669573","-0,112468"
"-29,682766","-0,1185298"
"-31,643345","-0,12339354"
"-33,507992","-0,12892187"
"-35,519936","-0,13367236"
"-37,500423","-0,13855994"
"-39,419205","-0,14397204"
"-41,322468","-0,14823973"
"-43,351906","-0,15245974"
"-45,26619","-0,15861094"
"-47,171913","-0,16255677"
"-49,154404","-0,16732812"
"-51,166965","-0,17238259"
"-53,030285","-0,17819405"
"-54,985611","-0,18185675"
"-57,068932","-0,18586218"
"-58,899464","-0,19161701"
"-60,808071","-0,19543767"
"-62,889473","-0,19972324"
"-64,758179","-0,20422637"
"-66,672974","-0,20906329"
"-68,669304","-0,2135247"
"-70,610672","-0,2186954"
"-72,556664","-0,22191107"
"-74,524872","-0,22749305"
"-76,501747","-0,23069084"
"-78,341553","-0,23451447"
"-80,337128","-0,24024546"
"-82,371674","-0,24427474"
"-84,266472","-0,24932921"
"-86,200462","-0,25285184"
"-88,261909","-0,25754571"
"-90,163124","-0,26299953"
"-92,024139","-0,26551783"
"-94,124199","-0,26934743"
"-96,020256","-0,27409494"
"-97,828995","-0,2771914"
"-99,89592","-0,28264523"
"-101,79197","-0,28669834"
"-103,71378","-0,29080808"
"-105,67376","-0,29604137"
"-107,70925","-0,29970407"
"-109,59273","-0,30387044"
"-111,54041","-0,30593574"
"-113,54765","-0,31101406"
"-115,47111","-0,31588376"
