Ch 1 Kraft,Ch 1 Weg
"-0,98710692","0,045672059"
"-1,0429565","0,04530251"
"-1,0096431","0,047004223"
"-0,96140242","0,046914816"
"-0,97693133","0,046601892"
"-1,0434575","0,045663118"
"-0,98605639","0,046956539"
"-0,97040647","0,04580915"
"-1,0414273","0,046700239"
"-1,0219142","0,045979023"
"-0,96455586","0,045526028"
"-0,97377038","0,046297908"
"-1,0244269","0,046253204"
"-0,98918194","0,046625733"
"-0,96851218","0,045642257"
"-0,97793901","0,046655536"
"-1,0135826","0,046703219"
"-0,94816458","0,046816468"
"-0,9739548","0,046846271"
"-1,0309629","0,046798587"
"-2,6976037","-0,010064244"
"-4,2181926","-0,018322468"
"-6,6758637","-0,029376149"
"-8,6105452","-0,037589669"
"-10,659221","-0,045597553"
"-12,712749","-0,053745508"
"-14,734407","-0,059506297"
"-16,58338","-0,066131353"
"-18,5058","-0,072094798"
"-20,456379","-0,078254938"
"-22,4163","-0,083386898"
"-24,298222","-0,089496374"
"-26,227503","-0,095787644"
"-28,265959","-0,099557638"
"-30,160385","-0,10620058"
"-32,071587","-0,11077523"
"-34,046001","-0,11610985"
"-36,012768","-0,1208365"
"-37,92149","-0,1263231"
"-39,860748","-0,13178885"
"-41,868473","-0,13636649"
"-43,761517","-0,14045835"
"-45,672855","-0,14688373"
"-47,760635","-0,15221238"
"-49,646072","-0,15645623"
"-51,595367","-0,16125441"
"-53,560562","-0,16524792"
"-55,576111","-0,17153919"
"-57,437775","-0,17508864"
"-59,355923","-0,17952323"
"-61,390102","-0,18530488"
"-63,301479","-0,1901269"
"-65,190338","-0,19475222"
"-67,204918","-0,1996547"
"-69,172081","-0,20363033"
"-71,078606","-0,20964146"
"-73,046425","-0,213328"
"-75,010124","-0,21907091"
"-76,965797","-0,22313595"
"-78,890617","-0,22749007"
"-80,876854","-0,23317039"
"-82,822243","-0,23728907"
"-84,705826","-0,24252534"
"-86,668282","-0,24494827"
"-88,685005","-0,25059879"
"-90,61116","-0,25530756"
"-92,532143","-0,25879443"
"-94,533432","-0,26283264"
"-96,475105","-0,26867986"
"-98,367401","-0,27164221"
"-100,33851","-0,27707815"
"-102,35051","-0,28153956"
"-104,24413","-0,28570592"
"-106,13027","-0,29071867"
"-108,14857","-0,29531419"
"-110,09868","-0,29989481"
"-112,04214","-0,3041625"
"-114,01472","-0,30814707"
"-115,96942","-0,31287372"
"-117,89471","-0,31818151"
"-119,79359","-0,3213793"
"-121,81676","-0,32589734"
"-123,75648","-0,33092499"
"-125,66409","-0,33412874"
"-127,63514","-0,33838153"
"-129,62956","-0,34323633"
"-131,50423","-0,34763217"
"-133,47504","-0,35120845"
"-135,4854","-0,35561919"
"-137,37718","-0,36056042"
"-139,28661","-0,36316812"
"-141,33406","-0,368312"
"-143,27255","-0,37247241"
"-145,10707","-0,37695169"
"-147,08214","-0,38165152"
"-145,0634","-0,37823021"
"-143,08562","-0,37463009"
"-141,08936","-0,37172437"
"-139,17114","-0,36698282"
"-137,158","-0,36467612"
"-135,14748","-0,36034286"
"-133,22443","-0,35725236"
"-131,28629","-0,35487711"
"-129,27849","-0,35072565"
"-127,30885","-0,34717023"
"-125,46778","-0,34404397"
"-123,45674","-0,34053028"
"-121,47433","-0,3356725"
"-119,56876","-0,333184"
"-117,62092","-0,32981634"
"-115,60407","-0,32549798"
"-113,68422","-0,32069385"
"-111,79454","-0,31843185"
"-109,78002","-0,31452179"
"-107,78355","-0,31001866"
"-105,93668","-0,3067553"
"-103,94661","-0,30227602"
"-101,96493","-0,29878318"
"-100,07676","-0,29559135"
"-98,138763","-0,29076636"
"-96,149704","-0,28721392"
"-94,22261","-0,28322339"
"-92,291924","-0,27851164"
"-90,299225","-0,27633905"
"-88,32177","-0,27198195"
"-86,442406","-0,26734769"
"-84,491684","-0,26233792"
"-82,453255","-0,25877953"
"-80,54837","-0,2548337"
"-78,628021","-0,25084913"
"-76,639252","-0,24588704"
"-74,634682","-0,24244189"
"-72,806114","-0,23815334"
"-70,823158","-0,23217797"
"-68,819633","-0,23073852"
"-66,849426","-0,22482574"
"-64,984879","-0,21950006"
"-62,998451","-0,21711886"
"-61,022114","-0,21122396"
"-59,171928","-0,20708144"
"-57,185665","-0,20205081"
"-55,186829","-0,19633174"
"-53,254093","-0,1922667"
"-51,299232","-0,18751919"
"-49,353146","-0,18242598"
"-47,397514","-0,17746091"
"-45,527142","-0,17415881"
"-43,528397","-0,16741157"
"-41,498215","-0,16285181"
"-39,597874","-0,15679896"
"-37,673851","-0,15318692"
"-35,669861","-0,14774501"
"-33,724628","-0,14237463"
"-31,860329","-0,13723373"
"-29,891069","-0,13226271"
"-27,89715","-0,12616217"
"-25,976845","-0,11961162"
"-24,062531","-0,11390746"
"-22,049007","-0,10902286"
"-20,038902","-0,10271668"
"-18,183847","-0,096717477"
"-16,261328","-0,09008646"
"-14,215576","-0,083866715"
"-12,372556","-0,076210499"
"-10,384905","-0,069755316"
"-8,3733225","-0,061616302"
"-6,5024886","-0,053414702"
"-4,616622","-0,044298172"
"-4,9117913","-0,043061376"
"-6,9685521","-0,05171597"
"-9,0692711","-0,05864203"
"-11,02788","-0,066298246"
"-12,958534","-0,073036551"
"-14,958979","-0,079214573"
"-16,905344","-0,085327029"
"-18,817831","-0,090432167"
"-20,821829","-0,096812844"
"-22,805962","-0,10251403"
"-24,745108","-0,10844469"
"-26,689068","-0,11235476"
"-28,655561","-0,11837482"
"-30,615942","-0,12357235"
"-32,545361","-0,12898743"
"-34,478188","-0,13279021"
"-36,512661","-0,13954639"
"-38,453152","-0,14388561"
"-40,374298","-0,14844835"
"-42,342812","-0,15340149"
"-44,309414","-0,1598686"
"-46,183266","-0,16396344"
"-48,130283","-0,16839206"
"-50,166405","-0,17259419"
"-52,087437","-0,17793477"
"-54,019627","-0,18167794"
"-56,022427","-0,18747449"
"-57,884491","-0,19208193"
"-59,764034","-0,19541681"
"-61,817337","-0,20007789"
"-63,739773","-0,20589828"
"-65,678787","-0,20978451"
"-67,59948","-0,21407306"
"-69,64666","-0,21799207"
"-71,592171","-0,22262037"
"-73,523018","-0,22775531"
"-75,430885","-0,23201406"
"-77,447548","-0,23581386"
"-79,374626","-0,24181306"
"-81,326744","-0,24567544"
"-83,266541","-0,25078952"
"-85,28299","-0,25409162"
"-87,130836","-0,25770962"
"-89,121902","-0,26294887"
"-91,067383","-0,2669245"
"-93,03933","-0,27160645"
"-94,924049","-0,27623177"
"-96,916733","-0,27954876"
"-98,858719","-0,28295517"
"-100,80324","-0,28745234"
"-102,73299","-0,29284656"
"-104,73685","-0,29682517"
"-106,63863","-0,30135214"
"-108,60996","-0,30512512"
"-110,56928","-0,30986369"
"-112,55167","-0,31341314"
"-114,45033","-0,3170073"
"-116,39822","-0,3213644"
"-118,35371","-0,32511055"
"-120,30891","-0,32935739"
"-122,2326","-0,33401251"
"-124,22417","-0,33723116"
"-126,22249","-0,34118593"
"-128,08116","-0,3456533"
"-130,08208","-0,3498733"
"-132,01953","-0,35223961"
"-133,96869","-0,35742819"
"-135,88765","-0,3600955"
"-137,85963","-0,36531389"
"-139,8721","-0,36919713"
"-141,76601","-0,37282407"
"-143,73013","-0,37592053"
"-145,68661","-0,37900805"
"-144,59132","-0,37953854"
"-142,53987","-0,37648678"
"-140,62975","-0,37169755"
"-138,56023","-0,36790073"
"-136,6355","-0,36573708"
"-134,64413","-0,36223829"
"-132,71535","-0,3591001"
"-130,72595","-0,3556937"
"-128,7496","-0,35171211"
"-126,89581","-0,34773946"
"-124,90286","-0,34403801"
"-122,92128","-0,34066141"
"-121,09132","-0,33697486"
"-119,02719","-0,3334552"
"-117,07212","-0,33019781"
"-115,14491","-0,32534301"
"-113,32293","-0,32212734"
"-111,19992","-0,31911433"
"-109,22781","-0,31503141"
"-107,2702","-0,31101704"
"-105,47985","-0,30653179"
"-103,37634","-0,30279756"
"-101,62849","-0,30044317"
"-99,606407","-0,29560924"
"-97,659088","-0,29252768"
"-95,60041","-0,28802752"
"-93,720619","-0,28433502"
"-91,64994","-0,28014481"
"-89,738815","-0,2761513"
"-87,754593","-0,27102232"
"-85,899368","-0,26881397"
"-83,956642","-0,26403368"
"-81,956207","-0,25991201"
"-80,042274","-0,25501251"
"-78,172668","-0,25060475"
"-76,110191","-0,24771392"
"-74,211075","-0,24293959"
"-72,282997","-0,2389729"
"-70,281967","-0,23499727"
"-68,317253","-0,23011863"
"-66,39682","-0,22541583"
"-64,476891","-0,2214849"
"-62,50423","-0,21722019"
"-60,532486","-0,21252632"
"-58,567322","-0,2060473"
"-56,592972","-0,2029717"
"-54,73735","-0,19798875"
"-52,81535","-0,19269586"
"-50,849255","-0,18794537"
"-48,825024","-0,18359125"
"-46,936821","-0,17838776"
"-44,990334","-0,17322898"
"-43,041008","-0,16868711"
"-41,013031","-0,16313493"
"-39,1558","-0,15750825"
"-37,187717","-0,15353262"
"-35,202362","-0,14800429"
"-33,316307","-0,14215112"
"-31,290653","-0,13653338"
"-29,354322","-0,1314491"
"-27,450645","-0,12615621"
"-25,531397","-0,1203537"
"-23,454262","-0,11348724"
"-21,490873","-0,10819137"
"-19,616325","-0,10234118"
"-17,687437","-0,095623732"
"-15,636019","-0,089398026"
"-13,717852","-0,083082914"
"-11,787017","-0,075823069"
"-9,8034582","-0,069126487"
"-7,9362755","-0,060388446"
"-6,0187578","-0,052976608"
"-4,0684938","-0,041943789"
"-3,740186","-0,040596724"
"-3,7775691","-0,039690733"
