Ch 1 Kraft,Ch 1 Weg
"0,060759485","5,0030589"
"0,060321763","5,0039558"
"0,047361478","5,0019026"
"0,066233799","4,9905658"
"0,0984855","4,9672871"
"0,068455935","4,9277902"
"0,059863552","4,8701735"
"0,06098859","4,7883272"
"0,090541318","4,6792059"
"0,076502562","4,5409412"
"0,03990531","4,3760242"
"0,079248101","4,1900783"
"0,08588098","3,9935946"
"0,070352107","3,7767351"
"0,079128891","3,5356669"
"0,083053485","3,2716365"
"0,074455515","2,989161"
"0,07350184","2,6899667"
"0,079432502","2,3749619"
"0,076208264","2,0459085"
"0,054148957","1,6999125"
"0,087505206","1,3414025"
"0,079786405","0,96777081"
"0,04418008","0,57661533"
"0,084497035","0,17110705"
"-6,1991792","0,035870075"
"-6,0363355","0,03451407"
"-4,8636031","0,03913641"
"-3,9443226","0,042364001"
"-3,5628099","0,043031573"
"-3,1764302","0,046736002"
"-2,1352172","0,052157044"
"-1,8283651","0,054255128"
"-1,5753191","0,05569458"
"-1,3830941","0,057014823"
"-1,3265219","0,058668852"
"-1,246646","0,059023499"
"-1,1895523","0,060033798"
"-1,1562742","0,060713291"
"-1,102779","0,060430169"
"-1,0235403","0,060373545"
"-1,0351744","0,060740113"
"-1,0795928","0,060409307"
"-1,0325015","0,06107986"
"-0,96185321","0,061708689"
"-0,94902331","0,061613321"
"-0,98597258","0,06134212"
"-0,97899884","0,061044097"
"-1,0044892","0,062578917"
"-0,99644995","0,061491132"
"-0,97679162","0,060930848"
"-0,95188433","0,061827898"
"-0,99251795","0,061428547"
"-1,0160022","0,061744452"
"-1,0307431","0,061917305"
"-0,94664842","0,062137842"
"-0,94556063","0,06197691"
"-0,98510456","0,062188506"
"-1,0435302","0,062003732"
"-1,0084417","0,061693788"
"-0,97777694","0,062125921"
"-0,9701457","0,061577559"
"-1,0422319","0,061121583"
"-1,0223389","0,061255693"
"-1,0390152","0,061938167"
"-1,0068529","0,062432885"
"-0,98775512","0,061583519"
"-0,95627081","0,061613321"
"-1,0067503","0,061231852"
"-1,041159","0,061815977"
"-1,0118932","0,061777234"
"-0,96408278","0,061792135"
"-0,96208602","0,062179565"
"-0,99161267","0,061884522"
"-1,0095835","0,061917305"
"-1,0204967","0,062596798"
"-1,0167732","0,06134212"
"-0,95033276","0,061780214"
"-0,96735728","0,062012672"
"-1,0387526","0,061118603"
"-1,0457635","0,061833858"
"-1,0008533","0,062170625"
"-0,94744003","0,061547756"
"-0,99442714","0,062143803"
"-0,9751879","0,062343478"
"-1,0337532","0,062572956"
"-1,0603312","0,061845779"
"-0,96400452","0,061634183"
"-0,95313603","0,062081218"
"-1,0136515","0,062185526"
"-1,0200869","0,061455369"
"-1,0211654","0,061866641"
"-0,96467882","0,06198287"
"-0,9803288","0,061178207"
"-0,973396","0,062543154"
"-1,0084845","0,062003732"
"-1,0266248","0,062507391"
"-1,0318551","0,062194467"
"-0,9477362","0,062191486"
"-0,95097721","0,061428547"
"-1,0004528","0,062504411"
"-1,079265","0,061860681"
"-1,0503885","0,062090158"
"-0,96040219","0,062254071"
"-0,94997138","0,062260032"
"-0,99997592","0,061529875"
"-1,0457207","0,062006712"
"-1,0039564","0,062665343"
"-0,99252534","0,063028932"
"-0,95943922","0,062441826"
"-0,97608382","0,061732531"
"-1,0030289","0,061503053"
"-1,033999","0,062024593"
"-1,0333191","0,062224269"
"-0,94542092","0,062653422"
"-2,1573267","-0,0051885843"
"-4,2639842","-0,016644597"
"-5,1215925","-0,020554662"
"-8,199625","-0,035193563"
"-10,0187","-0,042891502"
"-12,324634","-0,051546097"
"-14,434263","-0,058931112"
"-16,428099","-0,06557703"
"-18,418982","-0,071066618"
"-20,212299","-0,077334046"
"-22,00271","-0,082483888"
"-23,964949","-0,089254975"
"-26,010017","-0,094518065"
"-28,022165","-0,10042489"
"-29,947308","-0,10562837"
"-31,719246","-0,11151731"
"-33,600327","-0,11620522"
"-35,640392","-0,12126565"
"-37,727879","-0,12631714"
"-39,689888","-0,13150573"
"-41,483288","-0,13633668"
"-43,367798","-0,14138818"
"-45,328682","-0,14817119"
"-47,408108","-0,15205443"
"-49,44672","-0,15782118"
"-51,341843","-0,16259551"
"-53,119774","-0,16701818"
"-55,019775","-0,17199218"
"-57,11507","-0,17684698"
"-59,21299","-0,18116534"
"-61,144966","-0,18616915"
"-62,859764","-0,1915127"
"-64,751686","-0,1960218"
"-66,794495","-0,20016134"
"-68,927589","-0,20493269"
"-70,905769","-0,21032989"
"-72,654327","-0,21496117"
"-74,512894","-0,2191484"
"-76,508141","-0,22461712"
"-78,602089","-0,22925436"
"-80,66819","-0,23408234"
"-82,489487","-0,23786724"
"-84,303711","-0,24276972"
"-86,179077","-0,24759471"
"-88,267334","-0,25186539"
"-90,384247","-0,25675595"
"-92,378998","-0,26142597"
"-94,043732","-0,26545525"
"-95,892281","-0,27069151"
"-97,992104","-0,27446151"
"-100,11129","-0,27929246"
"-102,12381","-0,28363168"
"-103,87971","-0,28841496"
"-105,64861","-0,29302537"
"-107,68191","-0,29709041"
"-109,82042","-0,30170083"
"-111,91564","-0,30621588"
"-113,67471","-0,31085312"
"-115,4553","-0,31432807"
"-117,40877","-0,31839609"
"-119,49852","-0,32278895"
"-121,57798","-0,32795966"
"-123,18065","-0,33192933"
"-120,80917","-0,32896101"
"-118,72532","-0,32521188"
"-116,84058","-0,32149255"
"-115,02338","-0,31768382"
"-113,08363","-0,31520128"
"-110,9376","-0,31096637"
"-108,85196","-0,30765831"
"-106,93921","-0,3046155"
"-105,16535","-0,3006041"
"-103,26337","-0,29700696"
"-101,18285","-0,29300451"
"-99,101891","-0,28919578"
"-97,129196","-0,2843231"
"-95,328392","-0,2815485"
"-93,509308","-0,27738214"
"-91,490982","-0,27469695"
"-89,396652","-0,27006567"
"-87,399765","-0,26683509"
"-85,509178","-0,26217997"
"-83,710892","-0,25942326"
"-81,790581","-0,25485456"
"-79,673141","-0,25056303"
"-77,647415","-0,24700165"
"-75,75396","-0,2435416"
"-73,888626","-0,23918152"
"-72,059387","-0,23480654"
"-70,009201","-0,23064315"
"-67,871704","-0,22641718"
"-65,942184","-0,22234619"
"-64,1558","-0,21739304"
"-62,283203","-0,21307766"
"-60,311066","-0,20923615"
"-58,210888","-0,20385981"
"-56,181881","-0,19870996"
"-54,309742","-0,19563735"
"-52,555042","-0,19035935"
"-50,60532","-0,1854986"
"-48,457817","-0,18084943"
"-46,470093","-0,17665029"
"-44,536224","-0,17136931"
"-42,703289","-0,16599"
"-40,879539","-0,16173124"
"-38,7925","-0,15623868"
"-36,719475","-0,1501441"
"-34,760551","-0,14500022"
"-32,922794","-0,1401335"
"-31,122461","-0,13509691"
"-29,120031","-0,12953877"
"-27,018923","-0,123927"
"-25,045116","-0,11861324"
"-23,164335","-0,11258721"
"-21,320662","-0,1078397"
"-19,422377","-0,10067821"
"-17,279102","-0,093618035"
"-15,280715","-0,088551641"
"-13,42098","-0,080817938"
"-11,534618","-0,074577332"
"-9,6659908","-0,066772103"
"-7,6494775","-0,058868527"
