Ch 1 Kraft,Ch 1 Weg
"-2,1848307","-14,850348"
"-2,0335391","-14,848965"
"-1,8769503","-14,848192"
"-1,7667599","-14,846786"
"-1,6108602","-14,845874"
"-1,4994088","-14,845716"
"-1,3600197","-14,843895"
"-1,2567695","-14,842175"
"-1,1335555","-14,841826"
"-1,0053291","-14,839946"
"-0,97013825","-14,839305"
"-0,95666385","-14,839615"
"-0,96082318","-14,839037"
"-0,96427089","-14,83949"
"-0,96902996","-14,839439"
"-0,98002702","-14,83954"
"-0,96739268","-14,838578"
"-0,99287742","-14,839413"
"-0,98634887","-14,840107"
"-1,0218676","-14,840477"
"-2,5098436","-0,010544062"
"-4,4138117","-0,023141503"
"-5,9373846","-0,029167533"
"-8,7168941","-0,042116642"
"-10,670347","-0,049206614"
"-12,817739","-0,057256222"
"-14,919573","-0,064963102"
"-16,721189","-0,070929527"
"-18,673647","-0,076326728"
"-20,511381","-0,081932545"
"-22,481134","-0,087401271"
"-24,344803","-0,093850493"
"-26,343733","-0,098535419"
"-28,210535","-0,1038909"
"-30,223867","-0,10926425"
"-32,092365","-0,11382699"
"-34,087528","-0,11900365"
"-36,004059","-0,12390018"
"-37,976521","-0,12925565"
"-39,851719","-0,13408065"
"-41,841564","-0,13903975"
"-43,833607","-0,14374852"
"-45,704266","-0,1476109"
"-47,739769","-0,15206635"
"-49,58902","-0,15693605"
"-51,622627","-0,16210973"
"-53,480686","-0,16672015"
"-55,495678","-0,17199814"
"-57,37315","-0,17568171"
"-59,40733","-0,18059611"
"-61,286648","-0,18480718"
"-63,347775","-0,18962324"
"-65,16967","-0,19374788"
"-67,275711","-0,19797981"
"-69,034653","-0,2020359"
"-71,139099","-0,20617843"
"-72,972298","-0,20996034"
"-75,022896","-0,21458566"
"-76,91713","-0,21918118"
"-78,887634","-0,22359788"
"-80,801514","-0,22802949"
"-82,788155","-0,23132861"
"-84,686844","-0,23654401"
"-86,714417","-0,24022758"
"-88,626213","-0,24435222"
"-90,607399","-0,24804473"
"-92,527275","-0,25235713"
"-94,487839","-0,25734901"
"-96,433113","-0,25999248"
"-98,381485","-0,26507676"
"-100,35786","-0,26896"
"-102,23074","-0,27300417"
"-104,27626","-0,27692914"
"-106,12921","-0,28134882"
"-108,18278","-0,28508306"
"-110,06319","-0,28931201"
"-112,09445","-0,29351413"
"-113,93486","-0,29756427"
"-115,96714","-0,30145049"
"-117,82845","-0,30474067"
"-119,99585","-0,30896068"
"-121,69742","-0,31244159"
"-123,81532","-0,31715333"
"-125,61367","-0,31994879"
"-127,75079","-0,3235966"
"-129,55225","-0,32764077"
"-131,61841","-0,33143163"
"-133,41542","-0,33475757"
"-135,52362","-0,33937693"
"-137,33655","-0,34241974"
"-139,39474","-0,3465265"
"-141,21671","-0,35020113"
"-143,35074","-0,35475791"
"-145,12512","-0,35816729"
"-147,23206","-0,36199689"
"-149,00229","-0,36433935"
"-151,12325","-0,36927462"
"-152,91333","-0,37276745"
"-154,99164","-0,37629306"
"-156,80246","-0,37990212"
"-158,87134","-0,38345456"
"-160,71613","-0,38684309"
"-162,76212","-0,39147735"
"-164,65852","-0,3945142"
"-166,65044","-0,39892495"
"-168,58409","-0,40139258"
"-170,53076","-0,40613115"
"-172,49692","-0,40899515"
"-174,33072","-0,41268766"
"-176,3438","-0,41638613"
"-178,29718","-0,41965842"
"-180,28127","-0,42462945"
"-182,21429","-0,42752326"
"-184,16991","-0,43160915"
"-186,07669","-0,43362975"
"-188,12178","-0,43725073"
"-189,99249","-0,44216216"
"-192,01518","-0,44521987"
"-193,88026","-0,44880211"
"-195,90453","-0,45180321"
"-197,79855","-0,45588613"
"-199,8407","-0,45906603"
"-201,72685","-0,46285093"
"-203,74271","-0,4668355"
"-205,61702","-0,46963394"
"-207,65802","-0,47394931"
"-209,49191","-0,47730207"
"-211,55127","-0,48135519"
"-213,39822","-0,48455894"
"-215,44759","-0,48789084"
"-217,25484","-0,4912883"
"-219,33562","-0,4950434"
"-221,10754","-0,49744248"
"-223,27568","-0,50176382"
"-225,01476","-0,50521791"
"-227,19319","-0,50874352"
"-228,9164","-0,51235855"
"-231,10837","-0,51558018"
"-232,80132","-0,51926672"
"-234,99989","-0,52274168"
"-236,71347","-0,5261749"
"-238,90173","-0,52966177"
"-240,6295","-0,5335629"
"-242,7879","-0,53644478"
"-244,52609","-0,54050088"
"-246,68642","-0,54405332"
"-248,41779","-0,54758191"
"-247,91798","-0,54646134"
"-245,65794","-0,5441159"
"-243,90659","-0,54138303"
"-241,66939","-0,53781271"
"-239,92976","-0,53499043"
"-237,72475","-0,53188503"
"-235,95616","-0,528723"
"-233,78983","-0,52591264"
"-232,02597","-0,52272975"
"-229,88875","-0,51917434"
"-228,09821","-0,51692724"
"-225,99214","-0,51380098"
"-224,1851","-0,51017404"
"-222,10088","-0,50778985"
"-220,28493","-0,50372481"
"-218,21484","-0,50070286"
"-216,36385","-0,49791038"
"-214,29648","-0,49386024"
"-212,45993","-0,49152076"
"-210,43111","-0,48793256"
"-208,5307","-0,48545897"
"-206,55217","-0,48181713"
"-204,62787","-0,47909319"
"-202,65489","-0,47684908"
"-200,69321","-0,4730165"
"-198,73193","-0,46960711"
"-196,8248","-0,46570897"
"-194,83972","-0,46325922"
"-192,92821","-0,46053529"
"-190,92854","-0,45723021"
"-188,99609","-0,45349002"
"-187,05269","-0,45022666"
"-185,09921","-0,44643283"
"-183,17549","-0,44357777"
"-181,02419","-0,44014156"
"-179,37683","-0,43770075"
"-177,31029","-0,43466687"
"-175,39174","-0,43038726"
"-173,17096","-0,42714179"
"-171,27991","-0,42378604"
"-169,37762","-0,42060614"
"-167,58224","-0,41720271"
"-165,73849","-0,41465759"
"-163,82782","-0,41050017"
"-161,93846","-0,4072994"
"-159,78557","-0,40334761"
"-157,89647","-0,39891601"
"-155,93106","-0,3967464"
"-154,02046","-0,39318204"
"-152,09265","-0,39023757"
"-150,194","-0,38679242"
"-148,11417","-0,38203001"
"-146,17145","-0,37914217"
"-144,20505","-0,37521422"
"-142,28136","-0,3724128"
"-140,34044","-0,36893189"
"-138,27655","-0,36407709"
"-135,77045","-0,36058426"
"-133,60078","-0,35710931"
"-131,7357","-0,35382211"
"-129,81793","-0,35088062"
"-128,05324","-0,34806728"
"-126,38809","-0,34564734"
"-124,52483","-0,34201145"
"-122,59049","-0,33884645"
"-120,59357","-0,3347069"
"-118,62619","-0,33109486"
"-116,87491","-0,32733083"
"-114,713","-0,32333434"
"-112,94305","-0,31998158"
"-111,08634","-0,3164649"
"-108,96712","-0,31282306"
"-107,07986","-0,30870438"
"-105,22536","-0,30543804"
"-103,26852","-0,3020674"
"-101,21111","-0,29836893"
"-99,288208","-0,29376447"
"-97,539452","-0,29143989"
"-95,532646","-0,28733909"
"-93,474045","-0,28220713"
"-91,455009","-0,27964711"
"-89,6437","-0,27435124"
"-87,753838","-0,27093887"
"-85,652061","-0,26632845"
"-83,668312","-0,26318729"
"-81,790825","-0,25858879"
"-79,952629","-0,25451481"
"-77,925629","-0,25058389"
"-75,855019","-0,24629235"
"-74,024391","-0,24239719"
"-72,233849","-0,23793578"
"-70,223709","-0,23448169"
"-68,149879","-0,22942722"
"-66,179184","-0,22577345"
"-64,283951","-0,22133291"
"-62,425762","-0,21700859"
"-60,371578","-0,21285117"
"-58,318176","-0,20789504"
"-56,511902","-0,20326674"
"-54,600452","-0,19889176"
"-52,587601","-0,19498467"
"-50,542114","-0,19037426"
"-48,666687","-0,18488169"
"-46,845036","-0,18067956"
"-44,81501","-0,1760006"
"-42,760983","-0,17071068"
"-40,840286","-0,16572773"
"-39,067478","-0,16132593"
"-37,079212","-0,15583336"
"-34,98983","-0,15132427"
"-33,020988","-0,14624894"
"-31,232389","-0,14133751"
"-29,313955","-0,13644993"
"-27,256746","-0,13076067"
"-25,188162","-0,12488663"
"-23,418833","-0,11930466"
"-21,485916","-0,11381805"
"-19,466434","-0,10775328"
"-17,39086","-0,10208488"
"-15,506963","-0,095453858"
"-13,675157","-0,089508295"
"-11,682016","-0,082066655"
"-9,5959787","-0,074341893"
"-7,6930022","-0,067406893"
"-5,852623","-0,057810545"
"-3,9536431","-0,047263503"
"-5,6461377","-0,05415082"
"-7,6698251","-0,062155724"
"-9,7938623","-0,070488453"
"-11,87113","-0,076299906"
"-13,745664","-0,083839893"
"-15,612868","-0,088876486"
"-17,620588","-0,095254183"
"-19,726711","-0,10077059"
"-21,634874","-0,10578334"
"-23,425583","-0,11142194"
"-25,421545","-0,11752844"
"-27,478897","-0,12218952"
"-29,521965","-0,12709796"
"-31,313309","-0,13211668"
"-33,199966","-0,13663769"
"-35,21825","-0,14182925"
"-37,321369","-0,14590025"
"-39,204079","-0,15021563"
"-41,037682","-0,15524328"
"-42,972424","-0,16050637"
"-45,06567","-0,16538203"
"-47,039192","-0,17007887"
"-48,845955","-0,17368495"
"-50,749344","-0,17957985"
"-52,751812","-0,18277764"
"-54,838604","-0,18791258"
"-56,683186","-0,19178987"
"-58,55024","-0,19643903"
"-60,530838","-0,20007789"
"-62,636181","-0,20549893"
"-64,587593","-0,20939708"
"-66,366898","-0,21274388"
"-68,308342","-0,21778643"
"-70,405685","-0,22175014"
"-72,441032","-0,22612512"
"-74,273041","-0,22996068"
"-76,096077","-0,23409724"
"-78,176376","-0,23874342"
"-80,214523","-0,24299622"
"-82,155014","-0,24614334"
"-83,893372","-0,25081038"
"-85,875717","-0,2548784"
"-87,98204","-0,25865436"
"-89,979759","-0,26308894"
"-91,749657","-0,26635826"
"-93,626579","-0,27071238"
"-95,712593","-0,27406216"
"-97,774261","-0,27821064"
"-99,703865","-0,28182268"
"-101,42786","-0,28614402"
"-103,44575","-0,28992891"
"-105,49612","-0,29367208"
"-107,52757","-0,29795468"
"-109,26995","-0,30116439"
"-111,22025","-0,30504465"
"-113,23096","-0,30909777"
"-115,30242","-0,31273961"
"-117,15494","-0,31676888"
"-118,98161","-0,32059252"
"-120,96892","-0,3246516"
"-123,03734","-0,32828748"
"-125,04329","-0,33111572"
"-126,79674","-0,33520758"
"-128,74075","-0,3400445"
"-130,81761","-0,34233928"
"-132,87703","-0,34615397"
"-134,70108","-0,34947991"
"-136,5946","-0,35398006"
"-138,54982","-0,35751462"
"-140,68959","-0,36090016"
"-142,57501","-0,36467314"
"-144,39847","-0,36777556"
"-146,29716","-0,37164688"
"-148,37976","-0,37505031"
"-150,44522","-0,37868321"
"-152,25613","-0,38194358"
"-154,0925","-0,38585067"
"-156,12276","-0,38933754"
"-158,22989","-0,39263666"
"-160,14677","-0,39566755"
"-161,96741","-0,39926767"
"-163,87321","-0,40285587"
"-165,97585","-0,40679276"
"-167,96404","-0,40969551"
"-169,83716","-0,41226745"
"-171,63893","-0,41708052"
"-173,67026","-0,42053163"
"-175,77991","-0,42338967"
"-177,66141","-0,42695105"
"-179,45036","-0,43127239"
"-181,38614","-0,43407381"
"-183,51826","-0,43795109"
"-185,51485","-0,44147074"
"-187,33015","-0,44460893"
"-189,15508","-0,44736564"
"-191,25632","-0,45090616"
"-193,30414","-0,45394599"
"-195,24719","-0,45751035"
"-196,96341","-0,46130717"
"-198,89087","-0,46432614"
"-201,02684","-0,46730936"
"-203,06097","-0,47225058"
"-204,81564","-0,47500134"
"-206,69841","-0,47751367"
"-208,76384","-0,48172176"
"-210,88606","-0,48464537"
"-212,74959","-0,48852861"
"-214,50389","-0,49187839"
"-216,50464","-0,49505234"
"-218,62915","-0,49875081"
"-220,65819","-0,50192475"
"-222,37744","-0,50446689"
"-224,22412","-0,5084306"
"-226,39742","-0,51212013"
"-228,45935","-0,51522553"
"-230,31299","-0,51766932"
"-232,00735","-0,52209496"
"-234,06119","-0,52626729"
"-236,20583","-0,5292058"
"-238,22447","-0,53218007"
"-239,93315","-0,53455234"
"-241,76808","-0,53763986"
"-243,90218","-0,54164231"
"-245,98849","-0,54481328"
"-247,91005","-0,54816902"
"-246,35135","-0,5464375"
"-244,35818","-0,54362714"
"-242,58643","-0,54112673"
"-240,64888","-0,53761005"
"-238,4977","-0,53504705"
"-236,40581","-0,53194165"
"-234,60286","-0,52905679"
"-232,74039","-0,52612126"
"-230,79138","-0,52318871"
"-228,60002","-0,51888525"
"-226,65898","-0,51702857"
"-224,83475","-0,51274598"
"-222,97939","-0,51091015"
"-220,87144","-0,50762594"
"-218,7869","-0,50385892"
"-216,93703","-0,50148666"
"-215,10974","-0,4979074"
"-213,18784","-0,49468279"
"-211,05991","-0,49130917"
"-209,08833","-0,48795044"
"-207,25452","-0,48475266"
"-205,43604","-0,48290491"
"-203,36293","-0,47868788"
"-201,28473","-0,47564209"
"-199,37","-0,47173202"
"-197,54247","-0,46917498"
"-195,6481","-0,46617687"
"-193,52255","-0,46298206"
"-191,54131","-0,46019256"
"-189,63882","-0,45634806"
"-187,86313","-0,45266151"
"-185,82285","-0,45028627"
"-183,74023","-0,44666827"
"-181,77951","-0,44386089"
"-179,94615","-0,4401207"
"-178,09863","-0,43738186"
"-176,02829","-0,43442249"
"-174,01213","-0,43121576"
"-172,078","-0,42794645"
"-170,30113","-0,42420626"
"-168,33289","-0,42032301"
"-166,29196","-0,41758418"
"-164,25378","-0,41419864"
"-162,43866","-0,41022003"
"-160,54936","-0,40782094"
"-158,54753","-0,40410757"
"-156,44118","-0,40024221"
"-154,52997","-0,39745271"
"-152,72954","-0,393942"
"-150,81517","-0,39100051"
"-148,80318","-0,38765669"
"-146,74033","-0,38406253"
"-144,89607","-0,38051605"
"-143,02614","-0,37775636"
"-141,10745","-0,37417114"
"-138,95586","-0,37064552"
"-136,99461","-0,36759973"
"-135,1111","-0,3631562"
"-133,26016","-0,35953224"
"-131,27074","-0,35560727"
"-129,19518","-0,35221875"
"-127,26379","-0,34887493"
"-125,35377","-0,34554899"
"-123,52153","-0,34164488"
"-121,42974","-0,33786595"
"-119,41286","-0,33464432"
"-117,48174","-0,33051372"
"-115,65569","-0,32732785"
"-113,72634","-0,32225847"
"-111,63511","-0,31967461"
"-109,65685","-0,31646192"
"-107,73872","-0,31226575"
"-105,90009","-0,30791759"
"-103,91029","-0,30436814"
"-101,88243","-0,30063093"
"-99,906181","-0,29703379"
"-98,081467","-0,29378235"
"-96,155899","-0,28972626"
"-94,165054","-0,28633177"
"-92,093758","-0,28199255"
"-90,219147","-0,27847588"
"-88,344978","-0,27368069"
"-86,477425","-0,2697438"
"-84,369171","-0,26682019"
"-82,426147","-0,26197731"
"-80,493179","-0,25855899"
"-78,714211","-0,25391579"
"-76,7173","-0,24955571"
"-74,654282","-0,24545193"
"-72,63842","-0,24190247"
"-70,799713","-0,2370894"
"-68,93058","-0,23286045"
"-66,950241","-0,22799969"
"-64,842308","-0,2240181"
"-62,92152","-0,21969676"
"-61,045403","-0,21544099"
"-59,198936","-0,21057129"
"-57,133945","-0,20589828"
"-55,102417","-0,20181239"
"-53,156582","-0,19719005"
"-51,325592","-0,19285977"
"-49,413448","-0,18739104"
"-47,355171","-0,18309057"
"-45,330212","-0,17860234"
"-43,471714","-0,1740545"
"-41,585423","-0,16931593"
"-39,677567","-0,16373992"
"-37,600636","-0,15930235"
"-35,637238","-0,15458465"
"-33,766109","-0,14861822"
"-31,871517","-0,14380217"
"-30,008392","-0,13873875"
"-27,872387","-0,13340712"
"-25,91367","-0,12809634"
"-24,030859","-0,12279451"
"-22,14595","-0,11640489"
"-20,099554","-0,11088252"
"-18,045277","-0,10445118"
"-16,127291","-0,09791553"
"-14,267251","-0,092470646"
"-12,371861","-0,08546412"
"-10,305123","-0,078725815"
"-8,3039856","-0,070384145"
"-6,4510927","-0,06300509"
"-4,577961","-0,052812696"
"-3,8681178","-0,047037005"
"-3,8572643","-0,047761202"
"-3,9126668","-0,047421455"
"-3,9237161","-0,047972798"
"-4,0046463","-0,047975779"
"-3,925966","-0,047940016"
"-3,7513804","-0,046557188"
"-3,7394018","-0,046595931"
"-3,8614013","-0,046131015"
"-3,883481","-0,047165155"
"-3,8970132","-0,046518445"
"-3,8312449","-0,047716498"
"-3,8431008","-0,046595931"
"-3,9321091","-0,046363473"
"-3,9707682","-0,046464801"
"-3,9171669","-0,046271086"
"-3,8754437","-0,046226382"
"-3,8976912","-0,047194958"
"-3,955245","-0,04657805"
"-3,9713774","-0,046378374"
"-3,9088688","-0,046110153"
"-3,8636625","-0,045579672"
"-3,9003026","-0,046807528"
"-3,959244","-0,046741962"
"-3,9783976","-0,045973063"
"-3,9129798","-0,046211481"
"-3,8733258","-0,046318769"
"-3,933223","-0,045862794"
"-3,9812829","-0,046190619"
"-3,9899144","-0,045317411"
"-3,9057825","-0,046503544"
"-3,9042997","-0,04594326"
"-3,921993","-0,045579672"
"-3,9986465","-0,04554987"
"-3,9555171","-0,045973063"
"-3,9012134","-0,045263767"
"-3,8870518","-0,045248866"
"-3,9482992","-0,046423078"
"-3,9637294","-0,046044588"
