Ch 1 Kraft,Ch 1 Weg
"-0,96855688","0,065132976"
"-0,97157431","0,065746903"
"-0,98012018","0,066441298"
"-1,0222346","0,065591931"
"-1,0549519","0,065609813"
"-0,97555667","0,064963102"
"-0,96588582","0,065124035"
"-1,0060109","0,065499544"
"-1,0017083","0,064945221"
"-1,0187272","0,065240264"
"-0,96826255","0,065472722"
"-0,9483695","0,065490603"
"-1,017686","0,065129995"
"-1,039302","0,065627694"
"-1,0158122","0,065147877"
"-0,97213316","0,066107512"
"-0,94890594","0,065293908"
"-1,0236837","0,06505847"
"-1,0314267","0,065934658"
"-1,0046158","0,065654516"
"-2,5873873","-0,010606647"
"-4,4999661","-0,022336841"
"-5,781157","-0,027942657"
"-8,6104069","-0,041082501"
"-10,531229","-0,048437715"
"-12,752863","-0,056934357"
"-14,773837","-0,063955784"
"-16,716635","-0,071379542"
"-18,747623","-0,077271461"
"-20,604876","-0,083276629"
"-22,458885","-0,088837743"
"-24,319756","-0,093483925"
"-26,349375","-0,09881556"
"-28,336737","-0,10413229"
"-30,24906","-0,10904968"
"-32,09861","-0,11486113"
"-34,008923","-0,11978149"
"-36,043503","-0,1250118"
"-38,071419","-0,13017654"
"-39,946976","-0,13445616"
"-41,834583","-0,14029741"
"-43,731529","-0,14436543"
"-45,810112","-0,14874935"
"-47,815884","-0,15356541"
"-49,685791","-0,15872121"
"-51,563374","-0,16287565"
"-53,506229","-0,16722381"
"-55,52882","-0,1724869"
"-57,61026","-0,17688274"
"-59,46376","-0,18074512"
"-61,301201","-0,18574893"
"-63,249985","-0,19097626"
"-65,289581","-0,19437373"
"-67,33416","-0,199157"
"-69,192467","-0,20343065"
"-70,999878","-0,20826757"
"-73,013466","-0,21155775"
"-75,053452","-0,2160877"
"-77,069595","-0,22060275"
"-78,953484","-0,22522509"
"-80,761238","-0,22876263"
"-82,760017","-0,23341179"
"-84,831894","-0,23829341"
"-86,824203","-0,24146736"
"-88,676857","-0,24647415"
"-90,536438","-0,24974346"
"-92,516907","-0,25506318"
"-94,581711","-0,25858283"
"-96,572945","-0,26243031"
"-98,388893","-0,26673079"
"-100,28719","-0,27138293"
"-102,24172","-0,27493834"
"-104,32263","-0,27932823"
"-106,33566","-0,28236508"
"-108,14003","-0,28699338"
"-110,02779","-0,29111803"
"-112,02689","-0,29545426"
"-114,07409","-0,29887259"
"-116,06963","-0,30333102"
"-117,84512","-0,30750334"
"-119,77546","-0,31013489"
"-121,77596","-0,31549633"
"-123,83271","-0,31839609"
"-125,82636","-0,32219589"
"-127,61571","-0,32561421"
"-129,49223","-0,33035278"
"-131,57564","-0,33361912"
"-133,60591","-0,33684671"
"-135,52658","-0,341326"
"-137,37419","-0,34503639"
"-139,26927","-0,34889877"
"-141,32634","-0,35324395"
"-143,35585","-0,35642684"
"-145,30444","-0,3598541"
"-147,10651","-0,36390722"
"-149,00375","-0,36754906"
"-151,1011","-0,37119985"
"-153,1058","-0,37505329"
"-155,0079","-0,37763417"
"-156,86533","-0,38156211"
"-158,77275","-0,38481951"
"-160,82643","-0,39015114"
"-162,86481","-0,39290786"
