Ch 1 Kraft,Ch 1 Weg
"-0,97987986","0,80576909"
"-0,96927023","0,80602837"
"-0,98907387","0,8056581"
"-0,97972524","0,80587119"
"-0,99160147","0,80549717"
"-0,99507904","0,80617964"
"-0,96047854","0,80638599"
"-0,96237844","0,80635995"
"-0,99286997","0,80607462"
"-0,95511603","0,80637485"
"-0,96929818","0,80564988"
"-0,98213184","0,80599713"
"-0,97103232","0,80566633"
"-0,96147507","0,80588686"
"-0,96745974","0,80641735"
"-0,9867214","0,8057214"
"-1,0299981","0,80586523"
"-1,0289699","0,80617595"
"-1,0297633","0,80550909"
"-1,0163225","0,80591965"
"-2,5539622","-0,010108203"
"-4,2086468","-0,018814951"
"-6,6306133","-0,029167533"
"-8,5205221","-0,037616491"
"-10,492886","-0,046759844"
"-12,650679","-0,055645406"
"-14,680948","-0,064537674"
"-16,603802","-0,072609633"
"-18,521481","-0,07949546"
"-20,423872","-0,08662194"
"-22,348574","-0,093834847"
"-24,272497","-0,099891424"
"-26,239649","-0,10644868"
"-28,17437","-0,11324883"
"-30,116213","-0,11932701"
"-32,066517","-0,12551621"
"-33,984722","-0,13098419"
"-35,936256","-0,13734922"
"-37,898426","-0,14263839"
"-39,83363","-0,14817789"
"-41,764885","-0,15418902"
"-43,74094","-0,15881583"
"-45,670193","-0,16498715"
"-47,624611","-0,17068386"
"-49,555916","-0,17534345"
"-51,514072","-0,18044263"
"-53,456699","-0,18513128"
"-55,407383","-0,19118711"
"-57,412216","-0,1957193"
"-59,381485","-0,20096153"
"-61,311687","-0,20571053"
"-63,237026","-0,21030381"
"-65,189728","-0,21571741"
"-67,131096","-0,22012517"
"-69,073204","-0,22543892"
"-71,019791","-0,22958294"
"-72,961693","-0,23511276"
"-74,937614","-0,23897141"
"-76,872833","-0,24374574"
"-78,87117","-0,24835914"
"-80,809166","-0,25289282"
"-82,763245","-0,25772527"
"-84,673286","-0,26202798"
"-86,642784","-0,26652366"
"-88,581833","-0,27144626"
"-90,522003","-0,27532727"
"-92,479973","-0,27968511"
"-94,425858","-0,28475747"
"-96,377762","-0,28901324"
"-98,347687","-0,29287115"
"-100,29182","-0,29716566"
"-102,22031","-0,30170679"
"-104,19235","-0,30637607"
"-106,17581","-0,31020269"
"-108,12419","-0,31443015"
"-110,0599","-0,3190808"
"-112,01334","-0,32264292"
"-113,96973","-0,32723323"
"-115,9036","-0,33104867"
"-117,84799","-0,33546239"
"-119,81133","-0,33906028"
"-121,74616","-0,34370869"
"-123,64367","-0,34703165"
"-125,60734","-0,35067201"
"-127,55682","-0,35507903"
"-129,54227","-0,35933927"
"-131,48874","-0,36372617"
"-133,46921","-0,36710948"
"-135,40027","-0,37127808"
"-137,34412","-0,37511662"
"-139,29834","-0,37932768"
"-141,22186","-0,38318932"
"-143,18094","-0,38690045"
"-145,15399","-0,39088428"
"-147,09225","-0,3941752"
"-149,0313","-0,39853752"
"-150,99219","-0,40161684"
"-152,96791","-0,40588081"
"-154,90359","-0,41003749"
"-156,81697","-0,41380301"
"-158,81992","-0,41774437"
"-160,74095","-0,42115003"
"-162,6761","-0,42439327"
"-164,67865","-0,42877495"
"-166,60909","-0,43272823"
"-168,5463","-0,43588802"
"-170,51076","-0,43957531"
"-172,46573","-0,44316128"
"-174,41255","-0,4472971"
"-176,34254","-0,4511863"
"-178,31094","-0,45425817"
"-180,27423","-0,45798719"
"-182,16811","-0,46135262"
"-184,15511","-0,46507269"
"-186,09085","-0,46839863"
"-188,03641","-0,47202855"
"-189,96101","-0,47660246"
"-191,92726","-0,4794538"
"-193,87791","-0,48273951"
"-195,82629","-0,48642009"
"-197,78032","-0,49047619"
"-199,73204","-0,4936941"
"-201,65047","-0,49733818"
"-203,61809","-0,50055909"
"-205,5769","-0,50435138"
"-207,52893","-0,50792623"
"-209,4687","-0,51151145"
"-211,42067","-0,51491785"
"-213,38292","-0,51840097"
"-215,31975","-0,5218938"
"-217,28447","-0,52561909"
"-219,25761","-0,52813888"
"-221,15623","-0,5321331"
"-223,09807","-0,53516555"
"-225,06155","-0,53875816"
"-227,0432","-0,54216087"
"-228,94389","-0,54536235"
"-230,89104","-0,54869425"
"-232,86833","-0,55272728"
"-234,8073","-0,55549371"
"-236,7655","-0,5594604"
"-238,71852","-0,56276548"
"-240,67233","-0,56587088"
"-242,59163","-0,56995976"
"-244,5656","-0,57319999"
"-246,5392","-0,57584494"
"-248,46281","-0,57995021"
"-250,38937","-0,58330894"
"-249,86737","-0,58265257"
"-247,87364","-0,58017445"
"-245,86243","-0,57758915"
"-243,89282","-0,57398605"
"-241,90607","-0,57125688"
"-239,94914","-0,5687356"
"-237,99771","-0,56546104"
"-236,03444","-0,5624615"
"-234,07361","-0,55935752"
"-232,101","-0,55638778"
"-230,15189","-0,55330169"
"-228,19363","-0,55006146"
"-226,19159","-0,54737777"
"-224,30072","-0,54428804"
"-222,38698","-0,54168928"
"-220,39156","-0,5385533"
"-218,40396","-0,53551793"
"-216,47638","-0,53260326"
"-214,53218","-0,52950978"
"-212,59067","-0,52615476"
"-210,62215","-0,52348822"
"-208,66547","-0,52000433"
"-206,74474","-0,51694959"
"-204,80212","-0,51410347"
"-202,83968","-0,51075667"
"-200,87213","-0,50848496"
"-198,92332","-0,50498545"
"-196,96657","-0,50140172"
"-195,03223","-0,49851313"
"-193,05022","-0,49538389"
"-191,10373","-0,4924044"
"-189,19646","-0,48933327"
"-187,23561","-0,48567206"
"-185,26656","-0,48234835"
"-183,30379","-0,47953874"
"-181,35185","-0,47605783"
"-179,40042","-0,47298297"
"-177,44814","-0,46973899"
"-175,50726","-0,46677142"
"-173,5291","-0,46359673"
"-171,58159","-0,46052188"
"-169,69203","-0,45690611"
"-167,7354","-0,45302361"
"-165,76741","-0,45077354"
"-163,81471","-0,44713244"
"-161,8582","-0,44386685"
"-159,86516","-0,44002607"
"-157,95381","-0,43724477"
"-155,98196","-0,43319762"
"-154,04778","-0,43051541"
"-152,13014","-0,42707622"
"-150,1795","-0,42319745"
"-148,23495","-0,42028055"
"-146,27412","-0,41624755"
"-144,31","-0,41289181"
"-142,36227","-0,40977597"
"-140,36629","-0,40611178"
"-138,46025","-0,40311962"
"-136,51332","-0,39905906"
"-134,55785","-0,39585531"
"-132,6611","-0,39222464"
"-130,68945","-0,38873479"
"-128,69548","-0,38513318"
"-126,79759","-0,38126037"
"-124,84921","-0,37790909"
"-122,90478","-0,37387386"
"-120,93509","-0,37028342"
"-118,94639","-0,36671311"
"-117,01753","-0,36269054"
"-115,07528","-0,35896748"
"-113,11104","-0,35497025"
"-111,16501","-0,3514953"
"-109,20598","-0,34792721"
"-107,24972","-0,34388676"
"-105,28327","-0,34005195"
"-103,34383","-0,33643916"
"-101,38824","-0,33228621"
"-99,444313","-0,32762438"
"-97,513779","-0,32438263"
"-95,560379","-0,32006949"
"-93,602486","-0,31578392"
"-91,649048","-0,31156391"
"-89,702454","-0,30745119"
"-87,702393","-0,30329525"
"-85,790329","-0,29910654"
"-83,859619","-0,29539764"
"-81,92527","-0,29148534"
"-79,922119","-0,28682724"
"-77,961433","-0,28237253"
"-76,073563","-0,27866662"
"-74,113724","-0,27418733"
"-72,164139","-0,26935115"
"-70,222755","-0,26499555"
"-68,260826","-0,26055202"
"-66,306595","-0,25601387"
"-64,344025","-0,25134906"
"-62,426647","-0,24679527"
"-60,486706","-0,24283826"
"-58,526566","-0,23812652"
"-56,56583","-0,23366138"
"-54,604397","-0,22824109"
"-52,640388","-0,22371337"
"-50,678734","-0,21857545"
"-48,745884","-0,21377951"
