Ch 1 Kraft,Ch 1 Weg
"-1,0010674","-0,015087426"
"-1,0164361","-0,015119463"
"-0,99971145","-0,014916062"
"-0,97263229","-0,014630705"
"-1,0215603","-0,014421344"
"-1,0024179","-0,015108287"
"-0,97559762","-0,014695525"
"-1,0252316","-0,014664978"
"-0,99962765","-0,014767051"
"-0,97424722","-0,014457107"
"-1,0010004","-0,014746934"
"-1,0029058","-0,014904886"
"-0,99027526","-0,014251471"
"-1,0020118","-0,014365464"
"-1,0128598","-0,014591962"
"-0,99607933","-0,014662743"
"-0,97511339","-0,014599413"
"-1,0160003","-0,014442205"
"-0,98863059","-0,014461577"
"-0,97764099","-0,014342368"
"-2,6463699","-0,010257214"
"-4,6450534","-0,021037459"
"-6,2120538","-0,02848357"
"-8,5058002","-0,038728863"
"-10,520153","-0,046839565"
"-12,717957","-0,054685026"
"-14,668194","-0,061839074"
"-16,55394","-0,067572296"
"-18,520702","-0,073835999"
"-20,438084","-0,08026436"
"-22,374475","-0,085622072"
"-24,292665","-0,091505796"
"-26,268576","-0,096653402"
"-28,193012","-0,10245591"
"-30,126476","-0,10820776"
"-32,042271","-0,11356547"
"-34,062817","-0,11868253"
"-35,977295","-0,12404397"
"-37,893017","-0,12905076"
"-39,842438","-0,13308749"
"-41,845417","-0,13874844"
"-43,765053","-0,14424995"
"-45,689232","-0,14838874"
"-47,676418","-0,15384704"
"-49,640087","-0,15842319"
"-51,57185","-0,16318187"
"-53,509686","-0,16810447"
"-55,444733","-0,17243251"
"-57,426544","-0,17746314"
"-59,375549","-0,1816757"
"-61,304317","-0,18622428"
"-63,268379","-0,19115508"
"-65,236183","-0,19521341"
"-67,168396","-0,20035058"
"-69,102348","-0,2037555"
"-71,049179","-0,20902753"
"-73,05442","-0,21298155"
"-74,984535","-0,21739528"
"-76,888084","-0,22151992"
"-78,850044","-0,22554621"
"-80,844688","-0,23045987"
"-82,778008","-0,23497567"
"-84,688751","-0,23874268"
"-86,667908","-0,24256259"
"-88,628899","-0,24686977"
"-90,555557","-0,25039539"
"-92,557831","-0,25501773"
"-94,505226","-0,25923699"
"-96,393257","-0,26309937"
"-98,363716","-0,26688874"
"-100,30037","-0,27182326"
"-102,28824","-0,27493313"
"-104,21109","-0,27875975"
"-106,15411","-0,28294995"
"-108,13071","-0,28704181"
"-110,07404","-0,29064268"
"-111,99324","-0,29429272"
"-113,98996","-0,29804781"
"-115,90608","-0,30178949"
"-117,83559","-0,30548349"
"-119,82274","-0,30968115"
"-121,78029","-0,31325147"
"-123,70686","-0,31656176"
"-125,64502","-0,32084957"
"-127,49516","-0,3241539"
"-129,42822","-0,32762364"
"-131,42833","-0,33112392"
"-133,41948","-0,33497438"
"-135,34709","-0,33788979"
"-137,3318","-0,34172237"
"-139,2747","-0,34500137"
"-141,25591","-0,34928843"
"-143,17827","-0,35243854"
"-145,1236","-0,35629123"
"-147,08258","-0,35975501"
"-149,03415","-0,3622286"
"-150,97099","-0,36670342"
"-152,93135","-0,36971495"
"-154,92674","-0,37317574"
"-156,8615","-0,37638247"
"-158,83276","-0,38004145"
"-160,76151","-0,38317367"
"-162,72421","-0,38659796"
"-164,6492","-0,38993731"
"-166,59811","-0,39313883"
"-168,57951","-0,39665028"
"-170,55411","-0,40071085"
"-172,46069","-0,40342212"
"-174,41251","-0,40671155"
"-176,36166","-0,41024834"
"-178,33519","-0,41389167"
"-180,29886","-0,41671991"
"-182,235","-0,42030215"
"-184,16714","-0,4236728"
"-186,15279","-0,42707175"
"-188,0929","-0,42993128"
"-190,01221","-0,43349266"
"-191,97444","-0,43695867"
"-193,92717","-0,43987036"
"-195,87985","-0,44342726"
"-197,81827","-0,44648871"
"-199,80754","-0,45012832"
"-201,71814","-0,45281276"
"-203,68221","-0,45601726"
"-205,64137","-0,45976788"
"-207,58365","-0,46294406"
"-209,50867","-0,46598539"
"-211,48578","-0,46974421"
"-213,42131","-0,47235638"
"-215,38147","-0,47639236"
"-217,30916","-0,47872514"
"-219,2912","-0,48257113"
"-221,2323","-0,48685074"
"-223,17778","-0,48885569"
"-225,1226","-0,4921928"
"-227,0683","-0,49497783"
"-229,01755","-0,49837306"
"-230,96106","-0,50133836"
"-232,90709","-0,50491393"
"-234,85432","-0,50834864"
"-236,8439","-0,51150846"
"-238,76363","-0,51452446"
"-240,65938","-0,51755905"
"-242,7419","-0,52118826"
"-244,67345","-0,5246706"
"-246,57962","-0,52762032"
"-248,56604","-0,5306952"
"-250,4404","-0,53405613"
"-249,80605","-0,53326261"
"-247,76646","-0,53034055"
"-245,80887","-0,52745789"
"-243,84151","-0,52421021"
"-241,83514","-0,52129555"
"-239,91792","-0,51901412"
"-237,9463","-0,51566291"
"-235,97862","-0,51291436"
"-234,00459","-0,50932169"
"-232,0717","-0,50670654"
"-230,10202","-0,50388646"
"-228,15271","-0,50076544"
"-226,17154","-0,4975833"
"-224,27834","-0,49469024"
"-222,3089","-0,49194247"
"-220,31277","-0,48874095"
"-218,3877","-0,48596263"
"-216,48897","-0,48253834"
"-214,49934","-0,47962368"
"-212,54163","-0,47728717"
"-210,62546","-0,47382563"
"-208,66275","-0,47092289"
"-206,71275","-0,46779588"
"-204,76765","-0,46469718"
"-202,82053","-0,4614152"
"-200,87892","-0,45854598"
"-198,92934","-0,4551962"
"-196,97423","-0,45223907"
"-194,99953","-0,44927895"
"-193,07849","-0,44649765"
"-191,13423","-0,4428722"
"-189,1743","-0,43969527"
"-187,20026","-0,436721"
"-185,25426","-0,43330118"
"-183,32201","-0,43050721"
"-181,36276","-0,42738095"
"-179,43495","-0,42432174"
"-177,48177","-0,42116866"
"-175,5105","-0,41823313"
"-173,54053","-0,41486621"
"-171,63069","-0,41172877"
"-169,67079","-0,40926859"
"-167,68979","-0,40535554"
"-165,75792","-0,40247142"
"-163,81927","-0,39903969"
"-161,86426","-0,39542764"
"-159,91849","-0,39252266"
"-157,97717","-0,38941354"
"-156,02507","-0,38630143"
"-154,11864","-0,38271248"
"-152,12198","-0,37944689"
"-150,20941","-0,37623644"
"-148,21225","-0,37247762"
"-146,25751","-0,36941245"
"-144,28566","-0,36619455"
"-142,38959","-0,36333576"
"-140,38533","-0,35940781"
"-138,48262","-0,35579428"
"-136,53708","-0,35303459"
"-134,54097","-0,34906566"
"-132,63293","-0,34579858"
"-130,69574","-0,34262314"
"-128,6602","-0,33925027"
"-126,78445","-0,33607781"
"-124,77524","-0,3320083"
"-122,91629","-0,32838136"
"-120,96866","-0,32505691"
"-119,01061","-0,32116249"
"-116,99509","-0,31753257"
"-115,07767","-0,31399056"
"-113,11467","-0,3098689"
"-111,15038","-0,30692741"
"-109,25247","-0,30282885"
"-107,26812","-0,29872581"
"-105,31065","-0,29534325"
"-103,33811","-0,29141828"
"-101,41387","-0,28752014"
"-99,449234","-0,28389767"
"-97,52002","-0,27930513"
"-95,633751","-0,27561933"
"-93,609825","-0,27199537"
"-91,651428","-0,26717484"
"-89,71534","-0,26371256"
"-87,792923","-0,25913194"
"-85,82576","-0,25568679"
"-83,875191","-0,25173575"
"-81,873268","-0,24687275"
"-79,981468","-0,24306178"
"-78,000877","-0,23892149"
"-76,057152","-0,23463815"
"-74,148369","-0,23023337"
"-72,154839","-0,22606254"
"-70,17643","-0,22163168"
"-68,271988","-0,21716282"
"-66,29583","-0,21296665"
"-64,385506","-0,20870864"
"-62,395836","-0,2042532"
"-60,507427","-0,19955561"
"-58,504238","-0,19513294"
"-56,554432","-0,1902096"
"-54,608303","-0,18531755"
"-52,692326","-0,18079802"
"-50,757969","-0,17640591"
"-48,835548","-0,17181486"
"-46,854069","-0,16640723"
"-44,889877","-0,16134903"
"-42,93251","-0,15595928"
"-40,959343","-0,15149191"
"-39,021702","-0,14541447"
"-37,06673","-0,14029071"
"-35,115063","-0,13531297"
"-33,159855","-0,12970045"
"-31,241381","-0,12442395"
"-29,264978","-0,11853054"
"-27,316492","-0,11279732"
"-25,338194","-0,10747984"
"-23,420452","-0,10147244"
