Ch 1 Kraft,Ch 1 Weg
"-1,2332071","-1,6889933"
"-1,5996526","-1,6932663"
"-1,8086973","-1,6952757"
"-2,1480675","-1,6987096"
"-2,4534278","-1,7016735"
"-2,6801267","-1,7036918"
"-2,7599857","-1,7047722"
"-3,1607821","-1,7075959"
"-3,7171524","-1,712006"
"-3,9561615","-1,7144505"
"-4,0596743","-1,7149289"
"-3,9791186","-1,7149787"
"-3,9891918","-1,7143991"
"-3,9705486","-1,7144803"
"-3,88908","-1,714478"
"-3,9473028","-1,7150041"
"-3,953265","-1,7144885"
"-3,9128196","-1,7144214"
"-3,933629","-1,7145607"
"-3,9178674","-1,7144378"
"-5,4972601","-0,0089392066"
"-7,4885917","-0,020091981"
"-9,3905449","-0,03079325"
"-11,574459","-0,041152537"
"-13,59409","-0,049807131"
"-15,463629","-0,058133155"
"-17,497293","-0,065279752"
"-19,473129","-0,072465837"
"-21,404373","-0,079013407"
"-23,294504","-0,085474551"
"-25,313416","-0,091719627"
"-27,217663","-0,097952783"
"-29,123659","-0,10332242"
"-31,040928","-0,10946244"
"-32,934387","-0,1141414"
"-35,109989","-0,12102574"
"-36,958313","-0,12630522"
"-38,831905","-0,13138279"
"-40,784927","-0,13658255"
"-42,751907","-0,1422435"
"-44,753063","-0,1478754"
"-46,691429","-0,15295818"
"-48,55389","-0,15759692"
"-50,608494","-0,16276762"
"-52,551517","-0,16754866"
"-54,6078","-0,17290562"
"-56,474987","-0,17738193"
"-58,459747","-0,18273741"
"-60,358345","-0,18777847"
"-62,329067","-0,1925163"
"-64,216476","-0,19668266"
"-66,182579","-0,20152256"
"-68,131775","-0,20663291"
"-70,08049","-0,21102801"
"-72,110558","-0,21604747"
"-74,017639","-0,22098944"
"-75,954895","-0,22539422"
"-77,807594","-0,22975653"
"-79,893166","-0,23422688"
"-81,711617","-0,23915619"
"-83,740913","-0,24310127"
"-85,735703","-0,2482973"
"-87,59211","-0,25226697"
"-89,65992","-0,25718212"
"-91,660118","-0,2614677"
"-93,518616","-0,26578307"
"-95,468231","-0,27059987"
"-97,421272","-0,27496889"
"-99,33567","-0,27919933"
"-101,30116","-0,28341413"
"-103,07958","-0,28768703"
"-105,05097","-0,29173419"
