Ch 1 Kraft,Ch 1 Weg
"-1,3039894","-2,3078992"
"-1,6387459","-2,310806"
"-1,9076989","-2,3129523"
"-2,1127501","-2,314841"
"-2,5527346","-2,3178055"
"-2,7649755","-2,3191123"
"-3,0521007","-2,3208137"
"-3,2409093","-2,3222651"
"-3,3319387","-2,3229446"
"-3,8634558","-2,3255448"
"-4,1158891","-2,3268967"
"-4,0506721","-2,3276315"
"-4,0178356","-2,3272886"
"-3,9852169","-2,3270786"
"-4,026834","-2,3272541"
"-3,9564948","-2,3276772"
"-3,9443877","-2,3273082"
"-3,9324927","-2,3271303"
"-3,9581881","-2,3274302"
"-3,9579048","-2,3272331"
"-5,5881085","-0,0066641718"
"-7,4643383","-0,015525147"
"-9,2529259","-0,023000315"
"-11,523322","-0,030703843"
"-13,583491","-0,037759542"
"-15,531736","-0,044513494"
"-17,511932","-0,050663203"
"-19,394526","-0,055890158"
"-21,37722","-0,060976297"
"-23,315042","-0,066325814"
"-25,249256","-0,071452186"
"-27,296873","-0,076602027"
"-29,129164","-0,08129254"
"-31,150305","-0,086278096"
"-33,168697","-0,090984628"
"-34,986622","-0,095412508"
"-36,865192","-0,10007843"
"-38,968819","-0,10400005"
"-40,919033","-0,10863282"
"-42,800777","-0,11329241"
"-44,805584","-0,11780225"
"-46,664162","-0,12148842"
"-48,612358","-0,12608171"
"-50,619244","-0,13010949"
"-52,562462","-0,13462976"
"-54,515926","-0,13890155"
"-56,419056","-0,1425501"
"-58,278454","-0,14667735"
"-60,368458","-0,1505971"
"-62,377697","-0,15487708"
"-64,242302","-0,15934519"
"-66,212006","-0,16299486"
"-68,131386","-0,16648397"
"-70,216522","-0,17072521"
"-72,088295","-0,17468818"
"-73,946144","-0,17830729"
"-75,983269","-0,18215738"
"-77,887489","-0,18596798"
"-79,865822","-0,1897499"
"-81,866302","-0,19423813"
"-83,742683","-0,1980193"
"-85,713036","-0,20143241"
"-87,612053","-0,20538606"
"-89,608215","-0,20899512"
"-91,515289","-0,21245293"
"-93,501587","-0,21617934"
"-95,340813","-0,21966435"
"-97,41433","-0,22351481"
"-99,401466","-0,22711456"
"-101,358","-0,23117512"
"-103,28536","-0,23426451"
"-105,30382","-0,23815185"
"-107,17961","-0,24149269"
"-109,18752","-0,24555773"
"-111,04276","-0,24881586"
"-113,10995","-0,25229156"
"-114,95717","-0,25615358"
"-116,97643","-0,25967807"
"-118,74072","-0,26321"
"-120,74893","-0,26681572"
"-122,75513","-0,2699852"
"-124,66014","-0,27332866"
"-126,7339","-0,27659798"
"-128,46764","-0,28051808"
"-130,45338","-0,28363988"
"-132,59862","-0,2874192"
"-134,40424","-0,29032975"
"-136,62752","-0,2940256"
"-138,38931","-0,29749423"
"-140,30797","-0,30078626"
"-142,19734","-0,30418003"
"-144,24696","-0,30755514"
"-146,32578","-0,31098425"
"-147,91647","-0,31389967"
"-149,97903","-0,31715071"
"-151,95634","-0,32075757"
"-154,12357","-0,32390952"
"-155,91838","-0,32767802"
"-157,90936","-0,33051783"
"-159,78165","-0,33392087"
"-161,6328","-0,33697113"
"-163,80716","-0,34055114"
"-165,78047","-0,34360552"
"-167,65611","-0,34734309"
"-169,51022","-0,34998953"
"-171,47949","-0,35348797"
"-173,52644","-0,35672709"
"-175,31422","-0,35972148"
"-177,35457","-0,362831"
"-179,35638","-0,36634281"
"-181,34477","-0,3694486"
"-183,03484","-0,37245935"
"-185,13173","-0,37645549"
"-187,12894","-0,3792215"
"-189,0721","-0,38232356"
"-187,0164","-0,38022846"
"-185,00568","-0,37771499"
"-182,98761","-0,37536174"
"-181,12091","-0,37325546"
"-179,05441","-0,37025326"
"-177,17679","-0,36766344"
"-175,16678","-0,36575013"
"-173,22874","-0,36322698"
"-171,21716","-0,36037451"
"-169,39998","-0,35787636"
"-167,39754","-0,35521424"
"-165,36331","-0,35245866"
"-163,38873","-0,35009718"
"-161,52142","-0,34711957"
"-159,49597","-0,34479386"
"-157,56625","-0,34226662"
"-155,7039","-0,33957922"
"-153,76773","-0,33697933"
"-151,95778","-0,33419952"
"-149,78369","-0,3314741"
"-147,76997","-0,32869017"
"-145,85706","-0,32596701"
"-143,8811","-0,32304749"
"-142,01909","-0,31983107"
"-140,1731","-0,31760558"
"-138,15627","-0,31488425"
"-136,26135","-0,31225607"
"-134,26558","-0,30934548"
"-132,26978","-0,30580312"
"-130,44286","-0,30359888"
"-128,36803","-0,30027294"
"-126,53584","-0,29769725"
"-124,3971","-0,29422528"
"-122,55708","-0,29100215"
"-120,41856","-0,28830504"
"-118,56459","-0,28543806"
"-116,66069","-0,28265715"
"-114,63122","-0,27932262"
"-112,68523","-0,27594492"
"-110,82841","-0,272917"
"-108,85724","-0,26991332"
"-106,8391","-0,26701391"
"-104,92738","-0,26388317"
"-102,95459","-0,26048943"
"-101,05748","-0,25689006"
"-99,07283","-0,25385284"
"-97,235558","-0,25110468"
"-95,10363","-0,24711378"
"-93,285652","-0,2436202"
"-91,394821","-0,24049543"
"-89,450516","-0,23727901"
"-87,440056","-0,23425296"
"-85,58828","-0,23056492"
"-83,534492","-0,22712573"
"-81,57338","-0,22309907"
"-79,715317","-0,22044294"
"-77,836273","-0,21660738"
"-75,706718","-0,21302588"
"-73,758095","-0,20944774"
"-71,949303","-0,20589046"
"-69,94091","-0,20231344"
"-67,967751","-0,19879825"
"-65,903549","-0,19446947"
"-64,023911","-0,19078106"
"-62,072166","-0,1870878"
"-60,07869","-0,18282197"
"-58,119076","-0,17945655"
"-56,178932","-0,17540306"
"-54,282383","-0,17144233"
"-52,278526","-0,16717277"
"-50,489021","-0,16360804"
"-48,497608","-0,15920699"
"-46,515587","-0,15485249"
"-44,506214","-0,15054867"
"-42,564426","-0,14595836"
"-40,708885","-0,14205724"
"-38,736996","-0,13729259"
"-36,729435","-0,13265572"
"-34,764568","-0,12763739"
"-32,900612","-0,12326166"
"-30,94088","-0,11854619"
"-28,85487","-0,11359639"
"-26,940365","-0,10856688"
"-24,980837","-0,10362007"
"-23,094305","-0,098258257"
"-21,113573","-0,093065575"
"-19,062115","-0,086934865"
"-17,133871","-0,080935284"
"-15,312076","-0,075235218"
"-13,380139","-0,068844855"
"-11,318913","-0,061970949"
"-9,4794607","-0,054475293"
"-7,6019764","-0,046122447"
"-5,5721159","-0,036024302"
"-4,1684585","-0,027571991"
"-5,8893151","-0,034916773"
"-7,892767","-0,04340969"
"-10,013879","-0,050694868"
"-12,050198","-0,057382509"
"-13,988411","-0,063426793"
"-15,940488","-0,069241226"
"-17,917486","-0,074894726"
"-19,870529","-0,080363825"
"-21,82942","-0,08518137"
"-23,789431","-0,090556219"
"-25,74494","-0,095667318"
"-27,576038","-0,099730119"
"-29,636576","-0,10489747"
"-31,627794","-0,1093965"
"-33,449341","-0,11422411"
"-35,502754","-0,11881553"
"-37,392307","-0,12293793"
"-39,461998","-0,12708977"
"-41,408028","-0,13122931"
"-43,212402","-0,13556033"
"-45,246475","-0,14025494"
"-47,123199","-0,14410764"
"-48,924355","-0,14813207"
"-51,00835","-0,15234388"
"-53,098518","-0,1564946"
"-54,999077","-0,16075708"
"-56,91201","-0,16449504"
"-58,937309","-0,16840175"
"-60,930202","-0,17213523"
"-62,894634","-0,1762554"
"-64,841209","-0,18037036"
"-66,537376","-0,18325932"
"-68,383102","-0,18686913"
"-70,628792","-0,19107312"
"-72,432228","-0,19475631"
"-74,423965","-0,1985874"
"-76,451767","-0,20244271"
"-78,489044","-0,20570382"
"-80,363144","-0,20937026"
"-82,263824","-0,21321364"
"-84,271927","-0,21692477"
"-86,082268","-0,22022761"
"-88,178963","-0,22360161"
"-90,029358","-0,22674724"
"-92,146416","-0,23074448"
"-94,058868","-0,23436733"
"-95,997841","-0,2373822"
"-97,85276","-0,24095103"
"-99,90799","-0,24461634"
"-101,79273","-0,24765618"
"-103,7812","-0,25125593"
"-105,66135","-0,25486276"
"-107,67293","-0,25768951"
"-109,55695","-0,26147252"
"-111,50167","-0,26384145"
"-113,54421","-0,26802605"
"-115,5132","-0,27114338"
"-117,40595","-0,27396417"
"-119,29582","-0,27722567"
"-121,2864","-0,28054193"
"-123,29345","-0,28436854"
"-125,34269","-0,2874732"
"-127,19553","-0,28993899"
"-129,07411","-0,29330587"
"-131,17763","-0,29656887"
"-132,95824","-0,29943997"
"-134,86696","-0,30275807"
"-136,8179","-0,30511653"
"-138,82312","-0,30827856"
"-140,92328","-0,31167829"
"-142,69426","-0,31475127"
"-144,81125","-0,31791812"
"-146,67821","-0,32050163"
"-148,75279","-0,32387823"
"-150,6086","-0,32647365"
"-152,61009","-0,3295593"
"-154,37949","-0,33238268"
"-156,41234","-0,33543482"
"-158,34784","-0,33808315"
"-160,16463","-0,34140164"
"-162,09689","-0,34415647"
"-164,08913","-0,34696534"
"-166,00536","-0,34990236"
"-168,15134","-0,35319701"
"-170,07776","-0,35540873"
"-171,90408","-0,35893357"
"-173,91312","-0,3617011"
"-175,96254","-0,36464036"
"-177,94429","-0,36803037"
"-179,70154","-0,37015563"
"-181,80411","-0,37337169"
"-183,68874","-0,37660599"
"-184,6076","-0,37766695"
"-182,49619","-0,37536061"
"-180,57886","-0,37306026"
"-178,78989","-0,37078893"
"-176,54228","-0,36854818"
"-174,53365","-0,36548561"
"-172,68456","-0,36290026"
"-170,78244","-0,36031717"
"-168,95563","-0,35824478"
"-166,98424","-0,35565197"
"-164,71829","-0,35237855"
"-163,03023","-0,34966022"
"-160,99123","-0,34749433"
"-159,04556","-0,34469032"
"-157,0928","-0,34252816"
"-155,0007","-0,33942723"
"-153,10704","-0,33640042"
"-151,35727","-0,33406729"
"-149,40901","-0,33149087"
"-147,46893","-0,32881126"
"-145,37094","-0,32588577"
"-143,36455","-0,32263994"
"-141,60304","-0,32050163"
"-139,60635","-0,31738877"
"-137,5769","-0,3146179"
"-135,58313","-0,31176731"
"-133,66615","-0,30889362"
"-131,76987","-0,30579829"
"-129,79219","-0,30299872"
"-127,89664","-0,30002445"
"-125,89371","-0,29707253"
"-123,86709","-0,29444471"
"-121,80905","-0,29085541"
"-120,07944","-0,28830355"
"-118,09863","-0,28578752"
"-116,12683","-0,28250253"
"-114,15862","-0,27950293"
"-112,11108","-0,27570575"
"-110,32106","-0,27320608"
"-108,3503","-0,26999599"
"-106,46412","-0,26725495"
"-104,40801","-0,2635237"
"-102,36954","-0,26006848"
"-100,47549","-0,25684124"
"-98,613861","-0,25383905"
"-96,660812","-0,25047585"
"-94,635063","-0,24698786"
"-92,532936","-0,24353936"
"-90,847122","-0,24081245"
"-88,933693","-0,23675337"
"-86,93869","-0,23392178"
