Ch 1 Kraft,Ch 1 Weg
"-1,093639","-0,21412075"
"-1,3689082","-0,21829009"
"-1,37119","-0,21813959"
"-2,3551397","-0,22926629"
"-2,5966709","-0,23218095"
"-2,8141141","-0,23528934"
"-3,0763893","-0,23756325"
"-3,3775215","-0,24098605"
"-3,6872904","-0,24338961"
"-4,0176139","-0,24583489"
"-4,0310192","-0,2467528"
"-4,0106049","-0,24630129"
"-4,0117393","-0,24700463"
"-3,9845128","-0,24670064"
"-3,9919763","-0,24707019"
"-3,955653","-0,24702847"
"-3,9382019","-0,24654269"
"-3,9465876","-0,24639964"
"-3,9350893","-0,24670959"
"-3,9164722","-0,2464965"
"-5,5015554","-0,0098615885"
"-7,6156092","-0,023640692"
"-9,6061869","-0,033912063"
"-11,564582","-0,043229759"
"-13,547298","-0,050635636"
"-15,458982","-0,058287382"
"-17,429705","-0,064831972"
"-19,411411","-0,071068108"
"-21,410925","-0,077565014"
"-23,360001","-0,083167851"
"-25,296839","-0,089038908"
"-27,232677","-0,09419471"
"-29,146364","-0,099103153"
"-31,057348","-0,10351837"
"-33,015831","-0,10996312"
"-34,981213","-0,11481643"
"-36,996632","-0,11912882"
"-38,933102","-0,12419075"
"-40,879353","-0,12875944"
"-42,851326","-0,13402998"
"-44,788509","-0,1382485"
"-46,709534","-0,14316142"
"-48,617924","-0,14749914"
"-50,579132","-0,15239269"
"-52,585163","-0,15636832"
"-54,580433","-0,16067922"
"-56,496346","-0,16541183"
"-58,460884","-0,16996264"
"-60,401585","-0,17352998"
"-62,335674","-0,17683953"
"-64,246307","-0,18198192"
"-66,173073","-0,18576086"
"-68,180649","-0,18981248"
"-70,150192","-0,19374043"
"-72,119637","-0,1987502"
"-74,109299","-0,20238161"
"-76,00293","-0,206092"
"-77,954872","-0,21058321"
"-79,926376","-0,21393746"
"-81,787888","-0,21803677"
"-83,715813","-0,22166073"
"-85,670029","-0,22562444"
"-87,679817","-0,2303794"
"-89,613121","-0,23377687"
"-91,638245","-0,23752749"
"-93,600845","-0,24113655"
"-95,509918","-0,24485141"
"-97,407639","-0,24894476"
"-99,328865","-0,25197715"
"-101,23264","-0,25609732"
"-103,22974","-0,25995672"
"-105,25127","-0,26333332"
"-107,16927","-0,26661009"
"-109,16121","-0,27039796"
"-111,13798","-0,27461648"
"-113,04086","-0,27802438"
"-114,9577","-0,28117448"
"-116,8953","-0,28457493"
"-118,80143","-0,28812438"
"-120,8186","-0,29182732"
"-122,81816","-0,2958253"
"-124,71567","-0,29961169"
"-126,73687","-0,30220896"
"-128,70615","-0,30577928"
"-130,58832","-0,30924976"
"-132,52663","-0,31328201"
"-134,4241","-0,31560957"
"-136,33755","-0,31869709"
"-138,33221","-0,32256693"
"-140,35681","-0,32590628"
"-142,3067","-0,32905936"
"-144,25404","-0,33338368"
"-146,17999","-0,33558309"
"-148,05991","-0,33917725"
"-150,01105","-0,34262389"
"-151,91724","-0,34602582"
"-153,9137","-0,34943223"
"-155,90266","-0,35279691"
"-157,89421","-0,35554618"
"-159,83145","-0,35922527"
"-161,80101","-0,3628999"
"-163,72855","-0,36509484"
"-165,70703","-0,3686741"
"-167,55373","-0,37153363"
"-169,52397","-0,37524402"
"-171,48384","-0,37839711"
"-173,45775","-0,38207024"
"-175,43872","-0,38506985"
"-177,43005","-0,38790107"
"-179,31508","-0,39131939"
"-181,29648","-0,39449483"
"-183,24471","-0,39688647"
"-185,14632","-0,40067732"
"-187,12682","-0,40393621"
"-189,07509","-0,40754378"
"-186,95917","-0,40415376"
"-185,0359","-0,40254146"
