Ch 1 Kraft,Ch 1 Weg
"-1,2601242","-23,370342"
"-1,5988369","-23,372675"
"-1,8693507","-23,375433"
"-2,1750796","-23,376575"
"-2,3134108","-23,377275"
"-2,4721603","-23,378736"
"-3,0884259","-23,381393"
"-3,4794695","-23,383713"
"-3,7164614","-23,38549"
"-4,0012894","-23,387276"
"-3,9773827","-23,387781"
"-4,0258131","-23,387707"
"-4,0022731","-23,387539"
"-3,9444306","-23,387791"
"-3,9802864","-23,388393"
"-3,9533339","-23,388243"
"-3,93085","-23,388376"
"-3,9334259","-23,387766"
"-3,9152298","-23,388197"
"-3,9511602","-23,388075"
"-5,4476671","-0,0073760748"
"-7,4444189","-0,017008185"
"-9,5648613","-0,026388466"
"-11,597548","-0,034797192"
"-13,552772","-0,042425096"
"-15,537281","-0,049670041"
"-17,457611","-0,055862963"
"-19,396503","-0,062529743"
"-21,353155","-0,068451464"
"-23,304935","-0,074435771"
"-25,225906","-0,080575049"
"-27,220291","-0,086376071"
"-29,158644","-0,09213835"
"-31,097313","-0,096540153"
"-33,066433","-0,10226965"
"-34,973843","-0,10748357"
"-36,935284","-0,11249483"
"-38,918236","-0,11797994"
"-40,83765","-0,12220144"
"-42,789566","-0,1273632"
"-44,738262","-0,13291836"
"-46,676079","-0,13810992"
"-48,677895","-0,14238954"
"-50,573891","-0,14726967"
"-52,524387","-0,15237629"
"-54,531353","-0,15656948"
"-56,413517","-0,16114861"
"-58,417233","-0,1662612"
"-60,358788","-0,17023385"
"-62,325714","-0,17540455"
"-64,238052","-0,1805976"
"-66,174889","-0,18470585"
"-68,149101","-0,1888603"
"-70,139557","-0,19329339"
"-72,013695","-0,19790828"
"-73,971085","-0,20303428"
"-75,97934","-0,20701736"
"-77,957298","-0,21124184"
"-79,874718","-0,21535456"
"-81,818314","-0,21963716"
"-83,755714","-0,22378266"
"-85,675163","-0,22822171"
"-87,616989","-0,23260415"
"-89,556473","-0,23626536"
"-91,634857","-0,24000704"
"-93,422722","-0,24421364"
"-95,380768","-0,24861395"
"-97,382378","-0,25342256"
"-99,221336","-0,25635958"
"-101,23726","-0,26129633"
"-103,16648","-0,26485324"
"-105,21137","-0,2688542"
"-107,13345","-0,27321428"
"-109,04227","-0,27716309"
"-111,03383","-0,28160065"
"-112,99933","-0,28489083"
"-114,94262","-0,28936565"
"-116,87011","-0,29358268"
"-118,80495","-0,29740036"
"-120,75343","-0,30150115"
"-122,73251","-0,30526668"
"-124,67033","-0,30926168"
"-126,62204","-0,31325966"
"-128,53291","-0,31683445"
"-130,53064","-0,32082796"
"-132,54851","-0,3249526"
"-134,48868","-0,32822341"
"-136,36542","-0,33208579"
"-138,38609","-0,33643693"
"-140,35794","-0,34026206"
"-142,30392","-0,34416318"
"-144,17407","-0,34764409"
"-146,12424","-0,35106987"
"-148,11789","-0,35471469"
"-150,09291","-0,35871416"
"-151,99893","-0,36239475"
"-153,97369","-0,36643744"
"-155,91049","-0,37018061"
"-157,86365","-0,37414879"
"-159,82729","-0,37814975"
"-161,75505","-0,38187206"
"-163,7027","-0,38529038"
"-165,66144","-0,38929433"
"-167,62654","-0,39318949"
"-169,51596","-0,39615035"
"-171,51738","-0,40027797"
"-173,42905","-0,40442199"
"-175,43158","-0,40784478"
"-177,34462","-0,41183531"
"-179,30569","-0,41426718"
"-181,26425","-0,41823685"
"-183,17955","-0,42207986"
"-185,14529","-0,42574853"
"-187,12787","-0,43014884"
"-189,06458","-0,43340921"
"-190,96895","-0,43686628"
"-192,96416","-0,44030398"
"-194,94627","-0,44427216"
"-196,84464","-0,44722408"
"-198,78963","-0,45091212"
"-200,75313","-0,45491159"
"-202,68622","-0,45791268"
"-204,62561","-0,46137869"
"-206,59334","-0,46556443"
"-208,55743","-0,46926588"
"-210,46564","-0,47309101"
"-212,46576","-0,47694445"
"-214,4213","-0,47982633"
"-216,33289","-0,48341006"
"-218,28493","-0,4877463"
"-220,24596","-0,4915446"
"-222,21426","-0,4948765"
"-224,13516","-0,49812943"
"-226,09476","-0,50202906"
"-228,05936","-0,50539076"
"-229,97818","-0,50906241"
"-231,94186","-0,51296353"
"-233,90085","-0,51646084"
"-235,82214","-0,52007735"
"-237,80353","-0,52375048"
"-239,76675","-0,52699149"
"-241,68513","-0,5311057"
"-243,6481","-0,53433031"
"-245,60765","-0,53752214"
"-247,50702","-0,5415827"
"-249,49275","-0,54493546"
"-251,44424","-0,54870397"
"-253,38777","-0,55239052"
"-255,31129","-0,55620521"
"-257,30255","-0,55932999"
"-259,2597","-0,56317598"
"-261,15863","-0,56593567"
"-263,12695","-0,56983232"
"-265,07242","-0,57305247"
"-267,00946","-0,57755709"
"-268,97153","-0,5807206"
"-270,93033","-0,58392137"
"-272,83365","-0,58771521"
"-274,84518","-0,59095621"
"-276,77542","-0,59540421"
"-278,68982","-0,59857219"
"-280,65753","-0,60181022"
"-282,6514","-0,60577691"
"-281,41733","-0,60477257"
"-279,44174","-0,60254335"
"-277,44016","-0,59915483"
"-275,47214","-0,59675574"
"-273,5116","-0,59387237"
"-271,51953","-0,59231222"
"-269,57343","-0,58856755"
"-267,65125","-0,58593005"
"-265,67056","-0,58310777"
"-263,73969","-0,57977289"
"-261,79776","-0,57655275"
"-259,80862","-0,57434142"
"-257,86453","-0,57112277"
"-255,94412","-0,56877136"
"-253,94203","-0,56542158"
"-252,0347","-0,56260079"
"-250,09293","-0,55958331"
"-248,07826","-0,55589974"
"-246,16566","-0,55387318"
"-244,24208","-0,55066496"
"-242,2558","-0,54721236"
"-240,33659","-0,54502636"
"-238,38443","-0,54168999"
"-236,39621","-0,53839684"
"-234,46686","-0,53627789"
"-232,53497","-0,53381473"
"-230,56137","-0,53032339"
"-228,6223","-0,52672774"
"-226,68048","-0,52405298"
"-224,71692","-0,52127689"
"-222,78204","-0,5175963"
"-220,84302","-0,51493198"
"-218,87767","-0,51230341"
"-216,91019","-0,50912499"
"-214,99234","-0,50598234"
"-213,0199","-0,5029276"
"-211,04898","-0,50002635"
"-209,15009","-0,49674958"
"-207,17242","-0,49370676"
"-205,19379","-0,49022138"
"-203,28845","-0,48752278"
"-201,31821","-0,48474967"
"-199,34686","-0,48124343"
"-197,43648","-0,47862381"
"-195,46758","-0,47531426"
"-193,50887","-0,47219396"
"-191,5791","-0,4690513"
"-189,60005","-0,46600252"
"-187,66426","-0,46250671"
"-185,66348","-0,45886636"
"-183,79137","-0,45593083"
"-181,81909","-0,45302659"
"-179,87283","-0,44991374"
"-177,93124","-0,44628084"
"-175,96112","-0,44362098"
"-173,99966","-0,44006109"
"-172,12363","-0,43800324"
"-170,09662","-0,43378025"
"-168,16782","-0,43062419"
"-166,22818","-0,42712837"
"-164,28651","-0,42416155"
"-162,30275","-0,42039007"
"-160,34943","-0,41841418"
"-158,46367","-0,41425377"
"-156,46367","-0,41131079"
"-154,51765","-0,40720403"
"-152,60641","-0,40406883"
"-150,62556","-0,40103942"
"-148,65048","-0,39788187"
"-146,75999","-0,39379895"
"-144,78304","-0,39095283"
"-142,82541","-0,38747936"
"-140,88705","-0,38394332"
"-138,92683","-0,37999451"
"-137,00658","-0,37701428"
"-135,08131","-0,37356317"
"-133,06218","-0,36998242"
"-131,10905","-0,36676377"
"-129,16733","-0,36285818"
"-127,22851","-0,36010891"
"-125,28318","-0,35650134"
"-123,3344","-0,35232902"
"-121,3267","-0,34885108"
"-119,42077","-0,3454119"
"-117,5215","-0,34139156"
"-115,53635","-0,33801943"
"-113,57542","-0,33418536"
"-111,65945","-0,33113509"
"-109,67307","-0,3271535"
"-107,74931","-0,32345951"
"-105,79464","-0,31956732"
"-103,86268","-0,3159076"
"-101,90774","-0,3120631"
"-99,989952","-0,30847639"
"-97,952164","-0,30454397"
"-96,053566","-0,30049831"
"-94,133125","-0,29646158"
"-92,152359","-0,29211491"
"-90,163513","-0,28866231"
"-88,237701","-0,28459728"
"-86,295265","-0,27996153"
"-84,309586","-0,27598143"
"-82,411926","-0,27157217"
"-80,467262","-0,26787668"
"-78,522659","-0,26357919"
"-76,539139","-0,25939494"
"-74,606621","-0,25484115"
"-72,661774","-0,25175065"
"-70,729134","-0,24611652"
"-68,764656","-0,24270415"
"-66,831245","-0,23759156"
"-64,879913","-0,23280084"
"-62,925152","-0,22873133"
"-60,954865","-0,22439808"
"-59,046757","-0,22002459"
"-57,051731","-0,21483302"
"-55,157055","-0,2103582"
"-53,142654","-0,20513386"
"-51,216022","-0,20066798"
"-49,274143","-0,1955241"
"-47,339119","-0,19022673"
"-45,371887","-0,18559992"
"-43,422806","-0,1807034"
"-41,525898","-0,17588288"
"-39,508343","-0,17012954"
"-37,562744","-0,16500652"
"-35,664379","-0,16027093"
"-33,64978","-0,15404373"
"-31,724405","-0,14879704"
"-29,818176","-0,14295727"
"-27,818808","-0,13761371"
