Ch 1 Kraft,Ch 1 Weg
"-1,015909","0,0036507845"
"-1,0528862","0,0036425889"
"-1,0118802","0,0036694109"
"-1,008898","0,0038679689"
"-0,99946558","0,0037103891"
"-1,0081549","0,0038448721"
"-0,98629111","0,0038463622"
"-1,0183361","0,0042594969"
"-1,0215882","0,0038474798"
"-1,028385","0,0036858022"
"-1,03","0,0040307641"
"-1,0294411","0,0039234757"
"-1,0381267","0,0037092716"
"-1,0033474","0,003920123"
"-1,0048207","0,0036869198"
"-1,0021366","0,0037718564"
"-1,0030382","0,0043224543"
"-1,044996","0,003772229"
"-1,0314863","0,0039950013"
"-1,0103918","0,0040858984"
"-2,5873258","-0,019917637"
"-3,8463063","-0,03512986"
"-6,655859","-0,063568354"
"-8,5547876","-0,079873577"
"-10,708752","-0,095975026"
"-12,766244","-0,11062324"
"-14,687677","-0,12257434"
"-16,60955","-0,13419092"
"-18,562891","-0,14507063"
"-20,503481","-0,15528314"
"-22,458162","-0,16485862"
"-24,413267","-0,1746729"
"-26,310829","-0,18322691"
"-28,219629","-0,19229688"
"-30,143623","-0,20131469"
"-32,122322","-0,20990409"
"-34,034931","-0,21782853"
"-36,003601","-0,22645593"
"-37,987415","-0,23488477"
"-39,919285","-0,24251677"
"-41,866039","-0,25079733"
"-43,843948","-0,25865734"
"-45,791485","-0,26651287"
"-47,674927","-0,27411208"
"-49,66357","-0,28197765"
"-51,578213","-0,28960258"
"-53,539738","-0,29759556"
"-55,514446","-0,30550474"
"-57,420864","-0,31281078"
"-59,428623","-0,32046884"
"-61,363495","-0,32770967"
"-63,294521","-0,33475047"
"-65,231453","-0,34227371"
"-67,176796","-0,35017803"
"-69,136299","-0,35761148"
"-71,082024","-0,36454126"
"-73,078491","-0,37203842"
"-75,013786","-0,37936941"
"-76,970261","-0,38622952"
"-78,286873","-0,39180219"
"-76,189926","-0,38675889"
"-74,171066","-0,38054103"
"-72,14859","-0,37429258"
"-70,164818","-0,36824644"
"-68,240013","-0,36246181"
"-66,276993","-0,35628751"
"-64,313049","-0,35010612"
"-62,366871","-0,3439557"
"-60,412079","-0,3376931"
"-58,440983","-0,33111796"
"-56,495037","-0,32467768"
"-54,553535","-0,31806678"
"-52,581898","-0,31139478"
"-50,66378","-0,30496791"
"-48,694393","-0,29832757"
"-46,763664","-0,29131138"
"-44,786293","-0,28384811"
"-42,834896","-0,27685726"
"-40,865395","-0,26912874"
"-38,927624","-0,26158428"
"-36,973465","-0,25423503"
"-35,034233","-0,24634525"
"-33,083652","-0,23871921"
"-31,150167","-0,23106933"
"-29,205896","-0,22278018"
"-27,237078","-0,21433234"
"-25,297941","-0,20572096"
"-23,320286","-0,19725896"
"-21,388048","-0,18773526"
"-19,408516","-0,17852597"
"-17,464405","-0,16883574"
"-15,537724","-0,1589369"
"-13,575939","-0,14771521"
"-11,662218","-0,13628304"
"-9,7078247","-0,12359433"
"-7,7870889","-0,10951124"
"-5,8719163","-0,093520805"
"-4,199369","-0,076289475"
"-2,2982936","-0,052506104"
"-1,2844466","-0,032663345"
"-3,2871532","-0,060365722"
"-5,1198211","-0,079989433"
