Ch 1 Kraft,Ch 1 Weg
"-1,0375437","-4,3079705"
"-1,0314323","-4,307735"
"-0,99211001","-4,3078718"
"-0,94872528","-4,3081522"
"-1,0359511","-4,3079081"
"-1,0394789","-4,3081431"
"-0,97293031","-4,3069601"
"-1,0086186","-4,3074937"
"-1,0462235","-4,3073506"
"-1,0326524","-4,3072701"
"-0,94477832","-4,30758"
"-1,0483675","-4,3071957"
"-1,0483824","-4,3083072"
"-0,9790715","-4,3071957"
"-0,98794514","-4,3076396"
"-1,0316484","-4,3079882"
"-1,0599568","-4,3080301"
"-0,95961988","-4,3074427"
"-0,98439121","-4,3071566"
"-1,0789633","-4,3077412"
"-2,6735981","-0,0067055225"
"-4,464416","-0,015440583"
"-6,2653704","-0,022277236"
"-8,6674442","-0,034445524"
"-10,512124","-0,04105866"
"-12,61159","-0,048914552"
"-14,755596","-0,055834651"
"-16,655622","-0,061845779"
"-18,527288","-0,068467855"
"-20,427958","-0,074672699"
"-22,481131","-0,079911947"
"-24,332409","-0,086212158"
"-26,210243","-0,090757012"
"-28,208122","-0,096571445"
"-30,220627","-0,10220706"
"-32,139774","-0,10685921"
"-33,981152","-0,11288226"
"-36,066292","-0,11838973"
"-37,994419","-0,12299418"
"-39,837261","-0,1285702"
"-41,805977","-0,13361871"
"-43,840427","-0,13813376"
"-45,806637","-0,143525"
"-47,604988","-0,14845431"
"-49,659336","-0,15355945"
"-51,663414","-0,15849769"
"-53,591835","-0,16264319"
"-55,412914","-0,16738176"
"-57,469727","-0,17221272"
"-59,473503","-0,17742813"
"-61,29438","-0,18231869"
"-63,212868","-0,18712282"
"-65,342064","-0,19179583"
"-67,226143","-0,19643903"
"-69,095848","-0,20093322"
"-71,101097","-0,20487309"
"-73,123329","-0,20996034"
"-74,977753","-0,21471977"
"-76,850662","-0,22026598"
"-78,891235","-0,22354126"
"-80,857101","-0,22903383"
"-82,732826","-0,23331344"
"-84,712692","-0,23787916"
"-86,74675","-0,24267137"
"-88,643127","-0,24780631"
"-90,495438","-0,25123954"
"-92,580795","-0,25699437"
"-94,55912","-0,26025176"
"-96,413429","-0,26566386"
"-98,325546","-0,27023554"
"-100,36836","-0,27378201"
"-102,32517","-0,27850568"
"-104,15213","-0,28240979"
"-106,16129","-0,28723478"
"-108,19493","-0,29138625"
