Ch 1 Kraft,Ch 1 Weg
"-1,0072626","-0,056257844"
"-0,99849516","-0,056928396"
"-1,037348","-0,056523085"
"-1,040915","-0,056114793"
"-1,0109991","-0,056800246"
"-0,97291356","-0,056383014"
"-0,9989273","-0,05594492"
"-1,0345783","-0,056767464"
"-1,0645072","-0,056776404"
"-1,0285192","-0,056856871"
"-0,97807682","-0,056317449"
"-1,0107607","-0,056105852"
"-1,0549631","-0,056672096"
"-1,0172036","-0,056123734"
"-0,95633233","-0,056570768"
"-0,96319056","-0,056162477"
"-1,0533929","-0,056275725"
"-1,0614917","-0,056421757"
"-0,98332202","-0,05684495"
"-0,97495687","-0,057017803"
"-2,6739314","-0,0092089176"
"-4,431706","-0,017863512"
"-6,44977","-0,02694428"
"-8,4536552","-0,037336349"
"-10,532796","-0,045952201"
"-12,680529","-0,053590536"
"-14,758462","-0,060766935"
"-16,6236","-0,067591667"
"-18,517256","-0,07352829"
"-20,453724","-0,079315901"
"-22,455872","-0,085821748"
"-24,396933","-0,091230869"
"-26,254181","-0,098094344"
"-28,171787","-0,10312796"
"-30,16766","-0,10816157"
"-32,167629","-0,11432469"
"-34,055767","-0,1196444"
"-35,937801","-0,12544692"
"-37,877728","-0,12977123"
"-39,940418","-0,13485253"
"-41,914345","-0,14019608"
"-43,776405","-0,14538765"
"-45,703762","-0,15061796"
"-47,713745","-0,15555918"
"-49,71051","-0,16052723"
"-51,61396","-0,1652211"
"-53,50515","-0,17041862"
"-55,458916","-0,17518401"
"-57,405743","-0,18026531"
"-59,434265","-0,18510222"
"-61,287888","-0,18986464"
"-63,263702","-0,19474328"
"-65,245033","-0,20024478"
"-67,253036","-0,20471513"
"-69,153343","-0,20879805"
"-71,013535","-0,21399856"
"-72,997131","-0,21880269"
"-75,031624","-0,22419393"
"-77,033318","-0,22798479"
"-78,905792","-0,23358166"
"-80,75985","-0,23746789"
"-82,779518","-0,24286807"
"-84,785698","-0,24698675"
"-86,709076","-0,2517134"
"-88,599007","-0,25624633"
"-90,594933","-0,26168227"
"-92,573341","-0,26552975"
"-94,515549","-0,26949644"
"-96,361526","-0,27480423"
"-98,298637","-0,27902424"
"-100,26878","-0,2836585"
"-102,2632","-0,28798282"
"-104,25926","-0,29231608"
"-106,15928","-0,2971977"
"-108,11353","-0,30139089"
"-110,11464","-0,30538142"
"-112,05592","-0,31068623"
"-113,95936","-0,31469762"
"-115,86456","-0,3190428"
"-117,83928","-0,32312274"
"-119,87099","-0,32825768"
"-121,79813","-0,33249259"
"-123,67821","-0,33676326"
"-125,60981","-0,34107864"
"-127,65083","-0,34480393"
"-129,64368","-0,34948289"
"-131,58011","-0,35381317"
"-132,75111","-0,35776496"
"-130,71657","-0,35390854"
"-128,78799","-0,35090446"
"-126,79803","-0,3474623"
"-124,74478","-0,34451783"
"-122,75588","-0,34055412"
"-120,89249","-0,33724308"
"-118,99421","-0,3336966"
"-116,95177","-0,33020377"
"-114,94888","-0,32689571"
"-113,01841","-0,32208264"
"-111,11048","-0,31883419"
"-109,16666","-0,31509697"
"-107,14075","-0,31152666"
"-105,19924","-0,30821264"
"-103,26105","-0,30333102"
"-101,39152","-0,29965937"
"-99,419914","-0,29675663"
"-97,369324","-0,29217601"
"-95,431084","-0,28889179"
"-93,506683","-0,28468072"
"-91,641075","-0,28048456"
"-89,586113","-0,27597845"
"-87,601982","-0,27287304"
"-85,729553","-0,26871562"
"-83,821899","-0,26473105"
"-81,851326","-0,26103854"
"-79,823776","-0,2574712"
"-77,896103","-0,25261641"
"-76,060616","-0,24829209"
"-74,080009","-0,24443567"
"-72,038017","-0,24006069"
"-70,036087","-0,23584366"
"-68,195816","-0,23196638"
"-66,297722","-0,22651553"
"-64,323242","-0,22209585"
"-62,295959","-0,21813512"
"-60,326488","-0,2132386"
"-58,44495","-0,20913184"
"-56,548595","-0,20484626"
"-54,496861","-0,19908845"
"-52,534481","-0,1950115"
"-50,621906","-0,18953085"
"-48,773346","-0,18413663"
"-46,787987","-0,17973185"
"-44,802822","-0,1742214"
"-42,826355","-0,16976297"
"-40,933819","-0,16438961"
"-39,031586","-0,15984774"
"-37,01218","-0,15485883"
"-34,997952","-0,14834702"
"-33,057411","-0,14406443"
"-31,186045","-0,13793707"
"-29,264454","-0,13274848"
"-27,215714","-0,12675822"
"-25,252012","-0,1218617"
"-23,335648","-0,11591315"
"-21,43284","-0,10996759"
"-19,441725","-0,10225475"
"-17,436308","-0,096622109"
"-15,525953","-0,090500712"
"-13,647686","-0,083339214"
"-11,729363","-0,076892972"
"-9,7102776","-0,068995357"
"-7,7710552","-0,060734153"
"-5,8951063","-0,050863624"
"-3,9813201","-0,041800737"
"-5,7177916","-0,047886372"
"-7,6685038","-0,057125092"
"-9,6847496","-0,063568354"
"-11,78157","-0,070488453"
"-13,781477","-0,077748299"
"-15,686165","-0,083705783"
"-17,554701","-0,090003014"
"-19,568758","-0,096005201"
"-21,568459","-0,10157228"
"-23,504759","-0,10740161"
"-25,373398","-0,11297464"
"-27,319889","-0,11822879"
"-29,34379","-0,12358427"
"-31,351793","-0,12822151"
"-33,263779","-0,13322234"
"-35,182152","-0,13955534"
"-37,16436","-0,14407933"
"-39,166328","-0,14925301"
"-41,097504","-0,15373528"
"-42,976017","-0,15988946"
"-44,910831","-0,16369224"
"-46,917152","-0,16842782"
"-48,937847","-0,17355382"
"-50,847748","-0,17822385"
"-52,741631","-0,18328428"
"-54,700626","-0,18838644"
"-56,720779","-0,19319355"
"-58,687271","-0,19746721"
"-60,521137","-0,20329654"
"-62,459877","-0,20732582"
"-64,471992","-0,21147728"
"-66,496811","-0,21588504"
"-68,408363","-0,22052824"
"-70,299408","-0,2248913"
"-72,288399","-0,22927523"
"-74,315598","-0,23362339"
"-76,259781","-0,23857951"
"-78,097313","-0,24305582"
"-80,012527","-0,24841428"
"-82,010742","-0,25212765"
"-84,002022","-0,25589466"
"-85,955406","-0,26073456"
"-87,802025","-0,26457012"
"-89,780151","-0,26853979"
"-91,817017","-0,27257502"
"-93,817665","-0,27712286"
"-95,600021","-0,28104484"
"-97,540985","-0,28500855"
"-99,519768","-0,29011071"
"-101,53422","-0,29397905"
"-103,43534","-0,29782355"
"-105,36256","-0,30314028"
"-107,36047","-0,30755401"
"-109,33085","-0,31051934"
"-111,30941","-0,31539202"
"-113,17937","-0,31907558"
"-115,06104","-0,32331944"
"-117,08864","-0,32781661"
"-119,08296","-0,33124685"
"-120,9897","-0,33496618"
"-122,89378","-0,33938587"
"-124,85297","-0,34400523"
"-126,88955","-0,34726262"
"-128,77054","-0,35200715"
"-130,7468","-0,35572052"
"-131,51553","-0,35813749"
"-129,49229","-0,35365224"
"-127,58768","-0,3502667"
"-125,53656","-0,34785569"
"-123,52079","-0,34489334"
"-121,57204","-0,34119785"
"-119,68771","-0,33728182"
"-117,73609","-0,33352971"
"-115,69901","-0,33023655"
"-113,73109","-0,32625794"
"-111,83322","-0,32195449"
"-109,95631","-0,319314"
"-107,97637","-0,31443238"
"-105,92941","-0,31141937"
"-103,99184","-0,30724406"
"-102,07643","-0,30384362"
"-100,15969","-0,29984415"
"-98,182793","-0,29579699"
"-96,199295","-0,29218197"
"-94,231682","-0,28814375"
"-92,33828","-0,28386712"
"-90,408966","-0,28055906"
"-88,350937","-0,27703643"
"-86,393829","-0,27253926"
"-84,503632","-0,26874542"
"-82,667183","-0,26451945"
"-80,620453","-0,26024282"
"-78,64518","-0,25575459"
"-76,676216","-0,25155842"
"-74,752502","-0,24735332"
"-72,843964","-0,24328828"
"-70,850044","-0,23925602"
"-68,903343","-0,23572445"
"-66,955933","-0,2309233"
"-65,067184","-0,22620857"
"-63,07869","-0,22196174"
"-61,053268","-0,21763742"
"-59,121529","-0,2125591"
"-57,244331","-0,20701289"
"-55,319866","-0,20313859"
"-53,328426","-0,19794703"
"-51,369102","-0,19326508"
"-49,442875","-0,18817782"
"-47,55151","-0,18381178"
"-45,540123","-0,17869771"
"-43,533016","-0,17338395"
"-41,573105","-0,16850233"
"-39,661686","-0,16315877"
"-37,778141","-0,15790761"
"-35,754993","-0,15304089"
"-33,795513","-0,14714897"
"-31,900028","-0,14153123"
"-29,980011","-0,13567209"
"-27,980173","-0,13084114"
"-25,958302","-0,12504756"
"-24,041744","-0,11921227"
"-22,14679","-0,11288822"
"-20,188038","-0,10705888"
"-18,236841","-0,10149777"
"-16,275078","-0,095415115"
"-14,403675","-0,087809563"
"-12,493793","-0,081053376"
"-10,478383","-0,074288249"
"-8,4746685","-0,06582737"
"-6,5312347","-0,056901574"
"-4,70048","-0,047576427"
"-3,8272982","-0,040483475"
"-3,851289","-0,041928887"
"-3,9025638","-0,041168928"
"-3,9882996","-0,041651726"
"-4,0241385","-0,040704012"
"-4,0067492","-0,041279197"
"-3,7799869","-0,040218234"
"-3,8086753","-0,04042685"
"-3,8590691","-0,040233135"
"-3,8831997","-0,040012598"
"-3,8334522","-0,040057302"
"-3,8354006","-0,039958954"
"-3,884675","-0,040403008"
"-3,941834","-0,04016757"
"-3,9333775","-0,040376186"
"-3,9014556","-0,040370226"
"-3,8875601","-0,040102005"
"-3,9243996","-0,04003346"
"-3,9250777","-0,04042387"
"-3,888443","-0,040251017"
"-3,9027388","-0,040188432"
"-3,9510708","-0,039559603"
"-3,945183","-0,039535761"
"-3,9187801","-0,040256977"
"-3,8645995","-0,039389729"
"-3,8928931","-0,03952682"
"-3,9681475","-0,039920211"
"-3,9745457","-0,040230155"
"-3,9190519","-0,038644671"
"-3,8775353","-0,039389729"
"-3,9136298","-0,039410591"
"-3,9591546","-0,040277839"
"-3,9025955","-0,039431453"
"-3,8499684","-0,039204955"
"-3,8847029","-0,039771199"
"-3,9612","-0,039827824"
"-3,9879699","-0,038912892"
"-3,8969069","-0,039619207"
"-3,8662217","-0,03926456"
"-3,9131773","-0,039339066"
"-3,9566643","-0,038722157"
"-3,9148424","-0,040113926"
"-3,8755107","-0,039467216"
"-3,8895216","-0,038695335"
"-3,9687605","-0,039124489"
"-3,983114","-0,038719177"
"-3,9057415","-0,039610267"
"-3,8929973","-0,039634109"
"-3,8890595","-0,038921833"
"-3,9389617","-0,039964914"
"-3,9432068","-0,038859248"
"-3,8682575","-0,038933754"
