Ch 1 Kraft,Ch 1 Weg
"-0,99271721","0,050312281"
"-0,98179466","0,049158931"
"-0,97336435","0,049987435"
"-1,0084566","0,049802661"
"-0,96955335","0,049963593"
"-1,0257121","0,049942732"
"-0,96826071","0,050136447"
"-1,0294579","0,049495697"
"-0,97800606","0,049892068"
"-1,0057669","0,049743056"
"-0,9733271","0,049641728"
"-1,020357","0,049832463"
"-0,96824205","0,050011277"
"-1,0290779","0,050097704"
"-0,97128004","0,050380826"
"-1,0092016","0,04979074"
"-0,95832533","0,05005002"
"-0,99693608","0,050070882"
"-0,97723675","0,050115585"
"-0,98449177","0,050151348"
"-0,98611599","0,049689412"
"-0,97588634","0,050106645"
"-0,97653455","0,049880147"
"-0,98373181","0,050577521"
"-1,0189954","0,049960613"
"-0,96772051","0,049751997"
"-1,0226425","0,049933791"
"-0,98569506","0,049597025"
"-1,0195096","0,049743056"
"-0,98908317","0,050014257"
"-0,98667669","0,049719214"
"-0,99509394","0,049558282"
"-2,3557079","-0,0095814466"
"-4,3580756","-0,045713782"
"-5,7494473","-0,061950088"
"-8,5330467","-0,081887841"
"-10,32092","-0,093349814"
"-12,304612","-0,10314286"
"-14,410914","-0,11329055"
"-16,442493","-0,12125969"
"-18,368752","-0,12917221"
"-20,251497","-0,13594925"
"-22,219084","-0,14363229"
"-24,121834","-0,15058219"
"-26,081083","-0,15708506"
"-27,998817","-0,16384125"
"-29,945303","-0,17011166"
"-31,934692","-0,17576814"
"-33,856586","-0,1813978"
"-35,800091","-0,18748045"
"-37,73468","-0,19316077"
"-39,673038","-0,19879043"
"-41,634613","-0,20438433"
"-43,561573","-0,21044314"
"-45,568359","-0,21591783"
"-47,47134","-0,22140741"
"-49,472881","-0,2263695"
"-51,390564","-0,23229122"
"-53,337921","-0,23772717"
"-55,289772","-0,2435267"
"-57,228256","-0,24805665"
"-59,192619","-0,25272369"
"-61,112038","-0,2587229"
"-63,104099","-0,26354194"
"-65,031601","-0,26926994"
"-66,993263","-0,27426779"
"-68,917686","-0,27873218"
"-70,887497","-0,28409958"
"-72,840729","-0,2897352"
"-74,790077","-0,29470026"
"-76,723022","-0,29945374"
"-78,647232","-0,30431151"
"-80,654022","-0,30914545"
"-82,578087","-0,31407475"
"-84,55146","-0,31942725"
"-86,465553","-0,32484531"
"-88,451881","-0,32959282"
"-90,384483","-0,33443868"
"-92,338104","-0,3388226"
"-94,247658","-0,34402311"
"-96,226868","-0,34918785"
"-98,164581","-0,35407245"
"-100,11375","-0,3589958"
"-102,08523","-0,36364496"
"-104,02323","-0,36857128"
"-105,9992","-0,37378967"
"-107,90714","-0,37841201"
"-109,86182","-0,38258433"
"-111,81137","-0,38752258"
"-113,74274","-0,39276779"
"-115,70079","-0,39752126"
"-117,60472","-0,40229559"
"-119,50188","-0,40706396"
"-117,51397","-0,40377975"
"-115,46253","-0,40065944"
"-113,46955","-0,39662421"
"-111,46927","-0,39269328"
"-109,51755","-0,38956702"
"-107,5938","-0,38456023"
"-105,60753","-0,38141608"
"-103,67123","-0,37733316"
"-101,7093","-0,37291646"
"-99,727219","-0,36949217"
"-97,819458","-0,36465228"
"-95,832794","-0,36039948"
"-93,916542","-0,35740435"
"-91,950966","-0,35297573"
"-90,008659","-0,34868121"
"-88,076324","-0,34534931"
"-86,116104","-0,34078956"
"-84,141197","-0,33704042"
"-82,20443","-0,33282936"
"-80,272438","-0,32785237"
"-78,348137","-0,32347441"
"-76,347748","-0,31993687"
"-74,441551","-0,31465888"
"-72,4291","-0,31118989"
"-70,523819","-0,30669272"
"-68,552742","-0,30133128"
"-66,621735","-0,2974689"
"-64,661659","-0,29305518"
"-62,748005","-0,28842986"
"-60,790424","-0,28366446"
"-58,839756","-0,27885139"
"-56,904202","-0,27445555"
"-54,915718","-0,26836693"
"-53,021263","-0,26343465"
"-51,074265","-0,25882125"
"-49,137428","-0,2538085"
"-47,1703","-0,24853051"
"-45,200977","-0,24288595"
"-43,267574","-0,23762882"
"-41,28019","-0,23261607"
"-39,336117","-0,2271533"
"-37,402611","-0,22200346"
"-35,436089","-0,21624267"
"-33,49181","-0,21029413"
"-31,495205","-0,20396709"
"-29,607597","-0,198403"
"-27,630133","-0,19166172"
"-25,691149","-0,18600225"
"-23,737951","-0,17945468"
"-21,767891","-0,17192662"
"-19,823769","-0,16497672"
"-17,858095","-0,15850663"
"-15,950556","-0,15000999"
"-13,977991","-0,14179051"
"-12,049522","-0,13383329"
"-10,094025","-0,12508929"
"-8,1229954","-0,11496544"
