MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	15,170898	s	11.09.2014 13:37:55
Datum : 	11.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	BA Los M V-5
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5454,6
Durchmesser :	98,7
Länge :	300,2
Bediener Information Ende

Datenerfassung						Zeit:	345,61914	s	11.09.2014 13:43:25
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41893	15,679688	-0,026349448	0,070801005	5,0005169	0,97301191	-0,045307785	0,23536038
41893	16,179688	-0,1339723	0,071605667	4,997015	0,97295767	-0,04094103	0,2353705
41893	16,679688	-0,24159516	0,083757564	4,981801	0,97298408	-0,041554842	0,23530093
41893	17,179688	-0,34921801	0,041922554	4,9564629	0,97306532	-0,038228173	0,2352646
41893	17,679688	-0,45684087	0,063020736	4,9186649	0,97303104	-0,04182161	0,2353096
41893	18,179688	-0,56446373	0,096583739	4,8662004	0,97311652	-0,042430855	0,23538584
41893	18,679688	-0,6720866	0,072376803	4,800138	0,97314107	-0,041930091	0,23535049
41893	19,179688	-0,77970946	0,06490387	4,7136812	0,973113	-0,041431647	0,23532656
41893	19,679688	-0,88733232	0,043073669	4,6072302	0,97307462	-0,041297425	0,23526078
41893	20,179688	-0,99495518	0,086823478	4,4717312	0,97308916	-0,041036695	0,23530963
41893	20,679688	-1	0,078067183	4,317656	0,9731487	-0,040158197	0,23532961
41893	21,179688	-1	0,079847872	4,1388569	0,97315687	-0,040340189	0,23539412
41893	21,679688	-1	0,082075596	3,9363356	0,97313797	-0,040682781	0,2353476
41893	22,179688	-1	0,060964376	3,7116289	0,9730913	-0,040624686	0,23535089
41893	22,679688	-1	0,047311187	3,4622521	0,97318769	-0,04037175	0,2352432
41893	23,179688	-1	0,06332621	3,1914921	0,97316241	-0,040389702	0,23530225
41893	23,679688	-1	0,081971288	2,9037266	0,97320557	-0,040443581	0,23531675
41893	24,179688	-1	0,088334084	2,5976629	0,9732371	-0,040287122	0,23537752
41893	24,679688	-1	0,091379508	2,2718728	0,97320718	-0,040413037	0,23531817
41893	25,179688	-1	0,066045672	1,932463	0,97315538	-0,039848745	0,23536101
41893	25,679688	-1	0,067686662	1,5764862	0,97314823	-0,039886557	0,235284
41893	26,179688	-1	0,067308545	1,2068391	0,97315586	-0,039797116	0,23527288
41893	26,679688	-1	0,084780157	0,81528127	0,97316843	-0,039739136	0,23539944
41893	27,179688	-1	0,097498298	0,40663779	0,97322446	-0,041493874	0,235338
41893	27,679688	-1	-0,57715738	-0,012695789	0,97331166	-0,040923636	0,23531754
41893	28,179688	-1	-6,4566379	-0,063341856	0,9732191	-0,040526416	0,23535331
41893	28,679688	-1	-5,4346175	-0,061103702	0,97323418	-0,041139603	0,23531413
41893	29,179688	-1	-4,4463034	-0,056964159	0,97316605	-0,040428169	0,23535383
41893	29,679688	-1	-3,788609	-0,054839253	0,97320861	-0,041431356	0,23530468
41893	30,179688	-1	-3,5783331	-0,053739548	0,97316778	-0,043850549	0,23526718
41893	30,679688	-1	-3,1523368	-0,050482154	0,97320151	-0,045394678	0,23528987
41893	31,179688	-1	-2,0170119	-0,045001507	0,97315663	-0,039712418	0,23525055
41893	31,679688	-1	-1,672389	-0,043231249	0,97317141	-0,039707202	0,23536958
