MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	19,696289	s	01.09.2014 13:33:10
Datum : 	01.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	BA-Losert E-Modul 28d v. 04.08.14 Probe 5
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5404
Durchmesser :	300,2
Länge :	98,7
Bediener Information Ende

Datenerfassung						Zeit:	365,68359	s	01.09.2014 13:38:56
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41883	20,206055	-1	-0,97011214	0,038918853	-0,10302442	-0,028171532	-0,036030985
41883	20,706055	-1	-1,0352209	0,038442016	-0,10305715	-0,028209468	-0,035961483
41883	21,206055	-1	-1,0261145	0,039696693	-0,10307494	-0,028102687	-0,036077973
41883	21,706055	-1	-0,94026512	0,03991425	-0,10303697	-0,028159069	-0,035988938
41883	22,206055	-1	-1,0319799	0,038528442	-0,10304246	-0,028190082	-0,035984218
41883	22,706055	-1	-1,0138489	0,039371848	-0,10310081	-0,028263478	-0,036039174
41883	23,206055	-1	-0,92349946	0,039717555	-0,10299101	-0,028190464	-0,03598829
41883	23,706055	-1	-1,0094196	0,038611889	-0,10313026	-0,028090646	-0,036015727
41883	24,206055	-1	-1,037892	0,039023161	-0,10305917	-0,02821097	-0,03601307
41883	24,706055	-1	-0,95858049	0,03836751	-0,10301802	-0,028069768	-0,036006477
41883	25,206055	-1	-0,94031543	0,038740039	-0,10302532	-0,02816779	-0,035939563
41883	25,706055	-1	-1,069393	0,038611889	-0,10304794	-0,028270587	-0,036117394
41883	26,206055	-1	-0,9637028	0,038528442	-0,10305096	-0,028078033	-0,035993159
41883	26,706055	-1	-0,94057435	0,038793683	-0,10303394	-0,028113607	-0,035999052
41883	27,206055	-1	-1,0407139	0,038695335	-0,10303872	-0,02821381	-0,036033165
41883	27,706055	-1	-1,0090805	0,039029121	-0,10298365	-0,028145218	-0,036004886
