MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	24,374023	s	18.03.2014 15:29:45
Datum : 	18.3.2014
Prüfer : 	Machura, Be
Probenbezeichnung :  	Hüsken  E-Modul Probe 3-3
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5848
Durchmesser :	99
Länge :	300
Bediener Information Ende

Datenerfassung						Zeit:	536,38965	s	18.03.2014 15:38:17
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 A	1944 B	1281068
d	s	kN	kN	mm	mm	mm	mm
41716	24,883789	-1	-1,0010674	-0,015087426	-0,00077784061	0,67291421	-0,0013368906
41716	25,383789	-1	-1,0164361	-0,015119463	-0,00084155798	0,67291731	-0,0014073284
41716	25,883789	-1	-0,99971145	-0,014916062	-0,00078314543	0,67292237	-0,0013951922
41716	26,383789	-1	-0,97263229	-0,014630705	-0,00080168247	0,67296684	-0,0013944783
41716	26,883789	-1	-1,0215603	-0,014421344	-0,00078803301	0,67293072	-0,0014268416
41716	27,383789	-1	-1,0024179	-0,015108287	-0,00075632334	0,67293066	-0,0013159496
41716	27,883789	-1	-0,97559762	-0,014695525	-0,00072675943	0,6730088	-0,0013678261
41716	28,383789	-1	-1,0252316	-0,014664978	-0,0007494092	0,67297822	-0,0013028615
41716	28,883789	-1	-0,99962765	-0,014767051	-0,00082433224	0,6729911	-0,0013307035
41716	29,383789	-1	-0,97424722	-0,014457107	-0,00076514482	0,67297333	-0,0013002439
41716	29,883789	-1	-1,0010004	-0,014746934	-0,00075304508	0,67296886	-0,0013847217
41716	30,383789	-1	-1,0029058	-0,014904886	-0,00071173906	0,67296976	-0,0012942948
41716	30,883789	-1	-0,99027526	-0,014251471	-0,00070440769	0,6730234	-0,0013452194
41716	31,383789	-1	-1,0020118	-0,014365464	-0,00072526932	0,6729483	-0,0013264201
41716	31,883789	-1	-1,0128598	-0,014591962	-0,00072443485	0,67307514	-0,0013095246
41716	32,383789	-1	-0,99607933	-0,014662743	-0,00065672398	0,67301428	-0,0013397462
41716	32,883789	-1	-0,97511339	-0,014599413	-0,00066584349	0,67306757	-0,0012133865
41716	33,383789	-1	-1,0160003	-0,014442205	-0,0007352829	0,67298967	-0,0013366527
41716	33,883789	-1	-0,98863059	-0,014461577	-0,00064361095	0,67298239	-0,0012212393
41716	34,383789	-1	-0,97764099	-0,014342368	-0,00058782101	0,67299807	-0,0013673502
41716	34,883789	-2,7443359	-2,6463699	-0,010257214	-0,00024831295	-0,00062167645	-0,00055850524
41716	35,383789	-4,6943359	-4,6450534	-0,021037459	-0,00067788363	-0,0011751652	-0,0010675136
41716	35,883789	-6,6443362	-6,2120538	-0,02848357	-0,0010020137	-0,0016804934	-0,0015260733
41716	36,383789	-8,5943365	-8,5058002	-0,038728863	-0,0013101101	-0,0024408102	-0,0021921389
41716	36,883789	-10,544336	-10,520153	-0,046839565	-0,0017143488	-0,0030836463	-0,0027135215
41716	37,383789	-12,494336	-12,717957	-0,054685026	-0,0022276044	-0,0037102103	-0,0034657307
41716	37,883789	-14,444336	-14,668194	-0,061839074	-0,002606988	-0,0043922663	-0,0041858144
41716	38,383789	-16,394337	-16,55394	-0,067572296	-0,0029079914	-0,0049057603	-0,004673406
41716	38,883789	-18,344336	-18,520702	-0,073835999	-0,0033977628	-0,0055097342	-0,0053532738
41716	39,383789	-20,294336	-20,438084	-0,08026436	-0,0037751794	-0,0060096383	-0,0058856029
41716	39,883789	-22,244337	-22,374475	-0,085622072	-0,0042500496	-0,0066417456	-0,0064662388
41716	40,383789	-24,194336	-24,292665	-0,091505796	-0,004748702	-0,0072270036	-0,0069590653
41716	40,883789	-26,144337	-26,268576	-0,096653402	-0,0052021146	-0,0076691508	-0,0075913398
41716	41,383789	-28,094337	-28,193012	-0,10245591	-0,0056059957	-0,0083372593	-0,0082067186
41716	41,883789	-30,044336	-30,126476	-0,10820776	-0,0060249567	-0,0088536739	-0,0086593293
41716	42,383789	-31,994337	-32,042271	-0,11356547	-0,0066050887	-0,0094019771	-0,0093706083
41716	42,883789	-33,944336	-34,062817	-0,11868253	-0,0071240664	-0,0099352598	-0,0098313102
41716	43,383789	-35,894337	-35,977295	-0,12404397	-0,0075755119	-0,01047641	-0,010424082
41716	43,883789	-37,844337	-37,893017	-0,12905076	-0,0080251694	-0,010972142	-0,011026611
41716	44,383789	-39,794338	-39,842438	-0,13308749	-0,0084898472	-0,011458814	-0,011570838
41716	44,883789	-41,744335	-41,845417	-0,13874844	-0,0090891123	-0,011972308	-0,012159803
41716	45,383789	-43,694336	-43,765053	-0,14424995	-0,0095664263	-0,012542903	-0,012734966
41716	45,883789	-45,644337	-45,689232	-0,14838874	-0,010071993	-0,01304704	-0,013352725
41716	46,383789	-47,594337	-47,676418	-0,15384704	-0,010600626	-0,01354003	-0,013931694
41716	46,883789	-49,544338	-49,640087	-0,15842319	-0,011142612	-0,014068484	-0,014577057
41716	47,383789	-51,494339	-51,57185	-0,16318187	-0,011661649	-0,014636576	-0,014982313
41716	47,883789	-53,444336	-53,509686	-0,16810447	-0,012163162	-0,015143692	-0,015650997
41716	48,383789	-55,394337	-55,444733	-0,17243251	-0,01264447	-0,015632868	-0,01613359
41716	48,883789	-57,344337	-57,426544	-0,17746314	-0,013279796	-0,016075909	-0,016789185
41716	49,383789	-59,294338	-59,375549	-0,1816757	-0,013685822	-0,016608596	-0,017359352
41716	49,883789	-61,244339	-61,304317	-0,18622428	-0,014183462	-0,017069519	-0,017923567
41716	50,383789	-63,194336	-63,268379	-0,19115508	-0,014748752	-0,017567456	-0,018448044
41716	50,883789	-65,144341	-65,236183	-0,19521341	-0,015259326	-0,018137574	-0,019119583
41716	51,383789	-67,094337	-67,168396	-0,20035058	-0,015714765	-0,018617034	-0,019671425
41716	51,883789	-69,044334	-69,102348	-0,2037555	-0,016228795	-0,019136965	-0,020196376
41716	52,383789	-70,994339	-71,049179	-0,20902753	-0,016726494	-0,019645751	-0,020815087
41716	52,883789	-72,944336	-73,05442	-0,21298155	-0,017334998	-0,020135939	-0,021361455
41716	53,383789	-74,894341	-74,984535	-0,21739528	-0,017813146	-0,020637929	-0,021984689
41716	53,883789	-76,844337	-76,888084	-0,22151992	-0,018326283	-0,021057963	-0,022570083
41716	54,383789	-78,794334	-78,850044	-0,22554621	-0,018798232	-0,021512866	-0,023104316
41716	54,883789	-80,744339	-80,844688	-0,23045987	-0,019374132	-0,022096574	-0,023621177
41716	55,383789	-82,694336	-82,778008	-0,23497567	-0,019889116	-0,022507906	-0,024273917
41716	55,883789	-84,644341	-84,688751	-0,23874268	-0,020418108	-0,023083866	-0,024835991
41716	56,383789	-86,594337	-86,667908	-0,24256259	-0,02097249	-0,023503304	-0,025327867
41716	56,883789	-88,544334	-88,628899	-0,24686977	-0,021588862	-0,024025083	-0,026016301
41716	57,383789	-90,494339	-90,555557	-0,25039539	-0,021911979	-0,024588466	-0,026481286
41716	57,883789	-92,444336	-92,557831	-0,25501773	-0,022530198	-0,024976134	-0,027052641
41716	58,383789	-94,394341	-94,505226	-0,25923699	-0,023070574	-0,025514662	-0,027610432
41716	58,883789	-96,344337	-96,393257	-0,26309937	-0,023631752	-0,026005328	-0,028190592
41716	59,383789	-98,294342	-98,363716	-0,26688874	-0,024096251	-0,026411831	-0,028688654
41716	59,883789	-100,24434	-100,30037	-0,27182326	-0,024682939	-0,026958942	-0,029336873
41716	60,383789	-102,19434	-102,28824	-0,27493313	-0,025213957	-0,027483463	-0,029880386
41716	60,883789	-104,14434	-104,21109	-0,27875975	-0,025681376	-0,027987063	-0,030409146
41716	61,383789	-106,09434	-106,15411	-0,28294995	-0,026223302	-0,028408468	-0,03097122
41716	61,883789	-108,04434	-108,13071	-0,28704181	-0,026778817	-0,028996408	-0,03157137
41716	62,383789	-109,99434	-110,07404	-0,29064268	-0,027271926	-0,029361665	-0,032166522
41716	62,883789	-111,94434	-111,99324	-0,29429272	-0,027801812	-0,029882252	-0,032649949
41716	63,383789	-113,89434	-113,98996	-0,29804781	-0,028378785	-0,030373573	-0,033246052
41716	63,883789	-115,84434	-115,90608	-0,30178949	-0,028806031	-0,030814946	-0,033750895
41716	64,383789	-117,79434	-117,83559	-0,30548349	-0,029282868	-0,031341493	-0,034323797
41716	64,883789	-119,74434	-119,82274	-0,30968115	-0,029894233	-0,031831384	-0,034961902
41716	65,383789	-121,69434	-121,78029	-0,31325147	-0,030490041	-0,032335401	-0,03547674
41716	65,883789	-123,64434	-123,70686	-0,31656176	-0,030974209	-0,032833576	-0,03609081
41716	66,383789	-125,59434	-125,64502	-0,32084957	-0,031429589	-0,033237815	-0,036615171
41716	66,883789	-127,54434	-127,49516	-0,3241539	-0,031974792	-0,03379482	-0,037129056
41716	67,383789	-129,49434	-129,42822	-0,32762364	-0,032458246	-0,034267783	-0,037708502
41716	67,883789	-131,44434	-131,42833	-0,33112392	-0,033039391	-0,034810126	-0,038344346
41716	68,383789	-133,39433	-133,41948	-0,33497438	-0,033531964	-0,035174966	-0,038815398
41716	68,883789	-135,34435	-135,34709	-0,33788979	-0,034136057	-0,035729349	-0,039424472
41716	69,383789	-137,29434	-137,3318	-0,34172237	-0,034660518	-0,03621161	-0,040078878
41716	69,883789	-139,24434	-139,2747	-0,34500137	-0,03513658	-0,036672115	-0,040515069
41716	70,383789	-141,19434	-141,25591	-0,34928843	-0,035727441	-0,037229359	-0,041154124
41716	70,883789	-143,14433	-143,17827	-0,35243854	-0,036207557	-0,037671328	-0,041719887
41716	71,383789	-145,09435	-145,1236	-0,35629123	-0,03671819	-0,038164735	-0,042189036
41716	71,883789	-147,04434	-147,08258	-0,35975501	-0,037323952	-0,038613796	-0,042741951
41716	72,383789	-148,99434	-149,03415	-0,3622286	-0,037782907	-0,039190054	-0,043379579
41716	72,883789	-150,94434	-150,97099	-0,36670342	-0,038276434	-0,039651632	-0,043821361
41716	73,383789	-152,89433	-152,93135	-0,36971495	-0,03876704	-0,040013731	-0,04447886
41716	73,883789	-154,84435	-154,92674	-0,37317574	-0,039406836	-0,040572047	-0,045013927
41716	74,383789	-156,79434	-156,8615	-0,37638247	-0,039879501	-0,041158855	-0,045655958
41716	74,883789	-158,74434	-158,83276	-0,38004145	-0,040375412	-0,041618347	-0,046149261
41716	75,383789	-160,69434	-160,76151	-0,38317367	-0,04090482	-0,042085886	-0,046681233
41716	75,883789	-162,64433	-162,72421	-0,38659796	-0,041451275	-0,042611897	-0,047358245
41716	76,383789	-164,59435	-164,6492	-0,38993731	-0,041849852	-0,043028951	-0,047780037
41716	76,883789	-166,54434	-166,59811	-0,39313883	-0,042412758	-0,04358381	-0,048293926
41716	77,383789	-168,49434	-168,57951	-0,39665028	-0,042945981	-0,043993771	-0,048836604
41716	77,883789	-170,44434	-170,55411	-0,40071085	-0,043522656	-0,044602454	-0,049508978
41716	78,383789	-172,39433	-172,46069	-0,40342212	-0,043940485	-0,045041382	-0,050012276
41716	78,883789	-174,34435	-174,41251	-0,40671155	-0,044514537	-0,04551369	-0,050632533
41716	79,383789	-176,29434	-176,36166	-0,41024834	-0,045064628	-0,045998693	-0,051193178
41716	79,883789	-178,24434	-178,33519	-0,41389167	-0,045653701	-0,046558559	-0,051631629
41716	80,383789	-180,19434	-180,29886	-0,41671991	-0,046102583	-0,046990037	-0,052321017
41716	80,883789	-182,14433	-182,235	-0,42030215	-0,046630144	-0,047531307	-0,05280837
41716	81,383789	-184,09435	-184,16714	-0,4236728	-0,047077119	-0,048008561	-0,053346887
41716	81,883789	-186,04434	-186,15279	-0,42707175	-0,047693849	-0,048485041	-0,05389135
41716	82,383789	-187,99434	-188,0929	-0,42993128	-0,048139155	-0,049006224	-0,054576691
41716	82,883789	-189,94434	-190,01221	-0,43349266	-0,048668027	-0,049440563	-0,055015501
41716	83,383789	-191,89435	-191,97444	-0,43695867	-0,049193859	-0,049956918	-0,055644561
