(07/18/2014 11:50:12) Information [Stmgr] "Regelart umgestellt auf: Ch 1 Kraft"
(07/18/2014 11:50:12) Information [Stmgr] "Manueller Sollwert aktiviert: Ch 1 Kraft"
(07/18/2014 11:50:47) Information [Stmgr] "Manueller Sollwert deaktiviert: Ch 1 Kraft"
(07/18/2014 11:52:21) Information [MPT Runtime] "Prozedur beginnt: E-Modul-mit  Druckversuch 100erZylinder mit Regelabweichung Standart.000"
(07/18/2014 11:52:21) Information [MPT Runtime] "Läuft"
(07/18/2014 11:59:54) Information [MPT/Operator Event] "Bediener Ereignis 'Bruchrampe' aufgetreten: 'Bruchrampe
'"
(07/18/2014 12:00:00) Warning [MPT/Data Limit] "Unterer Grenzwert ausgelöst für 'Ch 1 Kraft'."
(07/18/2014 12:00:00) Warning [MPT/Data Limit] "Grenzwertprozess beendet"
(07/18/2014 12:02:36) Warning [MPT/Data Limit] "Oberer Grenzwert wurde ausgelöst von 'Ch 1 Kraft Abs. Fehler'."
(07/18/2014 12:02:36) Warning [MPT/Data Limit] "Grenzwertprozess beendet"
(07/18/2014 12:02:37) Information [MPT Runtime] "Prozedur fertig"
(07/18/2014 12:02:37) Information [MPT Runtime] "Angehalten
 Laufzeit:  00:10:16 
 Kanalzähler:
    Ch 1 -          5  Zyklen"
