MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	33,039063	s	11.09.2014 13:31:54
Datum : 	11.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	BA Los M V-4
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5428,5
Durchmesser :	98,5
Länge :	300,2
Bediener Information Ende

Datenerfassung						Zeit:	368,00684	s	11.09.2014 13:37:29
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41893	33,549805	-1	-1,0524206	-0,063988566	0,2243298	1,1337345	-0,19217533
41893	34,049805	-1	-1,0790397	-0,062161684	0,22437036	1,1336513	-0,19221595
41893	34,549805	-1	-1,0645893	-0,062426925	0,22441573	1,1337566	-0,19218835
41893	35,049805	-1	-0,97048283	-0,061368942	0,22447936	1,1336619	-0,19217329
41893	35,549805	-1	-0,96076912	-0,06223321	0,22438458	1,1336806	-0,19210175
41893	36,049805	-1	-1,0231081	-0,0626266	0,22440848	1,1337403	-0,19214842
41893	36,549805	-1	-1,0983832	-0,062733889	0,22444685	1,1336569	-0,19217817
41893	37,049805	-1	-1,0694395	-0,062730908	0,22437274	1,1337749	-0,19207315
41893	37,549805	-1	-0,9650197	-0,061920285	0,22444348	1,1337839	-0,19212003
41893	38,049805	-1	-0,94141626	-0,062122941	0,22450466	1,133638	-0,19208896
41893	38,549805	-1	-0,99358523	-0,062963367	0,22444747	1,1337696	-0,19211234
41893	39,049805	-1	-1,0605361	-0,062769651	0,22440884	1,1336963	-0,19210139
41893	39,549805	-1	-1,0724366	-0,062960386	0,2244485	1,1335915	-0,19211127
41893	40,049805	-1	-0,9958353	-0,062772632	0,22450908	1,1337645	-0,19212285
41893	40,549805	-1	-0,93616176	-0,062924623	0,22439197	1,1337525	-0,19207361
41893	41,049805	-1	-0,96056795	-0,063252449	0,22442783	1,1338588	-0,19206688
41893	41,549805	-1	-1,0407884	-0,062698126	0,22437924	1,1337272	-0,19209132
41893	42,049805	-1	-1,0571312	-0,062552094	0,22443998	1,133718	-0,1921301
41893	42,549805	-1	-0,99239314	-0,062835217	0,22445107	1,1337787	-0,19209047
41893	43,049805	-1	-0,90306252	-0,062230229	0,22451109	1,1337794	-0,19207668
41893	43,549805	-1	-0,9894557	-0,062933564	0,22454244	1,1336247	-0,192066
41893	44,049805	-1	-1,049215	-0,062480569	0,22446388	1,1337386	-0,19213066
41893	44,549805	-1	-1,0711886	-0,062566996	0,22442661	1,1336875	-0,19210309
41893	45,049805	-1	-1,0211542	-0,062769651	0,22447489	1,1337733	-0,19210742
41893	45,549805	-1	-0,95799005	-0,062406063	0,22450455	1,1337171	-0,19207478
41893	46,049805	-1	-0,9624567	-0,062942505	0,22452672	1,1336653	-0,19208156
41893	46,549805	-1	-1,0849555	-0,062921643	0,22449452	1,1338128	-0,19218048
41893	47,049805	-1	-1,0978765	-0,06326437	0,22443414	1,1337472	-0,19218026
41893	47,549805	-1	-1,0253787	-0,06223321	0,22447135	1,1337045	-0,19208208
41893	48,049805	-1	-0,94615668	-0,062155724	0,22458208	1,1338351	-0,19203793
41893	48,549805	-1	-0,94261396	-0,062462687	0,22454664	1,1337931	-0,19205806
41893	49,049805	-1	-1,0390506	-0,063595176	0,22448105	1,1337092	-0,19208999
41893	49,549805	-1	-1,0846108	-0,062307715	0,22448282	1,1337267	-0,19213183
41893	50,049805	-1	-1,0233335	-0,062903762	0,22448374	1,1337031	-0,19210556
41893	50,549805	-1	-0,92791766	-0,062415004	0,22458096	1,1337223	-0,19210933
41893	51,049805	-1	-0,94782561	-0,06172955	0,22452027	1,1337429	-0,19212626
41893	51,549805	-1	-1,0526124	-0,062415004	0,22446826	1,1337675	-0,19215146
41893	52,049805	-1	-1,0863655	-0,062248111	0,22447114	1,1337209	-0,19210258
41893	52,549805	-1	-1,017211	-0,062829256	0,22452016	1,1337631	-0,1920896
41893	53,049805	-1	-0,9413287	-0,062534213	0,22449093	1,1337568	-0,19200987
41893	53,549805	-1	-0,92016721	-0,062406063	0,22458629	1,1337938	-0,19209646
41893	54,049805	-1	-0,99348462	-0,062397122	0,22450402	1,1338344	-0,19206591
41893	54,549805	-1	-1,0562502	-0,06262362	0,22448359	1,1338402	-0,19212487
41893	55,049805	-1	-1,04459	-0,062865019	0,22457041	1,1337097	-0,19209699
41893	55,549805	-1	-0,9662751	-0,063079596	0,22452359	1,1337751	-0,19209082
41893	56,049805	-1	-0,94678068	-0,061783195	0,22452699	1,133747	-0,19210754
41893	56,549805	-1	-1,0020696	-0,062832236	0,22447345	1,1337031	-0,19210602
41893	57,049805	-1	-1,0803007	-0,063052773	0,22450082	1,1337647	-0,19215731
41893	57,549805	-1	-1,068417	-0,062260032	0,22454181	1,1337274	-0,19216272
41893	58,049805	-1	-0,96865743	-0,062867999	0,22461756	1,1338018	-0,19212964
41893	58,549805	-1	-0,96224618	-0,06236732	0,22457142	1,133827	-0,19211876
41893	59,049805	-1	-1,0050479	-0,062853098	0,22459166	1,1336886	-0,19210936
41893	59,549805	-1	-1,0458455	-0,063148141	0,22453484	1,1338192	-0,19215004
41893	60,049805	-1	-1,0372828	-0,063401461	0,22457291	1,1337138	-0,19207309
41893	60,549805	-1	-0,96239519	-0,062018633	0,22458081	1,1338521	-0,19205421
41893	61,049805	-1	-0,91263092	-0,062429905	0,22461547	1,1338359	-0,19202109
41893	61,549805	-1	-0,95729899	-0,063383579	0,22456978	1,1336989	-0,19206141
41893	62,049805	-1	-1,0232962	-0,062182546	0,22454342	1,1338575	-0,19199145
41893	62,549805	-1	-1,0206122	-0,061771274	0,22455618	1,1337532	-0,19204451
41893	63,049805	-1	-0,95639563	-0,062823296	0,22459693	1,1338314	-0,19195926
41893	63,549805	-1	-0,91804004	-0,061842799	0,22464041	1,133795	-0,19197854
41893	64,049805	-1	-0,95430201	-0,062334538	0,22461444	1,1339175	-0,19201037
41893	64,549805	-1	-1,0364056	-0,06301403	0,22463056	1,1338533	-0,19205698
41893	65,049805	-1	-1,04006	-0,062787533	0,22458448	1,1338165	-0,1920549
41893	65,549805	-1	-0,96487069	-0,062072277	0,22460008	1,13375	-0,19202216
41893	66,049805	-1	-0,93325043	-0,062960386	0,22458482	1,1337758	-0,19201876
41893	66,549805	-1	-0,96806884	-0,062555075	0,22456804	1,1337717	-0,19208251
41893	67,049805	-1	-1,0452197	-0,062996149	0,22457394	1,1338798	-0,1920934
41893	67,549805	-1	-1,0600183	-0,062227249	0,22450806	1,1338313	-0,1920916
41893	68,049805	-1	-0,99089557	-0,062605739	0,22454971	1,133805	-0,19199663
41893	68,549805	-1	-0,89042634	-0,061884522	0,22459255	1,1338615	-0,19191036
41893	69,049805	-1	-0,91839957	-0,06248951	0,2246162	1,1338447	-0,19197021
41893	69,549805	-1	-1,0197461	-0,062337518	0,22459927	1,1338586	-0,19201039
41893	70,049805	-1	-1,0587592	-0,061905384	0,2245774	1,1338028	-0,1920222
41893	70,549805	-1	-1,0083001	-0,062066317	0,22463877	1,1338338	-0,19201688
41893	71,049805	-1	-0,90808046	-0,06147325	0,22464962	1,1339333	-0,19200386
41893	71,549805	-1	-0,92098677	-0,062516332	0,22465603	1,1338543	-0,19198912
41893	72,049805	-1	-1,0045953	-0,06275773	0,22465102	1,1339116	-0,19205472
41893	72,549805	-1	-1,0584276	-0,06275475	0,22453432	1,1337653	-0,1920816
41893	73,049805	-1	-1,0439866	-0,062072277	0,22459094	1,1337477	-0,19205526
41893	73,549805	-1	-0,96364689	-0,061872602	0,22464216	1,1338867	-0,19199733
41893	74,049805	-1	-0,96225554	-0,06197989	0,22459301	1,1338183	-0,19202824
41893	74,549805	-1	-0,99450535	-0,062736869	0,2246349	1,1339526	-0,19197512
41893	75,049805	-1	-1,0419972	-0,062143803	0,22460268	1,1338509	-0,19195578
41893	75,549805	-1	-0,98454952	-0,062114	0,22464423	1,1339005	-0,19199519
41893	76,049805	-1	-0,91817045	-0,061377883	0,22463143	1,1339953	-0,19195871
41893	76,549805	-1	-0,92115438	-0,061938167	0,2246431	1,1338581	-0,19198611
41893	77,049805	-1	-0,96565485	-0,062987208	0,22462568	1,1339281	-0,19196372
41893	77,549805	-1	-1,0283459	-0,061929226	0,22464032	1,1339808	-0,1920148
41893	78,049805	-1	-1,0480322	-0,061661005	0,22461167	1,1338072	-0,19202396
41893	78,549805	-1	-0,95603615	-0,062593818	0,22465949	1,1339381	-0,19198135
41893	79,049805	-1	-0,92508459	-0,061637163	0,22467971	1,1338658	-0,1920079
41893	79,549805	-1	-0,99889934	-0,06262064	0,22463201	1,1338496	-0,19195448
41893	80,049805	-1	-1,0681599	-0,063511729	0,2245798	1,1338698	-0,19203156
41893	80,549805	-1	-1,0651592	-0,062465668	0,22464119	1,1338663	-0,19206928
41893	81,049805	-1	-1,0061283	-0,061678886	0,22463699	1,1338998	-0,19206218
41893	81,549805	-1	-0,92357028	-0,062164664	0,22462745	1,1339445	-0,19196683
41893	82,049805	-1	-0,97814947	-0,061923265	0,22462524	1,1338724	-0,1920037
41893	82,549805	-1	-1,050042	-0,062143803	0,22464758	1,1338772	-0,19200748
41893	83,049805	-1	-1,06165	-0,062730908	0,2246362	1,1338899	-0,19199392
41893	83,549805	-1	-0,94440764	-0,060993433	0,22464952	1,1339703	-0,19193935
41893	84,049805	-1	-0,88636762	-0,062137842	0,22471605	1,1338972	-0,19192401
41893	84,549805	-1	-0,92911351	-0,06210506	0,22467981	1,1338837	-0,19194296
41893	85,049805	-1	-1,0397434	-0,062924623	0,2247147	1,1338969	-0,19197893
41893	85,549805	-1	-1,0412838	-0,062566996	0,22464104	1,1338722	-0,19200239
41893	86,049805	-1	-0,99112839	-0,062122941	0,22465236	1,1338553	-0,19200276
41893	86,549805	-1	-0,92979896	-0,062376261	0,22464123	1,1338933	-0,19192003
41893	87,049805	-1	-0,95728409	-0,062698126	0,22470661	1,133893	-0,19198087
41893	87,549805	-1	-1,032276	-0,062289834	0,22467165	1,1338394	-0,19194433
41893	88,049805	-1	-1,0876637	-0,062039495	0,2247407	1,1338896	-0,1919474
41893	88,549805	-1	-1,0193214	-0,061944127	0,22466798	1,1338464	-0,19201249
41893	89,049805	-1	-0,91048145	-0,061547756	0,22464597	1,1340126	-0,19196413
41893	89,549805	-1	-0,90817547	-0,061491132	0,22469072	1,1338631	-0,1919377
41893	90,049805	-1	-1,0363199	-0,062194467	0,22467373	1,1339047	-0,19191326
41893	90,549805	-1	-1,0949895	-0,062179565	0,22463079	1,1338582	-0,19199875
41893	91,049805	-1	-1,0322948	-0,062114	0,22466828	1,1338834	-0,19202122
41893	91,549805	-1	-0,95982105	-0,062215328	0,22468035	1,1339108	-0,19193406
41893	92,049805	-1	-0,96798313	-0,062176585	0,22476235	1,1338679	-0,191957
41893	92,549805	-1	-1,0294616	-0,062134862	0,22466911	1,1339309	-0,19194852
41893	93,049805	-1	-1,0532141	-0,061503053	0,22474481	1,1338844	-0,191958
41893	93,549805	-1	-1,0417849	-0,061801076	0,22468108	1,1338983	-0,19193406
41893	94,049805	-1	-0,94353968	-0,061267614	0,2247057	1,1339289	-0,19194791
