MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	17,580078	s	11.09.2014 13:22:36
Datum : 	11.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	BA Los M VI-6
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5367,6
Durchmesser :	98,7
Länge :	300,3
Bediener Information Ende

Datenerfassung						Zeit:	485,61133	s	11.09.2014 13:30:24
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41893	18,089844	-0,0082217138	0,10882318	5,0025883	-0,51521653	-1,7464652	-0,012572267
41893	18,589844	-0,117872	0,061877072	5,0030379	-0,51519251	-1,7463799	-0,016854946
41893	19,089844	-0,22752228	0,087935477	4,9965949	-0,51525927	-1,7465004	-0,015953388
41893	19,589844	-0,33717257	0,10537356	4,9759865	-0,51532954	-1,7465333	-0,020292984
41893	20,089844	-0,44682285	0,092241913	4,9438896	-0,5153414	-1,7464136	0,00029194634
41893	20,589844	-0,55647314	0,065438449	4,8967333	-0,51529592	-1,7464284	-0,00032507721
41893	21,089844	-0,66612345	0,10076724	4,8321815	-0,51536381	-1,7464207	0,00064293388
41893	21,589844	-0,7757737	0,10377169	4,7471375	-0,5153625	-1,7463732	-0,0087621342
41893	22,089844	-0,88542402	0,099778175	4,6348305	-0,5153603	-1,7465405	-0,0086401384
41893	22,589844	-0,99507433	0,076364726	4,4922647	-0,51536477	-1,7463888	-0,00083438586
41893	23,089844	-1	0,064792112	4,324749	-0,51544344	-1,7464612	0,0091923112
41893	23,589844	-1	0,086825341	4,1312695	-0,51538479	-1,7465534	0,0078427745
41893	24,089844	-1	0,11174008	3,9107533	-0,51555407	-1,7464687	0,0077807186
41893	24,589844	-1	0,080114231	3,6734939	-0,51564372	-1,7464702	0,0077410182
41893	25,089844	-1	0,059317797	3,4192114	-0,51558393	-1,7464294	0,007651587
41893	25,589844	-1	0,076215714	3,1460075	-0,51574105	-1,7464098	0,0076451367
41893	26,089844	-1	0,096330419	2,8587699	-0,5156678	-1,7464259	0,0076978104
41893	26,589844	-1	0,092118979	2,5538535	-0,51560962	-1,7464038	0,0076856883
41893	27,089844	-1	0,078637153	2,2360206	-0,51565683	-1,746384	0,0075715827
41893	27,589844	-1	0,058379024	1,9029677	-0,51562095	-1,7464492	0,0075915521
41893	28,089844	-1	0,083226711	1,5531093	-0,5157029	-1,7464366	0,007578983
41893	28,589844	-1	0,089470297	1,1876911	-0,51566738	-1,7464004	0,0076398263
41893	29,089844	-1	0,06348826	0,79959929	-0,51569438	-1,746429	0,0076398747
41893	29,589844	-1	0,047957525	0,39384961	-0,51566482	-1,7464076	0,0075189332
41893	30,089844	-1	-2,8780754	-0,013813376	-0,51689494	-1,7470876	0,0072097545
41893	30,589844	-1	-6,2100067	-0,037908554	-0,51802123	-1,7479134	0,0062146643
41893	31,089844	-1	-5,1344633	-0,035530329	-0,51777136	-1,7476473	0,0065406496
41893	31,589844	-1	-4,1996522	-0,032061338	-0,51734936	-1,7473381	0,0067419624
41893	32,089844	-1	-3,6817603	-0,030764937	-0,51719809	-1,7473775	0,0022585792
41893	32,589844	-1	-3,4223254	-0,02836287	-0,51704156	-1,7473263	0,0024510408
41893	33,089844	-1	-2,4079885	-0,023642182	-0,5167073	-1,7470863	0,0025943173
