MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	16,138672	s	01.09.2014 14:30:07
Datum : 	01.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	BA-Losert MII E-Modul 28d v. 04.08.14 Probe 4
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5374
Durchmesser :	98,6
Länge :	300,2
Bediener Information Ende

Datenerfassung						Zeit:	387,0752	s	01.09.2014 14:36:18
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41883	16,648438	-1	-0,97106028	-0,027179718	-0,19078013	0,0072839758	-0,02271509
41883	17,148438	-1	-1,0520052	-0,027269125	-0,1907531	0,0072302846	-0,022740077
41883	17,648438	-1	-1,0272954	-0,026786327	-0,19077042	0,0072515937	-0,022754636
41883	18,148438	-1	-0,9842869	-0,027450919	-0,1906932	0,007309665	-0,02272282
41883	18,648438	-1	-1,0181404	-0,026428699	-0,19074437	0,0072864336	-0,022735531
41883	19,148438	-1	-1,0274109	-0,027582049	-0,19072944	0,0072830203	-0,022790179
41883	19,648438	-1	-0,95803475	-0,027489662	-0,19069594	0,0071955491	-0,022737624
41883	20,148438	-1	-1,0001287	-0,027817488	-0,1907292	0,007331253	-0,022772321
41883	20,648438	-1	-1,0376945	-0,028046966	-0,19072649	0,0072151627	-0,022723284
41883	21,148438	-1	-0,95250273	-0,026106834	-0,19072303	0,0073034293	-0,022714499
41883	21,648438	-1	-0,99859947	-0,02630353	-0,19069427	0,0072589223	-0,022763303
41883	22,148438	-1	-1,0135994	-0,027787685	-0,19077289	0,0072053578	-0,022732705
41883	22,648438	-1	-0,94312429	-0,027310848	-0,19071209	0,0073203212	-0,022708034
41883	23,148438	-1	-0,97682512	-0,026220083	-0,19068703	0,0072591272	-0,022723934
41883	23,648438	-1	-0,99683928	-0,027507544	-0,19074249	0,0072862846	-0,022730405
41883	24,148438	-1	-0,95746291	-0,026446581	-0,19070262	0,0072526424	-0,02270069
41883	24,648438	-1	-0,97929311	-0,026547909	-0,19070119	0,007341634	-0,022719968
41883	25,148438	-1	-1,0190774	-0,026503205	-0,19078919	0,0071640746	-0,022698546
41883	25,648438	-1	-0,93557125	-0,026097894	-0,19073293	0,0072645	-0,022683132
41883	26,148438	-1	-0,97962284	-0,027093291	-0,19071978	0,0071762144	-0,02273999
41883	26,648438	-2,7786133	-2,7246754	-0,007390976	-0,00064945221	-0,00051715871	-0,00061188638
41883	27,148438	-4,7286134	-3,9854479	-0,01360178	-0,0011364222	-0,00089862122	-0,00089079142
41883	27,648438	-6,6786132	-6,5280442	-0,024357438	-0,0020857155	-0,0017375243	-0,0016342849
41883	28,148438	-8,6286135	-8,5362206	-0,031739473	-0,0029089451	-0,0024148524	-0,0022351742
41883	28,648438	-10,578613	-10,669608	-0,040888786	-0,0036675632	-0,0030733664	-0,0028191525
41883	29,148438	-12,528613	-12,683383	-0,048607588	-0,0044006109	-0,0038038816	-0,0034717629
41883	29,648438	-14,478614	-14,686216	-0,055685639	-0,0051627755	-0,0043735602	-0,0041041188
41883	30,148438	-16,428614	-16,592714	-0,061753392	-0,0058301687	-0,0050408118	-0,0047518872
41883	30,648438	-18,378614	-18,474636	-0,068476796	-0,006513387	-0,005702877	-0,0053332802
41883	31,148438	-20,328613	-20,472307	-0,073072314	-0,0071353018	-0,0062987888	-0,0061006229
41883	31,648438	-22,278614	-22,395386	-0,079542398	-0,0079183578	-0,0069106803	-0,0068345657
41883	32,148438	-24,228613	-24,296762	-0,084772706	-0,0084864199	-0,0076298048	-0,0075102495
41883	32,648438	-26,178614	-26,307699	-0,090220571	-0,009136796	-0,0082541555	-0,0082351705
41883	33,148438	-28,128614	-28,245117	-0,095817447	-0,0098918378	-0,0089706592	-0,0089671295
41883	33,648438	-30,078613	-30,148237	-0,10057986	-0,010635465	-0,0095613468	-0,0097460011
41883	34,148438	-32,028614	-32,149387	-0,10535717	-0,011193633	-0,01027702	-0,010448026
41883	34,648438	-33,978615	-34,07341	-0,11154711	-0,011928201	-0,010919478	-0,011177747
41883	35,148438	-35,928616	-35,987259	-0,11601746	-0,012577862	-0,011483321	-0,011875261
41883	35,648438	-37,878613	-37,956123	-0,12189448	-0,013237119	-0,012338807	-0,012600673
41883	36,148438	-39,828613	-39,912132	-0,12581646	-0,013945103	-0,012919283	-0,013418848
41883	36,648438	-41,778614	-41,840923	-0,13161898	-0,014660388	-0,013653177	-0,014239695
41883	37,148438	-43,728615	-43,87257	-0,13673604	-0,015325874	-0,014363355	-0,014977936
41883	37,648438	-45,678616	-45,760223	-0,14110208	-0,016008139	-0,014961486	-0,015725594
41883	38,148438	-47,628613	-47,649799	-0,14549792	-0,016672134	-0,015627626	-0,016427644
41883	38,648438	-49,578613	-49,643654	-0,15151799	-0,017347395	-0,016369741	-0,017206354
41883	39,148438	-51,528614	-51,593452	-0,15563965	-0,018137336	-0,017064119	-0,017978208
