MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	13,134766	s	01.09.2014 14:41:00
Datum : 	01.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	BA-Losert MII E-Modul 28d v. 04.08.14 Probe 5
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5365
Durchmesser :	98,7
Länge :	300,2
Bediener Information Ende

Datenerfassung						Zeit:	311,63477	s	01.09.2014 14:45:59
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41883	13,643555	-1	-0,97761488	-0,025072694	0,42592442	-0,041352149	-0,019781582
41883	14,143555	-1	-1,0547712	-0,024983287	0,42588621	-0,041448187	-0,019884596
41883	14,643555	-1	-0,98180401	-0,024351478	0,42593774	-0,041359078	-0,019821245
41883	15,143555	-1	-0,95992351	-0,025939941	0,42588258	-0,041464917	-0,019767385
41883	15,643555	-1	-1,0647346	-0,024539232	0,42586833	-0,041457247	-0,019847861
41883	16,143555	-1	-0,99024737	-0,023844838	0,42590564	-0,041397333	-0,019846475
41883	16,643555	-1	-0,9438321	-0,025323033	0,42594358	-0,04144115	-0,019766785
41883	17,143555	-1	-1,0538641	-0,025007129	0,42589828	-0,041425638	-0,019882826
41883	17,643555	-1	-0,99897945	-0,023603439	0,42589492	-0,041305505	-0,019777277
41883	18,143555	-1	-0,96281058	-0,025331974	0,42592567	-0,041379895	-0,019721825
41883	18,643555	-1	-1,0334141	-0,02463758	0,42589015	-0,041431811	-0,019799214
41883	19,143555	-1	-1,0150187	-0,024417043	0,42596585	-0,041430842	-0,019810572
41883	19,643555	-1	-0,98197162	-0,025096536	0,42586714	-0,04140139	-0,019788627
41883	20,143555	-1	-1,0222942	-0,0251472	0,42594659	-0,041353032	-0,019841079
41883	20,643555	-1	-1,0233428	-0,024825335	0,42592204	-0,041523442	-0,019812731
41883	21,143555	-1	-0,97492337	-0,024536252	0,4259488	-0,041304395	-0,019728554
41883	21,643555	-1	-1,0055043	-0,024834275	0,42590851	-0,041448966	-0,019814955
41883	22,143555	-1	-1,0184534	-0,024351478	0,42590284	-0,041370843	-0,019756377
41883	22,643555	-1	-0,98394603	-0,02387166	0,42592555	-0,041449707	-0,019726561
41883	23,143555	-1	-0,96911752	-0,024843216	0,42598376	-0,041387685	-0,019756494
41883	23,643555	-2,7748048	-2,7589743	-0,0066578388	-0,00076089799	-0,00037221238	-0,00073201105
41883	24,143555	-4,7248049	-3,9852018	-0,014019012	-0,0012218952	-0,00066050701	-0,0011266595
41883	24,643555	-6,6748047	-6,4928422	-0,025510788	-0,0021134019	-0,0012708269	-0,001975737
41883	25,143555	-8,6248045	-8,4502811	-0,033447146	-0,0029257983	-0,0018442953	-0,0025707535
41883	25,643555	-10,574805	-10,758852	-0,043880939	-0,0038222373	-0,0025014672	-0,0034740325
41883	26,143555	-12,524805	-12,75801	-0,05107522	-0,0045698881	-0,0031527216	-0,0041194106
41883	26,643555	-14,474805	-14,692244	-0,057047606	-0,0052111894	-0,0036916211	-0,0047736145
41883	27,143555	-16,424805	-16,620642	-0,063219666	-0,0059814155	-0,0042790081	-0,0054688929
41883	27,643555	-18,374805	-18,523624	-0,068446994	-0,0065659136	-0,0048539955	-0,0062215994
41883	28,143555	-20,324804	-20,469894	-0,074574351	-0,0071981996	-0,0055507421	-0,0069508981
41883	28,643555	-22,274805	-22,437065	-0,081199408	-0,0079415143	-0,0062621664	-0,0077168336
41883	29,143555	-24,224806	-24,342224	-0,086611509	-0,0086194277	-0,0067187566	-0,0084173344
41883	29,643555	-26,174805	-26,219837	-0,090625882	-0,0092960596	-0,007372451	-0,0091339154
41883	30,143555	-28,124805	-28,134197	-0,096768141	-0,0098712891	-0,008006691	-0,0098351659
41883	30,643555	-30,074806	-30,204952	-0,10304451	-0,010692209	-0,0087653929	-0,010686398
41883	31,143555	-32,024807	-32,141201	-0,1070559	-0,01136528	-0,0093581798	-0,011477179
41883	31,643555	-33,974804	-34,085407	-0,11321008	-0,012082428	-0,010023898	-0,01222848
41883	32,143555	-35,924805	-36,051777	-0,11889935	-0,01272285	-0,010736695	-0,013014168
41883	32,643555	-37,874805	-37,849323	-0,1232177	-0,013322085	-0,011268246	-0,0136766
