MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	32,397461	s	22.07.2014 07:09:17
Datum : 	18.7.2014
Prüfer : 	Kh
Probenbezeichnung :  	Maack 8.2 Drucklversuch Probe B2B2
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	3785,9
Durchmesser :	100,4
Länge :	199,1
Bediener Information Ende

Datenerfassung						Zeit:	532,22168	s	22.07.2014 07:17:37
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41842	32,907227	-1,2784081	-1,3039894	-2,3078992	0,24928045	0,05037139	0,038595669
41842	33,407227	-1,571108	-1,6387459	-2,310806	0,24930176	0,05041533	0,038393237
41842	33,907227	-1,863808	-1,9076989	-2,3129523	0,24922574	0,050351858	0,038205765
41842	34,407227	-2,156508	-2,1127501	-2,314841	0,24915403	0,050306246	0,038014926
41842	34,907227	-2,449208	-2,5527346	-2,3178055	0,24906698	0,050329562	0,037806295
41842	35,407227	-2,7419081	-2,7649755	-2,3191123	0,24908489	0,050213121	0,037671827
41842	35,907227	-3,0346081	-3,0521007	-2,3208137	0,24893945	0,050196268	0,037475623
41842	36,407227	-3,3273079	-3,2409093	-2,3222651	0,24895611	0,050132625	0,037323989
41842	36,907227	-3,620008	-3,3319387	-2,3229446	0,24894053	0,050084759	0,037373818
41842	37,407227	-3,912708	-3,8634558	-2,3255448	0,24882179	0,049882583	0,036960192
41842	37,907227	-3,927	-4,1158891	-2,3268967	0,24879038	0,049825255	0,036782615
41842	38,407227	-3,927	-4,0506721	-2,3276315	0,2488043	0,049984813	0,036907308
41842	38,907227	-3,927	-4,0178356	-2,3272886	0,24878377	0,049905077	0,036885805
41842	39,407227	-3,927	-3,9852169	-2,3270786	0,24878058	0,049978875	0,036833666
41842	39,907227	-3,927	-4,026834	-2,3272541	0,24885857	0,049819604	0,036841609
41842	40,407227	-3,927	-3,9564948	-2,3276772	0,24888933	0,049951032	0,036944337
41842	40,907227	-3,927	-3,9443877	-2,3273082	0,24881428	0,049940877	0,036885135
41842	41,407227	-3,927	-3,9324927	-2,3271303	0,24890679	0,049943414	0,03684295
41842	41,907227	-3,927	-3,9581881	-2,3274302	0,24888736	0,049907628	0,036905594
41842	42,407227	-3,927	-3,9579048	-2,3272331	0,24884179	0,049860623	0,036880307
41842	42,907227	-5,7018046	-5,5881085	-0,0066641718	-0,00035682321	-0,00027369015	-0,0010039955
41842	43,407227	-7,6518049	-7,4643383	-0,015525147	-0,00086674094	-0,00080901233	-0,0020927787
41842	43,907227	-9,6018047	-9,2529259	-0,023000315	-0,0014083385	-0,0012434222	-0,003023386
41842	44,407227	-11,551805	-11,523322	-0,030703843	-0,0021474063	-0,0018255902	-0,0042397529
41842	44,907227	-13,501805	-13,583491	-0,037759542	-0,0026648343	-0,0023217259	-0,0053225607
41842	45,407227	-15,451805	-15,531736	-0,044513494	-0,0032971799	-0,0030007497	-0,0064020902
41842	45,907227	-17,401806	-17,511932	-0,050663203	-0,0038865209	-0,0036281124	-0,0073162466
41842	46,407227	-19,351805	-19,394526	-0,055890158	-0,0044701397	-0,0040198932	-0,008238703
41842	46,907227	-21,301805	-21,37722	-0,060976297	-0,005304724	-0,0047878227	-0,0091413558
41842	47,407227	-23,251804	-23,315042	-0,066325814	-0,0058631599	-0,0053719725	-0,010021806
41842	47,907227	-25,201805	-25,249256	-0,071452186	-0,006590873	-0,0060726437	-0,010948032
41842	48,407227	-27,151806	-27,296873	-0,076602027	-0,0072822273	-0,0067513846	-0,011843473
41842	48,907227	-29,101805	-29,129164	-0,08129254	-0,0079200566	-0,0074819946	-0,012632608
41842	49,407227	-31,051805	-31,150305	-0,086278096	-0,008618921	-0,008150191	-0,013550535
41842	49,907227	-33,001804	-33,168697	-0,090984628	-0,0093221664	-0,0089143319	-0,014382079
41842	50,407227	-34,951805	-34,986622	-0,095412508	-0,0099818408	-0,0095451828	-0,015159279
41842	50,907227	-36,901806	-36,865192	-0,10007843	-0,010702133	-0,010205491	-0,015974969
41842	51,407227	-38,851807	-38,968819	-0,10400005	-0,0114353	-0,011080553	-0,016907454
41842	51,907227	-40,801807	-40,919033	-0,10863282	-0,012212008	-0,011726598	-0,017726585
41842	52,407227	-42,751804	-42,800777	-0,11329241	-0,012885869	-0,012490823	-0,018466949
41842	52,907227	-44,701805	-44,805584	-0,11780225	-0,01365003	-0,013205965	-0,019310057
41842	53,407227	-46,651806	-46,664162	-0,12148842	-0,014249831	-0,013875617	-0,020119801
41842	53,907227	-48,601807	-48,612358	-0,12608171	-0,014980555	-0,014710287	-0,020851478
41842	54,407227	-50,551807	-50,619244	-0,13010949	-0,015675753	-0,015410995	-0,021691762
41842	54,907227	-52,501804	-52,562462	-0,13462976	-0,016472191	-0,016153507	-0,02254419
41842	55,407227	-54,451805	-54,515926	-0,13890155	-0,017128557	-0,016858621	-0,023413636
41842	55,907227	-56,401806	-56,419056	-0,1425501	-0,017813832	-0,017538019	-0,024080619
41842	56,407227	-58,351807	-58,278454	-0,14667735	-0,01850459	-0,018231152	-0,024847582
41842	56,907227	-60,301807	-60,368458	-0,1505971	-0,019287437	-0,019111373	-0,025758296
41842	57,407227	-62,251804	-62,377697	-0,15487708	-0,020006329	-0,019750847	-0,026550114
41842	57,907227	-64,201805	-64,242302	-0,15934519	-0,020730644	-0,020542249	-0,027289718
41842	58,407227	-66,15181	-66,212006	-0,16299486	-0,021435171	-0,021383453	-0,028129496
41842	58,907227	-68,101807	-68,131386	-0,16648397	-0,022164077	-0,021967728	-0,02897384
41842	59,407227	-70,051804	-70,216522	-0,17072521	-0,022947252	-0,022858027	-0,029808678
41842	59,907227	-72,001808	-72,088295	-0,17468818	-0,023612469	-0,023488551	-0,030508071
41842	60,407227	-73,951805	-73,946144	-0,17830729	-0,024367988	-0,024290023	-0,031289443
41842	60,907227	-75,90181	-75,983269	-0,18215738	-0,025116324	-0,024973562	-0,032090127
41842	61,407227	-77,851807	-77,887489	-0,18596798	-0,025832474	-0,025741041	-0,032855026
41842	61,907227	-79,801804	-79,865822	-0,1897499	-0,026531637	-0,026522338	-0,03367649
41842	62,407227	-81,751808	-81,866302	-0,19423813	-0,027311802	-0,027320227	-0,034502551
41842	62,907227	-83,701805	-83,742683	-0,1980193	-0,028006077	-0,028029894	-0,035245493
41842	63,407227	-85,65181	-85,713036	-0,20143241	-0,028773904	-0,028793139	-0,035988659
41842	63,907227	-87,601807	-87,612053	-0,20538606	-0,029523998	-0,029517516	-0,036780529
41842	64,407227	-89,551804	-89,608215	-0,20899512	-0,030263782	-0,030236246	-0,037660405
41842	64,907227	-91,501808	-91,515289	-0,21245293	-0,030974776	-0,030963572	-0,038335845
41842	65,407227	-93,451805	-93,501587	-0,21617934	-0,031662911	-0,031710554	-0,039076298
41842	65,907227	-95,40181	-95,340813	-0,21966435	-0,032356918	-0,032419145	-0,039904766
41842	66,407227	-97,351807	-97,41433	-0,22351481	-0,03316626	-0,033296254	-0,040759757
41842	66,907227	-99,301804	-99,401466	-0,22711456	-0,033861399	-0,033921473	-0,041459858
41842	67,407227	-101,25181	-101,358	-0,23117512	-0,03463766	-0,034709122	-0,042188153
41842	67,907227	-103,20181	-103,28536	-0,23426451	-0,035364956	-0,035375021	-0,043012492
41842	68,407227	-105,15181	-105,30382	-0,23815185	-0,036081254	-0,03621766	-0,04377231
41842	68,907227	-107,10181	-107,17961	-0,24149269	-0,036815226	-0,036914635	-0,044550195
41842	69,407227	-109,0518	-109,18752	-0,24555773	-0,037586689	-0,037707224	-0,045310542
41842	69,907227	-111,00181	-111,04276	-0,24881586	-0,038250923	-0,038430259	-0,046101831
41842	70,407227	-112,95181	-113,10995	-0,25229156	-0,039062947	-0,039175443	-0,046847507
41842	70,907227	-114,90181	-114,95717	-0,25615358	-0,039810836	-0,039936364	-0,047606945
41842	71,407227	-116,85181	-116,97643	-0,25967807	-0,040575087	-0,040592868	-0,048315778
41842	71,907227	-118,80181	-118,74072	-0,26321	-0,041186571	-0,04126399	-0,049101107
41842	72,407227	-120,75181	-120,74893	-0,26681572	-0,042014837	-0,042014014	-0,049790032
41842	72,907227	-122,70181	-122,75513	-0,2699852	-0,042763621	-0,042885918	-0,050662294
41842	73,407227	-124,65181	-124,66014	-0,27332866	-0,043433964	-0,043605316	-0,051405728
41842	73,907227	-126,60181	-126,7339	-0,27659798	-0,044187784	-0,044231091	-0,052079514
41842	74,407227	-128,5518	-128,46764	-0,28051808	-0,044875711	-0,045001745	-0,052794591
41842	74,907227	-130,5018	-130,45338	-0,28363988	-0,045645952	-0,045733195	-0,053570703
41842	75,407227	-132,45181	-132,59862	-0,2874192	-0,046553582	-0,046544068	-0,054370075
41842	75,907227	-134,40181	-134,40424	-0,29032975	-0,04726702	-0,047177333	-0,055132098
41842	76,407227	-136,35181	-136,62752	-0,2940256	-0,048053563	-0,048046019	-0,055953868
41842	76,907227	-138,3018	-138,38931	-0,29749423	-0,048726678	-0,048791133	-0,056579188
41842	77,407227	-140,2518	-140,30797	-0,30078626	-0,049404889	-0,049303088	-0,057428159
41842	77,907227	-142,20181	-142,19734	-0,30418003	-0,050207764	-0,050163768	-0,058092579
41842	78,407227	-144,15181	-144,24696	-0,30755514	-0,050999403	-0,050856844	-0,058934338
41842	78,907227	-146,10181	-146,32578	-0,31098425	-0,051782131	-0,051698331	-0,059686795
41842	79,407227	-148,0518	-147,91647	-0,31389967	-0,05244863	-0,052199941	-0,060261376
41842	79,907227	-150,00182	-149,97903	-0,31715071	-0,053147614	-0,05310886	-0,061099038
41842	80,407227	-151,95181	-151,95634	-0,32075757	-0,053929448	-0,053892348	-0,061850995
41842	80,907227	-153,90181	-154,12357	-0,32390952	-0,054855406	-0,054540996	-0,062643655
41842	81,407227	-155,85181	-155,91838	-0,32767802	-0,055430084	-0,055313647	-0,06335485
41842	81,907227	-157,8018	-157,90936	-0,33051783	-0,056212455	-0,055984672	-0,064094178
41842	82,407227	-159,75182	-159,78165	-0,33392087	-0,056972891	-0,056804754	-0,064836144
41842	82,907227	-161,70181	-161,6328	-0,33697113	-0,057624578	-0,057419788	-0,065541275
41842	83,407227	-163,65181	-163,80716	-0,34055114	-0,058472663	-0,058288895	-0,066359311
41842	83,907227	-165,60181	-165,78047	-0,34360552	-0,059273809	-0,059060007	-0,067155868
41842	84,407227	-167,5518	-167,65611	-0,34734309	-0,059993505	-0,059733912	-0,067937054
41842	84,907227	-169,50182	-169,51022	-0,34998953	-0,060795754	-0,060444236	-0,068612397
41842	85,407227	-171,45181	-171,47949	-0,35348797	-0,061483026	-0,061138716	-0,069333829
41842	85,907227	-173,40181	-173,52644	-0,35672709	-0,062233031	-0,061910562	-0,070084378
41842	86,407227	-175,35181	-175,31422	-0,35972148	-0,063038975	-0,062610656	-0,070853122
41842	86,907227	-177,3018	-177,35457	-0,362831	-0,063764989	-0,063327044	-0,071579486
41842	87,407227	-179,25182	-179,35638	-0,36634281	-0,064579964	-0,064141169	-0,072339274
41842	87,907227	-181,20181	-181,34477	-0,3694486	-0,065292895	-0,064801492	-0,073091291
41842	88,407227	-183,15181	-183,03484	-0,37245935	-0,065910637	-0,065533601	-0,073798768
41842	88,907227	-185,10181	-185,13173	-0,37645549	-0,066701293	-0,066326708	-0,074534342
41842	89,407227	-187,0518	-187,12894	-0,3792215	-0,067432672	-0,06698665	-0,075301275
41842	89,907227	-188,86987	-189,0721	-0,38232356	-0,068189979	-0,067672685	-0,076072492
41842	90,407227	-186,91988	-187,0164	-0,38022846	-0,067790031	-0,067267761	-0,075626731
41842	90,907227	-184,96988	-185,00568	-0,37771499	-0,06732592	-0,066910036	-0,075195029
41842	91,407227	-183,01987	-182,98761	-0,37536174	-0,066876918	-0,066329159	-0,074631885
41842	91,907227	-181,06987	-181,12091	-0,37325546	-0,066400141	-0,065872103	-0,0741992
41842	92,407227	-179,11987	-179,05441	-0,37025326	-0,065865368	-0,065252535	-0,073670439
41842	92,907227	-177,16988	-177,17679	-0,36766344	-0,06531623	-0,064751603	-0,073215194
41842	93,407227	-175,21988	-175,16678	-0,36575013	-0,064765483	-0,064207815	-0,072576351
41842	93,907227	-173,26987	-173,22874	-0,36322698	-0,064213961	-0,063620225	-0,072069973
41842	94,407227	-171,31987	-171,21716	-0,36037451	-0,063766778	-0,063148089	-0,071625836
41842	94,907227	-169,36987	-169,39998	-0,35787636	-0,063272417	-0,062601358	-0,071059406
41842	95,407227	-167,41988	-167,39754	-0,35521424	-0,062680095	-0,06210807	-0,070611104
41842	95,907227	-165,46988	-165,36331	-0,35245866	-0,062115163	-0,061418675	-0,069961429
41842	96,407227	-163,51987	-163,38873	-0,35009718	-0,061561257	-0,060866978	-0,069419459
41842	96,907227	-161,56987	-161,52142	-0,34711957	-0,06104666	-0,060304046	-0,068857379
41842	97,407227	-159,61987	-159,49597	-0,34479386	-0,060459256	-0,059787866	-0,068317756
41842	97,907227	-157,66988	-157,56625	-0,34226662	-0,059896171	-0,059171226	-0,067790285
41842	98,407227	-155,71988	-155,7039	-0,33957922	-0,059349686	-0,058558237	-0,067257531
41842	98,907227	-153,76987	-153,76773	-0,33697933	-0,058848172	-0,058004417	-0,06672167
41842	99,407227	-151,81987	-151,95778	-0,33419952	-0,058339477	-0,057468403	-0,066242345
41842	99,907227	-149,86987	-149,78369	-0,3314741	-0,057742596	-0,056804657	-0,065610655
41842	100,40723	-147,91988	-147,76997	-0,32869017	-0,057149261	-0,056252394	-0,064963385
41842	100,90723	-145,96988	-145,85706	-0,32596701	-0,056607336	-0,055678252	-0,064401641
41842	101,40723	-144,01987	-143,8811	-0,32304749	-0,056015313	-0,055106949	-0,063836701
41842	101,90723	-142,06987	-142,01909	-0,31983107	-0,055470437	-0,054483701	-0,06330093
41842	102,40723	-140,11987	-140,1731	-0,31760558	-0,054961801	-0,053919815	-0,062765397
41842	102,90723	-138,16988	-138,15627	-0,31488425	-0,054346472	-0,053361423	-0,062158458
41842	103,40723	-136,21988	-136,26135	-0,31225607	-0,053798378	-0,052790642	-0,061647698
41842	103,90723	-134,26987	-134,26558	-0,30934548	-0,053202271	-0,052218534	-0,061046742
41842	104,40723	-132,31987	-132,26978	-0,30580312	-0,052630275	-0,051538471	-0,060470678
41842	104,90723	-130,36987	-130,44286	-0,30359888	-0,052107722	-0,050956063	-0,059944667
41842	105,40723	-128,41988	-128,36803	-0,30027294	-0,051459849	-0,050352253	-0,059301361
41842	105,90723	-126,46987	-126,53584	-0,29769725	-0,050915122	-0,049776975	-0,058776103
41842	106,40723	-124,51987	-124,3971	-0,29422528	-0,05023697	-0,049018156	-0,058114722
41842	106,90723	-122,56987	-122,55708	-0,29100215	-0,049764007	-0,048531841	-0,057574905
41842	107,40723	-120,61987	-120,41856	-0,28830504	-0,049119085	-0,047825027	-0,056868345
41842	107,90723	-118,66987	-118,56459	-0,28543806	-0,04848063	-0,047272976	-0,0563045
41842	108,40723	-116,71987	-116,66069	-0,28265715	-0,048034817	-0,046704877	-0,055669188
41842	108,90723	-114,76987	-114,63122	-0,27932262	-0,047355592	-0,04589276	-0,05506517
41842	109,40723	-112,81987	-112,68523	-0,27594492	-0,04677394	-0,045412634	-0,05440104
41842	109,90723	-110,86987	-110,82841	-0,272917	-0,046352267	-0,04477841	-0,053762488
41842	110,40723	-108,91987	-108,85724	-0,26991332	-0,045733869	-0,04414051	-0,053160407
41842	110,90723	-106,96987	-106,8391	-0,26701391	-0,045123696	-0,043419544	-0,052515261
41842	111,40723	-105,01987	-104,92738	-0,26388317	-0,044528127	-0,04280198	-0,051883325
41842	111,90723	-103,06987	-102,95459	-0,26048943	-0,043914109	-0,042213913	-0,051236987
41842	112,40723	-101,11987	-101,05748	-0,25689006	-0,043451011	-0,041538753	-0,050694756
41842	112,90723	-99,169868	-99,07283	-0,25385284	-0,042793125	-0,04087412	-0,050008349
41842	113,40723	-97,219872	-97,235558	-0,25110468	-0,042252511	-0,040208429	-0,049396694
41842	113,90723	-95,269867	-95,10363	-0,24711378	-0,041568339	-0,039590131	-0,048677415
41842	114,40723	-93,31987	-93,285652	-0,2436202	-0,041049004	-0,038911875	-0,048000112
41842	114,90723	-91,369873	-91,394821	-0,24049543	-0,04057622	-0,038378105	-0,047397308
41842	115,40723	-89,419868	-89,450516	-0,23727901	-0,039937198	-0,037765522	-0,046719648
41842	115,90723	-87,469872	-87,440056	-0,23425296	-0,039308608	-0,036948841	-0,045988463
41842	116,40723	-85,519867	-85,58828	-0,23056492	-0,038729459	-0,036412172	-0,045347303
41842	116,90723	-83,56987	-83,534492	-0,22712573	-0,03812483	-0,035673723	-0,044600345
41842	117,40723	-81,619873	-81,57338	-0,22309907	-0,037466586	-0,035072837	-0,043845229
41842	117,90723	-79,669868	-79,715317	-0,22044294	-0,036887258	-0,034380596	-0,043198556
41842	118,40723	-77,719872	-77,836273	-0,21660738	-0,036311805	-0,033771791	-0,042513043
41842	118,90723	-75,769867	-75,706718	-0,21302588	-0,035723805	-0,032997921	-0,041679837
41842	119,40723	-73,81987	-73,758095	-0,20944774	-0,035025895	-0,032328267	-0,040965766
41842	119,90723	-71,869873	-71,949303	-0,20589046	-0,034475923	-0,031775944	-0,040261634
41842	120,40723	-69,919868	-69,94091	-0,20231344	-0,033846527	-0,03102153	-0,039493248
41842	120,90723	-67,969872	-67,967751	-0,19879825	-0,033164471	-0,030310452	-0,038763314
41842	121,40723	-66,019867	-65,903549	-0,19446947	-0,03250432	-0,029575387	-0,037963234
41842	121,90723	-64,06987	-64,023911	-0,19078106	-0,031936765	-0,028869437	-0,037249066
41842	122,40723	-62,119869	-62,072166	-0,1870878	-0,03126058	-0,028215248	-0,036471434
41842	122,90723	-60,169868	-60,07869	-0,18282197	-0,03066963	-0,027602056	-0,035597339
41842	123,40723	-58,219872	-58,119076	-0,17945655	-0,029992312	-0,026784906	-0,034840748
41842	123,90723	-56,269871	-56,178932	-0,17540306	-0,029328048	-0,025920084	-0,034087256
41842	124,40723	-54,31987	-54,282383	-0,17144233	-0,028722852	-0,025365887	-0,033331491
41842	124,90723	-52,369869	-52,278526	-0,16717277	-0,027988195	-0,024603155	-0,032448798
41842	125,40723	-50,419868	-50,489021	-0,16360804	-0,027430683	-0,023859393	-0,031663641
41842	125,90723	-48,469868	-48,497608	-0,15920699	-0,026739925	-0,02315174	-0,030794106
41842	126,40723	-46,519871	-46,515587	-0,15485249	-0,026011527	-0,022332944	-0,029941797
41842	126,90723	-44,56987	-44,506214	-0,15054867	-0,025361359	-0,021700902	-0,029048346
41842	127,40723	-42,619869	-42,564426	-0,14595836	-0,024749607	-0,020826446	-0,028211609
41842	127,90723	-40,669868	-40,708885	-0,14205724	-0,024036467	-0,020135233	-0,027362764
41842	128,40723	-38,719868	-38,736996	-0,13729259	-0,023327708	-0,01935751	-0,026481591
41842	128,90723	-36,769871	-36,729435	-0,13265572	-0,022615671	-0,018580627	-0,025523037
41842	129,40723	-34,81987	-34,764568	-0,12763739	-0,021881521	-0,017758351	-0,024612807
41842	129,90723	-32,869869	-32,900612	-0,12326166	-0,021130294	-0,016965751	-0,023709312
41842	130,40723	-30,919868	-30,94088	-0,11854619	-0,020359218	-0,016209032	-0,022751406
41842	130,90723	-28,96987	-28,85487	-0,11359639	-0,019695252	-0,01541481	-0,021756895
41842	131,40723	-27,019869	-26,940365	-0,10856688	-0,018853694	-0,014720655	-0,020769775
41842	131,90723	-25,069868	-24,980837	-0,10362007	-0,018140018	-0,013727582	-0,019745231
41842	132,40723	-23,119869	-23,094305	-0,098258257	-0,017323375	-0,013055455	-0,018727317
41842	132,90723	-21,169868	-21,113573	-0,093065575	-0,016555518	-0,012216755	-0,017703474
41842	133,40723	-19,21987	-19,062115	-0,086934865	-0,015719622	-0,011350144	-0,016596824
41842	133,90723	-17,269869	-17,133871	-0,080935284	-0,014801592	-0,010541462	-0,015459746
41842	134,40723	-15,319869	-15,312076	-0,075235218	-0,013956487	-0,0098408936	-0,014458448
41842	134,90723	-13,369868	-13,380139	-0,068844855	-0,013060689	-0,0090085231	-0,013325498
41842	135,40723	-11,419868	-11,318913	-0,061970949	-0,012139767	-0,008170913	-0,012089431
41842	135,90723	-9,4698687	-9,4794607	-0,054475293	-0,011094421	-0,007483073	-0,010937274
