MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	20,602539	s	18.07.2014 12:54:15
Datum : 	18.7.2014
Prüfer : 	Kh
Probenbezeichnung :  	Maack 8.2 Drucklversuch Probe BK 12 B
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	3425,7
Durchmesser :	100,4
Länge :	180,4
Bediener Information Ende

Datenerfassung						Zeit:	532,61914	s	18.07.2014 13:02:47
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41838	21,112305	-1,2789797	-1,2287776	-19,850061	0,21016636	-0,013669468	0,057142239
41838	21,612305	-1,5716797	-1,3538599	-19,851957	0,21009147	-0,013820075	0,057125974
41838	22,112305	-1,8643796	-1,4321543	-19,85253	0,21000561	-0,013916428	0,057123881
41838	22,612305	-2,1570797	-2,2011046	-19,857943	0,2095311	-0,014477862	0,056719709
41838	23,112305	-2,4497797	-2,5133212	-19,859785	0,20925611	-0,014849397	0,056521621
41838	23,612305	-2,7424798	-2,8584042	-19,862406	0,20900366	-0,015207924	0,056368429
41838	24,112305	-3,0351796	-3,1439011	-19,864561	0,20879832	-0,015337845	0,056228552
41838	24,612305	-3,3278797	-3,4323819	-19,865858	0,20849457	-0,015625199	0,056067366
41838	25,112305	-3,6205797	-3,776094	-19,868172	0,20813534	-0,015839277	0,055870842
41838	25,612305	-3,9132798	-4,127141	-19,870272	0,20792612	-0,016153032	0,055676017
41838	26,112305	-3,927	-4,1017456	-19,870134	0,20785686	-0,016192032	0,055622455
41838	26,612305	-3,927	-4,0672178	-19,870041	0,20792028	-0,016068606	0,055605065
41838	27,112305	-3,927	-4,0106812	-19,869972	0,20799181	-0,016126102	0,055760663
41838	27,612305	-3,927	-3,9955134	-19,870096	0,20796624	-0,01599885	0,055741798
41838	28,112305	-3,927	-3,9955993	-19,870335	0,20795074	-0,016128834	0,055698413
41838	28,612305	-3,927	-3,9631481	-19,870146	0,20794752	-0,016072934	0,055717718
41838	29,112305	-3,927	-3,9693694	-19,870153	0,20801312	-0,016050104	0,055707727
41838	29,612305	-3,927	-3,975913	-19,86957	0,2079598	-0,01606234	0,055669356
41838	30,112305	-3,927	-3,9319861	-19,869726	0,20798942	-0,016145041	0,05573291
41838	30,612305	-3,927	-3,9150939	-19,870028	0,20793241	-0,016078634	0,055805992
41838	31,112305	-5,7018046	-5,6255178	-0,0075884163	-0,001248911	-0,0011249203	-0,00084411353
41838	31,612305	-7,6518049	-7,621078	-0,016402081	-0,0027499944	-0,0023277607	-0,0018778145
41838	32,112305	-9,6018047	-9,6088867	-0,025067851	-0,0040552914	-0,003395888	-0,002727814
41838	32,612305	-11,551805	-11,595238	-0,032556802	-0,0054458529	-0,0046472549	-0,0037967265
41838	33,112305	-13,501805	-13,597529	-0,040050223	-0,0069059581	-0,0060285535	-0,0051669031
41838	33,612305	-15,451805	-15,544934	-0,047227368	-0,0082861185	-0,0075207278	-0,0065511689
41838	34,112305	-17,401806	-17,490677	-0,05366616	-0,0096401721	-0,008968737	-0,0079565793
41838	34,612305	-19,351805	-19,463396	-0,059936941	-0,01098796	-0,010232678	-0,0093447044
41838	35,112305	-21,301805	-21,420855	-0,065906718	-0,01222644	-0,011588393	-0,01078257
41838	35,612305	-23,251804	-23,369301	-0,071410835	-0,013492256	-0,012898743	-0,012138233
41838	36,112305	-25,201805	-25,337517	-0,076742098	-0,014637902	-0,014055144	-0,013408013
41838	36,612305	-27,151806	-27,266886	-0,082677975	-0,015743203	-0,015310336	-0,01462277
41838	37,112305	-29,101805	-29,196726	-0,087425858	-0,016797535	-0,016322728	-0,015934497
41838	37,612305	-31,051805	-31,18178	-0,093155727	-0,017940879	-0,017502571	-0,017100215
41838	38,112305	-33,001804	-33,061768	-0,097452104	-0,018839434	-0,018547211	-0,018272936
41838	38,612305	-34,951805	-34,991264	-0,10261908	-0,019883297	-0,019562667	-0,019377582
41838	39,112305	-36,901806	-36,93185	-0,10734946	-0,020936817	-0,020677729	-0,020539172
41838	39,612305	-38,851807	-38,879692	-0,11211783	-0,021897689	-0,021662062	-0,021657243
41838	40,112305	-40,801807	-40,85051	-0,11683814	-0,022904761	-0,022559719	-0,022759348
41838	40,612305	-42,751804	-42,824417	-0,12106113	-0,023774534	-0,023588987	-0,02388002
41838	41,112305	-44,701805	-44,795383	-0,12577176	-0,024720922	-0,024466814	-0,02493649
41838	41,612305	-46,651806	-46,761066	-0,1299724	-0,025681935	-0,025386492	-0,02595111
41838	42,112305	-48,601807	-48,69376	-0,13484582	-0,02651567	-0,026346514	-0,026983596
41838	42,612305	-50,551807	-50,661541	-0,13922341	-0,02742736	-0,027227135	-0,027936302
41838	43,112305	-52,501804	-52,583275	-0,14329962	-0,028315857	-0,028216993	-0,028896242
41838	43,612305	-54,451805	-54,574371	-0,14755875	-0,029131696	-0,029033685	-0,029971123
41838	44,112305	-56,401806	-56,528236	-0,15132166	-0,030023567	-0,02989733	-0,030923992
41838	44,612305	-58,351807	-58,481331	-0,15550517	-0,030870415	-0,030748656	-0,031899586
41838	45,112305	-60,301807	-60,392738	-0,16016886	-0,031661332	-0,031509921	-0,032776617
41838	45,612305	-62,251804	-62,350552	-0,16344935	-0,032433443	-0,032354414	-0,033681527
41838	46,112305	-64,201805	-64,258949	-0,16748421	-0,033328846	-0,033285312	-0,034651972
41838	46,612305	-66,15181	-66,245461	-0,17198808	-0,034122594	-0,033995427	-0,035514221
41838	47,112305	-68,101807	-68,211319	-0,17521679	-0,034879692	-0,034880012	-0,036458842
41838	47,612305	-70,051804	-70,124626	-0,17883927	-0,035720408	-0,035609975	-0,037296399
41838	48,112305	-72,001808	-72,035652	-0,18348992	-0,036466911	-0,036460988	-0,038083903
41838	48,612305	-73,951805	-73,950218	-0,18716194	-0,037268586	-0,037247017	-0,038985319
41838	49,112305	-75,90181	-75,891197	-0,19062012	-0,038158052	-0,038047135	-0,039814316
41838	49,612305	-77,851807	-77,851479	-0,19375496	-0,038929842	-0,038730711	-0,040672585
41838	50,112305	-79,801804	-79,821594	-0,1982715	-0,039643958	-0,039538205	-0,041588567
41838	50,612305	-81,751808	-81,80043	-0,20158365	-0,04036773	-0,040287055	-0,042467162
41838	51,112305	-83,701805	-83,745689	-0,20535514	-0,041249536	-0,041067891	-0,043271676
41838	51,612305	-85,65181	-85,700546	-0,20955428	-0,041982934	-0,041962847	-0,0440991
41838	52,112305	-87,601807	-87,648849	-0,21279715	-0,042786635	-0,04258173	-0,044920228
41838	52,612305	-89,551804	-89,612343	-0,21659806	-0,043479003	-0,043405652	-0,045787595
41838	53,112305	-91,501808	-91,511314	-0,22025965	-0,044256963	-0,044039369	-0,046583593
41838	53,612305	-93,451805	-93,505455	-0,22368319	-0,045049064	-0,044818468	-0,047407553
41838	54,112305	-95,40181	-95,471359	-0,22742786	-0,045815863	-0,045580156	-0,048199389
41838	54,612305	-97,351807	-97,424896	-0,23113303	-0,046625189	-0,046267048	-0,049026337
41838	55,112305	-99,301804	-99,368683	-0,23413412	-0,047315605	-0,047108829	-0,049831625
41838	55,612305	-101,25181	-101,23155	-0,23755617	-0,048131175	-0,047781497	-0,050625328
41838	56,112305	-103,20181	-103,24805	-0,24164356	-0,048843317	-0,048504509	-0,05147469
41838	56,612305	-105,15181	-105,22033	-0,24440065	-0,049615957	-0,049293503	-0,052225966
41838	57,112305	-107,10181	-107,11112	-0,24827868	-0,050317973	-0,049996302	-0,052984674
41838	57,612305	-109,0518	-109,10347	-0,25109017	-0,050998695	-0,05064635	-0,053777438
41838	58,112305	-111,00181	-110,96391	-0,25480056	-0,051798515	-0,051356673	-0,054574978
41838	58,612305	-112,95181	-112,95343	-0,25798047	-0,052532747	-0,052065216	-0,055377424
41838	59,112305	-114,90181	-114,8728	-0,26142448	-0,05324658	-0,052898519	-0,056126151
41838	59,612305	-116,85181	-116,7638	-0,26424602	-0,054036595	-0,053586215	-0,056907102
41838	60,112305	-118,80181	-118,71931	-0,26766771	-0,054707989	-0,054209918	-0,05768802
41838	60,612305	-120,75181	-120,67599	-0,27137959	-0,055500701	-0,054965593	-0,058420427
41838	61,112305	-122,70181	-122,68309	-0,27452558	-0,056186542	-0,055764087	-0,059218075
41838	61,612305	-124,65181	-124,6452	-0,27761906	-0,056901969	-0,056369901	-0,060018007
41838	62,112305	-126,60181	-126,68536	-0,28103665	-0,057642289	-0,057155952	-0,060847517
41838	62,612305	-128,5518	-128,67577	-0,28446877	-0,058379896	-0,057829566	-0,061608016
41838	63,112305	-130,5018	-130,61385	-0,28760731	-0,059142105	-0,058561057	-0,06231476
41838	63,612305	-132,45181	-132,50487	-0,29087329	-0,059821688	-0,059389673	-0,062995985
41838	64,112305	-134,40181	-134,49805	-0,29410607	-0,060552776	-0,060006	-0,063847184
41838	64,612305	-136,35181	-136,44876	-0,29699689	-0,061196007	-0,060784452	-0,064648755
