MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	26,391602	s	08.04.2014 09:54:10
Datum : 	8.4.2014
Prüfer : 	Machura, Be
Probenbezeichnung :  	SL51 28d 11.03.14 Probe2
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	3903
Durchmesser :	98,7
Länge :	298,1
Bediener Information Ende

Datenerfassung						Zeit:	225,92578	s	08.04.2014 09:57:30
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 A	1944 B	1281068
d	s	kN	kN	mm	mm	mm	mm
41737	26,900391	-1	-0,98393488	-0,067031384	0,092751369	0,043028254	0,031349823
41737	27,400391	-1	-0,96406227	-0,067109987	0,092684776	0,043022532	0,031391699
41737	27,900391	-1	-0,96002221	-0,066720694	0,092753142	0,043031838	0,031413376
41737	28,400391	-1	-0,95169431	-0,066548213	0,092796206	0,043094855	0,031284705
41737	28,900391	-1	-0,9599086	-0,067109242	0,092720404	0,043065641	0,031350009
41737	29,400391	-1	-0,97919071	-0,067179278	0,092764989	0,043118265	0,031384155
41737	29,900391	-1	-0,97842515	-0,066981092	0,092733756	0,043115791	0,031364236
41737	30,400391	-1	-0,99144876	-0,066847354	0,092655659	0,043136988	0,031400193
41737	30,900391	-1	-0,99160707	-0,067038834	0,092747152	0,043082912	0,031427182
41737	31,400391	-1	-1,0091178	-0,066711381	0,092743009	0,043079149	0,031277929
41737	31,900391	-1	-0,98523867	-0,066965818	0,092753828	0,043127511	0,031399515
41737	32,400391	-1	-0,96861833	-0,067144632	0,092865169	0,043086778	0,031452019
41737	32,900391	-1	-0,97283351	-0,067261234	0,092825718	0,043144662	0,031368598
41737	33,400391	-1	-0,96080452	-0,067130849	0,092791222	0,043130178	0,031319544
41737	33,900391	-1	-0,96486694	-0,066979602	0,092789978	0,043095384	0,031435154
41737	34,400391	-1	-0,98383242	-0,066875666	0,092798024	0,043101642	0,031383399
41737	34,900391	-1	-0,98504126	-0,066727027	0,092795894	0,04307254	0,03145862
41737	35,400391	-1	-0,98975188	-0,066847354	0,092741653	0,043077935	0,031411853
41737	35,900391	-1	-0,99477732	-0,067158043	0,092760161	0,04315054	0,031331379
41737	36,400391	-1	-1,0013654	-0,06675832	0,092789181	0,043080803	0,031311516
41737	36,900391	-2,7786133	-2,648037	-0,01328662	-0,00097787008	-0,0008649677	-0,001837567
41737	37,400391	-4,7286134	-3,8903708	-0,023968518	-0,0018289238	-0,0013872012	-0,0034096073
41737	37,900391	-6,6786132	-6,5663028	-0,044608861	-0,003778249	-0,0025465712	-0,0063813571
41737	38,400391	-8,6286135	-8,5134754	-0,057810172	-0,0053853132	-0,0033854172	-0,0083961468
41737	38,900391	-10,578613	-10,715777	-0,070939958	-0,0070800371	-0,0046541169	-0,010670372
41737	39,400391	-12,528613	-12,745174	-0,082598999	-0,0087370425	-0,0058889613	-0,012565213
41737	39,900391	-14,478614	-14,671231	-0,09310022	-0,010214273	-0,0071000755	-0,014290166
41737	40,400391	-16,428614	-16,594997	-0,10279082	-0,011795942	-0,0082916766	-0,01617733
41737	40,900391	-18,378614	-18,530041	-0,1124993	-0,013286335	-0,0096380413	-0,017807446
41737	41,400391	-20,328613	-20,44293	-0,12198314	-0,014820632	-0,011017166	-0,019445214
41737	41,900391	-22,278614	-22,395262	-0,13115555	-0,016333049	-0,012317054	-0,021262713
41737	42,400391	-24,228613	-24,354254	-0,13984069	-0,017882893	-0,013743699	-0,022835881
41737	42,900391	-26,178614	-26,292597	-0,14841892	-0,019490786	-0,015163951	-0,024505705
41737	43,400391	-28,128614	-28,210314	-0,15700497	-0,021107459	-0,016495764	-0,026219897
41737	43,900391	-30,078613	-30,173574	-0,16571321	-0,022637239	-0,017889269	-0,027882069
41737	44,400391	-32,028614	-32,117416	-0,17390549	-0,024245655	-0,019339107	-0,029598005
41737	44,900391	-33,978615	-34,096951	-0,1821354	-0,025775727	-0,02078902	-0,031232748
41737	45,400391	-35,928616	-36,07209	-0,190337	-0,027424047	-0,02224382	-0,032828026
