MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	29,318359	s	03.09.2014 08:36:04
Datum : 	03.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	Werner 7.0 M III E-Modul 28d v. 06.08.14 Probe 4
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5350,5
Durchmesser :	98,6
Länge :	300,2
Bediener Information Ende

Datenerfassung						Zeit:	303,68164	s	03.09.2014 08:40:38
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41885	29,828125	-1	-1,0375437	-4,3079705	-0,10909299	0,12848502	0,055802234
41885	30,328125	-1	-1,0314323	-4,307735	-0,10909744	0,12843937	0,055864401
41885	30,828125	-1	-0,99211001	-4,3078718	-0,10912357	0,12842979	0,055811293
41885	31,328125	-1	-0,94872528	-4,3081522	-0,10911551	0,12841441	0,055899329
41885	31,828125	-1	-1,0359511	-4,3079081	-0,1091075	0,12846604	0,055853732
41885	32,328125	-1	-1,0394789	-4,3081431	-0,1091231	0,1283779	0,055822201
41885	32,828125	-1	-0,97293031	-4,3069601	-0,10906988	0,12844425	0,055907778
41885	33,328125	-1	-1,0086186	-4,3074937	-0,10907094	0,12841883	0,055788748
41885	33,828125	-1	-1,0462235	-4,3073506	-0,1090749	0,12842248	0,055824779
41885	34,328125	-1	-1,0326524	-4,3072701	-0,1090498	0,1283375	0,055799879
41885	34,828125	-1	-0,94477832	-4,30758	-0,10901006	0,1284896	0,055901997
41885	35,328125	-1	-1,0483675	-4,3071957	-0,10911851	0,12843753	0,055849783
41885	35,828125	-1	-1,0483824	-4,3083072	-0,10907228	0,12837987	0,055893831
41885	36,328125	-1	-0,9790715	-4,3071957	-0,10908649	0,12854998	0,055899061
41885	36,828125	-1	-0,98794514	-4,3076396	-0,10907158	0,12849388	0,055870347
41885	37,328125	-1	-1,0316484	-4,3079882	-0,10912887	0,12833293	0,055821367
41885	37,828125	-1	-1,0599568	-4,3080301	-0,10912847	0,128342	0,055822812
41885	38,328125	-1	-0,95961988	-4,3074427	-0,10904817	0,128489	0,055928685
41885	38,828125	-1	-0,98439121	-4,3071566	-0,1091169	0,12834319	0,055885218
41885	39,328125	-1	-1,0789633	-4,3077412	-0,10901643	0,12831946	0,055809103
41885	39,828125	-2,7748048	-2,6735981	-0,0067055225	-0,00050859526	-0,00025849012	-0,00072582066
41885	40,328125	-4,7248049	-4,464416	-0,015440583	-0,0009778291	-0,00085350819	-0,0015509129
41885	40,828125	-6,6748047	-6,2653704	-0,022277236	-0,0014671013	-0,001519901	-0,0022103935
41885	41,328125	-8,6248045	-8,6674442	-0,034445524	-0,0021498166	-0,0021476096	-0,0031540245
41885	41,828125	-10,574805	-10,512124	-0,04105866	-0,0027583279	-0,0027745597	-0,003918916
41885	42,328125	-12,524805	-12,61159	-0,048914552	-0,0033243299	-0,0035306506	-0,0047112331
41885	42,828125	-14,474805	-14,755596	-0,055834651	-0,0040193833	-0,0042362185	-0,0055588484
41885	43,328125	-16,424805	-16,655622	-0,061845779	-0,0045389235	-0,0049254415	-0,0061599165
41885	43,828125	-18,374805	-18,527288	-0,068467855	-0,0051152743	-0,0056828856	-0,0069709346
41885	44,328125	-20,324804	-20,427958	-0,074672699	-0,0056485012	-0,0063818353	-0,007576108
41885	44,828125	-22,274805	-22,481131	-0,079911947	-0,006274458	-0,0072090183	-0,0083633885
41885	45,328125	-24,224806	-24,332409	-0,086212158	-0,0068871528	-0,0078768991	-0,009033978
41885	45,828125	-26,174805	-26,210243	-0,090757012	-0,0074678995	-0,0087653585	-0,0097079277
41885	46,328125	-28,124805	-28,208122	-0,096571445	-0,0080453046	-0,0094477097	-0,010426834
41885	46,828125	-30,074806	-30,220627	-0,10220706	-0,0087183081	-0,010266913	-0,011158854
41885	47,328125	-32,024807	-32,139774	-0,10685921	-0,0093165264	-0,011170112	-0,011874914
41885	47,828125	-33,974804	-33,981152	-0,11288226	-0,0098810829	-0,011753403	-0,012428164
41885	48,328125	-35,924805	-36,066292	-0,11838973	-0,01057896	-0,012659308	-0,013280027
41885	48,828125	-37,874805	-37,994419	-0,12299418	-0,011192176	-0,013472273	-0,013889231
41885	49,328125	-39,824806	-39,837261	-0,1285702	-0,011779588	-0,014200484	-0,014586881
41885	49,828125	-41,774807	-41,805977	-0,13361871	-0,012354497	-0,014994018	-0,015351176
41885	50,328125	-43,724804	-43,840427	-0,13813376	-0,013093587	-0,015879748	-0,01605425
41885	50,828125	-45,674805	-45,806637	-0,143525	-0,013675923	-0,016689403	-0,016792603
41885	51,328125	-47,624805	-47,604988	-0,14845431	-0,014301553	-0,017523108	-0,017395988
41885	51,828125	-49,574806	-49,659336	-0,15355945	-0,014935955	-0,018348945	-0,018209592
41885	52,328125	-51,524807	-51,663414	-0,15849769	-0,015699437	-0,019110152	-0,018853478
41885	52,828125	-53,474808	-53,591835	-0,16264319	-0,016284909	-0,019880395	-0,019628793
41885	53,328125	-55,424805	-55,412914	-0,16738176	-0,016878055	-0,020860361	-0,020218991
41885	53,828125	-57,374805	-57,469727	-0,17221272	-0,017615627	-0,021725848	-0,021002807
41885	54,328125	-59,324806	-59,473503	-0,17742813	-0,018252373	-0,022506963	-0,021669738
41885	54,828125	-61,274807	-61,29438	-0,18231869	-0,018935503	-0,023340639	-0,022399478
41885	55,328125	-63,224808	-63,212868	-0,18712282	-0,019536851	-0,024227811	-0,023034789
41885	55,828125	-65,174805	-65,342064	-0,19179583	-0,02029307	-0,024975529	-0,023833185
41885	56,328125	-67,124809	-67,226143	-0,19643903	-0,020918	-0,025766965	-0,024531573
41885	56,828125	-69,074806	-69,095848	-0,20093322	-0,02158827	-0,026612584	-0,02518899
41885	57,328125	-71,024803	-71,101097	-0,20487309	-0,022284983	-0,027490089	-0,025964469
41885	57,828125	-72,974808	-73,123329	-0,20996034	-0,022973774	-0,028315732	-0,026650041
41885	58,328125	-74,924805	-74,977753	-0,21471977	-0,023549771	-0,02923408	-0,027364708
41885	58,828125	-76,874809	-76,850662	-0,22026598	-0,024216488	-0,029927384	-0,027958401
41885	59,328125	-78,824806	-78,891235	-0,22354126	-0,024972396	-0,030739449	-0,02877786
41885	59,828125	-80,774803	-80,857101	-0,22903383	-0,025656525	-0,031657774	-0,029449672
41885	60,328125	-82,724808	-82,732826	-0,23331344	-0,026312193	-0,032411501	-0,030195475
41885	60,828125	-84,674805	-84,712692	-0,23787916	-0,027006958	-0,033299863	-0,030877508
41885	61,328125	-86,624809	-86,74675	-0,24267137	-0,027722044	-0,034206405	-0,031635046
41885	61,828125	-88,574806	-88,643127	-0,24780631	-0,028386813	-0,034997523	-0,032313675
41885	62,328125	-90,524803	-90,495438	-0,25123954	-0,029100148	-0,035875898	-0,033015817
41885	62,828125	-92,474808	-92,580795	-0,25699437	-0,02981852	-0,036798999	-0,03375081
41885	63,328125	-94,424805	-94,55912	-0,26025176	-0,030589532	-0,03766102	-0,034520604
41885	63,828125	-96,374809	-96,413429	-0,26566386	-0,031212663	-0,03841253	-0,035185114
41885	64,328125	-98,324806	-98,325546	-0,27023554	-0,031866442	-0,039317846	-0,035912044
41885	64,828125	-100,27481	-100,36836	-0,27378201	-0,032717586	-0,040239852	-0,036707334
41885	65,328125	-102,22481	-102,32517	-0,27850568	-0,033408701	-0,041066591	-0,037354849
41885	65,828125	-104,1748	-104,15213	-0,28240979	-0,034021821	-0,041894406	-0,038050063
41885	66,328125	-106,12481	-106,16129	-0,28723478	-0,034801535	-0,042758875	-0,038868636
41885	66,828125	-108,07481	-108,19493	-0,29138625	-0,035526924	-0,043601461	-0,039506391
