MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	13,839844	s	03.09.2014 09:30:43
Datum : 	03.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	Werner 7.0 M IV E-Modul 28d v. 06.08.14 Probe 6
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5335,7
Durchmesser :	98,6
Länge :	300,4
Bediener Information Ende

Datenerfassung						Zeit:	283,13086	s	03.09.2014 09:35:12
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41885	14,349609	-1	-0,97091126	0,013068318	0,33460075	-0,10618279	-0,021321651
41885	14,849609	-1	-1,0100771	0,012612343	0,33457774	-0,10621617	-0,021289393
41885	15,349609	-1	-1,0470897	0,0123173	0,33455873	-0,10613171	-0,021361534
41885	15,849609	-1	-0,96757895	0,012269616	0,33467698	-0,10621051	-0,021281563
41885	16,349609	-1	-0,96910822	0,012353063	0,33457798	-0,10618284	-0,021332618
41885	16,849609	-1	-0,9657461	0,011900067	0,33462977	-0,10614886	-0,0212963
41885	17,349609	-1	-1,0085628	0,01270175	0,33459789	-0,10621262	-0,021300439
41885	17,849609	-1	-1,0701846	0,013023615	0,33456165	-0,10628935	-0,021367606
41885	18,349609	-1	-0,98846292	0,013080239	0,33456266	-0,10623559	-0,021285798
41885	18,849609	-1	-0,94924867	0,01269877	0,33462703	-0,10612419	-0,021300633
41885	19,349609	-1	-0,98681819	0,012770295	0,33465427	-0,10619435	-0,021326877
41885	19,849609	-1	-1,0178089	0,012055039	0,33461004	-0,10619757	-0,021318406
41885	20,349609	-1	-1,0546688	0,012725592	0,33459944	-0,10626282	-0,02133942
41885	20,849609	-1	-0,9862054	0,011926889	0,33453274	-0,10616081	-0,021342583
41885	21,349609	-1	-0,95015949	0,012549758	0,33459991	-0,1060881	-0,021251462
41885	21,849609	-1	-1,0094177	0,013113022	0,33462334	-0,10598676	-0,02132218
41885	22,349609	-1	-1,0437369	0,011909008	0,33462936	-0,10627281	-0,021323081
41885	22,849609	-1	-1,0339562	0,012153387	0,33453351	-0,10610662	-0,021254938
41885	23,349609	-1	-0,98972023	0,012820959	0,33457273	-0,1061629	-0,021356042
41885	23,849609	-1	-0,96326697	0,013542175	0,33464229	-0,10611135	-0,021259371
41885	24,349609	-2,7748048	-2,6877577	-0,0082135201	-0,00053471327	-0,00087267929	-0,00050642714
41885	24,849609	-4,7248049	-4,366724	-0,016573071	-0,0010606647	-0,001463518	-0,0010648035
41885	25,349609	-6,6748047	-6,6837296	-0,027340651	-0,0017336011	-0,0023917884	-0,0017118081
41885	25,849609	-8,6248045	-8,5686874	-0,036925077	-0,0023406148	-0,0031592161	-0,0024381615
41885	26,349609	-10,574805	-10,594436	-0,044673681	-0,0029150248	-0,003880278	-0,0031130761
41885	26,849609	-12,524805	-12,729175	-0,053372979	-0,0036504567	-0,0048444625	-0,0038833618
41885	27,349609	-14,474805	-14,729859	-0,06094873	-0,0043851733	-0,0055989581	-0,0045135431
41885	27,849609	-16,424805	-16,653757	-0,066542625	-0,0049561262	-0,006313175	-0,0050788894
41885	28,349609	-18,374805	-18,570091	-0,072786212	-0,0056726933	-0,0070766723	-0,0057936832
41885	28,849609	-20,324804	-20,403727	-0,079023838	-0,0063364506	-0,007935877	-0,0063624643
41885	29,349609	-22,274805	-22,39966	-0,084772706	-0,0070378482	-0,0087002711	-0,0070977658
41885	29,849609	-24,224806	-24,378305	-0,090292096	-0,0077792108	-0,0094246976	-0,0077412315
41885	30,349609	-26,174805	-26,346375	-0,096365809	-0,0084594786	-0,010311543	-0,0084175244
41885	30,849609	-28,124805	-28,199661	-0,10204613	-0,00919348	-0,011087355	-0,009044461
41885	31,349609	-30,074806	-30,099522	-0,10814369	-0,0099086761	-0,011867778	-0,0096454993
41885	31,849609	-32,024807	-32,118805	-0,11394322	-0,010684729	-0,012785356	-0,010439757
41885	32,349609	-33,974804	-34,100636	-0,11771917	-0,01140058	-0,013613728	-0,011013165
41885	32,849609	-35,924805	-36,101704	-0,12378395	-0,01214689	-0,01442724	-0,01183328
41885	33,349609	-37,874805	-37,919834	-0,12922585	-0,01285854	-0,015207425	-0,012376163
41885	33,849609	-39,824806	-39,841053	-0,13483465	-0,013502657	-0,016011301	-0,01299377
