MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	43,810547	s	28.01.2015 10:56:24
Datum : 	28.02.2014
Prüfer : 	Kh
Probenbezeichnung :  	Wolf 8.2 Probe 1
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5328
Durchmesser :	98,6
Länge :	300,2
Bediener Information Ende

Datenerfassung						Zeit:	308,25977	s	28.01.2015 11:00:49
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
42032	44,320313	-1	-0,99271721	0,050312281	-0,63361502	-0,024743652	-0,0090819895
42032	44,820313	-1	-0,98179466	0,049158931	-0,6336714	-0,024742862	-0,0090964362
42032	45,320313	-1	-0,97336435	0,049987435	-0,6335935	-0,024664685	-0,0090515725
42032	45,820313	-1	-1,0084566	0,049802661	-0,63362849	-0,024773765	-0,00914561
42032	46,320313	-1	-0,96955335	0,049963593	-0,63361961	-0,024661867	-0,009041898
42032	46,820313	-1	-1,0257121	0,049942732	-0,63366574	-0,024737518	-0,0091491453
42032	47,320313	-1	-0,96826071	0,050136447	-0,63360596	-0,024737382	-0,0090508796
42032	47,820313	-1	-1,0294579	0,049495697	-0,63356769	-0,024695389	-0,0091809928
42032	48,320313	-1	-0,97800606	0,049892068	-0,63358301	-0,024736103	-0,0090785921
42032	48,820313	-1	-1,0057669	0,049743056	-0,63363492	-0,024680952	-0,0091463365
42032	49,320313	-1	-0,9733271	0,049641728	-0,63355416	-0,024739057	-0,0090727806
42032	49,820313	-1	-1,020357	0,049832463	-0,63368154	-0,024762334	-0,0091356859
42032	50,320313	-1	-0,96824205	0,050011277	-0,63360834	-0,024657464	-0,0090504251
42032	50,820313	-1	-1,0290779	0,050097704	-0,63358074	-0,024661608	-0,0091436766
42032	51,320313	-1	-0,97128004	0,050380826	-0,63358986	-0,024704751	-0,0090440698
42032	51,820313	-1	-1,0092016	0,04979074	-0,63361901	-0,024663484	-0,0091286153
42032	52,320313	-1	-0,95832533	0,05005002	-0,6335873	-0,024714239	-0,0090326853
42032	52,820313	-1	-0,99693608	0,050070882	-0,6336261	-0,024651607	-0,0090847313
42032	53,320313	-1	-0,97723675	0,050115585	-0,63358009	-0,024697693	-0,0090867765
42032	53,820313	-1	-0,98449177	0,050151348	-0,6335876	-0,024689686	-0,0090726316
42032	54,320313	-1	-0,98611599	0,049689412	-0,63362539	-0,024717417	-0,009117417
42032	54,820313	-1	-0,97588634	0,050106645	-0,633605	-0,024701087	-0,0090343691
42032	55,320313	-1	-0,97653455	0,049880147	-0,63362581	-0,024652271	-0,0091045946
42032	55,820313	-1	-0,98373181	0,050577521	-0,63352847	-0,024716746	-0,009040501
