MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	20,811523	s	28.01.2015 11:17:28
Datum : 	28.02.2014
Prüfer : 	Kh
Probenbezeichnung :  	Wolf 8.2 Probe 5
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5349,4
Durchmesser :	98,7
Länge :	299,8
Bediener Information Ende

Datenerfassung						Zeit:	268,87793	s	28.01.2015 11:21:36
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
42032	21,321289	-1	-1,0122862	0,99156201	-0,0027055852	0,035080239	0,045732412
42032	21,821289	-1	-1,0441561	0,99078417	-0,0027197562	0,034976758	0,045629945
42032	22,321289	-1	-1,0095463	0,99108517	-0,002679985	0,034937464	0,045663979
42032	22,821289	-1	-0,96186996	0,99084973	-0,0026198216	0,035001457	0,0457187
42032	23,321289	-1	-0,98536539	0,9908855	-0,0027097389	0,034908626	0,045674615
42032	23,821289	-1	-1,0144879	0,99060833	-0,0027535111	0,035056513	0,045747086
42032	24,321289	-1	-1,0258834	0,99132061	-0,002653446	0,034976617	0,045596249
42032	24,821289	-1	-1,0232534	0,9919256	-0,0026188567	0,034953777	0,045616951
42032	25,321289	-1	-1,0178964	0,9912163	-0,0027038977	0,034967668	0,045684613
42032	25,821289	-1	-0,9707678	0,99112391	-0,0026779175	0,034977488	0,04571921
42032	26,321289	-1	-1,0222663	0,99092722	-0,0027018487	0,034977753	0,045710482
42032	26,821289	-1	-1,0347049	0,9911865	-0,0027105324	0,034964763	0,045605373
42032	27,321289	-1	-1,0025017	0,99122524	-0,0026364885	0,034947265	0,04571306
42032	27,821289	-1	-0,93889982	0,99137723	-0,0026454516	0,03499518	0,045691557
42032	28,321289	-1	-0,97638738	0,99149048	-0,0026451759	0,034964856	0,045744397
42032	28,821289	-1	-1,0069572	0,99135339	-0,0026761144	0,035105504	0,045701217
42032	29,321289	-1	-1,0426995	0,99058747	-0,0027727969	0,034968171	0,045572128
42032	29,821289	-1	-1,004627	0,99058747	-0,0027201325	0,034961104	0,045675505
42032	30,321289	-1	-0,98784637	0,99056661	-0,0026968308	0,035011627	0,045670353
42032	30,821289	-1	-0,96136332	0,99151731	-0,0026637502	0,034946825	0,045708027
42032	31,321289	-1	-0,98223239	0,99166036	-0,0026119091	0,035013355	0,045692764
42032	31,821289	-1	-1,0380689	0,99180043	-0,0026938617	0,034959782	0,045617051
42032	32,321289	-1	-1,0427442	0,99098384	-0,0026604608	0,034938667	0,045665458
42032	32,821289	-1	-0,98398888	0,99138618	-0,0026450083	0,035113361	0,045676962
42032	33,321289	-2,4891603	-2,2870247	-0,0092089176	-0,00059036911	-0,00039908316	-0,00027613342
42032	33,821289	-4,4391603	-4,1962266	-0,057181716	-0,001049377	-0,00090267783	-0,001200974
42032	34,321289	-6,3891602	-5,8221164	-0,07442534	-0,0018975921	-0,0010613822	-0,0017950982
42032	34,821289	-8,33916	-8,4841566	-0,089937449	-0,0029497892	-0,0017705011	-0,0028370097
42032	35,321289	-10,289161	-10,318394	-0,099602342	-0,0036907159	-0,0023233434	-0,0034808703
42032	35,821289	-12,239161	-12,31525	-0,1086086	-0,0044690557	-0,0028484368	-0,0042713918
42032	36,321289	-14,18916	-14,309102	-0,11743605	-0,0051842481	-0,0034879842	-0,0050939471
42032	36,821289	-16,13916	-16,309948	-0,12462139	-0,0058749169	-0,0040888325	-0,0058135949
42032	37,321289	-18,089161	-18,282583	-0,13268292	-0,0066697858	-0,0047214972	-0,0065387711
42032	37,821289	-20,03916	-20,276146	-0,13953447	-0,0073663071	-0,0053601675	-0,0073436387
42032	38,321289	-21,989161	-22,169579	-0,14595091	-0,0080634691	-0,0059516565	-0,0081971809
42032	38,821289	-23,939161	-24,047504	-0,15202761	-0,0086672418	-0,0064883917	-0,0089188069
42032	39,321289	-25,88916	-25,947985	-0,15877187	-0,009421587	-0,0071782987	-0,0097589493
42032	39,821289	-27,839161	-27,937437	-0,164482	-0,010098696	-0,0078542251	-0,010494087
42032	40,321289	-29,789162	-29,891342	-0,17061234	-0,010677785	-0,0084403157	-0,011321135
42032	40,821289	-31,739161	-31,844671	-0,17656088	-0,011306841	-0,0092303501	-0,012142405
42032	41,321289	-33,689159	-33,757286	-0,18230379	-0,011997871	-0,0098134698	-0,012975339
42032	41,821289	-35,63916	-35,706776	-0,18780231	-0,012712039	-0,010491381	-0,013808135
42032	42,321289	-37,589161	-37,653389	-0,1930356	-0,013378073	-0,011262513	-0,014600988
42032	42,821289	-39,539162	-39,630257	-0,19882917	-0,014083035	-0,011896807	-0,015349284
42032	43,321289	-41,489162	-41,601345	-0,20396709	-0,014803227	-0,012672861	-0,016172767
42032	43,821289	-43,439159	-43,514637	-0,21000803	-0,015528057	-0,013301153	-0,016959488
42032	44,321289	-45,38916	-45,428829	-0,21499693	-0,016223047	-0,013934844	-0,017802786
42032	44,821289	-47,339161	-47,384827	-0,22013485	-0,016896859	-0,014759813	-0,018625297
42032	45,321289	-49,289162	-49,377937	-0,22590458	-0,017607875	-0,015466567	-0,019539673
42032	45,821289	-51,239162	-51,359459	-0,2309531	-0,018332772	-0,016177302	-0,0202702
42032	46,321289	-53,189163	-53,27327	-0,23605227	-0,019059241	-0,016791904	-0,021111231
42032	46,821289	-55,13916	-55,155392	-0,24104118	-0,019784663	-0,017612172	-0,021849126
42032	47,321289	-57,089161	-57,126945	-0,24693906	-0,020559251	-0,018183643	-0,022754781
42032	47,821289	-59,039162	-59,165756	-0,25184453	-0,02130428	-0,018981922	-0,023649057
42032	48,321289	-60,989162	-61,118568	-0,25669634	-0,02201746	-0,01974722	-0,024445044
42032	48,821289	-62,939163	-63,023491	-0,26161671	-0,022707306	-0,020373829	-0,025188308
42032	49,321289	-64,88916	-64,925339	-0,26651919	-0,0234164	-0,021098785	-0,026041171
42032	49,821289	-66,839165	-66,864906	-0,27167797	-0,024179619	-0,02187931	-0,026852569
42032	50,321289	-68,789162	-68,865379	-0,27709901	-0,024921283	-0,022622013	-0,027690791
42032	50,821289	-70,739159	-70,854057	-0,28215051	-0,025689751	-0,023315161	-0,028495343
42032	51,321289	-72,689163	-72,797272	-0,28707683	-0,026458215	-0,024080426	-0,029448129
42032	51,821289	-74,63916	-74,67688	-0,29210448	-0,02721823	-0,024825737	-0,030269297
42032	52,321289	-76,589165	-76,629242	-0,29630661	-0,027965154	-0,025616171	-0,031042267
42032	52,821289	-78,539162	-78,637314	-0,30174851	-0,028725963	-0,026375746	-0,031886436
42032	53,321289	-80,489159	-80,613785	-0,30679703	-0,029522363	-0,027177315	-0,032783002
42032	53,821289	-82,439163	-82,449799	-0,31135082	-0,030293155	-0,027845573	-0,03353662
42032	54,321289	-84,38916	-84,354332	-0,3154844	-0,030966338	-0,02869173	-0,034291491
42032	54,821289	-86,339165	-86,359344	-0,32078922	-0,031785946	-0,029321767	-0,035197124
42032	55,321289	-88,289162	-88,342194	-0,32651424	-0,032597777	-0,030143948	-0,036104921
42032	55,821289	-90,239159	-90,378853	-0,33109486	-0,03346372	-0,030894933	-0,036962919
42032	56,321289	-92,189163	-92,235306	-0,33533573	-0,034216616	-0,031508043	-0,037809689
42032	56,821289	-94,13916	-94,160126	-0,34046471	-0,034942161	-0,032478817	-0,038685847
42032	57,321289	-96,089165	-96,151787	-0,345698	-0,035746198	-0,033244044	-0,039575234
42032	57,821289	-98,039162	-98,136887	-0,34999251	-0,036580194	-0,034061428	-0,040428288
42032	58,321289	-99,989166	-100,09856	-0,35567582	-0,03731874	-0,034858961	-0,041270565
42032	58,821289	-101,93916	-102,03378	-0,35937428	-0,03817771	-0,035652172	-0,042119529
42032	59,321289	-103,88916	-103,89811	-0,36453307	-0,038900118	-0,03642787	-0,042929977
42032	59,821289	-105,83916	-105,84492	-0,36982298	-0,03971779	-0,037215684	-0,043805048
42032	60,321289	-107,78916	-107,86547	-0,37386119	-0,040495712	-0,038034469	-0,044735439
42032	60,821289	-109,73917	-109,85454	-0,37910938	-0,04131927	-0,038871083	-0,045625556
42032	61,321289	-111,68916	-111,7892	-0,38374364	-0,042159032	-0,039679535	-0,046537444
42032	61,821289	-113,63916	-113,6755	-0,38900375	-0,042974237	-0,04041313	-0,047367286
42032	62,321289	-115,58916	-115,61655	-0,39344728	-0,043804523	-0,041261852	-0,048271138
42032	62,821289	-117,53916	-117,61382	-0,39782524	-0,044598315	-0,042175014	-0,049185559
42032	63,321289	-119,39491	-119,60542	-0,4029274	-0,04545125	-0,042954568	-0,050043225
42032	63,821289	-117,44492	-117,51586	-0,39962232	-0,045001563	-0,042427693	-0,049475826
42032	64,321289	-115,49491	-115,50923	-0,39593279	-0,044399556	-0,041928079	-0,048897531
42032	64,821289	-113,54491	-113,54655	-0,39229095	-0,043901321	-0,041254405	-0,048288904
42032	65,321289	-111,59491	-111,6444	-0,38865507	-0,04328027	-0,040770553	-0,047661196
42032	65,821289	-109,64491	-109,68768	-0,38555562	-0,04274359	-0,040001526	-0,047033407
42032	66,321289	-107,69492	-107,67948	-0,38076043	-0,042164627	-0,039513115	-0,046426099
42032	66,821289	-105,74491	-105,68523	-0,37745833	-0,041539509	-0,038860008	-0,045726739
42032	67,321289	-103,79491	-103,75582	-0,37373006	-0,040866267	-0,038207643	-0,045054875
42032	67,821289	-101,84491	-101,84989	-0,37004352	-0,040329028	-0,037669081	-0,044393189
42032	68,321289	-99,894913	-99,871246	-0,36582351	-0,039701227	-0,037011117	-0,04370299
42032	68,821289	-97,944916	-97,848518	-0,36152899	-0,039011057	-0,036430601	-0,042933136
42032	69,321289	-95,994911	-95,884209	-0,35750866	-0,038423318	-0,035668667	-0,042259511
42032	69,821289	-94,044914	-93,991005	-0,35386682	-0,037798379	-0,035048965	-0,041601297
42032	70,321289	-92,09491	-92,10273	-0,35023391	-0,037200022	-0,034499452	-0,041041851
42032	70,821289	-90,144913	-90,103661	-0,34607351	-0,036514122	-0,033765096	-0,040262867
42032	71,321289	-88,194908	-88,067551	-0,34115613	-0,035853509	-0,033183347	-0,039543841
42032	71,821289	-86,244911	-86,121109	-0,33769608	-0,035160426	-0,032544278	-0,03881447
42032	72,321289	-84,294914	-84,254677	-0,33374429	-0,034519356	-0,031878553	-0,038096689
42032	72,821289	-82,34491	-82,357399	-0,3303051	-0,033932719	-0,031259283	-0,037398435
42032	73,321289	-80,394913	-80,361549	-0,32561123	-0,033247191	-0,030525634	-0,036732465
42032	73,821289	-78,444908	-78,363792	-0,32114089	-0,032530542	-0,029933073	-0,036004998
42032	74,321289	-76,494911	-76,420006	-0,31706989	-0,032027107	-0,029309068	-0,03525487
42032	74,821289	-74,544914	-74,485603	-0,31300485	-0,031335693	-0,028667809	-0,034512829
42032	75,321289	-72,59491	-72,555641	-0,30926466	-0,030603427	-0,02795214	-0,03379875
42032	75,821289	-70,644913	-70,571579	-0,3040731	-0,030027907	-0,027303901	-0,033063322
42032	76,321289	-68,694908	-68,582291	-0,2995491	-0,029293057	-0,026662225	-0,0323181
42032	76,821289	-66,744911	-66,676384	-0,29570758	-0,028679591	-0,026010402	-0,031585243
42032	77,321289	-64,794914	-64,730972	-0,29095709	-0,027966093	-0,025333725	-0,030779859
42032	77,821289	-62,84491	-62,793392	-0,28687418	-0,027310818	-0,024705434	-0,030016733
42032	78,321289	-60,894913	-60,779163	-0,2820462	-0,026657078	-0,023938503	-0,029189989
42032	78,821289	-58,944912	-58,805771	-0,27726889	-0,025906857	-0,023343541	-0,028424136
42032	79,321289	-56,994911	-56,961029	-0,2725333	-0,025270056	-0,022669457	-0,027691599
42032	79,821289	-55,04491	-55,037518	-0,2674669	-0,024660461	-0,022088254	-0,026926678
42032	80,321289	-53,09491	-53,036419	-0,26200414	-0,023942292	-0,021420715	-0,026070224
42032	80,821289	-51,144913	-51,043865	-0,25719404	-0,023233134	-0,020775279	-0,025246937
42032	81,321289	-49,194912	-49,041378	-0,25240481	-0,022528037	-0,020076942	-0,024337089
42032	81,821289	-47,244911	-47,192413	-0,2471447	-0,021893989	-0,019429782	-0,023604838
42032	82,321289	-45,29491	-45,299702	-0,24271607	-0,021175902	-0,01882251	-0,022868527
42032	82,821289	-43,34491	-43,268974	-0,23742616	-0,020512603	-0,018298026	-0,021934811
42032	83,321289	-41,394909	-41,257797	-0,23116171	-0,019807465	-0,017466674	-0,02110968
42032	83,821289	-39,444912	-39,336117	-0,22599697	-0,019075356	-0,016815815	-0,020239264
42032	84,321289	-37,494911	-37,460186	-0,22129714	-0,018396888	-0,016123096	-0,01940779
42032	84,821289	-35,54491	-35,545494	-0,21600127	-0,017699379	-0,015458572	-0,018644052
42032	85,321289	-33,59491	-33,519955	-0,21002889	-0,017001566	-0,014886902	-0,017766543
42032	85,821289	-31,644911	-31,505768	-0,20483434	-0,01625457	-0,014079631	-0,016779721
42032	86,321289	-29,69491	-29,620306	-0,19969642	-0,015584949	-0,013531608	-0,015975047
