MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	19,257813	s	30.06.2023 07:43:40
Datum	30.6.2023
Probe	Pittrich TP2_CEM I_420_oF 30.5.23 Druck Probe 2
Prüfer: 	Be
Masse	5387,4
Länge	299,7
Durchmesser	99,1
Bediener Information Ende

Datenerfassung						Zeit:	117,35645	s	30.06.2023 07:45:18
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,96850097	0,23248978
-1,0706604	-327,39413

Datenerfassung						Zeit:	117,36328	s	30.06.2023 07:45:18
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
45107	0,35910356	31,549805	-1,7617188	-4,3286271	0,00030398369
45107	0,35910589	31,75	-2,5424805	-4,4751039	-0,00029802322
45107	0,35910821	31,950195	-3,3232422	-4,8185682	-0,0018641353
45107	0,35911053	32,150391	-4,1040039	-5,1863976	-0,0037878752
45107	0,35911283	32,350586	-4,8847656	-5,6400466	-0,0074461102
45107	0,35911515	32,550781	-5,6655273	-6,1874485	-0,010073185
45107	0,35911748	32,750977	-6,4462891	-6,7702847	-0,013561547
45107	0,3591198	32,951172	-7,2270508	-7,3985944	-0,017148256
45107	0,3591221	33,151367	-8,0078125	-8,2210493	-0,021596253
45107	0,35912442	33,351563	-8,7885742	-9,1768703	-0,026270747
45107	0,35912675	33,551758	-9,5693359	-10,164585	-0,032293797
45107	0,35912907	33,751953	-10,350098	-11,353307	-0,037051737
45107	0,35913137	33,952148	-11,130859	-12,163754	-0,041629374
45107	0,35913369	34,152344	-11,911621	-12,909226	-0,045140088
45107	0,35913602	34,352539	-12,692383	-13,599367	-0,047796965
45107	0,35913834	34,552734	-13,473145	-14,297585	-0,050953031
45107	0,35914063	34,75293	-14,253906	-15,040396	-0,054293871
45107	0,35914296	34,953125	-15,034668	-15,747595	-0,057305396
45107	0,35914528	35,15332	-15,81543	-16,476934	-0,060945749
45107	0,35914761	35,353516	-16,596191	-17,213509	-0,063218176
45107	0,3591499	35,553711	-17,376953	-17,918451	-0,066319108
45107	0,35915223	35,753906	-18,157715	-18,685162	-0,069719553
45107	0,35915455	35,954102	-18,938477	-19,446884	-0,070945919
45107	0,35915688	36,154297	-19,719238	-20,13891	-0,074629486
45107	0,35915917	36,354492	-20,5	-20,905313	-0,077022612
45107	0,3591615	36,554688	-21,280762	-21,633934	-0,079877675
45107	0,35916382	36,754883	-22,061523	-22,409601	-0,082275271
45107	0,35916615	36,955078	-22,842285	-23,188002	-0,084403157
45107	0,35916844	37,155273	-23,623047	-23,915945	-0,087043643
45107	0,35917076	37,355469	-24,403809	-24,697355	-0,090108812
45107	0,35917309	37,555664	-25,18457	-25,424286	-0,092348456
45107	0,35917541	37,755859	-25,965332	-26,178175	-0,094464421
45107	0,35917771	37,956055	-26,746094	-26,981577	-0,096945465
45107	0,35918003	38,15625	-27,526855	-27,75585	-0,099407136
45107	0,35918236	38,356445	-28,307617	-28,503113	-0,10188967
45107	0,35918468	38,556641	-29,088379	-29,277639	-0,10490865
45107	0,35918698	38,756836	-29,869141	-30,033138	-0,10713935
45107	0,3591893	38,957031	-30,649902	-30,840466	-0,10958761
45107	0,35919163	39,157227	-31,430664	-31,5968	-0,1108095
45107	0,35919395	39,357422	-32,211426	-32,328167	-0,11376143
45107	0,35919625	39,557617	-32,992188	-33,115742	-0,11530817
45107	0,35919857	39,757813	-33,772949	-33,879494	-0,11803359
45107	0,35920089	39,958008	-34,553711	-34,67025	-0,12042373
45107	0,35920322	40,158203	-35,334473	-35,433701	-0,12278259
45107	0,35920551	40,358398	-36,115234	-36,207325	-0,12479722
45107	0,35920784	40,558594	-36,895996	-36,98822	-0,12770593
45107	0,35921016	40,758789	-37,676758	-37,745838	-0,12965649
45107	0,35921249	40,958984	-38,45752	-38,535969	-0,13154745
45107	0,35921478	41,15918	-39,238281	-39,32431	-0,13318062
45107	0,35921711	41,359375	-40,019043	-40,089966	-0,13565868
45107	0,35921943	41,55957	-40,799805	-40,885906	-0,13740361
45107	0,35922176	41,759766	-41,580566	-41,643375	-0,13943315
45107	0,35922405	41,959961	-42,361328	-42,413029	-0,14223903
45107	0,35922638	42,160156	-43,14209	-43,211895	-0,14477074
45107	0,3592287	42,360352	-43,922852	-43,995712	-0,14599413
45107	0,35923102	42,560547	-44,703613	-44,762444	-0,14862865
45107	0,35923332	42,760742	-45,484375	-45,509022	-0,15016049
45107	0,35923564	42,960938	-46,265137	-46,286015	-0,1527369
45107	0,35923797	43,161133	-47,045898	-47,103882	-0,15478134
45107	0,35924029	43,361328	-47,82666	-47,879227	-0,15683025
45107	0,35924259	43,561523	-48,607422	-48,686501	-0,15909523
45107	0,35924491	43,761719	-49,388184	-49,411594	-0,1614064
45107	0,35924724	43,961914	-50,168945	-50,192287	-0,16322881
45107	0,35924956	44,162109	-50,949707	-50,990421	-0,1651302
45107	0,35925186	44,362305	-51,730469	-51,736073	-0,16688854
45107	0,35925418	44,5625	-52,51123	-52,508991	-0,16866028
45107	0,35925651	44,762695	-53,291992	-53,2672	-0,17089397
45107	0,35925883	44,962891	-54,072754	-54,0438	-0,17289221
45107	0,35926113	45,163086	-54,853516	-54,870083	-0,17500818
45107	0,35926345	45,363281	-55,634277	-55,621796	-0,17752796
45107	0,35926577	45,563477	-56,415039	-56,429634	-0,17910898
45107	0,3592681	45,763672	-57,195801	-57,132889	-0,18129945
45107	0,35927039	45,963867	-57,976563	-57,942673	-0,18343478
45107	0,35927272	46,164063	-58,757324	-58,750858	-0,18463731
45107	0,35927504	46,364258	-59,538086	-59,515179	-0,18749386
45107	0,35927737	46,564453	-60,318848	-60,29789	-0,1891166
45107	0,35927966	46,764648	-61,099609	-61,06443	-0,1913324
45107	0,35928199	46,964844	-61,880371	-61,846767	-0,19295067
45107	0,35928431	47,165039	-62,661133	-62,625645	-0,19479394
45107	0,35928664	47,365234	-63,441895	-63,42524	-0,19690245
45107	0,35928893	47,56543	-64,222656	-64,184288	-0,19907057
45107	0,35929126	47,765625	-65,003418	-64,972946	-0,20098686
45107	0,35929358	47,96582	-65,78418	-65,739388	-0,20346791
45107	0,3592959	48,166016	-66,564941	-66,505852	-0,20511597
45107	0,3592982	48,366211	-67,345703	-67,361893	-0,20647049
45107	0,35930052	48,566406	-68,126465	-68,098701	-0,20876974
45107	0,35930285	48,766602	-68,907227	-68,894112	-0,21134913
45107	0,35930517	48,966797	-69,687988	-69,638138	-0,21293759
45107	0,35930747	49,166992	-70,46875	-70,444717	-0,21582693
45107	0,35930979	49,367188	-71,249512	-71,238258	-0,21718591
45107	0,35931212	49,567383	-72,030273	-72,041367	-0,21910518
45107	0,35931444	49,767578	-72,811035	-72,795525	-0,22086501
45107	0,35931674	49,967773	-73,591797	-73,587105	-0,22276789
45107	0,35931906	50,167969	-74,372559	-74,340927	-0,22446662
45107	0,35932139	50,368164	-75,15332	-75,161697	-0,22711903
45107	0,35932371	50,568359	-75,934082	-75,955467	-0,22899657
45107	0,359326	50,768555	-76,714844	-76,680794	-0,23063421
45107	0,35932833	50,96875	-77,495605	-77,480568	-0,23254305
45107	0,35933065	51,168945	-78,276367	-78,222855	-0,2344206
45107	0,35933298	51,369141	-79,057129	-79,023598	-0,23643225
45107	0,35933527	51,569336	-79,837891	-79,826286	-0,23868382
45107	0,3593376	51,769531	-80,618652	-80,597855	-0,24033338
45107	0,35933992	51,969727	-81,399414	-81,405449	-0,24168193
45107	0,35934225	52,169922	-82,180176	-82,13797	-0,24433285
45107	0,35934454	52,370117	-82,960938	-82,947159	-0,24607182
45107	0,35934687	52,570313	-83,741699	-83,758644	-0,2487421
45107	0,35934919	52,770508	-84,522461	-84,529488	-0,25006831
45107	0,35935152	52,970703	-85,303223	-85,304169	-0,25167763
45107	0,35935381	53,170898	-86,083984	-86,067955	-0,25378764
45107	0,35935614	53,371094	-86,864746	-86,848076	-0,25596023
45107	0,35935846	53,571289	-87,645508	-87,628288	-0,25804937
45107	0,35936078	53,771484	-88,42627	-88,402191	-0,2595678
45107	0,35936308	53,97168	-89,207031	-89,175774	-0,2615869
45107	0,3593654	54,171875	-89,987793	-89,946266	-0,26369244
45107	0,35936773	54,37207	-90,768555	-90,74501	-0,26526153
45107	0,35937005	54,572266	-91,549316	-91,545708	-0,26702583
45107	0,35937235	54,772461	-92,330078	-92,314438	-0,2694726
45107	0,35937467	54,972656	-93,11084	-93,064491	-0,27162731
45107	0,359377	55,172852	-93,891602	-93,866013	-0,272955
45107	0,35937929	55,373047	-94,672363	-94,669044	-0,27478635
45107	0,35938162	55,573242	-95,453125	-95,426018	-0,27744621
45107	0,35938394	55,773438	-96,233887	-96,201889	-0,27985871
45107	0,35938627	55,973633	-97,014648	-96,962448	-0,28132796
45107	0,35938856	56,173828	-97,79541	-97,778084	-0,28324872
45107	0,35939088	56,374023	-98,576172	-98,534866	-0,28426349
45107	0,35939321	56,574219	-99,356934	-99,363037	-0,2869308
45107	0,35939553	56,774414	-100,1377	-100,09944	-0,28865188
45107	0,35939783	56,974609	-100,91846	-100,89185	-0,28998703
45107	0,35940015	57,174805	-101,69922	-101,69965	-0,2927646
45107	0,35940248	57,375	-102,47998	-102,46436	-0,29415637
45107	0,3594048	57,575195	-103,26074	-103,27683	-0,29630512
45107	0,3594071	57,775391	-104,0415	-104,01528	-0,29863715
45107	0,35940942	57,975586	-104,82227	-104,81479	-0,29951483
45107	0,35941175	58,175781	-105,60303	-105,61199	-0,30208379
45107	0,35941407	58,375977	-106,38379	-106,35661	-0,30386299
45107	0,35941637	58,576172	-107,16455	-107,15079	-0,30568093
45107	0,35941869	58,776367	-107,94531	-107,91087	-0,30811876
45107	0,35942101	58,976563	-108,72607	-108,71555	-0,30969828
45107	0,35942334	59,176758	-109,50684	-109,51737	-0,31106472
45107	0,35942563	59,376953	-110,2876	-110,25663	-0,31308532
45107	0,35942796	59,577148	-111,06836	-111,06506	-0,31534433
45107	0,35943028	59,777344	-111,84912	-111,84992	-0,31757206
45107	0,35943261	59,977539	-112,62988	-112,62486	-0,31925291
45107	0,3594349	60,177734	-113,41064	-113,43233	-0,32183677
45107	0,35943723	60,37793	-114,19141	-114,16197	-0,32310188
45107	0,35943955	60,578125	-114,97217	-114,95786	-0,32471418
45107	0,35944188	60,77832	-115,75293	-115,70757	-0,32631457
45107	0,35944417	60,978516	-116,53369	-116,48651	-0,32919049
45107	0,3594465	61,178711	-117,31445	-117,32339	-0,33073574
45107	0,35944882	61,378906	-118,09521	-118,07636	-0,33253431
45107	0,35945114	61,579102	-118,87598	-118,87138	-0,33481717
45107	0,35945344	61,779297	-119,65674	-119,63718	-0,33631623
45107	0,35945576	61,979492	-120,4375	-120,41333	-0,338687
45107	0,35945809	62,179688	-121,21826	-121,23766	-0,33964664
45107	0,35946041	62,379883	-121,99902	-121,97583	-0,34185648
45107	0,35946271	62,580078	-122,77979	-122,79646	-0,34342408
