MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Datenerfassung						Zeit:	420,04688	s	30.06.2023 08:15:07
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1470533	1470534	1281068
d	s	kN	kN	mm	mm	mm	mm
45107	371,875	-3,9000001	-3,8485975	-0,042285025	5,4652923e-05	8,0093741e-08	0,00025884149
45107	372,0752	-3,9000001	-3,8897843	-0,042571127	1,0667629e-05	-7,2197989e-05	4,2921183e-05
45107	372,27539	-3,9000001	-3,8647559	-0,042706728	3,2271819e-05	4,6160072e-05	0,00023903642
45107	372,47559	-3,9000001	-3,8648396	-0,042839348	3,1106447e-05	-1,6724691e-05	0,00016363294
45107	372,67578	-3,9000001	-3,8536358	-0,0424698	8,5400796e-05	5,0656497e-05	0,00012513643
45107	372,87598	-4,6693358	-4,3286662	-0,044833124	-0,00011202505	-9,5427036e-05	-7,7556331e-05
45107	373,07617	-5,4500976	-4,8745294	-0,047178566	-0,0002950182	-0,00036084838	-0,00020088942
45107	373,27637	-6,2308598	-5,0766988	-0,048550963	-0,00044185499	-0,00042753108	-0,00040800127
45107	373,47656	-7,0116215	-5,8186836	-0,051490963	-0,00072016951	-0,00059883855	-0,00077347551
45107	373,67676	-7,7923832	-7,5079446	-0,060792267	-0,0013866423	-0,0012519863	-0,0012697119
45107	373,87695	-8,5731449	-8,3736382	-0,064516068	-0,0016903561	-0,0014827941	-0,0016323937
45107	374,07715	-9,3539066	-9,2377939	-0,068800151	-0,0020819507	-0,0017909389	-0,0021306258
45107	374,27734	-10,134668	-9,9906864	-0,072877109	-0,002418444	-0,0018954035	-0,0023923879
45107	374,47754	-10,91543	-10,797144	-0,076799095	-0,0027696092	-0,0022010673	-0,0027250971
45107	374,67773	-11,696192	-11,583105	-0,078438222	-0,0030326545	-0,0024999548	-0,0030905695
45107	374,87793	-12,476954	-12,401005	-0,082755089	-0,003491004	-0,0027737301	-0,0035541283
45107	375,07813	-13,257715	-13,150928	-0,086119771	-0,0038080746	-0,0030138958	-0,0036858127
45107	375,27832	-14,038477	-13,937517	-0,089365244	-0,0040767374	-0,0033224802	-0,0042381249
45107	375,47852	-14,819239	-14,727678	-0,092917681	-0,0044793584	-0,0035194885	-0,0045367628
45107	375,67871	-15,6	-15,501911	-0,094777346	-0,0046892744	-0,0037465263	-0,004818989
45107	375,87891	-16,380762	-16,302521	-0,098374486	-0,0051548854	-0,0041242111	-0,0051752217
45107	376,0791	-17,161524	-17,059135	-0,10128319	-0,005377023	-0,0042857248	-0,0056031467
45107	376,2793	-17,942286	-17,87245	-0,10501593	-0,005688177	-0,0045360867	-0,0059444536
45107	376,47949	-18,723047	-18,623407	-0,10692924	-0,0061574928	-0,0047653299	-0,0061783711
45107	376,67969	-19,503809	-19,426704	-0,11015087	-0,0065146345	-0,0050649811	-0,0066228951
45107	376,87988	-20,284571	-20,21386	-0,11305511	-0,0067691333	-0,0053230692	-0,0069909417
45107	377,08008	-21,065332	-20,97402	-0,11535287	-0,007078405	-0,0055645797	-0,0071603395
45107	377,28027	-21,846094	-21,734182	-0,11785477	-0,0073202346	-0,0058807377	-0,0075253416
45107	377,48047	-22,626856	-22,596823	-0,12135208	-0,0077883252	-0,0060569886	-0,00817376
45107	377,68066	-23,407618	-23,333866	-0,12420267	-0,0080507733	-0,0063994098	-0,0083634667
45107	377,88086	-24,188379	-24,108608	-0,12663752	-0,0084259324	-0,0065901075	-0,0086197006
45107	378,08105	-24,969141	-24,912426	-0,12981594	-0,0086434688	-0,0068572145	-0,0091367355
45107	378,28125	-25,749903	-25,712992	-0,13215542	-0,0090279812	-0,007164726	-0,0095328977
