MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	20,342773	s	30.06.2023 08:08:27
Datum	30.6.2023
Prüfer	Mac, Sc
Probe 	Pittrich TP2_CEM I_420_oF 30.5.23 Druck E-Modul 5
Masse	5381,2
Länge	300,0
Durchmesser	99,0
Bediener Information Ende

Datenerfassung						Zeit:	469,87109	s	30.06.2023 08:15:57
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1470533	1470534	1281068
d	s	kN	kN	mm	mm	mm	mm
45107	20,851563	-0,35932016	-0,0056475401	4,9915972	0,56137502	0,71250826	0,58407092
45107	21,351563	-0,7510289	-0,004934147	4,9490809	0,56147534	0,71251583	0,58468992
45107	21,851563	-1,1427376	-0,007238239	4,8733025	0,56153721	0,71252787	0,58404374
45107	22,351563	-1,5344465	0,0098291785	4,7632189	0,56147903	0,71260756	0,58459955
45107	22,851563	-1,9261552	-0,02477318	4,6153994	0,56147796	0,7124576	0,58412045
45107	23,351563	-2,3178639	0,0028386712	4,4323831	0,5615226	0,71254867	0,58452815
45107	23,851563	-2,7095728	-0,0073760748	4,2093129	0,56150222	0,71255106	0,58409321
45107	24,351563	-3,1012814	-0,0074710697	3,9485483	0,56150299	0,71254992	0,58448374
45107	24,851563	-3,4929903	0,014757738	3,6560833	0,56150717	0,71256566	0,58415902
45107	25,351563	-3,8846989	0,0071823597	3,3271761	0,56148994	0,71258247	0,58437002
45107	25,851563	-3,9000001	0,0050850213	2,9678345	0,56149852	0,71248889	0,58419108
45107	26,351563	-3,9000001	-0,016828999	2,5908322	0,56147295	0,71250826	0,58439803
45107	26,851563	-3,9000001	-0,0086221844	2,2002816	0,56152636	0,71258175	0,58430314
45107	27,351563	-3,9000001	-0,0043641776	1,8006057	0,56152219	0,71246153	0,58439708
45107	27,851563	-3,9000001	-0,028157607	1,3897628	0,56142509	0,71251488	0,58433819
45107	28,351563	-3,9000001	-0,02082251	0,96990466	0,56150562	0,71256942	0,58448756
45107	28,851563	-3,9000001	-3,3489895	0,57441294	0,56154376	0,71225953	0,58474737
45107	29,351563	-3,9000001	-5,3225923	0,55811554	0,56157517	0,71207392	0,58386743
45107	29,851563	-3,9000001	-5,425066	0,55704713	0,56149995	0,71209854	0,58479154
45107	30,351563	-3,9000001	-5,4248385	0,55726022	0,56160098	0,71205509	0,58385468
45107	30,851563	-3,9000001	-5,4553394	0,55726618	0,56159115	0,71208078	0,58479118
45107	31,351563	-3,9000001	-5,4422655	0,55748671	0,56158042	0,7120266	0,58382857
45107	31,851563	-3,9000001	-5,3709393	0,55763572	0,56160092	0,71207434	0,58482981
45107	32,351563	-3,9000001	-5,3492675	0,55782199	0,56153047	0,71209717	0,58392793
45107	32,851563	-3,9000001	-5,3269768	0,55804551	0,5615449	0,71211326	0,5847854
45107	33,351563	-3,9000001	-5,2515531	0,55839568	0,56151789	0,71208107	0,58389574
45107	33,851563	-3,9000001	-5,2133837	0,55832416	0,56156248	0,71207863	0,58474302
45107	34,351563	-3,9000001	-5,1816964	0,55889636	0,56153774	0,71211737	0,58384275
