MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	17,945313	s	11.07.2023 10:04:06
Datum	11.7.2023
Probe	TP2_CEMII-A-LL_420_oF Druck Probe 2
Prüfer: 	Be
Masse	5317,1
Länge	300,2
Durchmesser	99,0
Bediener Information Ende

Datenerfassung						Zeit:	119,36719	s	11.07.2023 10:05:47
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,96218884	1,1065493
-1,1488318	-333,55853

Datenerfassung						Zeit:	119,37598	s	11.07.2023 10:05:47
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
45118	0,45751175	32,016602	-1,7579101	-1,5402602	-0,00028312206
45118	0,45751408	32,216797	-2,538672	-2,1526756	-0,0043421984
45118	0,4575164	32,416992	-3,3194337	-3,0264406	-0,011017919
45118	0,45751873	32,617188	-4,1001954	-3,9275379	-0,017571449
45118	0,45752102	32,817383	-4,8809571	-4,6898704	-0,022336841
45118	0,45752335	33,017578	-5,6617188	-5,4642258	-0,026062131
45118	0,45752567	33,217773	-6,4424806	-6,1725526	-0,03079772
45118	0,457528	33,417969	-7,2232423	-6,8954263	-0,034815073
45118	0,45753029	33,618164	-8,0040045	-7,736249	-0,039857626
45118	0,45753261	33,818359	-8,7847662	-8,5582886	-0,042420626
45118	0,45753494	34,018555	-9,5655279	-9,508173	-0,04760623
45118	0,45753726	34,21875	-10,34629	-10,332562	-0,051635504
45118	0,45753956	34,418945	-11,127051	-11,219018	-0,056242943
45118	0,45754188	34,619141	-11,907813	-12,020343	-0,058162212
45118	0,45754421	34,819336	-12,688575	-12,772321	-0,062656403
45118	0,45754653	35,019531	-13,469337	-13,613612	-0,066566467
45118	0,45754883	35,219727	-14,250098	-14,357055	-0,069844723
45118	0,45755115	35,419922	-15,03086	-15,104964	-0,071918964
45118	0,45755348	35,620117	-15,811622	-15,953233	-0,075337291
45118	0,4575558	35,820313	-16,592382	-16,659082	-0,07828176
45118	0,4575581	36,020508	-17,373144	-17,495834	-0,081065297
45118	0,45756042	36,220703	-18,153906	-18,239517	-0,083643198
45118	0,45756274	36,420898	-18,934668	-19,035122	-0,086510181
45118	0,45756507	36,621094	-19,715429	-19,824169	-0,090277195
45118	0,45756736	36,821289	-20,496191	-20,616083	-0,092506409
45118	0,45756969	37,021484	-21,276953	-21,345257	-0,094547868
45118	0,45757201	37,22168	-22,057714	-22,155464	-0,096812844
45118	0,45757434	37,421875	-22,838476	-22,957436	-0,10012984
45118	0,45757663	37,62207	-23,619238	-23,695539	-0,10356307
45118	0,45757896	37,822266	-24,400002	-24,506678	-0,10557771
45118	0,45758128	38,022461	-25,180763	-25,224712	-0,10716319
45118	0,45758361	38,222656	-25,961525	-26,12351	-0,10985732
45118	0,4575859	38,422852	-26,742287	-26,784159	-0,11331737
45118	0,45758823	38,623047	-27,523048	-27,67087	-0,11472702
45118	0,45759055	38,823242	-28,30381	-28,350971	-0,11790693
45118	0,45759287	39,023438	-29,084572	-29,233816	-0,11987686
45118	0,45759517	39,223633	-29,865334	-29,934519	-0,12314022
45118	0,45759749	39,423828	-30,646095	-30,763884	-0,12595057
45118	0,45759982	39,624023	-31,426857	-31,509703	-0,12898445
45118	0,45760214	39,824219	-32,207619	-32,291187	-0,13086796
45118	0,45760444	40,024414	-32,98838	-33,117714	-0,13304055
45118	0,45760676	40,224609	-33,769142	-33,840881	-0,13534129
45118	0,45760909	40,424805	-34,549904	-34,670811	-0,13812184
45118	0,45761141	40,625	-35,330666	-35,381451	-0,13995171
45118	0,45761371	40,825195	-36,111427	-36,250698	-0,14307499
45118	0,45761603	41,025391	-36,892189	-36,934978	-0,14520288
45118	0,45761836	41,225586	-37,672951	-37,770569	-0,14664531
45118	0,45762068	41,425781	-38,453712	-38,487659	-0,15026331
45118	0,45762298	41,625977	-39,234474	-39,399818	-0,15327334
45118	0,4576253	41,826172	-40,015236	-40,000084	-0,15431345
45118	0,45762762	42,026367	-40,795998	-40,942505	-0,1571238
45118	0,45762995	42,226563	-41,576759	-41,587143	-0,15847385
45118	0,45763224	42,426758	-42,357521	-42,471352	-0,16136765
45118	0,45763457	42,626953	-43,138283	-43,168346	-0,16442835
45118	0,45763689	42,827148	-43,919044	-44,068058	-0,16621053
45118	0,45763922	43,027344	-44,699806	-44,679344	-0,16843975
45118	0,45764151	43,227539	-45,480568	-45,610195	-0,17106235
45118	0,45764384	43,427734	-46,26133	-46,31279	-0,17297268
45118	0,45764616	43,62793	-47,042091	-47,116879	-0,17591715
45118	0,45764849	43,828125	-47,822853	-47,891857	-0,17788708
45118	0,45765078	44,02832	-48,603615	-48,626823	-0,1798898
45118	0,45765311	44,228516	-49,384377	-49,474766	-0,18231869
45118	0,45765543	44,428711	-50,165138	-50,199036	-0,18401742
45118	0,45765775	44,628906	-50,9459	-51,052101	-0,18708706
45118	0,45766005	44,829102	-51,726662	-51,707554	-0,18824339
45118	0,45766237	45,029297	-52,507423	-52,606567	-0,19180775
45118	0,4576647	45,229492	-53,288185	-53,323246	-0,19432306
45118	0,45766702	45,429688	-54,068947	-54,15366	-0,19579828
45118	0,45766932	45,629883	-54,849709	-54,879166	-0,19773841
45118	0,45767164	45,830078	-55,63047	-55,726299	-0,19937456
45118	0,45767397	46,030273	-56,411232	-56,40876	-0,20175278
45118	0,45767629	46,230469	-57,191994	-57,309845	-0,20442009
45118	0,45767859	46,430664	-57,972755	-57,972324	-0,20613968
45118	0,45768091	46,630859	-58,753517	-58,822735	-0,20910203
45118	0,45768324	46,831055	-59,534279	-59,542912	-0,21101236
45118	0,45768556	47,03125	-60,315041	-60,403408	-0,21337271
45118	0,45768785	47,231445	-61,095802	-61,082291	-0,21481812
45118	0,45769018	47,431641	-61,876564	-61,992535	-0,21709502
45118	0,4576925	47,631836	-62,657326	-62,611862	-0,21856725
45118	0,45769483	47,832031	-63,438087	-63,563553	-0,22179186
45118	0,45769712	48,032227	-64,218849	-64,204323	-0,22409856
45118	0,45769945	48,232422	-64,999611	-65,10408	-0,22546053
45118	0,45770177	48,432617	-65,780373	-65,776764	-0,22831261
45118	0,4577041	48,632813	-66,561134	-66,654884	-0,2301991
45118	0,45770639	48,833008	-67,341896	-67,351334	-0,23201704
45118	0,45770872	49,033203	-68,122658	-68,218132	-0,2343148
45118	0,45771104	49,233398	-68,903419	-68,897026	-0,23698509
45118	0,45771337	49,433594	-69,684181	-69,733559	-0,23905337
45118	0,45771566	49,633789	-70,464943	-70,534332	-0,24088025
45118	0,45771798	49,833984	-71,245705	-71,256149	-0,24245381
45118	0,45772031	50,03418	-72,026466	-72,111481	-0,24494827
45118	0,45772263	50,234375	-72,807228	-72,7939	-0,2469331
45118	0,45772493	50,43457	-73,58799	-73,667397	-0,24857223
45118	0,45772725	50,634766	-74,368752	-74,360718	-0,2505362
45118	0,45772958	50,834961	-75,149513	-75,214417	-0,25220215
45118	0,4577319	51,035156	-75,930275	-75,935562	-0,25396645
45118	0,4577342	51,235352	-76,711037	-76,754395	-0,2564162
45118	0,45773652	51,435547	-77,491798	-77,533974	-0,25914907
45118	0,45773885	51,635742	-78,27256	-78,2537	-0,26013851
45118	0,45774117	51,835938	-79,053322	-79,10463	-0,26380122
45118	0,45774347	52,036133	-79,834084	-79,800201	-0,26496053
45118	0,45774579	52,236328	-80,614845	-80,745491	-0,26697516
45118	0,45774812	52,436523	-81,395607	-81,338646	-0,26895702
45118	0,45775044	52,636719	-82,176369	-82,267494	-0,27220845
45118	0,45775273	52,836914	-82,95713	-82,92112	-0,27365685
45118	0,45775506	53,037109	-83,737892	-83,836082	-0,2753973
45118	0,45775738	53,237305	-84,518654	-84,486397	-0,27735829
45118	0,45775971	53,4375	-85,299416	-85,381035	-0,27960539
45118	0,457762	53,637695	-86,080177	-86,04863	-0,28086603
45118	0,45776433	53,837891	-86,860939	-86,921913	-0,28266013
45118	0,45776665	54,038086	-87,641701	-87,649559	-0,28431714
45118	0,45776895	54,238281	-88,422462	-88,478455	-0,28675795
