MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Datenerfassung						Zeit:	246,75879	s	11.07.2023 10:33:19
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1470533	1470534	1281068
d	s	kN	kN	mm	mm	mm	mm
45118	198,20215	-3,9000001	-3,8693621	0,0013798475	1,1115849e-05	4,6883935e-05	-1,9959363e-05
45118	198,40234	-3,9000001	-3,8647614	0,0004440546	3,2779801e-05	1,2733834e-05	1,1571076e-05
45118	198,60254	-3,9000001	-3,8700476	0,00043511391	3,2271819e-05	6,8894944e-05	3,0846288e-05
45118	198,80273	-3,9000001	-3,8857663	7,7486038e-05	-3,0747873e-05	8,7365748e-05	4,3726177e-06
45118	199,00293	-3,9000001	-3,8790944	-0,00017285347	7,2312778e-06	7,2694806e-05	-4,0097199e-05
45118	199,20313	-4,6655273	-4,338119	-0,00074803829	-8,6625929e-05	-6,0646566e-05	-0,00011948847
45118	199,40332	-5,4462891	-4,8529987	-0,0037968159	-0,00021275495	-0,00027061842	-0,00045046885
45118	199,60352	-6,2270508	-4,9580092	-0,0041931868	-0,00037291879	-0,00027267705	-0,00053801044
45118	199,80371	-7,0078125	-6,2523036	-0,0091612339	-0,00064391241	-0,00060310698	-0,0010460075
45118	200,00391	-7,7885742	-7,6725407	-0,016382337	-0,0011731703	-0,0011357438	-0,0018153501
45118	200,2041	-8,5693359	-8,4771433	-0,01912117	-0,0015071238	-0,0014396403	-0,0021801812
45118	200,4043	-9,3500977	-9,2029142	-0,022897124	-0,0017572902	-0,0016641718	-0,0025486411
45118	200,60449	-10,130859	-10,075429	-0,02630055	-0,0020508443	-0,0019164542	-0,0030214489
45118	200,80469	-10,911621	-10,730871	-0,029045343	-0,0023468186	-0,0021751092	-0,0033093872
45118	201,00488	-11,692383	-11,642275	-0,031840801	-0,0026783517	-0,0024035529	-0,0036925119
45118	201,20508	-12,473145	-12,332635	-0,035387278	-0,0029490166	-0,0026127468	-0,0040239384
45118	201,40527	-13,253906	-13,173087	-0,037738681	-0,0032871836	-0,0029671714	-0,0045596287
