MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	23,546875	s	18.07.2023 10:47:37
Datum	18.7.2023
Prüfer	Mac, Sc
Probe 	Pittrich _TP2_CEMIII_A_420_oF_20.6.23 E-Modul Probe 5
Masse	5405
Länge	300,1
Durchmesser	99,0
Bediener Information Ende

Datenerfassung						Zeit:	308,06543	s	18.07.2023 10:52:21
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1470533	1470534	1281068
d	s	kN	kN	mm	mm	mm	mm
45125	24,056641	-0,29657674	0,0869371	4,9908414	0,43566936	-0,42599201	-0,59526426
45125	24,556641	-0,69583076	0,10592118	4,9506607	0,43572786	-0,42590508	-0,59518498
45125	25,056641	-1,0950848	0,091977417	4,8771367	0,43577883	-0,42596677	-0,59526145
45125	25,556641	-1,4943388	0,069772825	4,7740741	0,43562093	-0,42598283	-0,59519595
45125	26,056641	-1,8935927	0,066166744	4,6447368	0,43567809	-0,4259173	-0,59524071
45125	26,556641	-2,2928467	0,097770244	4,4753819	0,43569738	-0,42594549	-0,59524769
45125	27,056641	-2,6921008	0,087281689	4,2644796	0,43566924	-0,42588943	-0,5952338
45125	27,556641	-3,0913548	0,074265525	4,012084	0,43566906	-0,42595193	-0,59515846
45125	28,056641	-3,4906087	0,095371157	3,7214904	0,43566391	-0,42594954	-0,59518397
45125	28,556641	-3,8898628	0,099657103	3,3884897	0,43578756	-0,42595026	-0,59515953
45125	29,056641	-3,9000001	0,081919134	3,0269146	0,43574482	-0,42592287	-0,59520531
45125	29,556641	-3,9000001	0,066839159	2,6536226	0,43572679	-0,42590526	-0,59519899
45125	30,056641	-3,9000001	0,098906457	2,2694454	0,43577614	-0,42583317	-0,59523702
45125	30,556641	-3,9000001	0,082427636	1,8734455	0,43576157	-0,42596883	-0,59528351
45125	31,056641	-3,9000001	0,093877316	1,4668673	0,43572804	-0,42587113	-0,59518355
45125	31,556641	-3,9000001	0,10478683	1,0490835	0,43582228	-0,4258709	-0,59517378
45125	32,056641	-3,9000001	0,066265464	0,61973184	0,43569732	-0,42594674	-0,59524161
45125	32,556641	-3,9000001	-1,5178565	0,18395185	0,43521199	-0,42656589	-0,59572864
45125	33,056641	-3,9000001	-5,6772866	0,15493482	0,4331494	-0,42819422	-0,59684414
45125	33,556641	-3,9000001	-5,7000818	0,15449226	0,43312103	-0,42819923	-0,59675938
45125	34,056641	-3,9000001	-5,6415906	0,15458465	0,43314797	-0,42811051	-0,59681803
45125	34,556641	-3,9000001	-5,6372304	0,15462488	0,43314397	-0,42822051	-0,59672993
45125	35,056641	-4,2541995	-5,7627373	-0,00068247318	-3,7889506e-05	-1,758337e-06	-0,00021767616
45125	35,556641	-6,2041993	-7,3504381	-0,0077098608	-0,00078683475	-0,00056403875	-0,00078195333
45125	36,056641	-8,1541996	-9,4017391	-0,017093122	-0,0017759062	-0,0013740957	-0,0013634562
45125	36,556641	-10,104199	-11,455475	-0,025814772	-0,0027377259	-0,0021979213	-0,0021327138
45125	37,056641	-12,054199	-13,343122	-0,03349185	-0,0037021751	-0,0027987063	-0,0027959347
45125	37,556641	-14,0042	-15,252599	-0,041025877	-0,0046066227	-0,0035556257	-0,0035158992
45125	38,056641	-15,9542	-17,209181	-0,048531592	-0,0055763312	-0,0043501556	-0,0042836666
45125	38,556641	-17,9042	-19,089787	-0,055833161	-0,0064139045	-0,0050453842	-0,0050494075
45125	39,056641	-19,8542	-21,07678	-0,06301254	-0,0074020796	-0,005777806	-0,0058698058
45125	39,556641	-21,804199	-22,898565	-0,069278479	-0,0082773035	-0,0065840185	-0,0066874027
45125	40,056641	-23,7542	-24,850807	-0,076384842	-0,0091510927	-0,0073254406	-0,0074573755
45125	40,556641	-25,704201	-26,73481	-0,082537532	-0,01007568	-0,0081182718	-0,0083658695
45125	41,056641	-27,6542	-28,677443	-0,088880956	-0,011023336	-0,0088607073	-0,0092743039
45125	41,556641	-29,6042	-30,66651	-0,095747411	-0,011929756	-0,0097289085	-0,01010865
45125	42,056641	-31,554199	-32,479004	-0,10132045	-0,012890619	-0,010427058	-0,011034966
45125	42,556641	-33,5042	-34,466187	-0,10785162	-0,013733631	-0,011285484	-0,011967599
45125	43,056641	-35,454201	-36,403194	-0,11416525	-0,01467561	-0,012040108	-0,012858629
45125	43,556641	-37,404202	-38,226326	-0,12018234	-0,01549131	-0,012840986	-0,013678789
45125	44,056641	-39,354198	-40,229145	-0,12634993	-0,016334381	-0,013731807	-0,014713109
45125	44,556641	-41,304199	-42,134315	-0,1315847	-0,017202195	-0,014616847	-0,015636504
45125	45,056641	-43,2542	-44,061424	-0,13758838	-0,018026978	-0,015509129	-0,016505599
45125	45,556641	-45,204201	-46,033543	-0,14266223	-0,01891003	-0,016296029	-0,017567337
