MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Datenerfassung						Zeit:	265,93262	s	18.07.2023 10:59:13
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1470533	1470534	1281068
d	s	kN	kN	mm	mm	mm	mm
45125	215,63867	-3,9000001	-4,1672754	0,00032931566	-4,568696e-05	-3,2663345e-05	4,3651809e-05
45125	215,83887	-3,9000001	-4,1483307	0,00016838312	-7,1763992e-05	-4,4628978e-05	5,2694504e-05
45125	216,03906	-3,9000001	-4,1619039	2,8312206e-05	-0,00010743737	-2,5480986e-05	8,2023762e-05
45125	216,23926	-3,9000001	-4,1563792	0,00016391277	-3,8594007e-05	1,8328428e-06	1,2151118e-05
45125	216,43945	-3,9000001	-4,1599236	0,00084489584	-3,0726194e-05	4,9412251e-05	6,9411588e-05
45125	216,63965	-4,6655273	-4,6208501	-0,0017106533	-0,00028035045	-0,00018700957	-0,00011069862
45125	216,83984	-5,4462891	-5,4028554	-0,0049084425	-0,00059583783	-0,00046814978	-0,00041978614
45125	217,04004	-6,2270508	-6,0730858	-0,0084385276	-0,00069567561	-0,00076340139	-0,00068471621
45125	217,24023	-7,0078125	-6,9070253	-0,012557209	-0,00098145008	-0,001116097	-0,0010287847
45125	217,44043	-7,7885742	-7,7179561	-0,015899539	-0,0012937784	-0,0014079511	-0,0014609004
45125	217,64063	-8,5693359	-8,6042337	-0,02027452	-0,0016823709	-0,0016771257	-0,0018235451
45125	217,84082	-9,3500977	-9,4743004	-0,024293363	-0,0019418001	-0,0020445436	-0,0021615007
45125	218,04102	-10,130859	-10,176334	-0,026831031	-0,0021756291	-0,0023508668	-0,0025542481
45125	218,24121	-10,911621	-11,059196	-0,031161308	-0,0024991632	-0,0027386099	-0,0029292968
45125	218,44141	-11,692383	-11,754292	-0,033761561	-0,0026897192	-0,0029659569	-0,003237938
45125	218,6416	-12,473145	-12,600677	-0,03747642	-0,003025651	-0,0033922791	-0,0035233183
45125	218,8418	-13,253906	-13,357041	-0,040097535	-0,0033353865	-0,0037887543	-0,0038655873
45125	219,04199	-14,034668	-14,200914	-0,044162571	-0,0036566257	-0,0041644126	-0,0042280387
45125	219,24219	-14,81543	-14,883333	-0,046439469	-0,0038292706	-0,0043496341	-0,0045704413
45125	219,44238	-15,596191	-15,741631	-0,049570203	-0,0042563975	-0,0047870576	-0,0049205334
45125	219,64258	-16,376953	-16,477877	-0,052319467	-0,0044498146	-0,0051385313	-0,0053727571
45125	219,84277	-17,157715	-17,265043	-0,055593252	-0,0047827661	-0,0055134892	-0,0056197951
45125	220,04297	-17,938477	-18,055792	-0,058695674	-0,0050041378	-0,0058717579	-0,0059891026
45125	220,24316	-18,719238	-18,793734	-0,061883032	-0,0052769184	-0,0062780231	-0,006382802
