MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	46,270508	s	18.07.2023 09:59:40
Datum	18.07.2023
Probe	Pittrich _TP2_CEMIII_A_oF_20.6.23 Druck Probe 1
Prüfer: 	Be
Masse	5368
Länge	299,2
Durchmesser	99,0
Bediener Information Ende

Datenerfassung						Zeit:	149,85645	s	18.07.2023 10:01:23
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,96137971	0,2396442
-1,0990143	-356,95255

Datenerfassung						Zeit:	149,8623	s	18.07.2023 10:01:23
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
45125	0,45494783	56,493164	-1,7617188	-1,3077296	-0,0025436282
45125	0,45495015	56,693359	-2,5424805	-2,1653919	-0,008328259
45125	0,45495248	56,893555	-3,3232422	-2,7478206	-0,014938414
45125	0,4549548	57,09375	-4,1040039	-3,0730367	-0,018303096
45125	0,4549571	57,293945	-4,8847656	-3,6685002	-0,023292005
45125	0,45495942	57,494141	-5,6655273	-4,9896669	-0,035977364
45125	0,45496175	57,694336	-6,4462891	-6,034637	-0,044162571
45125	0,45496407	57,894531	-7,2270508	-6,7999959	-0,049957633
45125	0,45496637	58,094727	-8,0078125	-7,5256414	-0,054647028
45125	0,45496869	58,294922	-8,7885742	-8,2742033	-0,059214234
45125	0,45497102	58,495117	-9,5693359	-9,0820475	-0,063432753
45125	0,45497334	58,695313	-10,350098	-10,004372	-0,068578124
45125	0,45497563	58,895508	-11,130859	-10,87632	-0,073412061
45125	0,45497796	59,095703	-11,911621	-11,765471	-0,077848136
45125	0,45498028	59,295898	-12,692383	-12,613704	-0,081895292
45125	0,45498261	59,496094	-13,473145	-13,418465	-0,085400045
45125	0,4549849	59,696289	-14,253906	-14,211893	-0,088438392
45125	0,45498723	59,896484	-15,034668	-14,995027	-0,092603266
45125	0,45498955	60,09668	-15,81543	-15,789438	-0,095903873
45125	0,45499185	60,296875	-16,596191	-16,555178	-0,099909306
45125	0,45499417	60,49707	-17,376953	-17,348633	-0,10319501
45125	0,4549965	60,697266	-18,157715	-18,137003	-0,1057446
45125	0,45499882	60,897461	-18,938477	-18,916519	-0,1088962
45125	0,45500112	61,097656	-19,719238	-19,674044	-0,11186302
45125	0,45500344	61,297852	-20,5	-20,480972	-0,11486262
45125	0,45500576	61,498047	-21,280762	-21,277472	-0,11787117
45125	0,45500809	61,698242	-22,061523	-22,059105	-0,12077838
45125	0,45501038	61,898438	-22,842285	-22,814276	-0,1234889
45125	0,45501271	62,098633	-23,623047	-23,601614	-0,12694001
45125	0,45501503	62,298828	-24,403809	-24,372076	-0,12955964
45125	0,45501736	62,499023	-25,18457	-25,141417	-0,13255179
45125	0,45501965	62,699219	-25,965332	-25,952513	-0,13486147
45125	0,45502198	62,899414	-26,746094	-26,745735	-0,13745278
45125	0,4550243	63,099609	-27,526855	-27,507717	-0,14116764
45125	0,45502663	63,299805	-28,307617	-28,293585	-0,14288425
45125	0,45502892	63,5	-29,088379	-29,104342	-0,14538616
45125	0,45503125	63,700195	-29,869141	-29,874487	-0,14813989
45125	0,45503357	63,900391	-30,649902	-30,607365	-0,15110224
45125	0,4550359	64,100586	-31,430664	-31,40086	-0,15344471
45125	0,45503819	64,300781	-32,211426	-32,200336	-0,15614182
45125	0,45504051	64,500977	-32,992188	-32,97961	-0,15877932
45125	0,45504284	64,701172	-33,772949	-33,746117	-0,16126484
45125	0,45504516	64,901367	-34,553711	-34,555649	-0,16379952
45125	0,45504746	65,101563	-35,334473	-35,326691	-0,16617775
45125	0,45504978	65,301758	-36,115234	-36,096748	-0,16826838
