MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	18,588867	s	18.07.2023 10:28:37
Datum	18.07.2023
Probe	Fladt P1-S7-DF-
Prüfer: 	Be
Masse	5366
Länge	300
Durchmesser	99
Bediener Information Ende

Datenerfassung						Zeit:	123,60938	s	18.07.2023 10:30:22
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,96216798	0,25979802
-1,0878623	-354,27457

Datenerfassung						Zeit:	123,62012	s	18.07.2023 10:30:22
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
45125	0,47508028	30,935547	-1,7579101	-1,8570665	-0,0032678246
45125	0,47508258	31,135742	-2,538672	-2,4858565	-0,0089198351
45125	0,4750849	31,335938	-3,3194337	-2,9127746	-0,012099743
45125	0,47508723	31,536133	-4,1001954	-3,4955218	-0,016190112
45125	0,47508955	31,736328	-4,8809571	-4,5086017	-0,023216009
45125	0,47509184	31,936523	-5,6617188	-5,6090617	-0,030316412
45125	0,47509417	32,136719	-6,4424806	-6,4193139	-0,034567714
45125	0,47509649	32,336914	-7,2232423	-7,2052341	-0,039543211
45125	0,47509882	32,537109	-8,0040045	-7,8982191	-0,043356419
45125	0,47510111	32,737305	-8,7847662	-8,5774679	-0,046491623
45125	0,47510344	32,9375	-9,5655279	-9,366436	-0,050657988
45125	0,47510576	33,137695	-10,34629	-10,367876	-0,055593252
45125	0,47510809	33,337891	-11,127051	-11,297047	-0,060454011
45125	0,47511038	33,538086	-11,907813	-12,07992	-0,06352216
45125	0,47511271	33,738281	-12,688575	-12,858425	-0,067000091
45125	0,47511503	33,938477	-13,469337	-13,734397	-0,070488453
45125	0,47511736	34,138672	-14,250098	-14,462175	-0,073860586
45125	0,47511965	34,338867	-15,03086	-15,193091	-0,076259673
45125	0,47512197	34,539063	-15,811622	-15,968465	-0,079762936
45125	0,4751243	34,739258	-16,592382	-16,86648	-0,083498657
45125	0,47512662	34,939453	-17,373144	-17,631838	-0,08636415
45125	0,47512892	35,139648	-18,153906	-18,335396	-0,08892715
45125	0,47513124	35,339844	-18,934668	-19,073559	-0,092223287
45125	0,47513357	35,540039	-19,715429	-19,923368	-0,095230341
45125	0,47513589	35,740234	-20,496191	-20,767986	-0,098070502
45125	0,47513819	35,94043	-21,276953	-21,470844	-0,10078251
45125	0,47514051	36,140625	-22,057714	-22,189049	-0,10329485
45125	0,47514284	36,34082	-22,838476	-22,985884	-0,10626614
45125	0,47514516	36,541016	-23,619238	-23,855835	-0,10961145
45125	0,47514746	36,741211	-24,400002	-24,571182	-0,11184216
45125	0,47514978	36,941406	-25,180763	-25,288393	-0,11426508
45125	0,47515211	37,141602	-25,961525	-26,197245	-0,11749417
45125	0,47515443	37,341797	-26,742287	-26,956453	-0,11964887
45125	0,47515672	37,541992	-27,523048	-27,650217	-0,1220867
45125	0,47515905	37,742188	-28,30381	-28,44796	-0,12519658
45125	0,47516137	37,942383	-29,084572	-29,31498	-0,12791455
45125	0,4751637	38,142578	-29,865334	-30,075607	-0,13041496
45125	0,47516599	38,342773	-30,646095	-30,743069	-0,13228208
