MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	19,228516	s	04.07.2023 09:21:58
Datum	4.7.2023
Probe	Pittrich TP2_CEM I_420_oF 06.06.23 Probe 3 Druck
Prüfer: 	Be
Masse	5376,5
Länge	299,2
Durchmesser	99,2
Bediener Information Ende

Datenerfassung						Zeit:	103,67578	s	04.07.2023 09:23:22
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,96192545	0,16140752
-1,0526822	-274,04984

Datenerfassung						Zeit:	103,68066	s	04.07.2023 09:23:22
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
45111	0,42768005	31,555664	-1,7579101	-1,8158927	-0,0024044886
45111	0,42768234	31,755859	-2,538672	-2,2467115	-0,005513127
45111	0,42768466	31,956055	-3,3194337	-2,7618856	-0,0090461923
45111	0,42768699	32,15625	-4,1001954	-3,8681571	-0,016084105
45111	0,42768931	32,356445	-4,8809571	-5,0404129	-0,023194635
45111	0,42769161	32,556641	-5,6617188	-5,6934209	-0,027479744
45111	0,42769393	32,756836	-6,4424806	-6,4468794	-0,031449668
45111	0,42769626	32,957031	-7,2232423	-7,1039143	-0,035202596
45111	0,42769858	33,157227	-8,0040045	-7,8827229	-0,038682714
45111	0,42770088	33,357422	-8,7847662	-8,6893702	-0,043016788
45111	0,4277032	33,557617	-9,5655279	-9,6291475	-0,047046505
45111	0,42770553	33,757813	-10,34629	-10,457959	-0,051217176
45111	0,42770782	33,958008	-11,127051	-11,380356	-0,055240236
45111	0,42771015	34,158203	-11,907813	-12,203188	-0,058167312
45111	0,42771247	34,358398	-12,688575	-12,918534	-0,061766386
45111	0,42771479	34,558594	-13,469337	-13,759971	-0,065013826
45111	0,42771709	34,758789	-14,250098	-14,503348	-0,068289399
45111	0,42771941	34,958984	-15,03086	-15,295905	-0,071456097
45111	0,42772174	35,15918	-15,811622	-16,046616	-0,074297853
45111	0,42772406	35,359375	-16,592382	-16,872673	-0,07785739
45111	0,42772636	35,55957	-17,373144	-17,620485	-0,080006279
45111	0,42772868	35,759766	-18,153906	-18,384382	-0,083250947
45111	0,42773101	35,959961	-18,934668	-19,166016	-0,085872158
45111	0,42773333	36,160156	-19,715429	-19,990404	-0,089134753
45111	0,42773563	36,360352	-20,496191	-20,734926	-0,091485076
45111	0,42773795	36,560547	-21,276953	-21,500589	-0,093947813
45111	0,42774028	36,760742	-22,057714	-22,334354	-0,097153105
45111	0,4277426	36,960938	-22,838476	-23,049616	-0,099810839
45111	0,4277449	37,161133	-23,619238	-23,878414	-0,10241361
45111	0,42774722	37,361328	-24,400002	-24,608307	-0,10478556
45111	0,42774954	37,561523	-25,180763	-25,430723	-0,10766669
45111	0,42775187	37,761719	-25,961525	-26,15826	-0,11026595
45111	0,42775416	37,961914	-26,742287	-27,02841	-0,11307257
45111	0,42775649	38,162109	-27,523048	-27,692974	-0,11565402
45111	0,42775881	38,362305	-28,30381	-28,544479	-0,1180506
45111	0,42776114	38,5625	-29,084572	-29,249128	-0,12041817
45111	0,42776343	38,762695	-29,865334	-30,104677	-0,12323875
45111	0,42776576	38,962891	-30,646095	-30,807262	-0,1257195
45111	0,42776808	39,163086	-31,426857	-31,627705	-0,1282749
45111	0,42777041	39,363281	-32,207619	-32,404785	-0,13070455
45111	0,4277727	39,563477	-32,98838	-33,19878	-0,13331035
45111	0,42777503	39,763672	-33,769142	-33,912281	-0,13550703
45111	0,42777735	39,963867	-34,549904	-34,73761	-0,13826635
45111	0,42777967	40,164063	-35,330666	-35,50877	-0,14005804
45111	0,42778197	40,364258	-36,111427	-36,291435	-0,14282478
45111	0,42778429	40,564453	-36,892189	-37,049385	-0,14503197
45111	0,42778662	40,764648	-37,672951	-37,863743	-0,14773455
45111	0,42778894	40,964844	-38,453712	-38,594482	-0,14979498
45111	0,42779124	41,165039	-39,234474	-39,390881	-0,15229987
45111	0,42779356	41,365234	-40,015236	-40,176834	-0,15445703
45111	0,42779589	41,56543	-40,795998	-40,968319	-0,15733883
45111	0,42779821	41,765625	-41,576759	-41,742405	-0,15970659
45111	0,42780051	41,96582	-42,357521	-42,514942	-0,16179743
45111	0,42780283	42,166016	-43,138283	-43,2943	-0,16396745
45111	0,42780516	42,366211	-43,919044	-44,091278	-0,16683865
45111	0,42780748	42,566406	-44,699806	-44,837051	-0,16855592
45111	0,42780977	42,766602	-45,480568	-45,653912	-0,17119083
45111	0,4278121	42,966797	-46,26133	-46,399113	-0,1734664
45111	0,42781442	43,166992	-47,042091	-47,204681	-0,17590119
45111	0,42781675	43,367188	-47,822853	-47,962067	-0,17801251
45111	0,42781904	43,567383	-48,603615	-48,763687	-0,18006925
45111	0,42782137	43,767578	-49,384377	-49,522854	-0,18199748
45111	0,42782369	43,967773	-50,165138	-50,308941	-0,18425073
45111	0,42782602	44,167969	-50,9459	-51,11451	-0,18713352
45111	0,42782831	44,368164	-51,726662	-51,858364	-0,1890357
45111	0,42783064	44,568359	-52,507423	-52,623749	-0,19157226
45111	0,42783296	44,768555	-53,288185	-53,432537	-0,19411175
45111	0,42783529	44,96875	-54,068947	-54,178074	-0,19576809
45111	0,42783758	45,168945	-54,849709	-55,030209	-0,19837753
45111	0,42783991	45,369141	-55,63047	-55,724239	-0,20063731
45111	0,42784223	45,569336	-56,411232	-56,573273	-0,20304969
45111	0,42784455	45,769531	-57,191994	-57,269871	-0,20473474
45111	0,42784685	45,969727	-57,972755	-58,13205	-0,20728828
45111	0,42784917	46,169922	-58,753517	-58,87109	-0,20902875
45111	0,4278515	46,370117	-59,534279	-59,688946	-0,21162137
45111	0,42785382	46,570313	-60,315041	-60,423306	-0,21350932
45111	0,42785612	46,770508	-61,095802	-61,232086	-0,21590197
45111	0,42785844	46,970703	-61,876564	-61,982418	-0,21822859
45111	0,42786077	47,170898	-62,657326	-62,776402	-0,22022834
45111	0,42786309	47,371094	-63,438087	-63,584206	-0,22215095
45111	0,42786539	47,571289	-64,218849	-64,319839	-0,2237995
45111	0,42786771	47,771484	-64,999611	-65,134018	-0,22636485
45111	0,42787004	47,97168	-65,780373	-65,872765	-0,22893408
45111	0,42787236	48,171875	-66,561134	-66,706436	-0,23089603
45111	0,42787465	48,37207	-67,341896	-67,45784	-0,23330109
45111	0,42787698	48,572266	-68,122658	-68,254128	-0,23525321
45111	0,4278793	48,772461	-68,903419	-69,016098	-0,23717287
45111	0,42788163	48,972656	-69,684181	-69,815865	-0,23957302
45111	0,42788392	49,172852	-70,464943	-70,549438	-0,24166217
45111	0,42788625	49,373047	-71,245705	-71,355133	-0,24349874
45111	0,42788857	49,573242	-72,026466	-72,179085	-0,24611823
45111	0,4278909	49,773438	-72,807228	-72,875305	-0,24782659
45111	0,42789319	49,973633	-73,58799	-73,728638	-0,25007114
45111	0,42789552	50,173828	-74,368752	-74,425941	-0,2521404
45111	0,42789784	50,374023	-75,149513	-75,29007	-0,25392058
45111	0,42790017	50,574219	-75,930275	-76,003693	-0,25596723
45111	0,42790246	50,774414	-76,711037	-76,848312	-0,2582925
45111	0,42790478	50,974609	-77,491798	-77,61116	-0,2605207
45111	0,42790711	51,174805	-78,27256	-78,340485	-0,26221773
45111	0,42790943	51,375	-79,053322	-79,193848	-0,26430002
45111	0,42791173	51,575195	-79,834084	-79,912132	-0,26635018
45111	0,42791405	51,775391	-80,614845	-80,769547	-0,2683385
45111	0,42791638	51,975586	-81,395607	-81,464294	-0,27076057
45111	0,4279187	52,175781	-82,176369	-82,315361	-0,27297896
45111	0,427921	52,375977	-82,95713	-83,042511	-0,27485937
45111	0,42792332	52,576172	-83,737892	-83,842628	-0,27644527
45111	0,42792565	52,776367	-84,518654	-84,559723	-0,27883089
45111	0,42792797	52,976563	-85,299416	-85,409203	-0,28080532
