MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	12,753906	s	18.03.2014 14:56:53
Datum	17.03.2014
Prüfer:	Be, Mac
Probebezeichnung	Hüsken Probe 2-3
Protokoll Seite	136
Durchmesser [mm]:	100
Höhe [mm]:	100,3
Masse [g]:	1947
Bediener Information Ende

Datenerfassung						Zeit:	231,84375	s	18.03.2014 15:00:32
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
41716	0,62284768	27,039063	-1,7464844	-1,6480554	-0,0024199486
41716	0,62285	27,239258	-2,5272462	-2,4951751	-0,0066287816
41716	0,62285233	27,439453	-3,308008	-3,2915921	-0,0099651515
41716	0,62285465	27,639648	-4,0887694	-4,0642824	-0,012987852
41716	0,62285697	27,839844	-4,8695312	-4,8184562	-0,017101318
41716	0,6228593	28,040039	-5,6502929	-5,1044822	-0,019064546
41716	0,62286156	28,240234	-6,4310546	-5,805809	-0,021456927
41716	0,62286389	28,44043	-7,2118168	-6,9489899	-0,02578944
41716	0,62286621	28,640625	-7,9925785	-7,9197464	-0,029408187
41716	0,62286854	28,84082	-8,7733402	-8,697854	-0,032333285
41716	0,62287086	29,041016	-9,5541019	-9,478816	-0,035525858
41716	0,62287319	29,241211	-10,334864	-10,229322	-0,037697703
41716	0,62287551	29,441406	-11,115625	-11,022233	-0,040789694
41716	0,62287784	29,641602	-11,896387	-11,878732	-0,043646991
41716	0,6228801	29,841797	-12,677149	-12,729486	-0,045866519
41716	0,62288243	30,041992	-13,457911	-13,559829	-0,048986822
41716	0,62288475	30,242188	-14,238672	-14,418951	-0,051028281
41716	0,62288707	30,442383	-15,019434	-15,219893	-0,053597987
41716	0,6228894	30,642578	-15,800196	-15,949257	-0,055458397
41716	0,62289172	30,842773	-16,580957	-16,766607	-0,058183074
41716	0,62289405	31,042969	-17,361719	-17,563255	-0,059951097
41716	0,62289637	31,243164	-18,142481	-18,290176	-0,061974674
41716	0,62289864	31,443359	-18,923243	-19,058443	-0,063810498
41716	0,62290096	31,643555	-19,704004	-19,834167	-0,066155195
41716	0,62290329	31,84375	-20,484766	-20,621948	-0,068479031
41716	0,62290561	32,043945	-21,265528	-21,374741	-0,070438534
41716	0,62290794	32,244141	-22,046289	-22,144981	-0,072618574
41716	0,62291026	32,444336	-22,827051	-22,948408	-0,074150413
41716	0,62291259	32,644531	-23,607813	-23,710939	-0,075886399
41716	0,62291491	32,844727	-24,388575	-24,51276	-0,078236312
41716	0,62291718	33,044922	-25,169336	-25,287233	-0,079795718
41716	0,6229195	33,245117	-25,950098	-26,031199	-0,08219704
41716	0,62292182	33,445313	-26,73086	-26,84108	-0,083442777
41716	0,62292415	33,645508	-27,511621	-27,623093	-0,08558929
41716	0,62292647	33,845703	-28,292383	-28,404669	-0,087296963
41716	0,6229288	34,045898	-29,073145	-29,159212	-0,088950247
41716	0,62293112	34,246094	-29,853907	-29,922104	-0,090765953
41716	0,62293339	34,446289	-30,634668	-30,745163	-0,092682242
41716	0,62293571	34,646484	-31,41543	-31,506922	-0,094595551
41716	0,62293804	34,84668	-32,196194	-32,221947	-0,096425414
41716	0,62294036	35,046875	-32,976955	-33,053864	-0,098010153
41716	0,62294269	35,24707	-33,757717	-33,855068	-0,099561363
41716	0,62294501	35,447266	-34,538479	-34,653755	-0,10128617
41716	0,62294734	35,647461	-35,319241	-35,457279	-0,10304824
41716	0,62294966	35,847656	-36,100002	-36,210472	-0,10501221
41716	0,62295192	36,047852	-36,880764	-36,994831	-0,10640845
41716	0,62295425	36,248047	-37,661526	-37,7771	-0,10791048
41716	0,62295657	36,448242	-38,442287	-38,587658	-0,10972768
41716	0,6229589	36,648438	-39,223049	-39,359024	-0,11152774
41716	0,62296122	36,848633	-40,003811	-40,068378	-0,11283904
41716	0,62296355	37,048828	-40,784573	-40,900551	-0,11431053
41716	0,62296587	37,249023	-41,565334	-41,645058	-0,11608899
41716	0,6229682	37,449219	-42,346096	-42,461281	-0,1178816
41716	0,62297046	37,649414	-43,126858	-43,244228	-0,11931583
41716	0,62297279	37,849609	-43,907619	-44,00631	-0,12043417
41716	0,62297511	38,049805	-44,688381	-44,79414	-0,12203753
41716	0,62297744	38,25	-45,469143	-45,558872	-0,12389123
41716	0,62297976	38,450195	-46,249905	-46,353451	-0,12552813
41716	0,62298208	38,650391	-47,030666	-47,111088	-0,12741461
41716	0,62298441	38,850586	-47,811428	-47,855156	-0,12867525
41716	0,62298673	39,050781	-48,59219	-48,665249	-0,13008863
41716	0,622989	39,250977	-49,372952	-49,462955	-0,13142452
41716	0,62299132	39,451172	-50,153713	-50,216225	-0,13331398
41716	0,62299365	39,651367	-50,934475	-51,028297	-0,13461262
41716	0,62299597	39,851563	-51,715237	-51,814735	-0,1359649
41716	0,6229983	40,051758	-52,495998	-52,579563	-0,13751164
41716	0,62300062	40,251953	-53,27676	-53,360046	-0,13876557
41716	0,62300295	40,452148	-54,057522	-54,147663	-0,14017075
41716	0,62300527	40,652344	-54,838284	-54,908463	-0,14217943
41716	0,62300754	40,852539	-55,619045	-55,680275	-0,14306828
41716	0,62300986	41,052734	-56,399807	-56,445774	-0,14489666
41716	0,62301219	41,25293	-57,180569	-57,274529	-0,1464285
41716	0,62301451	41,453125	-57,96133	-58,014359	-0,14818609
41716	0,62301683	41,65332	-58,742092	-58,799236	-0,14840662
41716	0,62301916	41,853516	-59,522854	-59,557449	-0,1504086
41716	0,62302148	42,053711	-60,303616	-60,396561	-0,15205815
41716	0,62302381	42,253906	-61,084377	-61,153202	-0,15318692
41716	0,62302607	42,454102	-61,865139	-61,949615	-0,15421808
41716	0,6230284	42,654297	-62,645901	-62,727398	-0,15612021
41716	0,62303072	42,854492	-63,426662	-63,450081	-0,1571238
41716	0,62303305	43,054688	-64,20742	-64,297005	-0,15904009
41716	0,62303537	43,254883	-64,988182	-65,098076	-0,16012937
41716	0,6230377	43,455078	-65,768944	-65,837074	-0,16149208
41716	0,62304002	43,655273	-66,549706	-66,606316	-0,1632221
41716	0,62304235	43,855469	-67,330467	-67,41214	-0,16428232
41716	0,62304461	44,055664	-68,111229	-68,204094	-0,1659818
41716	0,62304693	44,255859	-68,891991	-68,927391	-0,16708747
41716	0,62304926	44,456055	-69,672752	-69,731636	-0,16838387
41716	0,62305158	44,65625	-70,453514	-70,520248	-0,16972721
41716	0,62305391	44,856445	-71,234276	-71,28968	-0,17071888
41716	0,62305623	45,056641	-72,015038	-72,072357	-0,1724869
41716	0,62305856	45,256836	-72,795799	-72,861458	-0,17381012
41716	0,62306088	45,457031	-73,576561	-73,645653	-0,17525107
41716	0,62306315	45,657227	-74,357323	-74,403656	-0,17653108
41716	0,62306547	45,857422	-75,138084	-75,190239	-0,17802045
41716	0,6230678	46,057617	-75,918846	-75,98317	-0,17894208
41716	0,62307012	46,257813	-76,699608	-76,75074	-0,180462
41716	0,62307245	46,458008	-77,48037	-77,518791	-0,18218309
41716	0,62307477	46,658203	-78,261131	-78,332001	-0,18277615
41716	0,62307709	46,858398	-79,041893	-79,073753	-0,18372089
41716	0,62307942	47,058594	-79,822655	-79,852142	-0,18530563
41716	0,62308168	47,258789	-80,603416	-80,68232	-0,18670931
41716	0,62308401	47,458984	-81,384178	-81,463257	-0,18796325
41716	0,62308633	47,65918	-82,16494	-82,227837	-0,18992722
41716	0,62308866	47,859375	-82,945702	-82,993942	-0,19092411
41716	0,62309098	48,05957	-83,726463	-83,792595	-0,19234717
41716	0,62309331	48,259766	-84,507225	-84,571373	-0,1930289
41716	0,62309563	48,459961	-85,287987	-85,339668	-0,19473433
41716	0,62309796	48,660156	-86,068748	-86,116943	-0,19540936
41716	0,62310022	48,860352	-86,84951	-86,903549	-0,19713119
41716	0,62310255	49,060547	-87,630272	-87,680466	-0,19833148
41716	0,62310487	49,260742	-88,411034	-88,500114	-0,19943416
41716	0,62310719	49,460938	-89,191795	-89,272018	-0,20098463
41716	0,62310952	49,661133	-89,972557	-90,056221	-0,202097
41716	0,62311184	49,861328	-90,753319	-90,845543	-0,20344332
41716	0,62311417	50,061523	-91,534081	-91,585709	-0,20462573
41716	0,62311649	50,261719	-92,314842	-92,352417	-0,20531639
41716	0,62311876	50,461914	-93,095604	-93,129944	-0,20725578
41716	0,62312108	50,662109	-93,876366	-93,961136	-0,20816997
41716	0,62312341	50,862305	-94,657135	-94,707634	-0,20905882
41716	0,62312573	51,0625	-95,437897	-95,460976	-0,21065995
41716	0,62312806	51,262695	-96,218658	-96,299873	-0,21152273
41716	0,62313038	51,462891	-96,99942	-97,101723	-0,21311417
41716	0,62313271	51,663086	-97,780182	-97,856522	-0,21419525
41716	0,62313503	51,863281	-98,560944	-98,622284	-0,21571591
41716	0,6231373	52,063477	-99,341705	-99,412933	-0,21639243
41716	0,62313962	52,263672	-100,12247	-100,20644	-0,21758899
41716	0,62314194	52,463867	-100,90323	-100,94619	-0,21888986
